start	end	text
0	9520	Cool. Hello everyone, welcome to your course AI for Art, Esthetic and Creativity. Today
9520	19200	we have a very special speaker. She has an excellent background in different domains and
19200	28880	she will tell you hopefully more about herself and her work. Sarah is a great friend and
29520	38480	colleague of me and she kind of accepted to give us a lecture talk today. So from here I
41040	47840	let Sarah to continue. Please go ahead. Thanks Ali. It's such a pleasure to be here. I've heard
47840	53440	so much about this class. I don't think I have a slide about my background but I can tell you a
53440	59920	little bit about myself. I finished my PhD in neuroscience so across the street from Seasale
59920	65920	last year and now I'm a postdoc in the vision group and the journey throughout my PhD was
65920	72320	a little bit of a winding path. I started thinking about explicit symbolic models for things like
72320	77360	physics and we'll talk a little bit more about that along the way. So modeling how the mind
77360	82480	makes inferences about things that we see but that hits a ceiling when we come up against
83120	89120	questions of vision and types of seeing like looking at art that is really difficult to develop
89120	94880	some kind of computational formalism for that we don't have good models for. And at the same time
94880	99280	as I was kind of hitting that wall in my own thinking I was developing a parallel interest
99840	104640	in visual art and doing a lot of different projects both with individual artists and with
104640	111680	larger museum archives that I'll talk a little bit about and started to look at art as a ground for
112240	116560	asking kind of difficult questions on the frontier of our thinking about the mind.
116560	121600	If we look at how humans create art and in view art can we understand something about
122320	126720	how they view the world and domains that we don't yet have good models of cognition for.
127600	132640	So I kind of started steering my my PhD in that direction. I'll share a little bit of that work
132640	138240	as well and as I said now I'm a postdoc with Antonio and Ellie asked me to share a little bit
138240	145840	of my my inspiration behind that path. I don't have a good story about a specific moment I think
145840	152720	it's been a lifelong interest for me since I was super small and reading a lot of poetry I guess
153360	158080	thinking about kind of the the origin and nature of structure and our experience of the world.
158080	164240	I know that's quite an abstract thing but the structure that we see in visual patterns where
164320	169280	does that come from? Is that something that lives inherently in the brain and we imprint it on to
169280	173680	kind of noisy and unordered stimuli or is it something that's external you know a nature
173680	179600	nurture question and then our brains kind of evolve to reflect and I got interested in this
179600	185920	meeting point this kind of layer between the self and the world where all the action happens so to
185920	194000	speak and had training in applied math before I came to MIT and would think about ways to describe
194000	198720	kind of structured inputs to processing systems and understand something about the structure of
198720	204000	external inputs and then my neuroscience background learned a little bit how to how to
204000	208320	think about and model the structure of a processing system right the structure of different parts of
208320	213840	the brain and it's really been through my interest in visual art that we can start to think about
213840	219680	and describe what happens when those two things meet and how we synthesize our world of visual
219680	225040	experience in domains related to art and then other kind of higher level aspects of cognition
225040	231680	like scenes or associations with moods of scenes and that kind of thing so that's that's where I am
231680	238720	now and I think I'd like to start us off unless anybody has any leading questions about where I
238720	245120	come from with kind of a provocation and you can you can think of this as a frame for what I'll share
245120	251200	today but it's intended to be provocative and so the statement I'll make is that visual perception
251200	257520	itself human perception which we attempt to mirror and model in computer vision and computer science
257520	263280	in some cases that human perception is something that's fundamentally constructive and I say that
263280	269360	because it solves an ill posed inverse problem like ones you've probably heard of before and
269360	276080	doing that doing that solving requires a little bit of creativity so where am I coming from there
276080	282000	the back of your eye as you know is is a 2d flat canvas right made up of a hierarchy of cells
282000	287840	that were visualized in in drawing in art by Ramonica Hall hundreds of years ago and are now
287840	292880	visualized using electromagnetic imaging and we can get actually pretty fine brain detail
292880	299280	of the cells in the back of our eye that constitute a 2d canvas that takes in incoming image data
299280	305760	and represents images in terms of patterns of activations via this kind of mosaic of cells
306800	312960	yet we experience this richly 3d world so there's a setup of a problem that you've probably heard
312960	319440	before right 2d canvas but we have 3d rich experience scenes have depth objects have 3d shape
319440	323280	and furthermore what we see carries lots of different meanings and associations
323920	329920	so where is all of that kind of higher level information in a 2d image classical kind of
329920	336640	computer vision problems we look at this kind of painting by Suzanne you might not only recognize
336640	343520	3d structure of this cottage on the mountain side right even though the image itself is 2d
343520	347920	I might have all sorts of associations with it I might be able to say oh it's spring time
347920	352400	think something about the time of year I might even be able to infer something about the geography
352400	358400	by the palette used to convey what fields might be there think a little bit about the landscape
358400	365040	I might be able to appreciate depth in pictorial space so even on this 2d plane if I put my mouse
365040	371120	up here in the front maybe these fields are closer to me as a viewer than these ones that are far away
371120	375120	but once again I'm just looking at a flat picture where is all of that information
376320	381360	our brain has to solve an inverse problem like this anytime we look at a visual scene it has to get
381360	387280	from low two-dimensional information to kind of rich 3d but there's a fundamental problem here
387280	394480	and I pointed to that is that infinitely many 3d objects can cause the same 2d project projection
394480	399680	that's the under constrained nature of this inverse problem that vision poses and you've
399680	405840	experienced this quite explicitly anytime you've seen a shadow and not the object causing the
405840	410720	shadow right and you've had to infer oh is that actually you know a monster on the wall or is
410720	416720	that somebody's hand being projected but there are infinitely many configurations in three dimensions
416720	421200	that could be projected downwards onto two dimensions and cause some configuration in
421200	427920	pictorial space so how do we constrain that problem when we're solving for what we see
428720	433920	right so this problem is ill-posed because it has as I said many infinitely many possible solutions
434640	440560	and choosing between them requires some additional information and in the case of the brain
441280	446240	modern neuroscience understands this as requiring the brain to construct something so that's what I
446240	452480	mean when I say perception is fundamentally constructive or creative it requires the brain
452480	459120	to construct a best explanation of what it's seeing of incoming information and if we call
459120	464320	that perception then maybe you'll permit me to make a bit of a stretch and say that that makes
464320	471920	perception itself an act of creation or an act of synthesis of a scene so one kind of popular
471920	478160	way to solve this inference problem is by using models of the world right and we can approach
478160	482560	that from a Bayesian lens maybe you've seen the work of Josh Tinnenbaum in the bcs department
484000	488400	or maybe we can do that purely with deep learning it's kind of an attention that we could explore
488960	494800	later today but I'll give you an example here and this is let me back up for a second that if we
494800	499520	were in person this is the point where I would do kind of a live in person demo so I want you to
499520	505040	imagine that we're all sitting kind of in a dark room or we're sitting in a studio space and out
505040	511360	in front of you there is a table covered in black velvet and I've set some stuff on that table you
511360	518080	don't know what it is I set it there when the lights were off and then I take a single line of red
518080	523440	laser light and I'm going to gradually sweep it over the scene so I'm constraining the visual
523440	528960	information you're going to receive about what's out there in the world to something kind of really
528960	534320	low dimensional compared to what you normally get to understand kind of a garden of forms that would
534320	539200	be sitting on the table so imagine you're there in the studio with me and you see the following
539840	544240	you have to kind of infer what you see on the table maybe you could write it in the chat or
544240	550080	just think to yourself when you see this give it a moment what's sitting here on the table
