start	end	text
0	8000	Okay, hello everyone. Welcome to this session of deep learning for art, aesthetics and creativity.
8000	24000	Today, we have our specialist speaker, Junion Ju, and he is an assistant professor at CMU, School of Computer Science.
24000	41000	He is going to talk about efficient GANS, and Junion is such a great researcher and scientist who has been working on many, many interesting generative models, including he was in peaks to peaks,
41000	56000	and cycle consistency scans, and Gauguin, and many other interesting and intriguing work, and I hope that we can see a gist of some of his work here today.
56000	62000	So, please, Junion, go ahead.
62000	77000	Yes, thanks for the nice introduction. I'm very happy to be here and talk about some of our recent work on how to make GANS more efficient.
77000	89000	Maybe some background that you probably already knew about it. Yes, GANS has been used for various content creation and creativity tasks.
89000	101000	For example, you can draw a sketch of a handbag or edge of a handbag and you can get an output image from the GANS.
101000	112000	And one recent model we have been working on is this Gauguin model, led by Thaisong Park and other people.
112000	122000	Here, our artist is creating a semantic label that basically says this is a mountain, this is also a log, this is the sea.
122000	131000	And when the mountain, he can add some sand, and we can generate an image in real time.
131000	136000	And he can add some more details like logs.
136000	144000	Yeah, and you can create a pretty nice image very quickly.
144000	159000	That's a very cool demonstration of the GANS and you can also, sorry about that, you can also apply a particular like a style image from a truly set and then apply it to stylize this image.
160000	168000	So these all look very nice and kind of perfect, right, those cool demo in front of so many people.
168000	180000	But if we close the door and the story here is, it's really very expensive, at least for this Gauguin project.
180000	198000	And to develop Gauguin project, Thaisong has about hundreds of GPUs, in the summer in turn, and for six or nine months he has access to several hundreds of GPUs, very high end, the media GPUs, which you cannot sometimes you cannot even buy it on the market,
198000	204000	but he has access to internal GPUs, we are not allowed to share the information.
204000	212000	But he has access to lots of GPUs during training, and the training also requires lots of data, like tens of thousands of data.
213000	234000	After almost a year's development, to learn this model, to do this demo, we actually bought a very expensive desktop, like 6,000, 7,000 laptop with actually a high end GPU, but that's still a laptop, not a desktop, so we want to carry this laptop around and do the demo, right.
234000	250000	So in conclusion, from this particular project I realized games are very expensive, perhaps not for everyone now at this moment.
250000	255000	I think it's expensive in three ways.
255000	275000	So for learning a game model, if you train a game model to learn the game model on a device, you need a high end GPUs, like for real time performance, otherwise it will be very laggy, you cannot have any real time demo without a high end GPU.
275000	285000	So in order to develop the algorithm, to develop a new algorithm, you require hundreds of GPUs to train the model.
285000	305000	So I think it's very, it's huge, or maybe right now only the deep end of the media can afford this kind of computation. You will for university lab, MIT or CMU, maybe you don't have so many GPUs, it's very hard to compete with big companies.
305000	310000	And third, to train a game model, it often requires lots of data.
310000	332000	And I will go through it one by one. The connection wise is very, it's very slow to learn on a CPU and mobile device, right, maybe take 10 seconds or several seconds to learn on models like CPU and even slower to learn on mobile device like a tablet or like a phone.
333000	343000	To train a single model for a single training session, it takes several days, maybe one or two weeks, maybe sometimes for a big game, maybe take amounts.
343000	354000	And, but it's not like you just train one model and publish a paper as model training might take at least a dozen of training sessions, you have hundreds of training sessions.
355000	361000	So each training session takes, each training session takes a month, you need lots of GPUs to parallelize your experiments.
361000	368000	So it's not like you have an idea, you train a model and you go through all the public paper, that's not the case.
368000	377000	You have an idea, you try something to work, you try something to modify the idea slightly, you have lots of iteration over the months.
377000	394000	So each iteration takes one week or one month on each GPUs. So if you, if you put these numbers together, if you want to actually do the research very as quickly as possible, it requires lots of GPUs.
394000	406000	Sometimes it's even like a top university like top lab in MIT or CMU Berkeley cannot afford it, not saying other labs.
406000	412000	So what people do realize is to treat this model like require tens of thousands of millions of images.
412000	416000	You treat a model of faces, it requires 70,000 faces.
416000	423000	These faces are very high quality images, and you need to align the face before you treat the model.
423000	433000	So there are lots of pre-processing steps to get an image, to treat an image that's model, you need labels, and you need to limit the data sets first.
433000	439000	So there are three things that can be used for more users, right?
439000	447000	If you are a content creator, if you are an artist, you may not have access to the computation, to the algorithm and data, right?
447000	452000	So in this talk, I would like to focus on computation and the data.
452000	463000	But while working on the algorithm, in this talk, we have some results on how to make data faster, how to make you can treat a game model on maybe only hundreds of images.
463000	478000	By that, we can maybe help more users, content creators and artists to treat and test their own game models without having access to lots of data, without having access to very high-end GPUs.
478000	484000	So I will talk about the first part, which is the model.
