start	end	text
0	26280	So, you may not be aware of this, but Age of Empires has had quite the remarkable comeback
26280	28080	over the past few years.
28080	33240	This all started back in 2018 when Microsoft released a full-scale remaster of the original
33240	38940	1997 Age of Empires under the title Age of Empires Definitive Edition.
38940	43840	This was followed one year later with a Definitive Edition of its insanely popular sequel, a
43840	48760	year later with the Definitive Edition of the first 3D game in the series Age of Empires
48760	53320	3, and in an effort to keep the streak up, Microsoft just went ahead and made a new Age
53320	56640	of Empires game and named it Age of Empires 4.
56640	59000	So you're probably thinking what I was thinking, right?
59000	64400	Big company like Microsoft suddenly making a bunch of cheap remakes of this classic series
64400	68960	just to get people interested in it again so they can reboot the franchise.
68960	74000	But here's the thing, every single one of these games has been well received, not just
74000	78640	by the fans, not just by the media, but by the market too.
78640	83520	The past few years have been a full-blown Age of Empires renaissance with active online
83520	88320	communities, terrific age-focused YouTube channels like Spirit of the Law, and even
88320	93000	a vibranese sports scene thanks to the Red Bull Wololo tournament that's been running
93000	97000	since 2000.
97000	101700	The series has been so popular that earlier this year Microsoft released a console version
101700	107880	of Age of Empires 2, a game that seems inconceivable to play without a mouse and keyboard.
107880	112760	So I mean, that's gotta be a cash grab, there's no way people actually enjoyed playing it
112920	114920	on a controller.
114920	119800	So here's the thing, this is a bit of a selfish documentary because myself and my wife played
119800	126120	dozens of hours of Age of Empires 2 Definitive Edition over the past few years, specifically
126120	128320	during the COVID-19 lockdown.
128320	133920	See we were 13 when Age of Empires 2 was originally released on PC, and like most PC gamers back
133920	139160	then I was enthralled by its exciting balance of city building and real-time strategy.
139160	142760	Age of Empires isn't the first real-time strategy game that Honor is usually given
142760	147080	to Westwood's Dune 2, but it was a genre-defining game.
147080	152040	A beautiful, isometric world with a collection of civilizations to choose from, each with
152040	155160	their own language, buildings, and style of warfare.
155160	157280	The battles were exciting, but manageable.
157280	161360	There was a single-player story, but you could also create custom skirmishes with different
161360	164120	rules on a variety of different landmasses.
164120	168920	There were sea battles, there's early artillery, politics, religion.
168920	172320	Age of Empires was basically chess on steroids.
172320	178080	So during the pandemic, when we had to close the previous no-clip studios, I had to bring
178080	182920	all that equipment back to my house, and I suddenly had like four desktop PCs just lying
182920	184080	around my house.
184080	190520	So myself and my wife decided to look for any PC game that we could play cooperatively.
190520	195240	We had both played Age 2 while growing up, so we turned the spare bedroom into basically
195240	196560	a LAN cafe.
196560	201160	And so when our kid went to sleep, we'd burn the quarantine midnight oil, ganging up against
201160	203520	some bots in custom skirmishes.
203520	207960	It became so much of our day today that for Valentine's Day that year, she made me this
207960	208960	card.
208960	213600	Again, sorry, if you're not getting the willow-low thing, don't worry, we'll cover it later.
213600	217800	So today we're going to dive into the resurrection of Age of Empires by talking to two of the
217800	221800	folks at the studio that Microsoft spun up to helm this effort.
221800	227800	Ernest Yon, executive producer at Worlds Edge, and Adam Icegreen, senior creative director
