start	end	text
0	5280	So, today I'm going to talk about the Emacs IPython notebook.
5280	6280	This is the plan.
6280	11520	I haven't really timed myself out, so I have a feeling I can get through all this in 20-25
11520	17720	minutes, and then we'll do a demo, and there will be time after that for questions, hopefully.
17720	21760	My style, I've noticed these presentations, people tend to wait until the end for questions
21760	22760	and comments.
22760	28100	I kind of like, I don't mind if you guys have a question while I'm talking, just raise
28100	34180	your hand, might take us somewhere interesting, so feel free to interrupt if you want.
34180	35180	Let's go on a little bit.
35180	36620	So, first, a little disclaimer.
36620	40940	I work for a company named Honeywell UOP, and if you've been around long enough, you
40940	45140	would know that that company used to be named UOP, and you've been around for a really
45140	49840	long time, you'd know that company used to be called Universal Oil Products.
49840	52740	I'm not here today for them.
52740	56860	They don't know anything about this work I'm doing, I'm fine with that, they're probably
56860	58900	fine with that.
58900	62900	It is an interesting company, if you want to learn more about it, feel free to come by
62900	65700	after the presentation and talk to me.
65700	70980	All right, so I also want to first get some thanks out of the way.
70980	76580	First, this guy, he is the reason I exist.
76580	83460	Takafumi, I've only corresponded with him very briefly, many years ago, just before
83460	86460	I forked it, but the guy is insane.
86460	91380	I think he did like some like 1800 commits in the space of two years.
91380	95980	I'll talk a little bit more about what he did when I get to the history of EIN, but
95980	100380	if I were to meet this guy in person, I'd definitely owe him a beer, sake, something
100380	105180	because really he's changed my life with this software.
105180	112460	I'd also like to thank Fernando and the rest of the Jupiter Project, O'Reilly for sponsoring
112460	116060	me and helping me get here and coordinating all this.
116060	119820	A couple of years ago, a company, D'Isha, who's actually based here in New York, they
119820	122940	actually paid me to do some work on EIN.
122940	128820	I'm eternally grateful for them for that, that just was beyond my wildest expectations.
128820	134260	Then finally, I'd like to thank all the people on GitHub who have started my project at the
134260	135260	moment.
135260	136260	There's like 660.
136260	140260	I never expected that there would be that many people interested in this project.
140260	145740	I think on Melpa, it says there's been 50,000 downloads of the Emacs iPython notebook and
145740	148220	I'm just totally blown away by that.
148220	153260	I know it doesn't compare to Jupiter or the rest, but I'm just one guy and any interest
153260	157020	at all just makes me so happy.
157020	159100	All right, so me.
159100	162900	I graduated from Colorado State University in 1997.
162900	167980	I double majored in chemical engineering and computer science, so that makes me a bit
168020	170820	strange.
170820	176500	From there, I went straight into UOP, it was UOP at the time, and really that's a company
176500	180100	for chemical engineers, not computer science guys.
180100	183300	So I've really been doing chemical engineering work for the past 20 years.
183300	186020	Computer science is just kind of a side hobby for me.
186020	190820	I've been using Emacs since college, maybe 95, 96.
190820	197820	I was taking a grad level course in AI and all the homework was done in common language,
197980	202500	and if you're programming in Lyft, you pretty much need to use Emacs.
202500	207020	I've been filling around with Python since 1998.
207020	213380	I actually used it when my first start at my job, used Zope to build a website for my
213380	215940	group I was working at at the time.
215940	221580	Then I stopped using Python for many years, maybe until six, seven years ago that I discovered
221580	227340	pandas and was able to finally free myself from Excel workbooks.
227340	232900	Because in my organization, if you're a chemie working in the industry, I do pretty much
232900	237020	everything happens in an Excel workbook, which is depressing.
237020	244100	Anyways, and pretty around that time, I discovered the IPython notebook, I bounced, to be honest,
244100	252380	bounced off the web interface a bit until I found this project Emacs IPython notebook,
252380	259300	and then I kind of took over as maintainer in 2014, 2015, because TKF, he just kind of
259300	262300	disappeared.
262300	266060	So let's talk about Emacs IPython notebook finally.
266060	273220	It is, in my opinion, a full-featured client for the Jupyter notebook, and it's existed
273220	274860	since roughly 2012.
274860	281980	It tries to be a bit like Slime, if you know Emacs a little bit, that's the superior Lisp
281980	283940	interaction mode for Emacs.
283940	291500	It's a tool for interacting with common Lisp, allows you to interact with the REPL, interactively
291500	298460	execute code, inspect code, look at debug code, and I try to be like that.
298460	306380	It works on most recent versions of Emacs, and it's written almost completely in ELIS,
306380	312580	with the exception of a few Python functions that kind of glue in the IDE features.
312580	318540	It has a slew of IDE features, it integrates with the Python debugger, it integrates with
318540	325380	org mode, I don't know if any of you here know org mode, live and die by org mode, yes,
325740	329780	I've tried really hard to make it work reasonably well with org mode, I'll try and demo it a
329780	331620	little bit later.
331620	336300	Just recently I've made sure it works with non-Python kernels, I really don't know anything
336300	343780	other than Python and ELIS, but I did test it with an R kernel, and it actually kind
343780	345540	of worked.
345540	349660	And then here's the last one, which is kind of cool, too bad Joel's gone, but we can
349700	357180	connect Python buffers to running kernels and get completion and autodoc and stuff like
357180	360940	that for free, and I have Python buffer.
360940	368020	So Emacs, I don't know how many of you here are familiar with Emacs, that's probably why
368020	370220	you're here.
370220	379620	So here's my one obligatory XKCD, so yeah, if you know Emacs, whatever you want to do,
379620	388020	there's probably an Emacs command that does it for you, and I don't want to be snide,
388020	392500	but as I was watching a lot of these presentations to myself, I was thinking, yeah, Emacs, I
392500	397500	think Emacs can do that, especially watching the JupyterLab presentation.
397500	401980	Nothing against those guys, I think it's great that they're putting all these features together,
401980	408220	but a lot of the stuff Emacs is, Emacs, I'm Python notebooks had for like the past four
408220	409220	or five years.
409420	410740	Why do I use Emacs?
410740	415300	Originally this was why Emacs, but that felt a little presumptuous, I'm not going to tell
415300	422460	anybody that they have to use Emacs, it's kind of an acquired taste, either you bounce
422460	428340	off of it real hard or it just transforms your life and becomes everything.
428340	433180	I was looking for good images that represent Emacs, I found this and I thought it was pretty
433180	437620	funny, this guy is running a Tetris game in a frame.
438620	441620	I don't know how many editors can do that.
443620	445620	Who would want to write that in an editor?
445620	452820	But anyways, so in my mind, when I think of Emacs and why I use it, this first thing
452820	458620	I thought about was a list machine, I don't know if any of you know about list machines.
458620	464740	Unfortunately I was too young to really work with any list machines, and I'm a little bit
464740	469260	too old to be part of this data science wave, so I'm kind of stuck in the middle.
469260	473940	But anyways, Emacs is kind of like the scrappier cousin from the wrong side of town when you
473940	476620	think of a list machine.
476620	481780	I think it's telling that Emacs has endured so long, it's been around 40 years and people
481780	485220	are still using it obviously.
485220	489060	I was reading about a week ago, there's a couple of really good blog posts by this guy
489060	496580	Josh Stella that kind of explained why he likes Emacs so much, and I felt really resonated
496580	502780	with me, and I think a couple of points is it's a tool that you control completely.
502780	508020	It's your tool, it allows you to focus completely, there's no distractions when you're working
508020	515740	with Emacs, and the Emacs IPython notebook tool really buys into that philosophy I think,
515740	520660	and that's why I like using it so much in my work.
520660	529100	I didn't really want to get into editor wars, I know that's a very popular pastime activity,
529100	534460	but I think it's great that there's alternate clients out there, I think it's great that
534460	537860	there's Uperilab, I think it's great that there's Interact.
537860	545060	I think it's a sign of a healthy community that you have multiple tools out there and
545060	549020	they can all learn from each other.
549020	552500	Let's do a little bit of history of the line.
552500	567420	There was supposed to be a graph in here, but it's gone.
567420	568420	Let's do this.
568580	571020	I lost myself here.
571020	581540	I worked so hard in Microsoft PowerPoint to build this graph, I have to show it to you,
581540	582540	but it doesn't want to show.
582540	583540	There we go.
583540	589220	Okay, 2012 is the first commit to the Emacs IPython notebook.
589220	596860	Around March of 2014, that was the last commit by TKF.
596860	600340	About a month later, I forked it.
600340	604740	This was about the time when IPython was going from version 1.0 to 2.0.
604740	614340	There were a lot of changes to the interface, to the communication protocol, and IPython
614340	621020	Emacs I'm just wasn't keeping up, so I think TKF got burned out by all those changes and
621020	623060	just stopped committing.
623060	628540	I just took over and managed to get it working on 2.0 and I've been running with it ever
628540	630980	since.
630980	634380	On April 2014, there was a version 0.3.
634380	638700	I'm now at what, version 14.1.
638700	640580	It works with Jupyter.
640580	647100	There's over 650 stars on GitHub and over 50,000 downloads from Meltha, so it's kept
647100	651540	up with the times for the most part and I'm really happy with it.
651540	654540	Just going through that a little bit.
654540	659700	Yeah, 1,795 commits by this one guy.
659700	666340	I think we're at 2,500 commits, so that means 800 commits are mine in the space of four
666340	671060	years, so I'm no master programmer.
671060	674660	I'm just a guy.
674660	681460	I will say though that going from IPython 1.0 to today's Jupyter, there was rough
681460	683740	sailing for a while.
683740	685740	There were a number of real challenges I had to get through.
685740	688860	One, there were changes to the contents API.
688860	694940	That's the file view, browser view that you'll see.
694940	695940	There are big changes there.
695940	701860	There are some changes in the communication protocol, changes in the security model.
701860	706220	That was probably the most painful for me to try and work through.
706220	710740	Then there are some changes to the notebook format.
710740	715620	All of those work through, but now everything seems to be really stable on the Jupyter side.
715620	717500	I hope it stays that way.
717500	720380	Honestly, they've been really good about that.
720380	725380	I may complain about things, but they've been really good about keeping things stable.
725380	730780	It made me so happy when they mentioned in the last presentation that they made no backwards
730780	737660	incompatible changes to the notebook format because that code is really horrible.
737860	743980	Probably the worst piece of code I've written as a programmer.
743980	745740	Why these things were hard?
745740	750140	Because I get a little shy and embarrassed outside of Emacs.
750140	756260	I'm kind of old, so I don't understand all these newfangled web technologies.
756260	760860	I break out in highs whenever I try to read JavaScript.
760860	765460	It's been kind of hard to try and understand that, but the documentation from Jupyter has
765460	766960	been really good.
766960	769960	The people on the distribution have been really helpful.
769960	775240	Mattias, Brian, those guys have been really helpful and patient with me as I come up with
775240	777120	the occasional question.
777120	782640	Also, when I'm trying to support users, this seems to be the most common issue when people
782640	789680	post a GitHub is I can't connect to a notebook or the kernel is not running.
789680	795720	Those are really hard because I have to be able to reproduce the problem.
795760	802840	Emacs greatest disadvantage is maybe its greatest disadvantage is that it's so configurable.
802840	808240	Usually it turns out the issue is with the way that they've configured their installation.
808240	812000	It's just me trying to work through what that is.
812000	813800	Usually there's nothing I can do to bulletproof it.
813800	819000	It's just change your configuration.
819000	820000	Those were the challenges.
820000	822840	What have I loved about this project?
823600	828440	It's a short list, but really the joys have greatly outweighed the challenges because,
828440	831080	in part, the challenges have been the joy.
831080	835920	It's quite a rush when you have this really difficult problem and you find a way to fix
835920	836920	it.
836920	839360	That keeps me going.
839360	842040	There are people out there that use it.
842040	845640	There are people in professional organizations that are using Emacs and the Emacs I Python
845640	848760	notebook, which is just great.
848760	849760	I never expected that.
849880	854360	I use it for me mostly, but that other people use it is great.
854360	858680	The community, the people on GitHub are really nice.
