start	end	text
0	23900	The modern world is a world in which business plays an important part.
23900	29300	Office buildings and office workers are a familiar site and free city and town.
29300	37300	So is the office secretary, that alert, efficient person who plays such a vital role in the world of business.
37300	39300	This is Jean Carroll.
39300	44300	Her day begins at nine o'clock and she's at her desk on time.
44300	47300	Promptness, neatness, orderliness.
47300	52300	In her first minute, Jean has displayed these attributes of a good secretary.
52300	55300	Office supplies are the tools with which Jean works.
55300	62300	The orderly arrangement of her desk permits a quick check to see that she has enough supplies on hand for the day.
62300	67300	She takes out only those things she knows she needs.
67300	76300	With her place of business in order, she helps to organize the day for herself and her employer by referring to her invaluable calendar pad.
76300	80300	And from it, typing up the daily appointment sheet.
80300	85300	This record indicates the names of various people who have appointments for the day.
85300	94300	It also lists memorandums or personal reminders for her employer.
94300	99300	The record is placed in Mr. Williams' desk before he arrives.
99300	106300	The new arrival is Marge Quinn, office stenographer and Jean's co-worker.
106300	112300	Now, let's clear up this distinction between a stenographer and a secretary.
112300	116300	A stenographer takes dictation, transcribes and types.
116300	126300	She may also do billing and filing and operate office machines such as a duplicator or calculator or transcribing machine.
126300	133300	At time, she may also operate the switchboard.
133300	143300	A secretary assumes much more responsibility than a stenographer and performs many duties that contribute to the success of the company as we shall see.
143300	150300	The calendar pad helps Jean to keep track of her many responsibilities and to establish a regular schedule.
150300	154300	At about the same time each day, the morning mail is distributed.
154300	159300	Sorting it is one of Jean's responsibilities.
159300	166300	She selects the unopened personal letters for Mr. Williams from the business mail which was opened in the mail room.
166300	170300	Mr. Williams has instructed her to open all his personal mail.
170300	179300	The care and precision with which she handles this routine assignment are again indicative of Jean's thoroughly competent approach to her job.
190300	202300	This takes a little longer than simply zipping the letters open, but it minimizes the dangers of tearing the contents or accidentally throwing away a loose enclosure.
202300	209300	And of course, enclosures are no longer loose after they've passed through Jean's hands.
209300	215300	In checking through the business mail, she finds a letter which refers to some previous correspondence.
215300	220300	So she gets out the file on this, in case Mr. Williams might want it later.
220300	225300	And now the mail is in order.
225300	226300	Good morning, Myrds.
226300	227300	Good morning, Mr. Williams.
227300	228300	Good morning, Jean.
228300	229300	Good morning, Mr. Williams.
229300	232300	I want to talk to Mr. Dubois of Philadelphia.
232300	235300	Will you call him for me at eleven o'clock?
235300	238300	Why, yes, of course. That's Peter Dubois, isn't it?
238300	241300	That's right. And it's very important.
241300	247300	Jean makes a note of Mr. Williams' instructions on her calendar pad.
247300	255300	The good secretary doesn't rely on memory. Jean will make sure that every item here is taken care of today.
255300	265300	Two of them, the itinerary and the checks, can easily be attended to during the morning dictation period.
266300	270300	Mr. Williams usually gives dictation at the same time each morning.
