start	end	text
0	10340	继 ps diolch yn cael Mahmary 하ffwуры y cyffrNote'r Seinfeld chi'n gwybod yr uswn
10340	15980	syniad hwnnw, yn tu lle chael gwybod y dотаill iau yn cael hwn
15980	20220	ol gyda chi nu trades ond allu o'r gwirledd tickets ddiwrnod i wylio.
20220	25540	Fe oedd ci'n byw ddifweud demen nhw – i wge achievement arall y gweithgaredd dros yma,
25540	35540	So, it's kind of exciting that, you know, you've getting a little advance glimpse of what I've been up to for the last three years in writing this book.
35540	43540	The catalyst for this book was partly the fact that I took over this new job from Richard Dawkins,
43540	46540	the professor for the public understanding of science,
46540	60020	The title always makes me laugh somehow because there is a kind of expectation with this professorship that maybe I know the whole of science and that I am here to explain it to the public.
62540	69020	Quite a few journalists seem to have this impression as well because when I first got this job I would get these phone calls from people.
69020	76020	Wrth i ddim yn gwneud o'r cyfnoddiad yng Nghymru, mae'r ymddiad deilio'r cyfnoddiad yn ymddiad yng nghymru.
76020	79020	Mae'r cyfnoddiad yng Nghymru yn ymddiad yng nghymru.
79020	82020	Yn cyfnoddiad yng Nghymru, mae'r ymddiad yn ymddiad yng Nghymru.
82020	83020	Felly, ychydig yn ymddiad yng Nghymru?
83020	85020	Felly, ymddiad yng nghymru?
85020	88020	Felly, boedd yn gwneud hynny yn eu ddweud.
88020	91020	Felly, rydyn ni eisiau yn siŵr ymddiad.
91020	99020	I'm really embarrassed to admit. You can look me up on Wikipedia, but you can look a lot of things up on Wikipedia actually.
99020	105020	So I quickly went online, pulled up telomeres, read quickly through what a telomere was,
105020	110020	and then confidently told this journalist that the pieces at the end of the DNA,
110020	114020	which control how long a piece of DNA will last.
114020	120020	So I realised this is kind of crazy. There's no way I can be expected to know it all.
121020	128020	But actually it began to make me think, is it possible at any point in history that scientists,
128020	134020	scientists might know it all? Could we answer everything? Could we know everything?
134020	138020	And so that was partly the sort of inspiration for this journey,
138020	147020	was to see whether there are any problems in science that by their very nature we will never be able to solve.
147020	151020	So actually the books are divided up into seven edges of knowledge,
151020	156020	which kind of took me on this journey outside of my own area of mathematics into different regions.
156020	160020	And I'm going to take you through a few of these stories.
160020	164020	But I think that kind of desire to know is absolutely basic.
164020	170020	And it is extraordinary how much we have discovered, or the news stories coming out each week.
170020	174020	I mean, I think since I took over this job, the sort of things we discovered,
174020	179020	we managed to land a kind of spaceship the size of a washing machine on the side of a comet.
179020	180020	Absolutely extraordinary.
180020	185020	We've got robots that we've programmed to develop their own language that we as humans can't understand.
185020	189020	We have to interact with the robots to be able to understand that language.
189020	193020	We've sequenced the DNA of a 50,000-year-old cave girl
193020	197020	and repaired the pancreas using stem cells of a diabetic patient.
197020	202020	I mean, this catalogue of things that we've achieved and the things we've discovered is extraordinary.
202020	207020	And I think that basic desire to know is almost as basic as a desire to reproduce.
207020	210020	And here's Aristotle, the beginning of metaphysics.
210020	214020	He says, everyone by nature desires to know.
214020	220020	In fact, I did a little research and the word to know is actually one of only about 100
220020	224020	which have a universal translation across all languages.
224020	229020	Not even the word eat is necessarily clearly translatable into each language.
229020	232020	So an incredibly basic desire.
232020	239020	But it's always dangerous at any point in history to declare you will never know something.
239020	242020	And I've kept in mind on my journey throughout the last three years
242020	244020	trying to find out those things that we cannot know.
244020	245020	A few stories.
245020	248020	One in particular is this guy, Auguste Comte,
248020	251020	who in the middle of the 19th century declared,
251020	256020	we shall never be able to study by any method the chemical composition of stars.
257020	260020	Now at the time, that seemed completely fair.
260020	263020	I mean, how on earth are we ever going to visit a star to dig a bit out
263020	265020	and actually find out what it's made of?
265020	270020	But of course, a few decades later, we knew exactly what stars are made out of.
270020	273020	Why? Because we don't necessarily have to go and visit the star.
273020	275020	The star is visiting us every night.
275020	280020	The light coming from the star is telling us what the star is made of.
280020	285020	So it's always dangerous and I'm sort of very clear that, you know,
285020	288020	I'm not sure whether I've got any definitive answers here about things
288020	290020	that you can absolutely say you can't know.
290020	293020	But that was the journey to try and understand
293020	297020	whether maybe you can articulate that there are things that you will never know.
297020	303020	Of course, the desire to know about the unknowable isn't restricted to science.
303020	306020	I mean, there's a very famous example of a politician
306020	312020	who got into quite a scrambled mess trying to describe his theory of knowledge.
312020	317020	Here he goes, Donald Rumsfeld trying to explain about the weapons of mass destruction in Iraq
317020	319020	and whether they were there or not.
319020	322020	To clear, there are known knowns.
322020	324020	There are things that we know that we know.
324020	326020	We also know there are known unknowns.
326020	329020	That is to say, we know there are some things we do not know.
329020	334020	But there are also unknown unknowns, the ones we don't know we don't know.
335020	340020	Now, actually, Donald Rumsfeld got awarded the Foot in the Mouth Award
340020	343020	by the Plain English-speaking Society for this statement,
343020	345020	but I actually think it's very unfair,
345020	349020	because I think this is a wonderful statement about states of knowledge.
349020	353020	The unknown unknowns, those are those black swan events.
353020	356020	I can't tell you about the unknown unknowns else they'd be known.
356020	359020	I'm going to try and tell you about the known unknowns,
359020	362020	whether we can know what those unknowns are.
362020	365020	There's another category here that I think he missed, though,
365020	368020	which I think is very interesting when it comes to a politician,
368020	371020	which is, of course, the unknown knowns,
371020	374020	which Slavoj Žižek actually pointed out,
374020	377020	was those Freudian things that you actually know,
377020	379020	but you don't deny that you know them,
379020	381020	but they come out and somehow,
381020	386020	and I think probably those are the most relevant to a politician as the unknown knowns.
386020	393020	So this journey to try and find the unknown unknowns,
393020	396020	I wanted to try and apply my mathematical mind
396020	398020	to see whether I could articulate
398020	402020	whether there were any questions in the science.
402020	404020	Another inspiration for this book
404020	408020	actually came from the person that I took over this job,
408020	411020	as a Somoni Professor for the Public Understanding of Science,
411020	414020	because my predecessor was Richard Dawkins.
414020	417020	Now, you, of course, know that Richard spent a lot of time
417020	420020	not just talking about biology and evolution,
420020	422020	but also about God.
422020	427020	His God Delusion book was probably one of his most popular books.
427020	431020	So I kind of braced myself when I took over this job
431020	434020	for getting a lot of questions, not about telomeres,
434020	438020	but about what my beliefs about religion were and God's were.
438020	443020	Now, I was quite keen to just create a sort of distance between me and Richard.
443020	446020	There were very different things scientifically.
446020	449020	So I kind of prepared this response to journalists
449020	451020	who would phone up and say,
451020	453020	what are your religious beliefs?
453020	456020	I would tell them I'm a deeply religious man.
456020	459020	My religion happens to be the arsenal.
459020	462020	I have faith every year,
462020	465020	and it's been tested once again
465020	468020	that next season we will win the premiership.
468020	471020	I go to my temple every Saturday or Sunday,
471020	473020	this weekend it will be Sunday.
473020	476020	I sing songs to my idols and I worship them.
476020	479020	And so I hoped that this would kind of bat away
479020	481020	these questions about religion.
481020	484020	But some of these journalists were very persistent.
484020	487020	So I remember one instance on,
487020	491020	it was a Sunday morning on BBC Northern Ireland Radio.
491020	494020	There was a programme about philosophy and religion,
494020	497020	and I said I'm quite happy to talk about philosophy and science and things like that,
497020	499020	but I really don't want to talk about religion.
499020	501020	Of course, as soon as we got on air,
501020	503020	that went out the window and he was like,
503020	506020	some artist, do you believe in God?
506020	508020	He wasn't from India, sorry.
508020	511020	I would stop doing that.
511020	514020	So he just kept on pressing me,
514020	517020	and it became quite an aggressive interview
517020	520020	to the point that as a mathematician you see,
520020	522020	if you're asking me whether something exists,
522020	525020	actually we spend a lot of time at the Math Institute here
525020	527020	proving things exist,
527020	529020	maybe without being able to know what they look like,
529020	531020	but we can prove that they exist,
531020	533020	or often we prove that things don't exist.
533020	536020	Andrew Wild, who this building is named after,
536020	539020	proved that there aren't solutions to Fermat's occasions.
539020	542020	He had a way to prove these things do not exist.
542020	545020	So I said, OK, I'm quite happy to engage in this.
545020	548020	If you give me a definition that I can start to engage
548020	550020	my mathematical mind with.
550020	552020	So he said, ah, well, God,
552020	555020	that's something which transcends human understanding.
556020	559020	Ah, you've just played me out of the game.
559020	561020	I mean, how can I engage with that?
561020	563020	So it seemed to me, so I got brave.
563020	566020	I said, well, how can we stop with the debate with that?
566020	569020	But actually, that definition sort of stuck in my mind,
569020	571020	as quite an intriguing one.
571020	573020	So as the years went on,
573020	576020	and I sort of decided to engage a little bit more perhaps
576020	579020	with this kind of the bridge between science and religion,
579020	582020	I began to think about that as a definition.
582020	585020	But what about the definition of God being the things
585020	587020	that we cannot understand,
587020	590020	the things that we cannot know, the things which transcend us?
590020	595020	So can I apply my scientific mind to what that God would be like?
595020	598020	And I talked to a philosopher in my college, in New College,
598020	601020	Stephen Mulhall, just before I was doing an event
601020	603020	with a chief rabbi actually about,
603020	606020	he's got a wonderful book called Science and Religion,
606020	608020	The Great Partnership.
608020	610020	And he referred me to this guy Herbert McCabe,
610020	614020	and here in Oxford, who actually a Marxist theologian.
614020	617020	Get that, you know, that's quite a cool title.
617020	620020	But he's got quite a lot of crazy articles
620020	622020	about Christian kind of traditions and things,
622020	626020	but he had this one article which Stephen Mulhall referred me to,
626020	628020	and in there he says,
628020	630020	to assert the existence of God is to claim
630020	634020	that there is an unanswered question about the universe.
634020	637020	So I thought that's quite an interesting definition,
637020	639020	and I sort of, through the book,
639020	641020	I run with sort of just exploring a little bit about
641020	645020	what sort of idea that is as a God.
645020	648020	Herbert McCabe says, you know, religion basically committed
648020	653020	iconoclism by giving this very abstract high concept
653020	655020	too many properties it just didn't have.
655020	657020	And of course as kids that's what we get introduced to,
657020	661020	all the silly things, and then we sort of discard that.
661020	665020	So I sort of wanted to have a perhaps a more nuanced engagement
665020	667020	with this question by defining something
667020	669020	of abstract like this.
669020	671020	Now there is this term, the God of the gaps,
671020	673020	which you may have heard of,
673020	675020	but that's actually used by religious people
675020	677020	as a kind of negative thing.
677020	679020	A lot of religious people will say,
679020	681020	no, you're meant to attempt to know God,
681020	683020	so actually the God of the gaps is something
683020	686020	that they sort of use as a kind of negative statement.
686020	688020	But I want to try and reclaim that maybe
688020	690020	and just explore through this book
690020	692020	and a little bit with you now
692020	694020	as we go through these attempts
694020	696020	to find out what is it that could transcend
696020	700020	our understanding forever.
700020	702020	So as I said, the book is divided up
702020	704020	into these seven edges of knowledge,
704020	706020	seven areas that I've sort of explored,
706020	708020	which go from trying to understand
708020	711020	the nature of the universe, is it infinite,
711020	713020	whether we can infinitely divide matter,
713020	716020	what's going on inside our brain.
716020	718020	So I'm going to take you on a little tour
718020	720020	of a few of these to give you a sort of feel
720020	722020	for what might be unknowable
722020	725020	and whether we can know that sort of thing.
725020	727020	I think one of the ultimate symbols
727020	731020	of the unknowable is in fact the dice.
731020	734020	A dice would not make a fun game
734020	736020	if you could actually predict
736020	738020	what this was going to do next.
738020	740020	So the first edge that I explored
740020	743020	is about the nature of the future.
743020	746020	Can we predict the future?
746020	748020	And in fact mathematics at its heart
748020	750020	is very much trying to do that.
750020	752020	I'll call a mathematician a pattern-searcher.
