start	end	text
0	10680	Listen, it's wonderful to see you all, all 334 and rising. I'm Jonathan Rison. I'm chief
10680	15600	executive and co-founder of Perspectiva, who are putting on tonight's event. We're also
15600	19900	very proud publishers of Ian's most recent book, The Matter With Things. I'm going to
19900	26740	work on the assumption that you know Ian pretty well, but he is as well as a now quite famous
26740	32740	author and I use quite there more in the North American sense of very rather than the sort
32740	42720	of British sense of not so much. Really, you know, very much famous and celebrated writer
42720	48420	and thinker with an increasingly international reputation. So it's no wonder that so many
48420	51900	of you are here to see him.
51900	59540	Tonight we're going to carry on our series called Attention as a Moral Act. And we've
59540	63140	spoken already in the first session about what we meant by that. We might sort of reiterate
63140	68980	it a little bit tonight. Some of you may know the first session was between Ian and I. We
68980	74940	were sort of trying to reassert, reaffirm, reestablish the nature of Ian's most fundamental
74940	81580	argument. We spoke a little bit about my own take on it, calling it the McGilchrist manoeuvre.
81580	86220	And we tried to establish what that was. And we just more generally sort of updated ourselves
86220	92700	prior to the plunge into the more specific aspects of the book. In the second session,
92700	98460	we spoke with Zachary Stein, who had an amazing conversation with Ian about value as a fundamental
98460	107380	feature of the cosmos. It was a very richly metaphysical, somewhat spiritual, fundamental
107380	111220	conversation about the nature of reality. And we've had a great deal of positive feedback
111220	118940	about it since. As some of you may know, in between our sessions, we also have bi-weekly
118940	123020	connection and inquiry sessions, which are run by Michael and Lee, my colleagues. And
123020	127300	so if you have questions or you want to have further conversations, you're welcome to just
127300	133300	go to those events. And they're quite informal and you have a chance to reflect and do some
133300	139700	practices and get to know the work a bit more deeply. Tonight we have an unusual situation,
139700	144700	which is that earlier today, I was in touch with Benita Roy, whom I've known for quite
144700	151300	some time. And she gave me chapter and verse on how she's prepared for this evening's event.
151300	156580	And she will be joining us very shortly. For some reason, we can't currently contact her.
156580	162900	And we're waiting for her to arrive. So I'm going to briefly introduce her. I hope that
162900	167740	she shows up. And if she doesn't show up, I'm going to begin speaking to Ian myself, partly
167780	172780	based on Benita's notes. But it's just a matter of time until she shows up, because we have
172780	178460	now reminded her. And my only assumption is that she may have got the time zone conversion
178460	184020	mixed up because of some daylight saving time change, which we thought we were on top of,
184020	190500	but evidently not. So give us a few minutes as she manifests herself. Benita, many of you
190500	196180	will know already, but many of you may not. And she's really a rather extraordinary human
196220	205260	being with a multitude of different character traits, skills, assets, interests. It's quite rare
205260	210420	for someone to get deeply into metaphysical philosophy. And by that, I don't mean so much
210420	216020	the metaphysical and the sort of new age sort of irrational kind of philosophy. I mean, more
216020	221540	profoundly in engagement with metaphysics as it's studied in classical philosophy and in
221860	228340	analytic philosophy. And she's written papers on why metaphysics matters. She wrote one of the
230020	235140	one of the most profound chapters in a book released by Perspectiva Press called Dispatches
235140	240100	from a Time Between Worlds. And it was about the idea of metamorphosis. And a lot of Benita's work
240100	245780	is about emphasizing not just the kind of how we have to improve things, but also a little bit
245780	250100	of how we have to allow things to end. Michael, are you showing me signs of life there? Or am I
250100	259620	imagining it? I'm imagining it. Okay. So Benita is also a horse trainer, a farmer. And like Ian,
259620	265940	she describes herself as a Taoist. One of my favorite conversations with her was when she
265940	272740	spoke about the enormous tomatoes that she had in her farm after using some new unsuspecting
272740	277220	variety of manures to make them grow. But she'll switch from that to speaking about
277300	284420	whitehead and heart short and so on. So Benita is a rather extraordinary person and I'm very
284420	293940	much hoping she'll join us in just a second. I'm just noticing I have a problem with my battery.
293940	300020	So if I disappear too, Michael, you'll have to take it up. I think I've got it covered,
300020	305220	but just a second. So I want to start Ian with a question that Bonnie was going to ask you.
305940	311060	She had something else to say first, but I'll let her say that because it's very personal to her.
311700	317380	She was very interested in your subtitle. She wants to understand a little bit more about
318100	321860	after the matter with things, which you might want to remind us why you chose that title.
322820	327780	More precisely the subtitle, our brains, our delusions, and the unmaking of the world. And I
327780	332420	know it took you quite a while to come up with that. But if you can share anything about why exactly
332420	335780	those words and what you're getting at, I know that's one thing Bonnie wanted to ask you.
337380	344420	Well, of course, in choosing the title in the matter with things, I was addressing myself
344420	350580	to the idea that we often have problems understanding elements of our experience because
350580	361620	we thingify them. We see them as things and in essence, many of the things that we think of in
361620	368900	this way, I think a better thought of as adverbs probably, in other words, they are not elements
368900	375300	that we have to pin down or we can find in certain places, but they are ways in which we relate
376020	389540	to everything else that exists. And so the idea would be that you don't look for an entity,
389540	396900	but a web of relationships that allows what this entity is thought to refer to to become real.
396900	403940	It's always a reverberative relationship. And why I chose the subtitle is, of course, it has a
404820	410980	kind of glancing nod towards the subtitle of the master and his emissary. But what I'm talking
410980	417780	about there is that I believe that we've started to use our brains in a particularly limited way.
418740	423060	When I say started, I think we've been doing it now for a couple of hundred years at least,
424100	429780	in which we disattend to whatever it is the right hemisphere is able to tell us and instead
429780	437700	focus on what the left hemisphere would have us believe. And the delusions comes from, as I
437700	444100	demonstrate in the first nine chapters of the book, which are all dedicated to neuroscience.
