start	end	text
0	9360	Thank you so much, Lee. I hope you can all hear me okay. You might be wondering why it
9360	16480	looks like a horror movie here. I'm currently in Kerala, India, with my family, and there's
16480	23320	been a power cut just a few minutes before coming online, which means weirdly the system
23320	28320	preserves certain things like Wi-Fi but allows other things to die like lights. So I currently
28400	32880	have my phone light beaming in on me, which is why you have this effect. So don't be scared.
33680	39040	Do imagine the best and not the worst for me in this context. We are speaking about imagination
39040	45360	today after all. And it's a great pleasure to invite, well, to welcome you all here first of all,
46640	51920	and this is now the fourth in our series of talks with Ian about the
52640	59920	the matter with things. I get confused with that because I wrote a book once
59920	65040	myself called The Moves that Matter, and every so often the two books kind of flip in my head.
65040	70640	This is about the matter with things, and it's the fourth in our series. And we are particularly
70640	76480	interested tonight to speak about imagination. Our prior event was more about sanity, prior to that
76480	83680	about value, and prior to that matters of Ian's work more generally. Tonight we've arranged the
83680	90400	conversation with Phoebe Tekel, whom I'm very pleased to introduce to you all. Many of you will
90400	96000	know her already. Phoebe is, I'll give the formal definition before the informal one, a biologist,
96000	101840	systems thinker, and founder of moral imaginations. It's an organization driving a movement of
101840	108000	imagination-powered activism, placing life back at the center of the economy, politics, and systems
108000	113360	of governance. Phoebe works across multiple societal contexts, and has advised government,
113360	118480	the education sector, and the food and farming sector. More recently she has worked with Camden
118480	123920	Council to train council officers in the skills of collective imagination and horizontal leadership.
125040	129120	Phoebe will speak a bit more about what all of that means, but I can say that I know her
129120	135120	personally. I was also part of a sort of imagination practice that she did with a large
135120	140560	group of people in Berlin a few years ago. So I have firsthand experience of how she evokes and
140560	146800	elicits sort of imagination in large groups of people for the greater good, and it's a practice
146800	152400	that's continuing to develop and be refined as we go. Phoebe is a scientist by background,
152400	159600	like Ian, they have in common this kind of deep spirit of scientific inquiry leading you
159600	164160	beyond science, which I think all the best scientists somehow on the one hand remain loyal
164160	169520	to science and yet somehow move themselves beyond it as well, and I think they share that at the
169520	176640	very least. I think the way I've seen this conversation in outline is that this is a chance for
177200	182320	Ian who's fascinated by imagination and makes it one of his main pathways to truth
182880	189680	in the matter of things, to speak with someone who's working very seriously and in a very dedicated
189680	195600	way to bring imagination, to walk the talk of imagination in practice in civil society context,
196160	200480	where we say we need greater imagination but don't always know how to go about doing it.
200480	205680	Phoebe's actually taking it very seriously and trying to do that, and for Phoebe it's a chance
205680	212560	to get a richer, more full theoretical take on what exactly imagination is and why,
212560	216000	and I believe they're going to explore many things including moral imagination.
217920	223200	So it's a great pleasure to let them speak to each other, and I can release you from the
223200	229440	terror of this image of me with the light and the darkness. I hope to be back for the Q&A
229440	235520	looking slightly more respectable, but until then I welcome the chance to introduce you to
235520	239920	Phoebe Tekel and Ian McGilchrist, and I hope they'll have a great 50 or so minutes talking
239920	244960	between them, and then we'll speak about how to do the Q&A once it starts then.
245760	248160	Thank you all very much, and I'll see you a bit later. Bye.
251920	256960	Ian, is it just me who thinks Jonathan should probably stick to that kind of
256960	263520	intro in the dark with the light? I think it's a marvellous improvement.
265840	269600	So often a negation proves to be extremely positive.
270560	275280	I agree. What better introduction to a session on imagination?
276160	283280	Indeed, indeed. So yeah, you carry on. No, no, I'd like you to fire away.
284000	290240	Okay, so I mean, I wanted to just start by saying that it's not an exaggeration to say that it's a
290240	296480	huge honour to have this conversation, and just to say a big thank you for your work
297840	304640	on reading the master and his emissary, and also the two huge tones which I've got here on my desk,
304640	309920	the two latest books. Massive. I've been using it as a laptop stand, but also really amazing,
310800	317840	really incredible, but really grateful because as I have been reading your work,
317840	324160	what I have been finding is that there is a resonance to the work that goes beyond just the
324160	330560	content. There's a sort of grammar of meaning, and it kind of reminded me of the conversation
330560	335760	you and Zach were having about how meaning and value are so inherent in the universe,
335760	343040	and I really had this sense as I read your book that there is something resonating in your work
343040	350000	that is much deeper than the left hemispheric kind of, oh, that's an interesting fact, and
350000	355120	oh, that's a great quote, and that's a fantastic bit of research. There is something going on
356240	363200	at a deeper level, which perhaps also has something to do with identity,
363760	368640	because actually as a scientist, as somebody who started life in the sciences and felt
369280	378880	profoundly dissatisfied by the scientific route to truth, and really felt that the
378880	385680	sciences as a whole were just quite impoverished as a way to understand reality. As I'm reading
385760	394000	your books, I'm feeling like you've done me and probably many others a huge favour to give us
394000	404160	a stack of research and backing for what that feeling is, the feeling of this can't be all
404160	411360	there is, there must be more, and I found my way from science, how long ago was it, about
411920	416080	seven years ago I left the lab at Imperial College London, finally said, okay,
416880	421600	I love science, but there's something more, and actually if we want to try and address what's
421600	426560	wrong with the world, clearly science and technology don't have the answers, because we've been trying
426560	433840	that route for the last 200 plus years, so there's something else, and I found my way to
433840	438480	imagination, which is obviously the topic of what we're going to focus on today, and I found it
438560	446080	profoundly encouraging that the final chapter of the first volume of the matter of things is
446080	453120	imagination, it feels like you went on a similar path from questioning science as the only
453120	459440	route, science and reason as the only route to truth, to questioning how are we unmaking the
459440	466320	world through perception, through some kind of divorce from reality, because clearly there's
466320	471520	something going on if we're so out of touch with reality, that we're creating the kind of
471520	477600	destruction that we see today, and I'll stop in a second, but one of the other things I found
477600	483920	profoundly satisfying was that you also came to the same conclusion, that imagination is not
484560	490320	a faculty and a capacity that takes us away from the world, it's actually one that brings us
490320	495200	closer to reality, and I feel like this is what I've been trying to say for the last kind of four
495280	500720	or five years when I started the work with moral imagination, I was saying I think imagination
500720	507600	can get us closer to what really matters and what is real, but I felt like I was sounding like a
507600	515680	crazy person, so that's where I want to start, it's just a big thank you really, and I'm curious
515680	522560	to hear any thoughts you've got in response to that. Oh that's a very kind introduction,
522640	527600	and there were so many things in what you said that I would love to pick up on,
529200	536080	I mean one that just comes to mind is the difficulty of articulating the really important
536080	543760	things, and these are the things that don't therefore get adequate treatment into science
543760	551840	and in the discourse of reason, both of which I honor hugely, as I believe you do too, but I don't
551840	558160	accept that they are the only ways of reaching reality or even necessarily the most profound ones,
559120	564080	but they make a very very valuable contribution, and I worry about the way in which sometimes
564080	572800	nowadays people are too ready to disparage either science or reason, so yes, but essentially
573440	580640	it's going to defeat language, because what we're talking about when we're thinking about
580720	592000	imagination is a resonance between ourselves and another, and that other isn't necessarily
592000	601120	well specified, but it's absolutely real, it may be the existence of a phenomenological world
601120	608080	around us, it may be a realm in which the better ways to talk about ourselves are as
608080	617360	embodied souls, but there is here something that language will always bring to the ground
617360	625280	with a great flood, which is in no way does justice to what it is that we're talking about,
625280	630720	so I do think that imagination is central, and that's why in a way I did work towards that at the
630720	637440	end of part one and that section on epistemology, and you'll notice at the end of part two which is
637520	642640	the metaphysics, I have a chapter on the sense of the sacred, which is also another thing you
643840	648560	know from the very word go, it's going to defeat language, but we mustn't be put off by that,
648560	653440	we must stick to our perceptions, and you can have perceptions and you can have insights
654240	658800	without them necessarily having to be explicit in language, in fact all the best ones are not,
658800	666400	which is why we have poetry, why we have music, why we have ritual, why we have narrative myths,
666400	673280	all these things are able to put us in touch with things that importantly need to remain
673280	680480	implicit unless they're going to be degraded by this the common coin of everyday language,
680480	685680	which makes everything similar to something else that we already know, so what are we going to
685680	689520	do about the realm where we're going to find things that we don't already know, because language
689520	694320	only deals with the stuff that we do, unless it works against itself, and you may know that my
694320	704000	first book was called Against Criticism, I wrote it in my 20s, and well anyway yes, I think it was,
704720	711120	it sold about 400 copies and after that was unceremoniously remained, and Faber made a big
711120	722480	loss on it, but the idea there was to argue there was something wrong with the way in which we
722480	729760	conceived academic criticism, which was to take an entity that was living entirely imaginative,
730720	737520	implicit, embodied, and utterly unique, and turn it into something every day that was
737520	743440	general in nature, decontextualized, disembodied, and from which the the magic of imagination
743440	749520	had disappeared, but there was another meaning to the title, which was that criticism could work
749520	755920	if it worked against criticism, in other words, there is a kind of discourse which is aware of
755920	761440	its own limitations and can incorporate them, there is a kind of science that can be aware
761440	767760	of the limitations and therefore not become hubristic about what it can definitely state,
767760	773440	and it's getting into that area where you've neither rubbish something nor said this is our
773440	778160	saviour, this will give us all the story, there will never be the whole story, because I believe
778160	783040	that whatever it is we're trying to contact is essentially infinite, and also of infinite
783040	788880	importance, which gives us a bit of a thing to think about during our lifetime, because we
788880	796640	have a short period in which to make use of this amazing gift, so that's what I'd say in the outset
796640	801760	anyway, how would you, what would you think about that?
801840	810880	Not there, so a metaphor, a couple of things, so the metaphor that I can't remember where it
810880	816480	is in the book, but where you talk about the flat, maybe it's in a quote, the flashlight
816480	822080	and the the fertile dark, biochemist who is talking about how, you know,
822080	828320	Irwin Charakoff, yes, yes, and I loved that, so he was saying, you know, I think people think
828320	835040	that science is about illuminating the darkness, but actually science needs this fertile darkness,
