start	end	text
0	17160	So music metacrisis and metanoia. So what I want to talk about today, it really kind
17160	26920	of comes down to these two ideas. Acrasia and metanoia, two ancient Greek words. And
26920	33280	you see the statue that's related to Acrasia is someone kind of bound in chains and unable
33280	40080	to break free. And then this sculpture, which I discovered online when I was looking for
40080	50280	a counterpart to the sculpture of the man bound in chains, has this kind of quality
50280	56360	of an inner light bursting forth, which I think speaks to metanoia. So I want to look
56400	63920	a little bit more deeply at these terms. So Acrasia is from the Greek meaning without
63920	70280	and kratos meaning power or strength. So it's a lack of power, it's a lack of strength.
70280	79240	And the term Acrasia really means a kind of lack of command of oneself. So this, we see
79240	85280	this when individually when we know what is the right thing to do. Intellectually, we
85280	90920	might think, okay, you know, what's a really important value to me is to be healthy. And
90920	99720	so I don't want to eat too much chocolate. But then we have a weakness of will. And we
99720	103960	go for the cookie or we eat the chocolate anyway, you know, so that's a kind of banal
103960	109240	form of Acrasia, maybe a more painful form of Acrasia might be when we know that we don't
109240	114240	want to lose a temper with people that we love. But in the midst of strong emotions,
114280	121120	we say things that hurt people, you know. And so it's having some understanding, some
121120	125720	intellectual knowledge of what is the right way, what is the wise way, what is the good
125720	131720	way to go. But then for whatever reason, we're not able to adhere to that, we're not able
131720	138440	to be in alignment with that. And so I mean, my sense is that this is a very, when you
138440	142200	understand, you hear this term, there's a kind of familiarity, we think, oh, yeah, I
142240	149200	can see that in my own life, I can see that myself. I feel, I believe at the moment, we're
149200	157760	experiencing a kind of civilization on Acrasia, where our kind of young, nascent global
157920	165720	civilization is collectively going in a direction, acting in ways that I think many of
165800	173040	us sense is not wise. Many of us sense is taking us in an unwise, a wrong direction. And yet we
173040	178920	seem unable to change that, to change course, to do something different. And there's almost
178920	187320	a kind of an inevitability of this unfolding of the Metacrisis. So this is our kind of
187320	194800	predicament that we're in. And the counterpart to that are the journey that we could maybe
195000	200480	make to something different, I think is encapsulated in the term Metanoia. And so Metanoia
200480	209760	comes from the Greek meaning Meta, the Greek term Meta, which means change after or beyond. And the
210040	215960	word new, which means meaning, which means mind or consciousness. So it refers to a kind of
215960	223120	profound change of heart. But it's not just a change of mind, like a kind of shallow kind of
223120	228720	change in the way of thinking or change of opinion. In fact, in the synoptic Gospels, it's the
228720	235440	first word that Jesus says. So the term Metanoia has a really deep history that speaks to a
235440	243000	profound inner revolution and inner transformation. And it relates to one seeing the error of our
243000	250600	ways, but also this kind of profound commitment to go in a completely different direction. And so
251040	261440	if we are stuck in a kind of civilisation like crazy, then one possible solution, if I can use
261440	266320	that word, although it's not the most appropriate word, the response needs to be some kind of
266320	274520	collective Metanoia, some kind of profound transformation. And I want to share with you a
274520	281400	depiction of Metanoia before I say a little bit more about Metanoia. And it actually comes, it's a
281400	287760	somewhat humorous depiction, but it comes from the film Blues Brothers. If you haven't seen the
287760	294080	film, Jake and Elwood Blues, I think Jake just gets out of prison, and then they go back to their
294080	299000	orphanage and the orphanage is about to close and they're running out of money. So they need to kind
299040	303720	of find, find them, they're given this task, you know, like the hero's journey, they have this task
303720	309880	to complete. And they're told to go to church. And Jake's not happy, but he doesn't want to go to
309880	318200	church. I think Jake is John Baluchian, Elwood is Dan Lackroyd. And then you see this kind of
318440	324440	Metanoia transformation that happens as they're in the church listening to music. So I want to play
324480	329400	this for you just now. One, because the music is so wonderful, but it also, it only came to me
329400	334960	after I wrote the essay that we published in Substack, that this is an example of Metanoia
334960	337240	through music. So I'm going to play this for you just now.
