start	end	text
0	17000	So, could I also ask that everybody turns off their video except for the participants,
17000	24000	so that the zoom will record the four participants I'll turn off my video after the introduction as well.
24000	25000	Thank you.
25000	28000	What I'll do as well is I will spotlight.
28000	38000	Once we start I'll spotlight all of the four participants as well so they will be at the right.
38000	41000	Great thank you everyone.
41000	59000	So, yeah, I'd like to introduce a host for this evening Jonathan Rouson, Jonathan will be familiar to many of you, he's appeared on the channel a few times including recently in the fantastic conversation with john vivaki agent in the arena.
59000	73000	Jonathan is a chess grandmaster and philosopher, and has recently written or pulled together and written the introduction for a book on was going to be called a metamodernism reader.
73000	86000	What did it end up being called Jonathan. It's here, and it's called dispatches from a time between worlds crisis and emergence in metamodernity, and I'll explain why that title came to be in a few minutes.
87000	91000	So Jonathan, do you want to ask me.
91000	107000	Yeah David what's going on like what's what we're doing here but talking about metamodernism and rebel wisdom like tell me what it means to you because, you know, not necessarily in great depth but just curious to hear, you know, how did you first meet metamodernism your
107000	116000	first metamodernism meet me in a cross across a bar or, you know the term must have been heard in a conference or you heard someone using it people were getting excited about it.
116000	127000	But I'm curious to know how you came to it, whether, whether it was fondly or in a sort of oppositional position, and how that led to tonight's event.
127000	130000	That's a good question I'd say that I'm.
130000	148000	I don't fully understand it and I feel a certain level of ambivalence towards the concept. I get. I mean it's, it's clearly it's a little bit like game be in a way it seems like a placeholder for something that feels generally right that we need some deeper
148000	158000	information of the, of the postmodern turn. So something in that place sounds right and I like the sound of.
158000	167000	I like the descriptions that are attached to it but I find it kind of slightly ungraspable and very academic.
168000	185000	And I struggle to, I have a sense of what it means and I see some art pieces that I would consider to be metamodern, or at least seem to me to be sort of in that space playing with things in a sort of postmodern way but with a sense of sort of
185000	201000	not, not just in a kind of slightly playful or nihilistic way but pointing towards a resolution, but I don't often hear people in the metamodern space talking about so I, I feel like, I feel like it's a valuable conversation it feels a little bit academic and
201000	214000	to me and so I'm interested in where it meets the real world and yeah and I'm here as a viewer as much as anything to learn more about this, this, this thing.
214000	218000	Okay great well thanks David and we're going to do our best.
218000	227000	It felt similarly to David there. And there are those out there who feel like really metamodernism you need such a clunky term.
227000	242000	I mean metas bad enough modernism is bad enough put them together. You seem to have this kind of gratuitously complex term, which is apparently going to somehow save the world and that seems wildly implausible at some level.
242000	250000	I'll be back up and say that tonight we're going to be speaking mostly the four of us.
250000	266000	I'm Jonathan Ryerson as David mentioned I came into this conversation partly as being one of two editors along with Lehmann Pascal of the book called dispatches from a time between worlds, but I'm delighted to be joined by three friends and colleagues
266000	269000	of sorts.
269000	284000	In no particular order, Lena Rachel Anderson is a philosopher from Denmark she is currently working principally on Nordic building but she has a very illustrious background as a philosopher has written many books.
284000	302000	And principally among them in recent years something called a Nordic secret, which is very much worth your time. She's also written about metamodernity as such a little pamphlet where she gives her own take on what this term means and why it matters to her.
302000	316000	I've never come across in different ways but as a very close confidant and advisor often through Twitter direct message, no less but nonetheless extremely useful for someone who really understands.
316000	325000	Well I think this sort of more academic cultural theoretical side of metamodernism so he's there as my sense checker for when I'm like, am I pushing this term too far.
325000	330000	Does this stack up with what you know of what the other guys think and so forth.
330000	343000	And he's been really invaluable in that process. And then we have last but certainly not least Daniel Gortz who is, I believe coming in tonight as Daniel rather than Hansi.
343000	361000	And of course an important part of the Hansi Freinacht character that has written really kind of almost cult classic texts on giving metamodernism a kind of political edge, linking it to developmental theory in particular, but creating visions for the
361000	366000	sort of political visions for the future that wrestle with the times that we're in.
366000	371000	Initially, I called the Listing Society and latterly the Nordic ideology.
371000	384000	And in the show notes eventually I'll try and twist David's arm to add in links to all of the things I've just mentioned, including a side view essay of Greg's I forgot to make reference to, which is simply called what is metamodernism and why does it matter.
384000	395000	And that's what tonight's about now I should say that each of us come to this question in somewhat different ways we're not by any means a kind of team in any meaningful sense we don't
395000	405000	necessarily view the term in the same way or use it in the same way. And it's not just a terminology there's even ideological differences for the philosophical differences.
405000	417000	But nonetheless, much of that I'm guessing for the audience watching now the rebel wisdom audience and the potential audience online is not as interesting as first of all getting to grips with
417000	427000	broadly speaking what is this thing and why does it matter and then we can get into the divergences of why emphasize this and not that. So that's how I hope to do it and that's why I'm going to go first.
427000	432000	And because I came to this a little bit like David with some ambivalence.
432000	435000	In fact, the title of this book I can share in all candor.
435000	444000	The reason this is called the spacious from a time between worlds and it has metamodernity sort of sprawled onto it. You can see that there.
445000	449000	And so some people call it metamodernity and it was going to be called the metamodern reader.
449000	457000	But what's quite interesting about the history of this term is that by the time that idea came to fruition about three years ago give or take.
457000	468000	And Hansi Freinax influence on the term was so great that people that was almost synonymous metamodernism and Hansi Freinax was they were almost co extensive.
468000	477000	So, to create a metamodern reader look to many of the people we wanted to write for it to be a kind of tacit endorsement of Hansi ism.
477000	485000	And that many people were reluctant to go with that. So then, you know, being the sort of diplomatic, try and keep everyone happy as far as possible kind of guy that I am.
