start	end	text
0	8840	Thanks very much.
8840	14160	Archeology is not just about unearthing artifacts, it's sometimes about unearthing new information,
14160	17200	new photographs, new images in the archives, and these are just sort of a fun series of
17200	22120	photographs that I recently came across in the archives in the Bannoncroft Library at
22120	26160	University of California Berkeley, including my favorite Moevious on his first camel.
26160	28760	I don't know if you can work out the caption there in the lower side.
29720	34560	Some nice work that he was doing as a graduate student in the early 1930s at a site in Israel
34560	37280	called Mugaret S. School.
37280	41960	So as you've heard tonight is the annual Halamel Moevious Junior Lecturer.
41960	45440	Professor Moevious was a distinguished scholar, a curator and archaeologist here at Harvard
45440	46960	University.
46960	50680	He was really internationally recognized as a paleolithic archaeologist, but he did
50680	51680	a wide range of things.
51680	52680	This is really important.
52680	56960	His work ranged from the Irish Mesolithic to the sort of East Asian Lower Paleolithic
57000	61880	and probably most famously upper paleolithic sites such as Avery Patot in southwestern
61880	63400	France.
63400	67880	Importantly, with his appointment here in 1939 as curator in the Peabody and then later
67880	72480	in appointment as a lecturer in the Department of Anthropology in 1948, he was the first
72480	75880	paleolithic archaeologist working at Harvard.
75880	82480	So there's a tie-in here in that the point of me being up here is to introduce tonight's
82480	85600	speaker Dr. Stanley Ambrose, which I'm very happy to do.
85640	87480	The tie-in is twofold.
87480	93680	One, as I just learned, Stan is actually from the same hometown as Professor Moevious, Newton,
93680	99280	right here, attended UMass Boston as an undergraduate, but he was also received as PhD in 1984 at
99280	104000	the University of California, Berkeley, under Dr. Glenn Isaac, who then came here in 1983
104000	107840	as the second paleolithic archaeologist after Dr. Moevious's retirement.
107840	109640	So there's a nice tie-in there.
109640	114440	The other tie-in is that I think like Dr. Moevious and like the sort of mission of the
114440	118880	Harvard Museum of Science and Culture, Dr. Ambrose's research and his research interest
118880	123080	really cut across a wide range of different time periods.
123080	127600	It involves work from a wide diversity of different geographic locations, and it really
127600	131640	embraces a sort of natural science approach to figuring out the past, not just archaeology,
131640	137720	but really embracing a wide variety of different ways of thinking about reconstructing the human
137720	140680	past and the environment in which early humans lived.
140680	145400	So tonight, one part of this, as you'll hear, Professor Ambrose will be discussing the archeological
145400	150960	evidence for the impact of enormous volcanic eruption at Mount Toba about 74,000 years
150960	154680	ago and how this might have impacted human populations.
154680	159560	But what I want you to get a sense of is this is just one small part of what he does.
159560	164040	Really Dr. Ambrose's research interest range from everything from African archaeology from
164040	168040	the Iron Age to quite recent periods to the sort of deepest early Stone Age.
168040	172880	He's done work on Miocene apes, interests in the study of modern human origins more
172880	179120	broadly, paleoecology, human diet, using isotopes in particular, looking at sites from China,
179120	182720	Kenya, stone tool analysis, language, the evolution of cooperation.
182720	186880	The list really does go on for quite some time.
186880	190840	Looking at these topics, answering these questions have taken him to field sites in
