start	end	text
0	11760	Hey, Amade, good to hear you.
11760	14120	It was always a pleasure.
14120	15120	Yeah.
15120	16120	So, where are you today?
16120	17120	I'm in London.
17120	18120	Good.
18120	22960	Other side of the planet, I'm in Santa Monica.
22960	29640	It's been quite the extraordinary game of ping pong out there these last four or five
29640	30640	days.
30640	36160	I didn't think the first thing that AI would disrupt would be reality TV, right?
36160	37160	Yeah.
37160	46880	It's been fascinating how X has become sort of the go-to place to find out the latest
46880	51600	of where Sam is working and what's going on with the AI industry.
51600	55160	Yeah, you found the notifications in the wake, guys.
55160	59320	I mean, it's the thing, like, what else will move at the speed of this?
59320	63320	Like, I was saying to someone recently, AI research doesn't really move at the speed
63320	65720	of conferences or even PDFs anymore, right?
65720	67920	You just wake up and you're like, oh, it's 10 times faster.
67920	70880	So, I think that's why X is quite good.
70880	76840	I actually, like, unfollow just about everyone and just the AI algorithms find the most interesting
76840	77840	things for me.
77840	81400	So, I've got, like, 10 people that I follow, and it's actually working really well.
81400	82400	It's getting better.
82400	85120	Well, it has been.
85120	86960	I've been enjoying the conversation.
86960	93360	It really feels like you're inside an intimate conversation among friends as this is going
93360	94360	back and forth.
94360	102760	I think this entire four or five days has been an extraordinary, up-close, intimate conversation
102760	108440	around governance and around, you know, what's the future of AI?
108800	116200	Honestly, you know, as it gets faster and more powerful, the cost of missteps is going
116200	117960	to increase exponentially.
119960	121960	Let's begin here.
121960	128040	I mean, you've been making the argument about open source as one of the most critical elements
128040	129600	of governance for a while now.
129600	131400	Can you just, let's hop into that.
133080	137080	Yeah, I think that, you know, open source is the difficult one because it means a few
137080	138080	different things.
138120	140280	Like, is it models you can download and use?
140280	143720	Do you make all the data available and free?
143720	148240	And then when you actually look at what all these big companies do, all their stuff is
148240	153560	built on open source basis, you know, it's built on the transformer paper.
153560	161200	It's built on, like, the new model by Khayfouli and Vira1.ai is basically Lama.
161200	165400	Like it's actually got the same variable names and other things like that, plus a gigantic
165400	166520	supercomputer, right?
166520	171800	The whole conversation has been, you know, how important is openness and transparency?
171800	176440	And what are the governance models that are going to allow the most powerful technology
176440	183040	on the planet to enable the most benefit for humanity and the safety?
183040	190000	So, I mean, you've been thinking about this and speaking to transparency, openness, governance
190000	192000	for a while.
192000	196400	Could you, I mean, what do you think is going to be, what do you think is we need to be
196400	197400	focused on?
197400	199600	Where do we need to evolve to?
199600	203080	Yeah, it's a complicated topic.
203080	208840	I think that most of the infrastructure of the Internet is open source, Linux, everything
208840	209960	like that.
209960	216600	I think these models, it's unlikely that our governments will be run on GPT-7 or Baal
216600	217600	or anything like that.
217600	221600	How are you going to have black boxes that run these things?
221600	226000	I think a lot of the governance debate has been hijacked by the AI safety debate where
226000	229800	people are talking about AGI killing us all, and then there's this precautionary principle
229800	230800	that kicks in.
230800	233880	It's too dangerous to let out because what if China gets it?
233880	236080	What if someone builds an AGI that kills us all?
236080	241600	It'd be great to have this amazing board that could pull the off switch, you know, whereas
241600	248320	in reality, I think that you're seeing a real social impact from this technology, and it's
248320	253800	about who advances forward and who's left behind if we're thinking about risk.
253800	259120	Because governance is always about finding, as you said, the best outcomes and also mitigating
259120	261040	against the harms, right?
261040	264800	And there's some very real, amazingly positive outcomes that are now emerging that people
264800	270920	can agree on, but also some very real social impacts that we have to mitigate against.
270920	279280	So I mean, let's begin, how is stability governed?
279280	283920	Stability is basically governed by me.
283920	287640	So I looked in foundations and DAOs and everything like that, and I thought to take it to where
287640	288640	we are now.
288640	292400	I needed to have very singular governance, but now we're looking at other alternatives.
292400	293720	And what do you think it's going to be?
293720	295000	Where would you head in the future?
295000	299600	I mean, let's actually jump away from this in particular.
299600	304040	But do you recommend the most powerful technologies on the planet?
304040	305760	How should they be governed?
305760	307160	How should they be owned?
307160	312840	You know, where should we be in five years?
312840	317400	I think there need to be public goods that are collectively owned and then individually
317400	318720	owned as well.
318720	324840	So for example, there was the tweet kind of storm, the kind of I am Spartacus or his
324840	331520	name is Robert Boulson from the OpenAI team saying, OpenAI is nothing without its people.
331520	337560	Stability, we have amazing people, 190 and 65 top researchers.
337560	342600	Without its people, we're open models used by hundreds of millions, it continues.
342600	346040	And if you think about where you need to go, you can never have a choke point on this technology,
346040	349640	I think it becomes part of your life.
349640	353440	Like the phrase I have is not your models, not your mind.
353440	359480	So these models, again, are just such interesting things to take billions of images or trillions
359480	365120	of words and you get this file out that can do magic, right, trade or magic sand.
365120	370840	I think that you will have pilots that gather our global knowledge on various modalities
370840	375160	and you'll have co-pilots that you individually own that guide you through life.
375160	379440	And I can't see how that can be controlled by any one organization.
379440	386640	You've been on record talking about having models owned by the citizens of nations.
386640	388520	Can you speak to that a little bit?
388520	389520	Sure.
389520	394680	So we just released some of the top Japanese models from visual language to language to
394680	398640	Japanese SDXL as an example.
398640	401560	So we're training for half a dozen different nations and models now.
401560	406840	And the plan is to figure out a way to give ownership of these datasets and models back
406840	408280	to the people of that nation.
408760	413680	So you get the smartest people in Mexico to run a stability Mexico or maybe a different
413680	418840	structure that then makes decisions for Mexicans with the Mexicans about the data and what
418840	420520	goes in it.
420520	424480	Because everyone's been focusing on the outputs, the inputs actually are the things that matter
424480	426600	the most.
426600	430440	The best way I've thought about thinking of these models is like very enthusiastic graduates.
430440	433400	So hallucinations isn't just probably too hard.
433400	437080	A lot of the things about like, oh, what about these bad things the models can output?
437080	439320	It's about what you've input.
439320	444240	And so what you put into that Mexican dataset or the Chinese or Vietnamese one will impact
444240	445240	the outputs.
445240	451400	And there's a great paper in Nature, Human Behavior today about that, about how foundational
451400	453200	models are cultural technologies.
453200	460600	So again, how can you outsource your culture and your brains to other countries, to people
460600	463720	that are from a very different place?
463720	465720	I think it eventually has to be localized.
466080	470240	I think one of the points you said originally is we have to separate the issue of governance
470240	475160	versus safety and alignment.
475160	480920	Are they actually different?
480920	486800	So I think that a lot of the safety discussion or this AGI risk discussion is because the
486800	491640	future is so uncertain because it is so powerful.
491640	495240	And we didn't have a good view of where we're going.
495240	499040	So when you go on a journey and you don't know where you're going, you will minimize
499040	503040	from acts and regret you'll have the precautionary principle.
503040	507280	And then that means you basically go towards authority, you go towards trying to control
507280	511080	this technology when it's so difficult to control.
511080	515000	And you end up not doing much, you know, because there's anything to go wrong.
515000	518080	When you have an idea of where we're going, like you should have all the cancer knowledge
518080	522080	in the world at your fingertips or climate knowledge, or anybody should be able to create
522080	524480	whole worlds and share them.
524480	529600	When you align your safety discussions against the goal, against the location that you're
529600	533920	going to, again, just like setting out on a journey, I think that's a big change.
533920	538680	Similarly, most of the safety discussions have been on outputs, not inputs.
538680	542480	If you have a high quality data set without knowledge about anthrax, your language model
542480	549240	is unlikely to tell you how to build anthrax, you know, and transparency around that will
549240	550240	be very useful.
550240	557600	So let's dive into that safety alignment issue for a moment because it's an area you and
557600	559120	I have been talking a lot about.
559120	565000	So Mustafa wrote a book, Mustafa Suleiman wrote a book called The Coming Wave in which
565000	570480	he talks about containment as the mechanism by which we're going to be making sure we
570480	573200	have safe AI.
573200	578320	You and I have had the conversation of it's really how you educate and raise and train
578320	584920	your AI systems in making sure that there's full transparency and openness on the data
584920	585920	sets that are utilized.
585920	589000	Do you think containment is an option for safety?
589000	592400	No, not at all.
592400	598800	Like a number of leaders say, what if China gets open source AI?
598800	602600	The reality is that China, Russia, everyone already has the weights for GPT-PORC.
602600	606080	They just downloaded it on a USM stick.
606080	609360	You know that there's been compromised, right?
609360	610360	There's no way they couldn't.
610360	612480	The rewards are too great.
612480	619320	And there is a absolutely false dichotomy here and a lot of the companies want you to believe
619320	624280	that giant models are the main thing and you need to have these gigantic, ridiculous
624280	626080	supercomputers that only they can run.
626080	631680	I mean, look, we run gigantic supercomputers, but the reality is this.
631680	638480	The supercomputers and the giant trillion zillion data sets are just a shortcut for bad quality
638480	640600	data.
640600	645160	It's like using a hot pot or sous viding a steak that's bad quality.
645160	648880	You cook it for longer and it organizes the information.
648880	654080	With stable diffusion, we did a study and we showed that basically 92% of the data isn't
654080	660560	used 99% of the time, you know, because now you're seeing this with, for example, Microsoft's
660640	664520	by release, it's trained entirely on synthetic data.
664520	669320	Dali three is trained on RV AE and entirely synthetic data.
669320	670800	You are what you eat.
670800	674320	And again, we cooked it for longer to get past that.
674320	682080	But the implications of this are that I believe within 12 to 18 months, you'll see GPT four
682080	684840	level performance on a smartphone.
684840	686520	How do you contain that?
686520	691080	And how do you contain it when China can do distributed training at scale and release
691080	692800	open source models?
692800	701720	So Google recently did 50,000 TPU training run on their V5 is the new V5 is their TPUs
701720	704840	are very low powered relative to what we've seen.
704840	708240	But again, you can do distributed dynamic training.
708240	715000	Similarly, like we funded five mind and we've seen Google DeepMind just a new paper on localization
715000	716640	through distributed training.
716640	720960	The models are good for fast enough and cheap enough that you can swarm them and you don't
720960	723560	need giant supercomputers anymore.
723560	728480	And that has a lot of implications and how are you going to contain that?
728480	733440	So coming back to the question of do you mandate training training sets?
733440	740440	Do you does, you know, does the government set out what all companies should be utilizing
740440	741440	in mandate?
741440	747600	If you're going to have a aligned AI, it has to be trained on these sets.
747600	750840	How do we how do we possibly govern that?
750840	753680	Look, we have food standards, right?
753680	754680	For ingredients.
754680	759840	Why don't you have data standards for the ingredients that make up a model?
759840	763360	It's just data compute and some algorithms, right?
763360	768080	And so you should say they are the standards and then you can make it compulsory.
768080	771680	That will take a while or you can just have an ISR type standard.
771680	775960	This is good quality model training, good quality data, you know, and people will naturally
775960	778480	gravitate towards that and it becomes a default.
778480	781400	Are you working towards that right now?
781400	787200	Yeah, I mean, look, we spun out a Luther AI as an independent 501c3 so they could look
787200	792960	at data standards and things like that independent of us and the opposite of open AI.
792960	795960	And this is something I've been talking to many people about and we're getting national
795960	800960	data sets and more so that hopefully we can implement good standards similar to how we
800960	804640	offered opt out and how the billion images opted out of our image data set because everyone
804640	806520	was just training on everything.
806520	807520	Is required?
807520	808520	No.
808520	809520	But is it good?
809520	810520	Yes.
810520	812440	And everyone will benefit from better quality data.
812440	816000	So there's no reason that for these very large model training runs, the data sets should
816000	817880	not be transparent and logged.
817880	820680	But again, we want to know what goes into that.
820680	824920	And again, if we have the graduate analogy, what was the curriculum that the graduate
824960	825960	was taught at?
825960	827960	Which university did they go to?
827960	829960	It's something that we'd want to know.
829960	833680	But then why do we talk to GPT-4 where we don't know where it went to university or where
833680	834680	it's been trained on?
834680	837400	It's a bit weird that, isn't it?
837400	845040	What do you think the lesson is going to be from the last four days?
845040	846040	I'm just confused.
846040	848040	I don't know who was against who or what.
848040	849040	I'm going to just post it.
849040	852040	Are we against misalignment or mollock?
852160	856640	I think probably the biggest lesson is it's very hard to align humans, right?
856640	858440	And the stakes are very large.
858440	860440	Why is this so interesting to us?
860440	861920	The stakes are so high.
861920	866520	You tweeted something that was serious and unfortunately funny, which was how can we
866520	872720	align AI with humanity's best interests if we can't align our company's board with its
872720	874720	employee's best interests?
874720	875720	Yeah.
875720	879320	Well, the thing is it's not the employee's best interests.
879320	887680	It's like the board was set up as a lever to ensure the charter of open AI.
887680	893760	So if you look at the original founding document of open AI from 2015, it is a beautiful document
893760	895760	talking about open collaboration, everything.
895760	897920	And then it kind of changed in 2019.
897920	902400	But the charter still emphasizes cooperation, safety, and fundamental.
902400	906000	I posted about this back in March when I said the board and the government structure of
906000	909640	open AI is weird.
909640	910640	What is it for?
910640	911640	What are they trying to do?
911640	917800	Because if you say you're building AGI, in their own road to AGI, they say, this will
917800	919240	end democracy most likely.
919240	920240	I remember reading that.
920240	925840	Because democracy, there's no way democracy survives AGI.
925840	929440	Because either, obviously, it'll be better and you get it to do it or can dissuade everyone
929440	931160	or we all die.
931160	933200	Or it's utopia crap, all right?
933200	934200	Abundance, baby.
934520	940000	There's no way it survives AGI.
940000	942120	There's no way capitalism survives AGI.
942120	945720	The AGI will be the best trader in the world, right?
945720	952640	And it's like, who should be making the decisions on the AGI, assuming that they achieve those
952640	953640	things?
953640	954800	And that's in their own words.
954800	961520	So I think that people are kind of waking up to, oh, there's no real way to do this properly.
961520	967280	And previously, we were scared of open and being transparent, everyone getting this,
967280	969440	which can with the original thing of open air.
969440	975200	And now we're scared of, who are these clowns, you know, and put it in the nicest way.
975200	976880	Because this was ridiculous.
976880	980680	Like you see better politics in a teenage sorority, right?
980680	987840	And it's fundamentally scary, but unelected people, no matter how great they are, and
987840	992880	I think some of the board members are great, should have a say in something that could
992880	998280	literally upend our entire society according to their own words.
998280	1005360	I find that inherently anti-democratic and illiberal.
1005360	1011560	At the end of the day, you know, capitalism has worked, and it's the best system that
1011560	1014080	we have thus far.
1014080	1023440	And it's a self, you know, it's built on self-interest and built on continuous optimization, maximization.
1023440	1031800	I'm still wondering where you go in terms of governing these companies at one level,
1031800	1038320	internal governance, and then governing the companies at a national and global level.
