start	end	text
0	14000	Today we're going to talk about PageRank and a lot you're going to see a lot of stuff on
14000	15500	PageRank.
15500	24000	This was a key invention that led to the founding of Google in the early 90s and I'm going to
24000	26000	give you some mathematical foundations.
27000	35000	I'm also going to talk about extensions like what's called Topic Specific PageRank
35000	44000	or SIPRANKs for finding similar pages, TrustRank and I will explain how web spamming works,
44000	51000	how that search engine optimized companies can try to increase the rank so there's a
51000	55000	huge gap between search engines and these guys.
57000	59000	Let me first start.
61000	69000	Let me give several definitions of PageRank.
69000	71000	I'm going to start with Fluid.
71000	76000	So there's going to be in this course both intuition and mathematics.
76000	79000	A lot of intuition, a lot of mathematics too.
79000	88000	So I'll give multiple ways of Fluid algorithm, random walk and matrix representation all for
88000	90000	the same algorithm.
90000	97000	And then I'll give you some intuition on matrices and eigenvectors, eigenvalues, which maybe
97000	100000	you see hopefully you get good intuition here.
101000	107000	So in a PageRank there's only one value for each web page.
107000	115000	So it's a big directed graph on the web pages and each page has a value that is computed
115000	124000	and the intuition is a page that is important, is pointed to by important pages and an important
124000	127000	page points to important pages.
127000	129000	So that's recursive.
129000	133000	That means there's a recursive iterative algorithm.
133000	139000	First intuition is that it's kind of like a liquid, fluid.
139000	148000	Each web page or node is a container and the links are hives and you start by putting
148000	154000	a little bit of fluid in each of the web pages and then the fluid will circulate according
154000	156000	to some rules.
156000	163000	So if you have one liter, then one of our n liters is put in every page and then you
163000	164000	repeat.
164000	168000	So there's a link from P to P prime.
168000	175000	So each page P has links going out and if there's n links going out, maybe there's only
175000	181000	three links going out, each page, each link will get one third of the fluid.
181000	188000	The fluid is divided between that of links and then the next step, you look at the links
188000	192000	coming in and for each incoming link you take the fluid.
192000	200000	So you see the fluid circulates like that and eventually it converges.
200000	203000	So here's an example of web pages.
203000	206000	So there's eight pages here.
206000	209000	A, B, C, D, E, F, G, H.
209000	212000	There's each page has one eighth.
212000	214000	So now the fluid circulates.
214000	216000	How does it work?
216000	218000	Well look at page A.
218000	230000	So page A has D going in, E going in, H going in, F going in, and G going in.
230000	238000	And so what happens is after one iteration, A has one eighth of a liter which leaves and
238000	241000	all the n links, the fluid comes in.
241000	245000	So D has one eighth of a liter but has two outgoing links.
