start	end	text
0	7000	Philosophy Battle, the most entertaining presentation of philosophy you'll ever find on the internet, probably.
7000	13000	Now, entering the battlefield of metaphysics.
13000	17000	Hey everyone, my name is AJ and welcome to Philosophy Battle.
17000	25000	Before this video starts, I want to make clear this video will introduce ontology, what it is and to what degree it can be relative.
25000	30000	It is after all important to investigate because it matters if there are actual legitimate grounds
30000	36000	as to why someone might say we live in different worlds so you can't support or criticize one another.
36000	40000	Like, how exactly do we live in different worlds?
40000	44000	And how extreme can that claim actually be meant?
44000	50000	But it will actually lead us into an exciting discussion about realism and anti-realism in philosophy.
50000	52000	Trust me, it's gonna be awesome.
52000	57000	It's one of my favorite things to talk about in philosophy, so I may be a little bit theatrical at times.
57000	62000	We will be discussing pre and post Kantian views and well, it can be treacherous grounds,
62000	68000	so if you don't get certain parts or get lost or don't know what's going on, don't worry about it too much.
68000	75000	Just be patient as it could very well be cleared up later and the point at the end will be made pretty clear, at least I think so.
75000	82000	The video is generally covering the discussion as it is presented in a book of a philosopher, Paul O'Grady, a pretty recent work
82000	87000	because I felt his book has a lot of great and interesting battles in it as well as some important lessons for us.
87000	94000	Now, I may end up saying this again a little bit later after I do a sort of recap into the video, so forgive me if this is repeated,
94000	101000	but if you don't care about O'Grady or the larger discussion of relativism I'm having here, that's okay.
101000	108000	You don't have to watch anything else if you don't want to, even if I'm suggesting another video in this video.
108000	118000	Just take it more as a signpost, even an important signpost possibly if you want more information if I suggest other videos at various points, which I will.
118000	130000	I believe this will be a good video regardless for introducing one of the main problems in metaphysics about ontology or even in philosophy itself, so let's start the video.
132000	135000	Ontological Relativism
135000	137000	What is it and why are we talking about it?
137000	146000	Well, ontology is a field of study under the branch of philosophy called metaphysics, so we're doing philosophy and we're having a metaphysical discussion.
146000	148000	A discussion about what though?
148000	156000	Ontology is a discussion about what there is, what kind of things exist in the world and what the world is fundamentally made of
156000	159000	or what kind of properties are a part of the world.
159000	165000	So for example, believing there is only matter in the world that the world is just made up of matter only.
165000	167000	That's your ontological position.
167000	176000	Or if you think the world is made up of ideas, which includes these senses, you know, like the sense of touch and the sense of color, the sense of smells and so on.
176000	181000	All of these just being ideas coming to your mind and so the world is just that.
181000	186000	The world is just made up of ideas and maybe minds that give and receive ideas.
186000	189000	That would be an idealist ontology.
189000	197000	Or even if your view of the world is that there's earth and there's heaven and hell, that too is your ontological position.
197000	201000	A position about what there is in the world, what exists.
201000	206000	Though that has some religious connotations and we're not discussing religious views here.
206000	208000	This is not about religion.
208000	211000	We're just having a discussion about what there is in the world.
211000	216000	And this conception seems to have a view that the world has different planes of existence.
216000	222000	Perhaps for someone it's not about heaven and earth, but about universal forms and particular manifestations of that.
222000	226000	All of these fit within the field of ontology.
226000	234000	So perhaps in some sense, if we can just crudely say epistemology is about knowledge, then ontology would be about the world.
234000	236000	Or reality.
236000	242000	While people may have different views about what the world is fundamentally made of or what kind of structure reality really has,
242000	249000	our question today is about whether the world or reality is relative.
249000	257000	Now we commonly already are relativists about a number of things, not just things like taste in music or preference in Pokemon.
257000	264000	But even in descriptions of physical things, like things being big, such descriptions are known to be relative.
264000	267000	The bird is big compared to the ant.
267000	270000	But compared to the tree, it's not.
270000	273000	The tree is actually big compared to the bird.
273000	276000	But compared to the mountain, it's not.
276000	280000	The mountain is actually big compared to the tree.
280000	281000	And so on.
281000	284000	Big is a relative description.
284000	290000	In fact, if you imagine this self illuminated cube were the only thing in the universe, nothing else,
290000	293000	not even the edges of the screen as you look at it,
293000	298000	then there's no way of knowing if it's big or small.
298000	304000	Without anything to compare it to, calling it big is meaningless.
304000	305000	An empty idea.
305000	311000	And so there's no point here in talking about it like it could even be considered big.
311000	316000	So what if the world, reality itself, is relative?
316000	319000	What if our ontology is relative?
319000	322000	Wait, relative to what?
322000	327000	Well, guess what, we actually came here to the battlefield of metaphysics
327000	333000	just to discuss the power and limits of this philosophic weapon called relativism.
333000	334000	Why?
334000	339000	Because we actually came from the battlefield of the philosophy of science,
339000	344000	where we had encountered some enemies wielding this weapon to extreme degrees.
344000	349000	So because of that, I thought it would be beneficial to come here to the battlefield of metaphysics
349000	351000	just to dismantle this weapon.
351000	354000	To show its power and limits.
354000	356000	So while there are a few books I may cover,
356000	362000	currently I'm covering this topic mostly based on the writings of philosopher Paul O'Grady
362000	365000	in this green book called relativism.
365000	371000	In his book, he covers a variety of different philosophic areas to discuss relativism.
371000	375000	He's not going to be discussing ethics or morals, you know, what's right and wrong,
375000	378000	or aesthetics, like what counts as beautiful.
378000	384000	But he's more interested in cognitive things like truth and reality and knowledge
384000	387000	if even those things can be considered relative.
387000	392000	So after explaining the power of relativism, which is a wickedly powerful weapon,
392000	397000	he then goes on to defend against relativization in two areas.
397000	402000	He battles against relativization on truth and on rationality.
402000	408000	So I made a video covering his first chapter that I phrase as covering the power of relativism.
408000	410000	That's my phrasing though.
410000	413000	And I would really insist that you watch that video,
413000	418000	especially before thinking that one can just offhand dismiss this enemy.
418000	422000	If you think it's obvious or evident that relativism is wrong for any reason,
422000	426000	I put a lot of work into this video and I think you should definitely check it out
426000	431000	because it will definitely pay for any good philosopher who wants to conceptually grip
431000	436000	what the issue really is in order to understand the power of this weapon.
436000	442000	Not just in the sense to be able to dismantle our enemy to point out the flaws in their strategy,
442000	446000	but also as a weapon to be wielded by us ourselves
446000	451000	in order to challenge anywhere that there are baseless assumptions of objectivity
451000	454000	or naive thoughts about what's obvious and evident.
454000	460000	On the other hand, this weapon does have limits that our enemies did not appear to be aware of.
460000	464000	The dangers of thinking everything is relative.
464000	468000	So we already covered the great and totally awesome battle
468000	472000	where Paul O'Grady defended truth against relativism.
472000	474000	And please go check out that video.
474000	477000	It's definitely one of my favorite battles of all time
477000	483000	and certainly has important lessons that can go along with us in our philosophic journey forever, probably, I don't know.
483000	488000	But he did also use a kind of principle of logic in order to make that defense
488000	495000	and so it kind of made sense that in that first chapter he did also talk about whether logic itself can be relative.
495000	499000	So I guess I also therefore thought important to cover that topic
499000	502000	and made a video discussing logic itself.
502000	508000	Logic in the way that philosophers or logicians or kind of I guess also mathematicians know it.
508000	513000	This is looking at formal symbolic logic and really offers a much more in-depth understanding
513000	517000	of what logic is than the common person or lay person does.
517000	522000	It certainly goes beyond the mere rhetoric of political pundits online, for example.
522000	526000	There, however, Paul O'Grady did actually allow relativism
526000	529000	that we did seem to accept relativism in logic
529000	532000	but only in terms of a lower order.
532000	535000	That there seemed to be a higher order and a lower one
535000	539000	in the higher order there still seems to have maintained certain principles of logic
539000	542000	of which hasn't truly been argued for yet.
542000	547000	It will be argued for in that chapter 5, the next battle.
547000	550000	So I wanted to skip to that rationality battle
550000	553000	because I only came here to the battlefield of metaphysics
553000	556000	to discuss the power and limits of this weapon.
556000	560000	Having already covered the power, I only wanted to cover the limits
560000	564000	the places where he defends clearly against relativization.
564000	568000	But I kind of noticed that in that area of rationality
568000	572000	Paul O'Grady does seem to have certain strategies and techniques
572000	575000	that make reference to these previous chapters.
575000	579000	So it would leave something wanting if I didn't at least somehow explain
579000	582000	what's going on in these other areas.
582000	587000	So I thought it important to at least kind of cover what's happening over here
587000	591000	since it is part of his strategy in rationality.
591000	595000	But this video is going to be way different from what I normally do.
595000	598000	You see normally I cite everything I say down to the line
598000	601000	when I'm covering some philosophers writing.
601000	605000	But today I'm not really going to be covering Paul O'Grady that closely.
