start	end	text
0	6000	Relativism. It is one of the most powerful modern philosophic weapons. Its power is immense,
6000	12240	however it can become dangerous if wielded to extreme degrees, by those with insufficient
12240	18560	philosophic understanding. While it can be traced back to ancient times, it is philosophies from
18560	24720	five different great philosophers that are noted to have been imbued into this weapon,
24800	31280	empowering it into the modern philosophic warfare. Relativism is most useful in carving out the
31280	38400	layers of presumed objectivity and the naivety of our old ways. We use relativism now as more
38400	44320	a clear path to being skeptical about all sorts of claims, not just who makes the best pizza,
44320	50640	or even what is right and wrong, but now, even what we may have previously called facts.
51440	56480	And so this weapon becomes incredibly crucial for any good philosophic warrior to appreciate its
56480	65840	power, but equally important, also its limits. And ignoring those limits can create dangerous and
65840	71760	frustrating enemies for us on the battlefield. We must learn to wield relativism to become
71760	78320	good philosophers, to question, to be skeptical of all sorts of claims to objectivity. We must use
78320	85760	it whenever it can be used, but we must also be cautious and not be impatient in our journey to
85760	93200	investigate cases where perhaps it cannot. The limits of its use. So today we're gonna explain
93200	100000	those two things, the power and limits of this tremendous philosophic weapon called relativism.
100800	106000	Which is why we came here to the battlefield of metaphysics in the first place, so we can dismantle
106400	112080	it and see more than merely a blur of all it can destroy, to see that it indeed does have limits
112080	119280	and indeed does become volatile when those limits are crossed. Limits that we will later point out,
119280	125280	if it should be crossed by those on the battlefield of the philosophy of science in particular,
125840	134560	when we get back to the battlefield science, if we ever get back. Anyway, we'll be looking at
134560	140720	the power and limits as explained and set out in this green book, Relativism by Paul O'Grady.
140720	146320	In the last episode we looked at a battle in this red book, Relativism and Reality by Robert Kirk,
146320	152000	because I wanted to make a social point. You see, as it is clearly outlined in all three books I may
152000	157520	want to cover on relativism, including this blue book, The Challenge of Relativism by Patrick J.J.
158320	166000	most find relativism alluring for social reasons. Because we want to be open and tolerant to people
166000	172160	of different perspectives, different viewpoints, and understanding from different political spheres,
172160	178320	different cultures, races, genders, and so on. But if we jump into it, guns ablazing as the
178320	184080	phrase goes, without sufficient philosophical understanding first, one might hastily end up
184080	190480	wielding relativism to an unlimited degree such that one takes the position that everything is
190480	198720	relative. Even truth, yep, knowledge, truth, reality, everything. And that's what we might call
198720	205680	an extreme relativist. So while I personally find those in the pursuit of tolerance, not just noble
205680	212880	but necessary, I present extreme relativism as a terrible strategy in that pursuit. Now it might
212880	217520	sound kind of ridiculous right now, like who would think that say oh I don't know that literal
217520	224160	scientific facts are relative. It does happen though, it did happen, and probably it still will
224160	230880	happen. But we will explain in this video how this weapon appears to become even that powerful
230880	237840	as wielded by sophisticated relativists, with seemingly good reasons. In any case, Robert Kirk
237840	243440	in a section of that red book that I have here took an unsophisticated version of that extreme
