start	end	text
0	12400	Okay, well, thank you all for coming. I'm John Dupre, as it says on the board. I'm
12400	20040	physically here from the University of Exeter. So, let me start off with a very kind of general
20040	26200	comment about the kind of thing that I'm doing. Actually, as a sort of background, a lot of
26200	33120	people I work with call themselves nowadays philosophers of science in practice, which
33120	37400	sometimes means philosophers of science in practice, and sometimes means philosophers
37400	45000	of science in practice. But either way, people are supposed to be doing something relevant,
45000	52400	connected to science. And I have to say, some of my colleagues sometimes will say, metaphysics,
52400	56400	what's that? Why do we care about that? I thought we're supposed to be concerned with
56400	62400	science and engage with science. Well, so I would just start off by saying that I think
62400	69240	there are many reasons in my mind for being concerned with very general, very abstract
69240	75160	accounts of what we're talking about when or what indeed science is talking about. And
75160	82280	so I'm interested as a philosopher of biology, which is my sort of primary job description,
83160	89560	giving or offering at least a very general account of living things. And I think that
89560	98040	this is really important for biology, that this is in my way of doing things, it's supposed
98040	102840	to be what we sometimes call a naturalistic account. That's to say, a metaphysics grounded
102840	108840	in the science, but also one that feeds back into the science. So we look at, we try and
108880	113520	find out what the world looks like from the point of view of the best science we're currently
113520	118680	doing. And then we might ask whether some bits of science need to pay more attention or perhaps
118680	127680	are using a kind of an outdated or not very defensible view of their subject matter. And
127680	134880	we could perhaps set them back onto the path of truth and goodness and beauty. And I guess
134920	142280	another, you know, apart from all that, as this quote from a much maligned 20th century
142280	149080	philosophy of biology, Joseph Henry Woodyer says, you can't avoid it. You can't do science
149080	154000	without a general picture of what you're talking about. And the general picture of what you're
154000	162680	talking about is what I call metaphysics. Okay. So, so I think there is a constant interaction
162720	170600	between metaphysics, ontology, what there is, what exists, and empirical science. Okay.
170600	176560	So let me just start off with a very brief bit of history. The topic I'm talking about is a
176560	184000	really ancient one that goes back to the pre-Socratic Greek philosophers at least. And here are two
184000	191600	kind of archetypal figures from that period. Parmenides, who is famous for saying change is
191720	200800	an illusion. There is everything is just what it is, and stays that way. And, you know, we kind of
200800	206680	from our very limited perspective, see all kinds of things happening. But really, you know, from,
206680	213160	from a broader point of view, there is just the way things are. The complete opposite view perhaps
213160	219800	was expressed by famously by Heraclitus, the sort of patron saint of process philosophers who said
220080	227200	something like, nothing endures but change. There is only change. And this is, I guess, you
227200	233880	will realize the view that I think at least some version of which I would like to commend to you.
233880	243560	Now, of course, I just say change is an illusion is probably not a very fair, you know, certainly
243560	250520	for a philosopher of science in practice is not a very fair characterization of the alternative to
250520	259600	process metaphysics. So, perhaps we should go rather to Democritus, who allegedly said, nothing
259600	266520	except exists, except atoms and empty space. Everything else is opinion. So, why is this,
