start	end	text
0	18240	If we took a poll among professional teachers of philosophy on the question, who is the
18240	22920	most important living philosopher, it's not at all obvious, to me at least, who would
22920	27520	get the most votes. But we can be fairly sure about some of the names that would be in the
27520	34120	top half dozen. Quine, Popper, Jean-Paul Sartre, Chomsky probably, though strictly speaking,
34120	38640	he's not exactly a philosopher. Well, the first of those names, and one on which I'd
38640	43680	lay pretty short odds, is that of Willard Van Orman Quine, one of the professors of
43680	49920	philosophy at Harvard. Quine was born in 1908 and is still highly productive, so he's had
49920	55000	a long career, and it's by no means over yet. He's published innumerable articles and
55000	59960	over a dozen books, the best known of which are From a Logical Point of View, published
59960	68120	in 1953, and Word and Object, published in 1960. First and foremost, he's a logician,
68120	72440	and the original contributions to the subject which made him famous are for the most part
72440	77280	highly technical and not really accessible to the layman, though they always had their
77280	82520	ultimate roots in problems fundamental to philosophy. However, in the latter part of
82520	88360	his career, he's become more overtly interested in philosophy in a more general sense, and
88360	92720	I thought it would be uniquely valuable in this program to have a philosopher at the
92720	99560	very summit of world reputation talking about the basics of philosophy and of his own activity.
99560	105760	Professor Quine, what do you regard as the central task or tasks of philosophy?
105760	113200	I think a philosophy is concerned with our knowledge of the world and the nature of the
113200	121200	world. I think a philosophy is attempting to round out the system of the world as Newton
121200	126880	put it. There have been philosophers who have thought of philosophy as somehow separate
126880	136160	from science and as providing a firm basis on which to build science. But this, I consider
136160	142920	an empty dream, science, much of science is firmer than philosophy is or can even perhaps
142920	148720	aspire to be. I think a philosophy is continuous with science even as a part of science.
148720	153880	Well, if it's continuous with science and even part of science, how does it differ from
153880	162720	the rest of science? It differs in generality and in abstractness. Science is a continuum
162720	169680	extending from history and engineering and at one end, if we think of science broadly,
169680	181760	to such abstract pursuits as philosophy and mathematics at the other. Philosophy considers
181800	189560	the question of the nature of cause, for instance, where physics contends itself with finding
189560	196000	causal relations between specific sorts of events, biology between other sorts of events.
196000	202320	Again, whereas the zoologist will tell us that there are wombats and the physicist will
202320	207520	tell us that there are electrons. The mathematician will tell us there are no end of prime numbers.
207520	212320	The philosopher is interested rather in what sorts of things there are altogether. In these
212320	216720	ways that philosophy is more abstract in general. In other words, the philosopher is investigating
216720	221760	what constitutes the connective tissue of everyone's thoughts, including other people's
221760	227760	thoughts, so that the physicist is trying to find out whether or not A causes B, but
227760	233280	the philosopher is saying, but what does it mean to say that anything causes anything?
233280	238960	The physicist is trying to find out, say, what particular subatomic particles there are and
238960	244240	the philosopher says, but what does it mean to say of anything that it exists? It's at this
244240	250280	level of complete generality that the philosophers' investigations occur. Is that right? Now, do
250280	257960	you include in this or do you exclude from it the age-old questions of how the world
257960	265080	got here in the first place or how life began? I exclude these from philosophy. How the world
265080	270280	began is a problem for the physicist and astronomer, and of course there have been conjectures from
270280	276120	that quarter. How life began is a problem for the biologist on which he's made notable progress
276120	285000	in recent years. Why the world began, why life began, on the other hand, I think, are pseudo
285080	291320	questions, because I can't, I can't imagine what an answer would look like.
291320	296440	And you think that because there is no conceivable answer to these questions, they are meaningless
296440	303480	questions. Yes, yes, yes. So in other words, you regard the central tasks of philosophy as the
303480	310200	analysis and elucidation of concepts that are central to various fields of human activity,
310200	317080	and also, in particular, notions like what it is for something to be a cause of something else,
317080	322920	what it is for something to exist, what it is for something to be, shall we say, a scientific law,
322920	328040	the most general notions that are, as it were, the connecting tissue of thought and that we
328040	333800	have to use and have to employ in the specific activities that people like scientists, or I
333800	338920	could even be politicians, lawyers and so on, are engaged in. Is that a correct way of putting
338920	344280	your view? Yes, yes, I would agree with that. Do you think that the main or the most important
344280	350440	questions that philosophers have to deal with can be grouped under any particular headings?
351320	357160	There are two headings, which I think provide an important classification to begin with.
357960	361080	There are the ontological questions, as they might be called. Well, I think you'll need to
361080	366760	explain that term. These would be questions as to what there is, the general questions,
366760	371720	as to what sorts of things there are, as well as the question of what it means to exist,
371720	381320	what it means to exist, for there to be something. And the other classification, the other class,
381320	387320	would be, might be called the predicated questions. Questions as to what sorts of things can
388120	393720	meaningfully be asked about what there is. In other words, you've got two enormous spheres
393720	399480	of questioning here, one about what there is, and the other about what we can know about what
399480	404600	there is, or what we can say about what there is. Yes, and epistemology would be included in the letter.
404600	409320	Yes, yes, yes. Now, I think since you've made this distinction, for clarity's sake, in our
409320	414440	discussion, we ought to cling to it a little, and I think we'll take these two areas one at a time,
414440	421480	and we'll take your first one first, the whole group of questions about what there is, what exists,
