start	end	text
0	19800	So this, thank you very much Fedor, actually Fedor did not mention that he wrote the index
19800	23400	for one of the books based on the podcast, or at least one of them, maybe more than one
23400	29960	of them, and we know each other for a long time, so it's great to be here at his invitation.
29960	36800	This indeed is going to be a presentation of some of the work I did in this ERC project,
36800	43160	especially together with one of the then postdocs who's now at Fordham University named Blyosoma,
43160	50880	and it's about a philosopher theologian named Fahradin Arasi, who lived in the 12th, just
50880	56160	barely into the 13th century, and what he thought about animals.
56160	64600	The payoff of the talk is that he thought that animals can be rational or intelligent,
64600	69280	depending on how you want to translate the key term, which is a very surprising thing
69280	74120	for someone to have thought in the 12th century.
74120	79560	Just think about the fact that in the Aristotelian tradition, it's very common to just define
79560	85840	human as rational animal, implying that all the other animals are non-rational.
85920	92160	That's maybe a definition they just kind of throw around without thinking about it very
92160	96840	much, but it is also something that they seem to be committed to.
96840	104360	In this talk, I'm going to present that idea, the sort of orthodox view, that only humans
104360	110320	are rational, why they might have thought this, and then I'm going to talk a little
110320	117000	bit about a philosopher who's the immediate context for understanding Fahradin's position,
117000	121720	who's the most important philosopher of the Islamic tradition named Ibn Sina, maybe more
121720	126600	famous under the name of Avicenna, and the reason I need to talk about him is that it's
126600	132520	really to him that Fahradin is responding when he makes this argument that animals can
132520	134960	also be rational.
134960	140520	But first, let's start with the conventional, or orthodox view, and of course we have to
140520	145080	start with Aristotle as so often.
145080	147560	Aristotle has a lot to say about animals.
147560	154720	In fact, one of the kind of mysterious things about ancient philosophy is that Aristotle
154720	162760	writes this vast corpus of works on zoology, so we've got the parts of animals on the generation
162760	170000	of animals, on the motion of animals, history of animals, and unlike other works of his
170000	176480	on logic, on physics, on the soul, on metaphysics, on ethics, these works don't receive any commentaries
176480	177480	in late antiquity.
177480	183920	In fact, there's no Greek commentary on any of his zoological works until the Byzantine
183920	190680	period when a group of commentators who are gathered around a queen, or at least princess
190680	196120	named Anna Komnena, decide to write commentaries on all the texts by Aristotle that haven't
196120	198680	already been commented on in antiquity.
198680	204840	So this is a kind of underappreciated feature of Aristotle's corpus in antiquity.
204840	210160	In the medieval period it gets some attention in Latin, especially from Albert the Great,
210160	212000	the teacher of Aquinas.
212000	216920	So he writes about zoology, he also writes about botany, he was a very intrepid natural
216920	223760	philosopher, did things like repelling down cliffs to look at nests of birds.
223760	224760	Very cool.
224760	227960	They don't call him Albert the Great for nothing.
227960	235120	But it's also true that the zoological works are quite valued in the Arabic tradition.
235120	239360	So they were translated into Arabic, they were translated as a single work, just called
239360	244360	a hayawan, so animals, that's just one big text.
244360	248640	And they were known to people like Ibn Sina, Ibn Rushd and so on, Ibn Sina actually writes
248640	252080	a work of his own on animals that's kind of based on it.
252080	258000	So Aristotle's absolutely a fundamental source of information about animals.
258000	261560	And the information is often quite detailed.
261560	267480	So the anatomy of animals, the way that their embryos look, the way that they move, like
267480	271880	the difference between flying animals, four footed animals, two footed animals, what do
271880	275600	they eat, where do they live, and so on.
275600	282320	History of animals also has some information in it, which is a little bit fanciful, like
282320	286560	animals healing themselves by deliberately eating certain herbs or things like that.
286560	291000	But by and large, Aristotle's observations of animals are very impressive.
291000	298240	He himself did dissections of animals, often of marine life, and he described many, many
298240	300960	animals and animal structures for the first time.
300960	303800	So the dude is really into animals.
303800	307640	Okay, that's what I'm trying to communicate to you here.
307640	315240	And in fact, I would say it's really amongst his most amazing achievements is his empirical
315240	317600	work on the animal world.
317600	326760	Yet, in some sense, he rates animals kind of low in another respect, namely that he doesn't
326760	332320	really ascribe to animals very high cognitive powers.
332320	341320	In particular, he draws a really kind of rigorous divide between humans on the one hand who
341320	348440	have the capacity for reasoning and what he calls a noose, which means intellect.
348440	352880	So we've got humans on the one hand, and we've got animals on the other hand who only have
352880	359480	animal souls and are capable of sensation and motion.
359480	361360	So in other words, they can move around.
361360	365760	That differentiates them from plants, because plants can only engage in the powers of the
365760	366760	vegetative soul.
366760	367960	In other words, the plant soul.
367960	369240	So that's kind of tautologist.
369240	375260	But what that would mean is the ability to reproduce and the ability to engage in nutrition.
375260	377280	So plants can take in food and water.
377280	378360	They can make more plants.
378360	379760	They can reproduce.
379760	381840	Animals can do those things.
381840	383160	They can also perceive.
383160	385720	They can also move around.
385720	390920	But only humans can think rationally.
390920	396680	That's something that we share in common with God, which is not an insignificant fact.
396680	399000	So there's something divine about humans.
399000	405120	At the end of the ethics, Aristotle says that the life of philosophy is almost more than
405120	409040	human, because it allows us to partake in divinity.
409040	413840	So even for all that he has a lot to say about animals and for all that he was extremely
413840	420720	interested in them, he still draws this very hard and fast divide between non-human animals
420720	425640	on the one hand and humans on the other hand.
425640	430600	Something else that we're going to see is going to be important is that he says that
430600	437900	the mind, the human mind, does not have a bodily organ through which it is exercised.
437900	442780	So he does not think that you're thinking with your heart, well, he doesn't think you're
442780	445780	thinking with your brain, because he doesn't think the brain does very much.
445780	449300	He thinks it's a kind of cooling element in your body.
449300	453100	But also he doesn't think you're thinking with your heart, even though your sensation
453100	457780	and some of your other cognitive powers are seated in the heart, like probably your imagination
457780	460660	is seated in the heart, but not your mind.
460660	466780	Also your intellect, noose, is exercised without any bodily organ.
466780	471700	And later philosophers, and we're going to see this in Sinai, later philosophers thought
471700	477700	that this is a sign that Aristotle would believe that you can survive the death of your body,
477700	481380	because if you don't need a bodily organ to think, then why wouldn't you be able to keep
481380	487180	thinking after you die?
487180	492900	Now here's a question that people, I think, don't ask themselves enough.
492900	496060	Why in the world would Aristotle have thought this?
496060	502100	Why would he think that animals can't think, or can't engage in reason or intellect?
502100	505820	After all, animals do all kinds of problem-solving.
505820	510620	They build amazing things like webs and nests.
510620	515980	We're going to see later on that this is important for Fahddin, they even apparently
515980	522660	can do geometry, think about beehives, perfect hexagons that tessellate, I wouldn't be able
522660	525220	to build something like that.
525220	527860	So animals do all kinds of amazing things.
527860	532740	And if there's anyone in the entire ancient world who's extremely aware of the amazing
532740	539140	things that animals do, it's Aristotle, as I just said, due to superintent animals.
539140	545540	So why does he think that animals fall not just below humans in this respect, but why
545540	549900	does he see this very striking difference between animals and humans?
549900	553220	Well there's maybe two reasons.
553220	556500	One is that animals are not capable of language.
556500	561940	So he may have a very strong connection in his mind between rational thinking and language,
561940	564980	especially if you think about the Greek words involved here.
564980	570940	So the word for language is logos, and that's also the word for reason, or the word rational
570940	573060	is logike.
573060	578220	So there's a very strong drive, even through the Greek language itself, to associate reasoning
578220	580460	with language.
580460	581940	That's one thing.
581940	588340	Another thing is that he may have quite a narrow understanding of what intellect or reasoning
588340	590980	actually involves.
590980	595580	If you think that what it means to engage in intellect or reasoning is something like
595580	601940	to engage in abstract thinking about general features of the universe, and that does seem
601940	606020	to be what he thinks is a long story, what he thinks intellect is, so we don't have time
606020	607020	to get into.
607020	609340	We can talk about that in the Q&A if you want.
609340	614140	But if it's something like that, abstract thinking about general features of the universe,
614140	619100	then it's actually quite plausible to say that animals don't do that.
619100	621480	Basically animals don't do philosophy.
621480	624220	So that's why we should say they don't engage in reasoning.
624220	627620	Of course most humans don't engage in philosophy either.
627620	630420	So there's us.
630420	635780	So the people in this room are better than animals.
635780	642300	Whether everyone else outside the room is, I mean it's a university, but there may be
642300	647180	this kind of elitist attitude that all of the non-scientists, non-philosophers are kind
647180	650180	of like cows.
650180	655500	And this is something you see again and again actually in the later history of philosophy.
655500	660980	For example, Ibn Rushd or Averwes, the great medieval Muslim commentator on Aristotle,
660980	671180	says at one point that most humans are human in name only because they don't do philosophy.
671180	676300	And this actually is not an unimportant, I mean it's kind of funny, but it's also got
676300	677980	a very dark side.
677980	682540	So when they discovered the Americas, they were like, well these people don't do philosophy,
682540	685740	so we can basically treat them as if they were herd animals.
685740	691500	So this is not unimportant, this feature of Aristotelianism.
691500	694380	So that's Aristotle's position.
694380	699420	We don't need to put the blame for all of that on Aristotle, but he sort of kicks off
699420	701820	this way of thinking about humans and animals.
701820	704220	And for the most part other ancient philosophers agree.
704220	711900	So in particular the Stoics agree, and the Platonists maybe agree sometimes.
711900	715740	So there are exceptions, and they come mostly in the Platonic tradition.
715740	722260	In particular there's a second century philosopher who's a Platonist named Plutarch, and a third
722260	727060	fourth century philosopher named Porphyry, who is the student of Plotinus, the founder
727060	730900	of Neoplatonism, if that means anything to you.
730900	736620	Porphyry wrote a work using some material from Plutarch in which he argues explicitly
