start	end	text
0	7280	They not only doxxed the correlation between my principal identity and Beth Jesus, but the voice doxxed me.
7280	10800	I didn't want to talk to them, but then they're like, look, this is going to really come out.
10800	13600	I'm like, all right, well, I better try to control the narrative.
13600	16480	I thought there was a sort of like ethical protection.
16480	20880	Like, no, I've been trying to figure out, like, why did this happen to me?
20880	28880	Like, where did I cross the threshold of becoming enough of a problem that they needed to have leverage over me and expose me?
29680	36880	Our movement is about free speech, freedom of compute, freedom of AI, and not, like, top-down oppression.
36880	39120	I have failed, honestly, and apology to you two.
39120	40400	We both, you failed.
40400	42240	I don't know why you're talking to them.
42240	43520	Do not talk to journalists.
44960	47200	I said, don't talk to journalists.
47920	49840	You do not try to violate this rule.
50400	51520	You will regret it.
59760	61360	Welcome back to the pod.
61360	67760	We have the, we've got, are we saying Beth Jesus or where are we going with this?
68480	70240	You could call me both names.
70240	78080	I go by both names now, Beth Jesus or Gil Verdon in America, Guillaume Valdon in Canada and France, if you will.
78080	87040	So finally, after it's been honestly too long, the legendary biology doesn't even get a,
87120	88960	does not even need a second name.
88960	91600	It's like, you know, Madonna or who are the other ones?
91600	92160	I don't even know.
92160	93760	And you might be like, I guess.
93760	94160	Teal, I guess.
94160	99360	Well, I, you know, it's not quite, it's not, it's biology.
100400	101440	We are here today.
101440	103200	This is, I'm stoked about this episode.
103200	104080	This is going to be a great one.
104080	104880	And both of you guys, thank you.
104880	106080	You're on a different time zone.
106080	107760	It's been a while setting this up.
109200	112960	But biology and I have been talking about, and biology, I mean, separately from each other,
112960	119680	but also together, media and the shape of media for years through like tech dark ages,
119680	125120	back when we had no counter voice whatsoever, up until today where I think things are still
125120	128640	not balanced, but very different than they were three years ago, certainly during COVID.
128640	133920	And before that, Gil, you were, I'll just break it down.
133920	141520	I mean, so Beth Jesus, kind of popular anonymous account on Twitter, you run something called
141520	150640	the EACC, which we'll get into in a bit or Yak doxxed by Forbes, Emily Baker White of Forbes,
150640	156400	in concert with Alex Conrad, which is an important part of this story because Alex,
157040	160000	it's important to me at least, and I want to talk about it with both of you guys in a minute,
160000	161920	because Alex is so influential in tech.
161920	163440	I mean, he runs the Midas list.
163440	164160	Everybody knows him.
164160	165360	Everybody talks to him.
165360	167200	And that is a problem.
167200	169120	And, and I do want to get into it.
169120	175120	But long story short, these guys hit you up or Emily hits you up and she's got your,
175120	176400	she's got your real identity.
176400	181120	So you've been writing anonymously about EACC for what about a couple of years at this point,
181120	185200	when this happens, have a little bit of a community.
185200	188720	I would say I'm going to kind of characterize what I think you guys do.
188720	191600	And then you can come in here and give me the real version according to you.
192240	197200	I think you guys were memeing about the future and you're definitely counterpointing the EA stuff.
197200	203200	You're sort of like cleverly cutting against the doomer narrative in a fun way.
203200	205600	I've always seen it as very like lighthearted.
205600	211440	I've noticed this week, the EA crowd has been very personally aggrieved by you.
212000	213520	And it gave me a giant question mark then.
213520	219040	I was like, why is, why is the media gone to, to war against you?
219040	220000	I have a few theories.
220000	225680	I'd love to hear apology, your theory especially, because I'm sure you have one at this point.
225680	226320	Sure.
226320	232080	Your link Gill to Mark Andreessen and Gary Tan specifically seems to me
232080	236000	like the reason that you became something that needed to be destroyed and shamed.
237680	238960	So that's my version of events.
238960	242080	You know, EACC born, you represented.
242080	249360	It's a positive, futurist, anti-doomer, pro-progress, pro-AI specifically kind of movement.
250400	253920	You are, they think sass needed obviously doesn't work out that way for them.
253920	255120	You're much more popular now.
256560	260320	Hans to talk about what first things first, like what is your version of those events?
262000	262320	Yeah.
262320	268880	I mean, for me, it was, it was a crazy Friday and it's been a crazy couple of days since then.
268880	273280	I'm like halfway across the world right now and undisclosed location that is not China.
274640	276880	And, you know, on a business trip.
276880	279680	So I'm still, you know, doing, doing what I do.
279680	280400	I'm entrepreneur.
281440	281760	Yeah.
281760	285680	Originally, basically I get a text from like investors.
285680	291360	So, so first of all, I, you know, I came, you know, as, as I was doxed, you know, I came from
291360	296480	Google X, you know, I worked on projects with the leadership there very closely, you know,
296480	297600	very secretive projects.
297600	300080	I was used to sort of secrecy as my baseline.
301280	305840	And to some extent, like spending years, see, super secretive.
305840	307920	You can't talk about what you do and so on.
307920	308960	It's kind of a burden.
308960	311120	And that's originally how I started.
311120	316080	Beth Jesus was just like, as an outlet for me to communicate with people about stuff and just talk.
317360	320080	And, you know, I've kept that, that account since then.
321280	324400	But, you know, I had a startup as well that was not doxed.
324400	333040	Like these, they not only doxed the correlation between my principal identity and Beth Jesus,
333040	339680	but they correlated my principal identity, my current company, and even they traced through,
339680	341040	you know, name changes of the company.
341760	343920	They even like went through my Facebook.
343920	347520	They went, the voice docs me, they just correlated everything.
347520	352400	It was like a full, like, you know, full definition.
352400	355680	When they punched your identity, it was like something out of a spy movie.
355680	357120	They went in on you.
358320	360480	They really threw resources at this.
360480	360800	Yeah.
360800	364960	Like, I mean, for me, you know, like, I think like, you know, I believe what I, I believe
365760	369120	large majority of what I say is Beth, sometimes it's kind of like, you know,
369120	372960	meta-ironic, you know, extreme posts as one does on Twitter.
372960	376560	But like most of it, you know, like I'm all in, like I don't mind like,
377840	381200	you know, backing, you know, using my main identity back, what I say with,
381200	383520	what I have said with Beth.
383520	388800	But to me, it was like, hey, I didn't give you the right to disclose like that I'm doing
388800	390560	this like deep deck startup as well.
391200	393200	You know, I mean, some technologies.
393200	394080	Have the right there.
394080	394640	This is a thing.
394640	398400	It's like, this is the whole thing for me watching this is, this is,
399040	401360	this is not the first time that the press has done this.
402320	403840	This happens often.
404400	408240	And it's, it's, this question of rights comes up.
408240	410240	It's like, we can do this, they say.
410240	411200	It's like, yes, you can.
411200	413120	But the question is like, is it ethical?
413120	414480	What kind of world do you want to live in?
415600	421200	And obviously from where I'm sitting, it just seems the purpose of revealing your identity
421200	426480	is to scare other people who are sharing their opinions in this space,
426480	428240	anonymously from doing so.
428240	432160	They, it's a, it's a, it's a, it is a strategy to chill speech.
432160	434960	I don't have to worry about speaking for the most part within reason.
434960	435840	It's way easier for me.
435840	438400	I don't run a tech company in stealth.
438400	440880	I work for Peter Teal at Founders Fund.
440880	443040	And on the pirate wire side, I run my own business.
443040	446480	It's like there, I am, and the business is speaking.
446480	448880	It's like, it's, it's easier for me to do it.
448880	450000	For someone like you, it's harder.
450000	450640	They know that.
450640	453360	And the point is they want to kind of take you off the map.
453360	453760	Apology.
453760	457680	Why do you think, I mean, do you have any, you can take this anywhere you want.
457680	459840	Obviously you might have something you want to share in particular,
459840	461920	but I would really love to know kind of like what you think,
462720	466800	what you think the motivation behind this specific targeting was.
468400	472880	So, my views on this have somewhat evolved.
473280	481200	Fundamentally, the journalists are, are tribe and they're a sub tribe nowadays of
482080	486800	the overall, you know, whether you call it the regime, the paper belt, the cathedral,
486800	491760	the establishment, the deep state, what have you, that is a set of people.
492480	495520	And it is a group of people that is, you know, FUBU,
495520	498880	you guys remember FUBU from the nineties for us bias.
498880	499600	Okay.
499600	504320	So, like the regime is nationalist for the regime.
504320	507040	You know, it's like to first order, you could say it's Democrats,
507040	509280	you could say it's deep state, you could say a cathedral.
509280	511840	There's like a lot of different names for this, which are all overlapping.
512400	515840	But basically, if you take the whole social network of, you know,
516400	520320	eight billion people in the world and 300 million Americans and so on and so forth,
520320	523360	this is a sub graph in the social network that's densely connected.
524000	527920	And it's sure unless it's professors, it's regulators, it's bureaucrats and so on and so
527920	533040	forth. And everybody who is not them is an enemy.
534640	543120	And that means that they're at simultaneous war with tech, with Trump, with China, with Russia,
543120	548400	with India, with Israel, like, and you can, some of these there are more at war with than others,
548400	551840	right? They don't like India very much, but they're like somewhat fighting it.
551840	554880	They don't like Israel very much, and they've got some outlet, right?
554880	559840	But basically, once you look at it as a giant social network in different colors of subgraphs,
560880	568000	the journalist, you know, like blue subgraph is at war with within America,
568000	573200	the red subgraph and the gray or tech subgraph, right? And so that's like the first order,
573200	579680	like visual of the whole battle space. It's not, this is not like a discussion.
579680	584480	This is not like a normal story. This is information warfare of one tribe versus another.
584560	591600	This is meant to harm you. And even if this first one is just like a tracer bullet,
592400	598640	or like a flare to sort of light up the position, right, then subsequent kinds of things may or may
598640	607040	not be so positive or would have, right? And so that's like first is basically, it's not a,
607040	612080	it's not a positive thing to go and dock somebody against their will. You do not do that to a friend,
612080	617200	right? You do not do that to somebody who you mean well to. You don't stalk them for months.
617200	622560	And, you know, basically in your, in your, and you know, correct me if I'm wrong, Guillaume,
622560	628000	but they basically gave you, you know, they told you they had all this dirt on you and they're like,
628000	632960	well, you better speak with us or else, right? Yeah. Yeah. Yeah. Like I got a text from investors
632960	638640	the night before from, I think it was Alex Conrad told investors like, oh, hey, I correlated
638640	643680	Beth J. Zos and Guillaume. I think he's a portfolio company. They had the old name of my startup. So
643680	650720	I changed the name of my startup for further upsec and for branding eventually. But the,
650720	656960	they hadn't put it all together. And then they censor fused across reporters, like, and then they
656960	661760	had much more, they had too much put together and they wanted to, they were going to put it out,
661760	665680	right? And then so the morning I was like, look, this is going to come out. You have a chance to
665680	672080	give a comment. Like it's, it's happening, whether you like it or not. And for me, I had like two
672080	677760	things. One of them was like, okay, well, how do I, I just went in damage control, right? Like,
677760	682720	I mean, I've, I'm building stuff that I really believe in. I've been wanting to build this for
682720	687520	like eight years. I've been like super stealthy about it for all sorts of reasons for security
687520	694240	reasons, for, you know, IP reasons and so on. And, you know, everything was at risk, right? Not only
694240	698640	the movement, the yak movement and hope, well, hopefully the movement is not at risk, but it's
698640	703280	supposed to be anti fragile. We're trying to make it so, but and, and my company. So I went in damage
703280	708720	control mode. And I didn't want to talk to them, but then they were like, look, this is going to
708720	713120	really come out. I'm like, all right, well, I better try to control the narrative, at least for the
713120	717440	first, for this first thing, because I'm sure they're going to pile on now. The media is definitely
717440	722320	going to pile up from here on. I mean, I can I've entered an exhibit, let it let it be entered
722320	733280	into the record, exhibit a okay, this is from datajournalism.com. Okay, by one of the wokest wokes
733280	738320	to ever woke. One of the three heads, one of the heads on the three headed dragon, I would say.
738320	743600	Yeah, exactly. I mean, it's a multi had the thing is every one of these critters, like basically
744320	751360	is essentially a Stasi officer. That's what these, these folks are. So they actually have
751920	757600	a whole article at datajournalism.com. And what this is actually titled, if you I'm sure if you
757600	764080	paste this into chat, GPT or whatever and ask it to paraphrase it is how to docs. Okay, investigating
764080	770000	social, go ahead. No, I'm just shocked. I'm, I shouldn't be shocked, but I I've never seen it
770000	775280	this explicit. It's this explicit, right? All of their stuff. That's why I read all of their, you
775280	780240	know, or go ahead. Brandy works for I think NBC, right? This works. That's right. Here we go.
780800	784000	This is these are, these are major significant journalists who are,
784000	789760	Yes, that's right. And they teach how to docs, how to, there's other articles on how to
789760	794560	essentially assassinate, except they don't assassinate the character assassinate, right?
794560	799280	And it's all so, you know, once in a while, they'll actually admit it when they're talking
799280	805440	to each other and they put on a different face, right? So here it's like, you know,
806400	811120	be prepared to read thousands of tweets, click until the end of the Google results and dive down
811120	814960	to social media rabbit hole. If you want to collect the tiny biographical clues, they'll help you
814960	821120	answer the question, who is this? Okay, so, you know, I mean, whatever you can read this if you
821120	826720	want. The useful thing about reading articles like that is it tells us as technologists how to
826720	835120	build a privacy countermeasures against these people who are literally like a like a for-profit
835120	840400	intelligence agency. And I don't even say that lightly. How did they get your identity, GV,
840400	844560	right? They, they went and used like some CIA voice recognition thing.
845760	850240	Straight up. I mean, that, I guess that's, that makes it, that makes me a bit more badass that
