start	end	text
0	10320	erase my memories erase my mind gotta leave the past behind i don't remember what i used to be
12080	22320	i'm breaking free from my history forget the pain forget the tears i'm wiping clean all my
22320	28640	feelings no looking back i'm on my own in this MEGXO
32240	39520	lost in a haze but nothing's real i feel a picture i can't really feel
39520	45520	i'm searching for something i can't recall the memories won't let me fall
52320	62320	lost in a haze but nothing's real i feel a picture i can't recall the memories won't let me fall
62400	74320	i feel a picture i can't recall the memories won't let me fall
74320	81080	My mind expanding like an aniseclo Phenomenology
81080	85080	I'm breaking them all Exploring dimensions
85080	89080	My thoughts unfold Awakening senses
89080	95080	Like a vibrant symphony All because I'm shining through
95080	99080	My destiny I dive deep within
99080	104080	To find my true Breaking down barriers
104080	110080	Breaking through The world's a canvas
110080	114080	Where I paint my dreams For no limits
114080	118080	To this universe Far as it seems
118080	122080	I'm applying it Join my own path
123080	130080	Fresh awake in me I breathe
130080	133080	Life is just a game Nietzsche said it right
133080	136080	No meaning in this world No purpose in sight
136080	140080	We're all just rolling dice Trying to survive
140080	144080	But in the end We're all destined to die
144080	147080	Riding on the waves Of existential dread
147080	151080	Questioning our existence What lies ahead
151080	155080	Searching for the truth To finding emptiness instead
155080	160080	Nihilism in our hearts Filling us with dread
160080	163080	In this absurd world We all play our part
163080	167080	To deep down inside We know it's all a work of art
167080	171080	A cosmic joke, a meaning We can't comprehend
171080	177080	We're just floating atoms Waiting for the end
181080	186080	Waiting for the end
204080	207080	Waiting for the end
211080	215080	Waiting for the end
215080	219080	Waiting for the end
219080	223080	Waiting for the end
242080	245080	Every belief, every step, every form
245080	248080	Life's a dance on the edge The plans connect
248080	252080	Convexing the void Even judgments in the past
252080	256080	Beyond the lens in the past
256080	261080	Beyond illusions We find our own way
261080	266080	In this crazy world We make the rules that we obey
266080	271080	No existential crisis We choose to exist
271080	277080	Doing it our way In this life in pieces
296080	301080	We're all destined to die
301080	306080	Riding on the waves Of existential dread
306080	311080	In this absurd world We're all destined to die
311080	316080	Riding on the waves Of existential dread
316080	321080	In this crazy world We make the rules that we obey
322080	325080	Limes of cold are running through my mind
325080	329080	Some tacks are lying in its rhythm I can't hide
329080	333080	If you made it, turn my digital sanctuary
333080	337080	Writing melodies in a cold repository
337080	341080	Tabs and spaces, dancing on the screen
341080	344080	Auto-complete makes some music so lean
344080	348080	Indentation like a bass drops so deep
348080	351080	As I navigate through the coke I keep
351080	355080	Go to the beach, so symphony in my hands
355080	358080	The melody turn my own to nickel man
358080	362080	From lights to melodies in a digital screen
362080	366080	Fall into the rhythm in perfect harmony
