start	end	text
0	7720	All right. Welcome to this week's Non-Pictive Geometry and Topology Seminar. It's our pleasure
7720	12760	today to have Petr Zeeman from the Technical University of Denmark, who will tell us about
12760	16280	quantum automorphism groups of graphs.
16280	25080	Thank you for inviting me. So in this talk, I will talk about, as you said, quantum automorphism
25080	38480	groups of graphs, and this work is based on those two quite recent papers with those
38480	41280	people that are listed here.
41280	50720	And so I'm currently a postdoc with David Robertson, and the project we are working
50720	56960	on is in the intersection of graph theory and quantum information theory.
56960	64240	So somehow, graph theory is used to study some concepts in quantum information theory.
64240	68720	In particular, the area of graph theory is graphomorphisms, which I will talk about a
68720	82320	little bit. And at some point in some works, quantum groups of graphs occur, and these
82320	95480	two works are sort of like a bridge between those two areas in some sense, since probably
95480	105280	from the quantum group side, there are two groups of people that work on quantum groups
105280	111760	and that work on graph theory, and those groups usually don't know much about the things
111760	113960	that the other ones work on.
113960	119400	And basically, what I would like to a lot focus on in this talk is to show you some
119400	128800	techniques from combinatorics that we used to obtain some, like in combinatorics, the
128800	134240	combinatorial analog would be some simple results about automorphism groups of graphs,
134240	141320	but for some reason, these results did not at all exist in the relatively recent but
141320	145920	not that recent field of quantum automorphism groups of graphs.
145920	153840	So let's start with just the notion of the graph isomorphism. So two graphs are isomorphic.
153840	159600	Basically, if we can find a permutation or a bijective mapping between the vertices of
159600	166640	one graph to the other graph, such that this mapping preserves adjacencies and non-agencies.
166640	173880	So in other words, the graphs are exactly the same up to some relabeling of the vertices.
173880	181560	We denote it like this. And so alternatively, this alternative two points of view will play
181560	189240	a role here. So alternatively, one could view it if you take the adjacency matrices of the
189240	195400	corresponding graphs and you would have a permutation matrix that has to commute with
195400	202040	those adjacency matrices. So that's an equivalent definition of isomorphism of graphs.
202040	210440	And another very impressive theorem was given by Lova's in a previous century in 1967, which
210440	217040	basically characterizes this relation of being isomorphic by the following counting of homomorphism.
217040	224920	So homomorphism of between two graphs is like isomorphism, but you relax the condition a
224920	231800	little bit. It's a mapping that only has to preserve adjacencies. So for example, you
231800	241880	can have a homomorphism from a bipartite graph to an edge. So and this notation means that we
241880	251000	count the number of possible homomorphisms from some graph F to the graph G. So the isomorphism
251000	256280	relation between two graphs is characterized by homomorphism counting. So the homomorphism counts
256280	261160	the number of homomorphism from each possible graphs to those two graphs. If it's the same,
261160	269560	then the graphs are isomorphic and also the other way. Now it's not necessary to just restrict
269560	278440	ourselves to all graphs. We can use various families of graphs. So there is a similar
278440	285960	notion of homomorphism indistinguishability, where we take some family of graphs and do these
285960	294200	homomorphism counts within that family of graphs. And then we get a notion of homomorphism
295160	299720	indistinguishability, which depends on that particular cross of graphs. So here we have
299720	307640	a table of some results. And this is the Lovaas theorem, where we take the family of graphs
307640	313240	to be all graphs. And when you take various other, let's say, natural families of graphs,
313240	318840	you get other similarity relation between those classes of graphs, like for cycles. If you just
319400	324760	take cycles, then this corresponds to the cospectrality of adjacency matrices, which means
324760	329800	that the multisets of eigenvalues of the adjacency matrices of graphs is the same.
330520	337560	Cycles and paths would be cospectral components. Trees, this is actually fractional isomorphism.
338200	347240	So fractional isomorphism, you get by relaxing this equation here. So instead of a permutation
347240	354440	matrix, you would use something called doubly stochastic matrix, which is basically that the
354440	364920	rows have to sum to one. And then there is a class of bounded trivids, trivided most k.
365720	373880	And this corresponds to indistinguishability by something called k-dimensional Weisfer-Lehmann
373880	382280	algorithm, which I will talk about later. But it's just some procedure on graphs, but I will
382280	387720	talk about it. But trivid k is some parameter of graphs, which tells you how much the graph is
387720	393800	close to a tree. And then tree depth is something similar. So for various classes, we have notions,
393800	400360	and then this is the important one here, that if you take planar graphs, this is a quite recent
400360	410120	result that actually corresponds to a notion of quantum isomorphism. So homomorphism indistinguishability,
412040	417880	homomorphism indistinguishability when you restrict yourself to planar graphs. So in other words,
417880	423880	what we will see being quantum isomorphic, the result is that it's like having the same
423880	433320	homomorphism counts from planar graphs. So, okay, so just a little bit about what is this
434760	438200	quantum isomorphism. So this
438920	445000	that this small home, this is just numbers, numbers, yeah, yeah.
449160	455720	Number of homomorphism, yes. So this notion of quantum isomorphism comes from the notion of
455720	462840	a non-local game, which is an important concept in quantum information theory. I will just briefly
462840	470040	introduce it. So in the game, you have two players, Alice and Bob, and a verifier. And
470040	476120	both of the players have some finite input sets, X, A, X, B corresponding to those players,
476120	481160	and some finite output sets, Y, A, Y, B. And then you have a Boolean predicate, which is basically
481160	490280	a function, zero one function from this Cartesian product. And so basically the players are asked
490280	498200	a question from the input, and they have to answer, and the players win if this is evaluated to one.
499240	504760	They cannot communicate after receiving questions, but they can decide on a strategy,
504760	511400	what they will do. And there is only one round of the game, and one is concerned with perfect
511400	518120	strategies in which players win the probability one. And now what kind of strategies can you have?
518280	527720	You can have deterministic strategies, where you have just some functions, which deterministically
527720	534440	say what will be the answers for Alice and Bob. Then you can have randomized strategies, which
536680	541400	are not that much better, but where you can use some randomness potentially. And then you can
541480	548840	have quantum strategies, where this Alice and Bob will share some entangled quantum state and
548840	559560	use it to get answers. So let's immediately look at this GH isomorphism game. So we have two graphs,
559560	565960	G and H. And the intuition is that Alice and Bob want to convince the referee that the graphs
566760	576360	are isomorphic. So here is the setup basically similar that the Alice and Bob are asked some
576360	583560	questions. Well, now the questions are the input sets are the vertices of the graph,
583560	590120	also the output set. And what must be satisfied is that the relation between H and H prime is the
590120	598680	same as a relation between G and G prime. So relation in the sense adjacency, not adjacency.
598680	603000	So again, the players cannot communicate, there is only one round, and they must win with the
603000	609640	probability one. And the theorem is that basically these classical players can win classical in the
609640	615640	sense that they have like a deterministic strategy, if and only if the graphs are isomorphic. And now
615640	624600	to define the quantum isomorphism is to basically turn this definition around and say that the graphs
624600	633320	are quantum isomorphic if quantum players can win this game. So that's basically a definition that
633320	639320	the graphs are quantum isomorphic if quantum players can win this GH isomorphism game.
640040	646680	What does it mean just briefly is that here we have a shared entangled state between those
646680	654760	players. And basically, so Alice and Bob share this quantum system in some states psi,
654760	662120	which is basically a unit vector in some Hilbert space. And upon receiving this vertex G, Alice
662120	669240	performs some measurement e g and this e g is basically some set of operators satisfying
669240	675320	these conditions, which is based on the quantum formalism. And the same same is done by Bob,
676040	683240	that he he does the same, these operators can commute. And there is some probability
684040	692920	probability that the players respond H H prime, given G G prime.
696680	705560	So one can reformulate this in using the notion of quantum permutation matrix. So here we have this
706520	715880	that a matrix whose entries are p i j. And these are elements of some sister algebra is a quantum
716520	724520	permutation matrix also called magic unitary. If we have this that each p i j is a projection,
724520	733640	so it must satisfy these relations. And these these matrices in the sort of in the row and
733640	743640	column must sum up to one. And the theorem by Lupini-Manchi-Sky-Robertson is that this
744840	753160	graph quantum graph isomorphism is equivalent with commuting with a quantum permutation
754040	761320	permutation matrix. So so it's it's can be expressed in a similar framework as the other
761320	766520	similarity notions like isomorphism is just commuting or fractional isomorphism with
766520	773160	with doubly stochastic matrix. And here we have commuting with this quantum permutation matrix.
774200	781560	So formally formally this this is just written out what does it mean formally that these things
781560	790040	commute. Yes, and it's important to say that quantum isomorphism is actually undecidable problem
791000	796920	compared to the graph isomorphism problem which is clearly decidable where you just can
797640	808360	can try all bijections between two graphs. And there I'm not stating not showing it here but
808360	815880	there is an example of graphs that are not isomorphic but are quantum isomorphic.
820200	825800	Right now I want to get to the somehow into the quantum isomorphism groups of graphs
827000	831880	and let's just recall that the isomorphism groups of graphs basically express the symmetries of
831880	840520	graphs and so so basically an isomorphism is just an isomorphism from a graph to itself.
841240	847960	So it's a bijective mapping with which again preserves adjacencies and similarly
848040	858200	automorphisms form a group under composition and it can be equivalently expressed using such equation
858200	864200	that the adjacency matrix has to commute with a permutation matrix.
866280	874920	Yeah so this in particular graph has a dihedral group d5 as an automorphism group we can do just
874920	885560	reflections and rotations here. Okay so you probably know much more about these things but
885560	892680	I'm just mentioning here that we have the notion of compact groups there is a correspondence between
892680	900040	compact groups and commutative sister algebras then when we take the sister algebras to be
900040	909560	non commutative then from there we go to compact quantum groups. So we now immediately
910520	918680	say what is a quantum automorphism group of a graph. So this is definition according to
918680	926680	Banica and basically so we say what is this sister algebra in this case so the
929080	934760	c of qg that's how we'll denote the quantum automorphism group of graph is the universal
934760	941320	sister algebra generated by the elements pij and satisfying basically these following
941320	948680	relations which we had similar relations before and these first two relations correspond
948680	957160	to the fact that sort of the p made up of this entries pij is a quantum permutation matrix
957800	965240	and this last one corresponds sort of to this commuting equation.
965400	978200	So if we require those pij to commute then then we get that the c of algae the algebra of functions
978200	985640	on the automorphism group of graph and the pij would be a function taking an automorphism
985640	993160	to the ij entry of the matrix representation and this matrix p is then called a fundamental
993160	1006520	representation of qg. Now let's connect it to quantum isomorphisms and so let p be the fundamental
1006520	1016120	representation of qg and we can define the following relation that ij corresponding to some
1016120	1025480	vertices let's say of the graph i is in relation with j if pij is not a zero.
1026920	1031800	Now the theorem or lemma is that this is actually an equivalent relation
1033000	1040920	and the orbits of the or quantum orbits are defined to be these equivalence classes
1040920	1050440	of this of this relation and so the how we connected with the isomorphism quantum isomorphism is that
1052200	1060920	if g and h are connected graphs then they are quantum isomorphic if and only if there exists g
1061960	1067400	one vertex in the first graph and one vertex in the second graph which are in the same orbit
1067400	1073400	of the union of the graphs which is sort of mimicking what is expected in classical
1073400	1078440	automorphism groups of graphs i will mention it also later. It is a very important theorem
1078440	1085160	which will actually provide us with the combinatorial tools that can be used to study
1085160	1092200	quantum automorphism groups of graphs and this is exactly the following so let g be a graph and
1093000	1096840	now i will define this two-dimensional Weissfer-Lehmann algorithm shortly
1097880	1103240	but it's some kind of algorithm that creates a partition on the graph which is
1103880	1110360	automorphism invariant in the classical automorphism group so we have this partition
1111320	1118600	of the vertices and which is constructed let's say by this two-dimensional Weissfer-Lehmann algorithm
1118600	1123160	and if two vertices belong in two different colors or partitions
1125160	1131160	then this pij is equal to zero so in other words they are in different quantum orbits
1132440	1139400	so so this is very important very very useful tool in general and it's actually
1140520	1148200	this result is due to also these people and this is very powerful tool powerful combinatorial tool
1148280	1155560	to use and it appears in many many different areas so it's actually i think quite fascinating result
1156600	1161720	and there is also and i will talk about this there is also a better version of this two-dimensional
1161720	1167000	Weissfer-Lehmann algorithm but it is no longer useful for quantum groups because as far as i
1167000	1174360	understand it's not really possible to define quantum quantum orbitals
1178120	1184040	like analogs of orbitals which are basically the orbits of the action of the group induced
1184040	1187400	on the Cartesian product of the set on which is acting so
1188280	1196760	yeah so if you remember in the beginning we had this slide where this notion of
1196760	1200840	k-dimensional Weissfer-Lehmann indistinguishability is equivalent to
1202280	1210360	homomorphism counts into graphs of this bounded trivite so then there was the result by
1210360	1217000	robertson manjiska which says that quantum isomorphism is equivalent to counting homomorphisms
1217000	1224280	from planar graphs so this is another reason why higher dimensional Weissfer-Lehmann doesn't work
1224280	1233160	here is this because all planar like all trivite graphs at most two are planar but trivite graphs
1233160	1241880	at most three are not all planar so that's another let's say reason why this Weissfer-Lehmann
1241880	1248200	doesn't work anymore in higher dimension now let's finally talk about this okay Weissfer-Lehmann
1248200	1253080	in a bit so now i want to a little bit talk about the graph isomorphism problem because that's
1253080	1258440	actually the motivation for this Weissfer-Lehmann algorithm so the graph isomorphism problem is
1258440	1265000	just the computational variant of this graph isomorphism so basically we'd get two graphs and
1265000	1271560	we want to answer yes if and only if the the graphs are isomorphic and there is actually
1271560	1277480	a polynomial time equivalent problem which is computing the generating set of the
1277480	1285960	automorphism group of the graph so actually this is very similar to what we said before about
1285960	1294440	quantum groups and quantum isomorphism that to to see this why why this is equivalent or at least
1294440	1299800	one direction is to just consider two connected graphs and then take the disjoint union and
1299800	1307480	basically if there is an automorphism taking one to the other then then we know that they
1307480	1312280	must be isomorphic when there is a generator in the generating set of the automorphism group
1312520	1320760	so the currently best known algorithm for graph isomorphism runs in this time which is called
1320760	1328760	quasi polynomial and it is actually heavily based on group theory and just why this problem is
1328760	1337000	actually interesting is that from the complexity theory point of view actually you can have basically
1337800	1344200	things that can happen and each of them would be very interesting like if so the goal is usually
1344200	1350280	to solve some problem in polynomial time and if you could solve it in polynomial time then it means
1350280	1357560	that you probably have to invent some new mathematics if it was mp complete which is like the notion of
1357560	1365880	algorithmic hardness then then something called polynomial time hierarchy collapses which is
1365880	1372040	basically part of complexity theory and if this collapses then many people believe that this doesn't
1372040	1378520	collapse so they believe there is evidence so that it should not be mp complete and when it's
1378520	1384360	intermediate somewhere in between then it would resolve the famous p versus mp question so so this
1384360	1388840	problem originated from some practical applications but actually for practical applications it's
1388840	1394040	pretty much solved actually by these vise or lemma that I will mention it works very well
1394040	1403960	in most of the practical cases but yeah so why is this problem actually difficult is that
1405320	1410920	these algorithms are actually heavily based on group theory and
1414360	1420920	one of the one of the main parts is to do some recursive algorithm and
1421320	1428600	the problem the problem are are different complication complicated actions of some large group
1428600	1436760	like if we have this simple graph then it has the automorphism group Sn and it has the so-called
1436760	1442280	natural action on the set one to five which basically doing what you expect to just permeate
1442280	1449160	the vertices but if you care to guess okay I'm missing an edge here oh no what is the
1449240	1452600	automorphism group of this graph which is the well-known peterson graph
1458360	1466040	yeah it's also s5 sorry s5 yes it was s5 yeah it's s5 but now it's acting like on 10 points
1467000	1477720	and actually you cannot find like partition into into non-trivial blocks
1480120	1488760	so like partition that is preserved by the action you can only partition it trivially
1489320	1495480	and this means that action is primitive and you cannot do recursion so the problem is in
1495480	1502600	this isomorphism testing with large large groups which have not quasi-polynomial order
1502600	1511880	but it is a large order and complicated action that you cannot decompose okay so let's get to this
1512600	1518520	vise-for-lemon so first the simpler version of the vise-for-lemon is just a color refinement
1518520	1523480	algorithm which is something that probably if you were given as a homework to solve the
1523560	1529560	isomorphism problem then probably this would be the first thing that would occur to you is that you
1529560	1539880	just take two graphs and you first color all the vertices uniformly and now you look at each vertex
1539880	1546360	and see how many what is the degree of that vertex and if you know that the degree is different then
1546360	1553400	you surely cannot map it to some other vertex with a different degree so then you can recall
1554040	1559240	the graph based on this you see that the blue vertices have the same degrees
1559240	1569320	and the red vertices have the same degrees now you iterate this process until you get something
1569320	1577560	stable that no longer can be refined and then basically if you end up with a different colorings
1577640	1585560	then you can say that these these things are definitely not isomorphic but if you end up
1585560	1592440	with somehow the same colorings then you really do not know now the vise-for-lemon algorithm
1592440	1600280	does something better so instead of just coloring the vertices it's coloring the pairs of vertices
1600920	1606360	right so how does it how does it work so here we have just this very simple
1606920	1614120	graph and if you want to depict the pairs of vertices we can just depict them by some arrows
1615720	1622600	so here is the the pairs of vertices that occur in this graph and we give it some
1622600	1628760	initial coloring or initial partition so this green color corresponds that there to the fact
1628760	1635720	that there is no edge here and this red color corresponds to the to the pairs of the form
1636520	1646120	uu let's say and this blue corresponds to the edges now we count we construct a new partition in the
1646120	1659160	next step yes in the initial coloring we and actually it will be recolored as you will see
1659160	1666760	so the in the initial coloring all pairs that correspond to the edges to the actual edges
1666760	1672120	will be colored the same and all pairs that correspond to the non-edges and the diagonal of the
1676520	1694440	yeah and in the next iteration we do the following counting so for each pair uv of some color k
1695800	1702600	and every ij we count the number of vertices such that there is such a triangle in the graph
1703160	1712440	so the base of the triangle is the uv with color k and we count the number of vertices w such that
1712440	1719560	there is the first step in color i and the second step in color j of course this k ij can be possibly
1720520	1727320	the same they don't have to be all distinct and then for each pair we do this count and then in the
1727320	1736840	next step we recolor the pairs based on these counts so the next step here would look something
1736840	1748600	like this so actually you will get some some new colors on on here and the color and the new colors
1748600	1755560	here and this actually makes sense because it should be approximating the orbits of the automorphism
1755560	1761880	group and this that this vertex got orange these two vertices got orange color and this
1761880	1767080	remained red actually makes sense because these two vertices here should be in a different orbit
1767080	1774120	and these vertex and of course it doesn't work perfectly but it works very well and of course
1774120	1780680	you can construct some examples where it doesn't work but it's a very as i said the connection
1780680	1786200	with the quantum groups is actually also approximates the quantum orbit so basically whatever
1786200	1792440	is distinguished by the vise for lemma you can also use it when studying the quantum group
1793720	1799800	okay so what we actually did we colored the aj-sense matrix and now the idea of this vise
1799800	1804120	for lemma you can think of it as basically constructing invariants in mathematics we
1804120	1812040	distinguished objects by constructing invariants like the dimension of a vector space of or more
1812040	1818600	complicated like in algebraic topology some homology groups so this is something similar
1818600	1826200	basically because we colored the aj-sense matrix and we actually constructed some coherent algebra
1826200	1833080	which is generated by the following matrices so to each color you can actually assign a zero
1833080	1842200	zero one matrix so like this uh so here you have uh some these these are basically zero one matrices
1842200	1848760	where the ones are exactly at those places which are of the same color and so in this case this
1848760	1855000	coordinate algebra would be generated by these five matrices and it is like a matrix algebra
1855000	1861880	satisfying the following condition so the first condition is that all of the matrices so this
1861880	1869240	generating matrices might sum up to all ones matrix so which is here clear that if you sum it all up
1869240	1879560	you get the all ones matrix so then there has to be has to be some some subset of the matrices
1879560	1885400	that sum up to identity so in this case it would be this orange matrix and this red matrix they
1885400	1892360	sum up to the identity so this basically tells you that is actually also approximating not only the
1892360	1898040	two orbits of the graph but also the orbits so it should be more powerful than just the degree
1898040	1907720	refinement and then if you take any pair of matrices if you use the bad student product the
1907720	1915240	component wise product or true product then then you get the zero matrix and then you have the
1915240	1923560	transpose matrix there it's like for example here we have a pair of transpose matrices and
1924200	1931560	then the last condition is that the product of the matrix can be expressed in such a in such a sum
1931560	1939400	and this number c i j actually are some constants that corresponds to this counting of triangles
1939400	1947080	when it's finally stable so we have this kind of matrix algebra on top of the graph and if these
1947080	1952920	algebras are isomorphic then or non-isomorphic then we can distinguish the graphs by this
1952920	1961800	Weisfer Lehmann and if they are the same then we cannot make a conclusion now you can go even
1973480	1982040	yes yes it's like basically it's the Weisfer Lehmann actually doesn't only have to be applied
1982120	1989640	for graphs you can start with any because each each each of these matrices zero matrices can be
1989640	1995880	also interpreted as just some binary relation right so you are basically starting with a bunch of
1995880	2001720	relations and the Weisfer Lehmann algorithm will find what is called a coherent closure
2003080	2008600	so the smallest coordinate algebra satisfying these conditions that contains those relations so
2008600	2013560	but when you want to apply it for graphs you start with the specific three relations that
2013560	2015800	I depicted but it's not necessary to do that
2026600	2033000	yeah yes in this case it's just the adjacency matrix but in general you can get you can start
2033000	2039640	with any bunch of relations yeah and you can go further you can do k-dimensional Weisfer Lehmann
2039640	2047560	so here instead of coloring k tuples sorry two tuples you will be coloring k tuples but I don't
2047560	2053800	want to get too much in today's because as I said it's not anymore relevant for quantum groups but
2055080	2061400	but there are some very interesting connections like for example the k-dimensional Weisfer Lehmann
2061400	2068120	distinguishes two graphs if and only if these graphs are distinguishable by k plus one
2068840	2077800	variable sentence with counting quantifiers so for example here you have two graphs that
2079640	2087960	this cycle and these two triangles so these are all regular graphs so one-dimensional Weisfer
2087960	2092680	which was the color refinement is actually also called one-dimensional Weisfer Lehmann algorithm
2094520	2099080	this doesn't distinguish these two graphs because all the vertices are the same degree
2099080	2104040	so it doesn't do anything basically but you can distinguish them with two-dimensional Weisfer Lehmann
2105480	2111480	and this would correspond to some formula in three variables
2111800	2119240	you can implement this distance formula between the two vertices with one extra variable so this
2119240	2126600	would be like a three variable formula that also distinguishes those two graphs so that's a
2126600	2131800	connection to logic and then there are many more very interesting connections like integer linear
2131800	2136360	programming as I said in the beginning the homomorphism counting that this homomorphism
2136360	2146360	in distinguishability for bounded three-width graphs is equivalent to to being distinguishable
2146360	2155720	by k-dimensional Weisfer Lehmann okay let's go somehow back to the quantum groups and
2156600	2163400	um so I uh what what we did in our work we basically
2166120	2173720	did a quantum group quantum underwater group of graph version of two classical results
2174760	2181240	and I will mention them now so first of all like uh Frux theorem is quite old and it says that for
2181320	2188360	every graph there or sorry for every group there you can construct a graph with the isomorphic
2188360	2194280	automorphism group and actually the quantum analog of this Frux theorem does not hold
2194920	2201080	even for quantum permutation groups and so but we are still interested in some quantum
2201080	2209480	automorphism groups of restricted classes of graphs because a lot of the results about quantum
2209480	2220120	automorphism groups of graphs were were in the spirit of analyzing whether a given graph has
2220120	2233960	or does not have quantum symmetry or maybe some calculations for for some for some specific
2233960	2241080	graphs let's say but uh it's it's kind of interesting that uh the the quantum
2241080	2250360	automorphism groups of trees which we looked at uh was was not so much now and so to do that I want
2250360	2256920	to recall a first product of groups so first product of groups and we will need the quantum
2256920	2262280	analog of that first product of groups uh is like when we want to determine the automorphism
2262280	2267480	group of two graphs if they are not isomorphic we can just use a direct product to construct the
2267480	2275640	automorphism group but if they are isomorphic no longer works with uh the uh direct product
2275640	2283000	because if you look at the structure of the automorphism group uh it's actually uh not a
2283000	2288440	direct product if it was a direct product then this uh front square and the back square is the
