start	end	text
0	10000	So welcome to prompting with prompt layer conversation we're doing with many people in AI and we're kicking it off now with Steven Wolfram, who we have here.
10000	18000	And yeah, just real quick prompt layer where building dev tools for people bringing LLMs into production like GPT.
18000	25000	So if you want to do some data driven prompt engineering, we're the place for that and we're going to have we're going to have a pretty cool conversation.
25000	29000	I hope we're going to nerd out a little bit here and excited for that.
29000	32000	So you probably know who Steven Wolfram is what he's done.
32000	48000	I learned about his work from doing math homework properly in middle school or high school but originally originally met Steven when he came to a hackathon I was running in high school and he stayed there till like 2am mentoring people and that's kind of my first
48000	55000	introduction to this theory about computational thinking and it's come back around, you know, and it's very important today.
55000	65000	So, yeah, really excited to have this conversation with you and maybe to kick it off.
65000	82000	You had a big and a big release today of kind of plugins into chat GPT and this is, I think you might have said it but I completely agree it's kind of a historic moment where we're kind of bringing the LLM side of things that AI statistical AI to the symbolic AI to the symbolic
82000	91000	interpretation and that sort of thing so like, how did we get here what what has the process been and what why is it so significant right now.
91000	106000	Well I think the what LLMs have been able to do is sort of take the corpus of texts that we humans have written and kind of grind it up to the point where we can make more that's like it so to speak so we give a prompt.
106000	119000	And you know the the role of an LLM is to continue from that prompt and that's and sort of continue with things that are like the things that have already been written on the web.
119000	125000	And I think, and it does that in a way that is kind of just sort of statistically fitting things together.
125000	137000	It's a very different tradition of computation that is really able to use the deeper aspects of computation really able to use sort of the irreducible computations that can in principle be done.
137000	149000	That's the world that I've lived in for for many decades now of trying to figure out sort of how to take what is computationally possible and make it accessible to humans.
149000	164000	So the thing that's been sort of exciting is that well we made a lot of effort to make it accessible to humans turns out that also makes it accessible to language based ai's that kind of lent their craft from from humans so to speak.
164000	181000	So kind of the way I see it is these have been the two great kind of traditions of AI, and we've now got this opportunity to really connect them together through the medium of sort of a mixture of natural language and computational language, and be able to get it
182000	198000	that one can kind of use the linguistic interface that we are all used to because we're all very experienced at sort of interacting in natural language, together with kind of the depth of that rather in human non human thing that is sort of powerful
198000	213000	for computation. So it's kind of bringing those two things together the, the very human language with the very sort of beyond human non human power of kind of deep computation, and you know the fact is that, as a practical matter, LLMs are making
213000	219000	sort of statistically reasonable pieces of text, which may or may not actually be the way the world is.
219000	236000	And what we've been involved in doing is kind of making a representation of the world as the world is in computable form, and being able to bring those two things together so that we're able to let the LLM sort of make it statistical kind of text, and then we're able to provide
236000	249000	sort of precise computable insertions into that text to kind of provide the facts, where the LLM can be writing fact or fiction, and it doesn't really know the difference so to speak.
249000	259000	Right, right. No, this is super interesting and like, and I guess it's, and it's changed so much in the past like two or three months. I guess like to dive deeper here.
260000	272000	Maybe, I'll give you an example so, and I'd love for you to explain kind of your thinking behind this, and this is changed today with the welfare and plug in and chat GPT obviously but I had a friend Avi and he tweet.
272000	288000	Let me let me just read the actual tweet so he was basically he tweeted that he was using GPT 3.5 then he was using GPT for and it was failing on this very simple problem that he was doing and the prompt was how many unique apartment units are represented in the data below.
288000	308000	As in two people in the same unit, for example, 430 would count as one and then you had a bunch of names with different apartment numbers, and his question was to him, like, this is not obviously a hard problem in the let's take a step back from what's symbolic what's statistical,
309000	321000	just at the space level if I'm a hacker on just like using open AI, this doesn't seem like a hard problem but it wasn't a problem GPT is able to solve on its own it's not a problem LLMs are able to solve.
321000	330000	Would would love to hear you kind of break that down and explain what about this problem is hard for LLMs and what about it it's easy for the warframe language.
330000	335000	So, anything that involves precisely computing something with math.
335000	349000	There can be many steps that are involved in doing a math computation and LLM is a feed forward network that you know the current version of them at least is sort of feed forward networks where you kind of, you know, it's encoded a lot of stuff.
349000	358000	But basically you fed it the the the text so far, and it sort of ripples through the network and then tells you the probabilities of next words to follow.
358000	366000	And that's just not something where if they're needed to be something where iterated recursed whatever else to figure out what's the answer to this thing.
366000	380000	That's not something that's going to happen inside the current architecture of LLM that the way that LLMs managed to not be sort of computationally trivial is that they are continually eating their own tails so to speak they're continually kind of
380000	394000	processing the things that they have generated so far and that's what allows them that that little sort of extra piece is what allows them to have a lot more richness than just a pure, you know ripple through the network once type of type of system.
394000	410000	But still the kinds of things that are really easy in terms of traditional kind of Turing machine computation are are really hard. They're really not possible actually for something which is fundamentally doing this you know ripple through once type type method.
410000	428000	I think that the challenge, I mean, in terms of sort of the the architecture for AI is using tools is how does the AI know what tool to use what what when to use the tool, how to present information to the tool to be used, and then how to interpret the information that comes back.
428000	439000	We've been kind of fortunate in this case because we built Wolf from Alpha to take natural language input from humans and turns out LLMs can also produce natural language input.
439000	455000	And so, you know, we already have a funnel basically to collect the things that LLMs naturally produce now in fact the endpoint that is in the Wolf and plug in for chat GPT is a combination Wolf from Alpha Wolf and language endpoints.
455000	471000	And that's an elaborate piece of engineering because the LLM kind of and you know we we try to make the prompt, I don't know how successful we've been so far, we try to make the prompt decide, should it try and send it to Wolf mouth or when because it has a natural language input, and it's expecting
471000	479000	natural language collection of outputs, or should we try and send it to Wolf from language where it has to synthesize this precise computational language.
479000	492000	And then when it sends it to often language is it actually correct Wolf from language, it has to go, it basically goes and reads the documentation that's what we've told it to do at least to figure out, is it a correctly formed piece of Wolf from language input.
492000	507000	And then when it gets the result, it's a very, you know, here's the result that's all there is, and Wolf mouth, the result can be this long series of, of, of things which which chat GPT can then knit into an essay and it does pretty good job of doing that.
507000	518000	I think that, so I mean that there these different, different modalities but the fundamental point is, when it's a computation that involves kind of looping and recursing and so on.
518000	534000	It's just not something that you can expect to be able to do from from from a straight LLM now there are other issues like, like things to do with tokens, and the fact that tokens and numbers don't match very easily, although that's something one could definitely fix.
534000	547000	But, you know, and, and, you know, if you're doing even something like multiplication, if you're just doing it in pure LLM land, what are you going to do memorize all of the, you know, two digit three digit multiplications.
547000	557000	Well, then you have the next case, and it may or may not be true that from the innards of the LLM that it can untangle kind of doing the carries and all this kind of thing.
