start	end	text
0	4400	Okay, so to get the ball rolling, as they say, I'm going to read off
6400	13200	Adiga's, uh, the question concerning technology, although, although it's very important, a caveat,
13200	18560	Adiga was a serious Nazi. So whenever you read him, you need to have that in the back of your mind.
18560	24160	He wasn't some kind of peripheral Nazi. No, no, no, he was deeply involved with the Nazi party.
24160	30400	He was an ideological Nazi. And, you know, I even read this good analysis of Adiga that in many
30400	38640	ways he was a metaphysical and SMI, not just the kind of the, you know, run-of-the-mill and SMI
38640	43520	in Germany during World War II. He was a legit and SMI. So it was a Nazi. So whenever we read him,
44160	51200	we need to keep that in mind. Regardless, I personally think one of his best essays I've ever
51200	59120	read is the question concerning technology, which he does an analysis, a metaphysical analysis of
59120	67440	technology. So I'm going to read really two tiny excerpts from that essay, and then we'll go from
67440	76960	there. So here's what he says. Everywhere we remain unfree and chained to technology.
77920	85440	Whether we passionately affirm or deny it, but we are delivered over to it in the worst possible way
85440	92000	when we regard it as something neutral. So that's a really important point. For this conception of it,
92000	98720	to which today we are particularly like to pay homage, make us utterly blind to the essence of
98720	103280	technology. This is essentially in the second paragraph of the essay. So he starts off like
103440	107600	that. And then this is the important bit for me, at least, which I thought was really
108000	116080	perspicacious. He says, yeah, we're questioning concerning technology, and we have arrived now
116080	121600	at alater, which is a Greek term, which means, well, it translates to add revealing.
123040	129520	What has the essence of technology to do with revealing? The answer, everything. For every
129600	137760	bringing forth is grounded in revealing. Bringing forth indeed gathers within itself
138480	144800	the four modes of occasioning, causality, and the rules, and rules them through throughout.
144800	148400	So the four modes he discusses as in his essay, we don't know how to get to that,
148400	150320	but the important bit is about revealing.
151040	161360	What's that? He writes in such a weird way, man. It's so hard to read how to go.
161360	169840	Within its domain, belong and means as well as instrumentality. Okay. I don't know what the
169840	175600	sentence means. Ignore that. Instrumentality is considered to be the fundamental characteristic
175600	183600	of technology. If we inquire step by step what technology represented as means actually is,
184800	191280	then we shall arrive at revealing. The possibility of all productive manufacturing
191280	195600	lies in revealing. And now this is perhaps the most important little excerpt.
196800	204800	Technology is therefore no mere means. Technology is a way of revealing. If we give heat to this,
204880	209520	then another whole realm for the essence of technology will open itself up to us.
210320	217360	It is in the realm of revealing, i.e. of truth. So after reading this a couple of times, my first
217360	224160	insight and the way I connected this to kind of techno-optimism and tech bros of our time is,
226000	232320	I feel like a lot of us, at least tacitly, view technology as a means to an end. A lot of tech
232320	237120	bros think of it as some kind of, as Heidegger says, instrumentality. It's a way to get things
237120	244560	done purely pragmatic, utilitarian kind of way of viewing. However, actually I have some notes here
244560	251760	which I took down. That bit about instrument, sorry, that bit about revealing shows that
251760	259280	technology is not a mere instrument. It's rather a way that truth reveals itself to us. And when I
259280	264320	mean truth, I don't mean truth in like a scientific empirical sense, like facts of, let's say, the
264320	271440	physical world, but rather truths of being as such. So the brilliant insight Heidegger had
271440	276720	in the 20th century, which I think revolutionized philosophy afterwards, at least so-called
276720	281360	colonial philosophy, is that he showed that, you know, truth isn't something that just
282560	287520	kind of prima facie just presents itself to us. It's always something that's revealed through
287520	294560	us, a subject, or as he calls it, a design. And then he used that kind of concept that truth is always
295760	300880	something that's filtered through a framework or framework, again, reduces it to some kind of like
300880	305920	algorithm. It's not in that sense. Rather, it's a, through a mode of being, through an orientation,
305920	312880	let's say. He extrapolated that idea to every other part of being. So technology, art,
313840	319280	obviously history and whatnot. This essays our technology. So the first thing is,
320560	326400	technology is not a means to an end. It is much more deep and much more profound. It's essence,
326400	333520	it makes metaphysical claims, which means technology deeply profoundly changes who we
333520	338000	as human beings. And that's not an eye-opener, especially with social media. People just accept
338080	344000	that kind of, now it's like, it's a given, right? Although it's not just in the sense of our social
344000	350720	reality, but our metaphysics, our values itself changes with technology. And then the other critique
350720	356000	of, let's say, tech bros or tech broism is that, you know, there's this kind of naive optimism,
356000	360640	which I'm going to talk about, where there's like this assumption we have that, oh,
361440	366880	technology is good just for the sake of technology. So it's just kind of, if we keep
368080	372400	advancing and developing our technologies, that's just good for its sake. It's not so simple.
373440	379760	What Heidegger talks about this thing called, yeah, so he has technology as revealing,
379760	384800	but then he also has this thing called enframing, which, okay, I hate to be the
384800	389200	annoying leftist that blames everything on capitalism, but I'm going to be that annoying leftist.
389200	398240	And framing us, we start viewing other human beings also as technical objects, as resources to
398240	406400	be exploited, case in point, human resources. So in that sense, the technological metaphysics
406400	412800	have become our metaphysics. We view other human beings as means to an ends, as things
412800	420400	to be optimized, utilized, to be used, to be technically exploited, certainly in capitalism.
420400	426880	And, you know, a good example is when the whole, as we are going through the current AI revolution,
426880	431680	when the whole, you know, with open AI, a judge if anything came off, the first question, a lot of
432720	439600	the first kind of spontaneous reaction most people have is, oh, what's it going to do to this job,
439600	444160	to marketing that job? What's it going to do to the economy? But rarely did we ask,
444800	450240	what is it going to do to the human subject as such? And I think the reason we asked that
450240	454720	previous question, not the latter one, the reason we asked, oh, what's it going to do to our economy?
454720	461360	What's it going to do to, I don't know, different kinds of jobs is because again, we human beings,
461360	467760	because we have this kind of technical metaphysics, we view human beings as agents of capital.
467760	474400	Simply, that's all we have. We just, you know, we trade and we pretty much move around capital.
474960	480560	So the most important thing isn't the human being, but what the human being is useful.
481840	487520	And that's my critique of tech bros, who kind of, they have this kind of like
487520	492640	massive optimism where technology will liberate us. It's typically on a tower of
492640	496880	Babel from the Bible, right? Typically, it'll liberate us. It'll be a saving grace.
497600	502960	And it's good just for its sake. And in many ways, the human being doesn't even matter what
502960	509120	matters is the technology as such. And that is something. So by the way, Heidegger was not
509120	513280	a Luddite. He was not saying technology is bad. I think the best way to read Heidegger is through
513280	519760	the Hegelian lens and be like, okay, we need to see technology for what it is with its
519760	524560	contradictions. And I'm not saying that's, oh, you see the good and bad and you kind of weigh
524560	529040	out the pros and cons and get the pros. It doesn't work like that. Heidegger's point is more,
529920	536480	more, I'd say more solemn even, that we, with the good, the bad comes,
538240	542960	the bad comes along. It's concomitant to the good. We can't have our cake and eat it too.
542960	547120	That's the point Heidegger makes, in my opinion. And I think that's the best way to read his essay
547120	555200	on technology. Yeah, saying all that, Yun, right? I said a lot there, but the flow's yours.
556560	561840	Yeah. Well, you know, I agree. And I have the same kind of orientation or like
563920	569920	views on technology. And so I think what I can do is kind of build on what you've said.
572560	576240	But first of all, yeah, like Heidegger's take on technology, I think is a really,
576240	582080	really important one, right? Like, I think he sees very deeply, you could call him a prophet
582080	587200	in his sense, because he wrote the book in like 1950. Was it 1950, 1900, something like that?
587200	592320	The essay? No, 1950. I don't know when the essay was published. In fact, you keep going. I'll find
592320	596240	out when it was published. Yeah, it was early enough. But he saw through these things that,
597120	603360	that like he basically saw through how much of an impact to use a simple word, you know, like
603680	609760	exactly, exactly 1950. He hit the nail on the head. Yeah, that's, that's great. But he, he saw all
609760	614240	of this before any of it happened, right? Like in 1950, the world doesn't look like how it did
614240	619520	today, but he saw all of this coming. But I think one of the main points again, I want to
619520	626800	reiterate is like, an interesting thing here, I think is, I think, Raul, you made a few
628240	633040	points around like tech bros and like techno optimism. I think in this context on what,
633280	636560	what everything Heidegger is writing about, you can kind of extrapolate that to kind of
637840	641920	the whole generation, at least the whole new generation, because they're all brought up within
641920	647360	this setting, right? Like technology is inherently a part of the new generation. So in a way like
647360	652160	tech bros have this kind of techno optimism view. But I think it's inherent in everyone who
652160	657840	grows up, everyone who grew up in this kind of way of being, right? Which is times our religion.
658640	664800	Yeah. So I think the important point to make is that it's one of those things now technology is
664800	672240	one of those things now where it's, it's so deeply, it's so deeply encapsulated our ways of thinking.
672880	677520	And I think here it's probably more accurate to say the Western way of thinking that you don't
677520	685520	even notice it. Like no, like people on the street wouldn't be conscious, nearly conscious of like
685520	689840	what sort of effect technology is happening to them. And I think that's kind of the real baseline
689840	697840	idea we kind of trying to, trying to like expound on as well, right? Because as you mentioned,
697840	703600	and like from Heidegger, it's technology is not morally neutral, right? And this is what most people
703600	709600	think. It's not just tech bros, it's kind of most Gen Zs, even most parents, I'd say, although they
709600	714000	have more like more of a conscious idea of like what life was like before technology. I think most
714000	719920	people will, I think it's most, it's rather acceptable for lots of people nowadays to say
719920	726560	technology is neutral and it's just a means to an end. But as you mentioned, like that's kind of
726560	730320	missing like a lot of the point, right? Technology has a fundamental essence to it. There's a
730320	737280	fundamental, fundamental metaphysics to technology. And when you pause it, when you think technology
737280	744880	is just a means to kind of missing the deeper picture. And like, as you mentioned, one of the
744880	751600	ways in which, in which it's affecting us, like the essence is in terms of how we view people,
751600	756320	right? Like we view people as resources, we view nature as resources. And in a sense, it's kind
756320	761760	of like the critique of technology is somewhat similar to a critique of capitalism, right?
761760	766560	As more people might be familiar with. And I think that's fine, because like, if you think about it,
766560	772800	I think like capitalism thrives on technology, right? Like, in a capitalist society, what are
772800	780560	you looking for? Like, efficiency of production, something like that, right? Like, if you want to
780560	785920	excel as a company, as a producer, as a whatever, like what you're trying to do, you're trying to
785920	792880	produce more, more efficiently. And basically, technology, technological innovation is kind
792880	796960	of what drives it. And so I think you can't really divorce technology, a critique of technology and
796960	800160	a critique of capitalism. So you can kind of treat everything we're discussing as kind of
800160	806560	interchangeable in this respect. But that's it, right? It's this very deep and trench thing that
806560	811760	we're trying to kind of expound on. And like, we're trying to discuss the revelation that it's had
811760	821440	that everyone like kind of sees past nowadays. And I suppose the biggest, the biggest
823600	828160	threat or the biggest, the biggest kind of effect I see these days is
830640	833520	from my point of view, and then we can kind of launch into kind of a couple of different
833520	838800	points, because there's a lot out here as well. The biggest point of view, I think, is that people
838880	845440	are, there is like the fundamental metaphysical idea behind technology is also a form of
846640	851280	self-worship. It's a form of, it's a form of like,
853840	858160	from a Nietzschean point of view, like the Nietzschean idea is like a revaluation of values,
858800	867760	right? And so what technology is, is basically an attempt to create like a new order. It's an attempt
867760	873600	to create a new order in which, you know, human nature or man is mechanized in different ways,
