start	end	text
0	5920	Hey everyone, welcome to this video series called Textbook to Code, where I take computer science
5920	12720	and software engineering textbooks and sort of expand on them and convert them to code and discuss
12720	18720	them, kind of like what one would do in a tutorial in university. Now, if you're new to this channel,
18720	25280	I generally make videos on philosophy, but I realized my other great love, other than philosophy,
25280	30640	is computer science and software engineering. So I was thinking, why not do the same thing with
30640	36400	that field too? And as the title suggests, the first book I'll be covering is Effective Java by
36400	44160	Joshua Block. Certainly the best Java book I've read, even though I'm still trying to grok certain
44160	49360	concepts on it. It was recommended to me by my CTO and my current company, and he's been a Java
49360	54320	programmer for, I don't know, ever since the internet. That was a joke, by the way. I know Java
54320	60640	was created after the internet. He's been a Java programmer for a long time, and he said that this
60640	68080	was a really good book to read, not really for beginners, but more for intermediate Java developers.
68880	73200	I consider myself still a beginner to intermediate. So I don't really know
74800	80960	at what level I should get into this book. However, I do believe really the way it's structured,
80960	85520	anyone can jump into it if you have a basic understanding of programming. So Effective
85520	93440	Java contains about, I believe, 90 items, which means this video series will encompass 90 items.
93440	97440	And afterwards, I'm hoping to get to this book, which probably is going to be next year, because it
97440	103120	takes a long time to make these videos. The Headfirst Design Patterns by O'Reilly, which I've just
103120	110640	started on, and it's brilliant. I'm so grateful for all these authors who just don't take so much
110640	117120	time to educate and help upcoming learning software engineers like myself, who generally
117840	124160	aren't the most intelligent programming wizards out there. Saying that, though, as per usual with
124160	129440	my normal videos, if you do follow this channel, you know that I tend to make a lot of provisos or
129440	135840	caveats. And the first proviso is this is not a tutorial. And that's really important, because
135920	142640	the last thing I want to do is to propagate false information or teach something that's wrong.
143920	150880	And, you know, to make this a video series of misinformation to use a very politically loaded
150880	156480	term. I'm not a teacher, not an expert. I've only been a Java programmer really hands on for about
156480	163040	two years. I'm still learning myself. I'd like to think of this video series and all the videos
163040	170400	in this channel, as a matter of fact, as more of a blind, leading the blind kind of experiment,
170400	176800	let's say, where I am also naive and ignorant about these topics. So it's just more of a
178000	184160	exploratory disquisition, let's say. I'm just trying to see what this particular concept is.
184160	191600	I'm trying to break that down, which means I will inevitably make mistakes. No question about it. So
191600	196240	please point them out. Leave those out in the comment section below. I'm sure there are much
