start	end	text
0	6640	Hey everyone, welcome to yet another episode of my video series on effective Java by Joshua Block
7160	10880	It's sort of a textbook to code video series where I take
12080	17080	Topics and principles from this book and I'm hoping to do it with many other books and
17520	22960	Expand on these topics and try to understand them and try and see what value or what what we could derive from
23440	25280	What are in these books?
25280	30240	And today, of course, we are on item three, so I've already done this on two other items
31120	35080	And it seems to be going well. I certainly can improve on certain points
35080	39360	Maybe above all on brevity and try and convey the points succinctly
39880	42520	But saying that though, I want to start off with the proviso
42520	45880	So if you did watch the other two episodes, you could skip this bit
45880	50040	I'll leave a timestamp as to where exactly could skip to just to save your time
50480	55520	So for starters, this is not a tutorial. That's a very very important caveat
55520	59120	I'm not a teacher in no way am I a Java expert
59120	62720	In fact, the more I'm learning about Java the more I'm realizing of
63400	66040	More I'm realizing how much of an expert. I'm not
66960	72880	I'd like to think of it as the blind leading the blind in this case, so I'm really not leading
72880	78040	But let's say at least formally because this is a YouTube video kind of formally. I am
79040	81040	Leading the blind somewhere
81920	88440	But that also means that because I'm blind I can make mistakes and run into a wall or something
89120	91120	This is only a
91240	94920	Exploratory discusion. That's pretty much it try to make sense of things
95480	98040	The best I would say analogy
98600	104680	Day-to-day analogy I could use is what would happen in a university tutorial where we have a bunch of students
104680	107440	We have an assignment or a problem statement or some concept
107440	109520	You're trying to grok of course as a tutor
109520	116040	But in this case there really isn't a tutor but just a bunch of students getting together trying to make sense of some programming concept
116040	118320	And needless to state this is a programming video
118320	122720	So it makes sense to have all the code that I use on get out where you could go and play around too
122840	125440	So I shall leave a link down below in the description
125600	131760	Not only do my code but even to the code that Joshua Block has published himself on his personal repository
131760	135600	So with offer the do let's get started on item number three
135800	144120	Which states and foes the singleton property with a private constructor or an enum type and this is still of course a part of chapter 2
144120	146120	Which is regarding?
146400	151800	Creating and destroying objects. So singleton was one of the design patterns that was originally
151800	157600	I don't know if the word is originally, but let's say popularized by the gang of foe in their great software engineering book
158440	167560	Design patterns and a singleton is a design pattern that ensures that a class can only have one object or as Joshua Block states in the book a
168360	172000	Singleton is simply a class that is instantiated exactly once
