start	end	text
0	4340	Hey everyone, welcome to yet another episode of the Interrelant Podcast.
4340	12440	I've got to say, I'm in a really good mood today because I just sat for the AWS developer
12440	15900	associate examination and passed it.
15900	16900	So I'm feeling good.
16900	21740	It's always a good feeling to, you know, work towards something and then kind of achieve
21740	25180	it and well, I guess now what?
25180	28580	Back to the meaninglessness of life.
28580	34520	In any case, this is kind of an interesting episode because the previous episode I did
34520	38860	a few weeks ago was my first ever book review.
38860	47580	And I think this is going to be the first ever article, article or let's say essay commentary.
47580	54980	And it's going to be on the piece that David Dunyong, I really hope I pronounce your surname
54980	55980	right.
55980	56980	David, apologies.
56980	59540	I mean, no disrespect.
59540	65260	It's going to be on the polemical piece that David wrote on Jordan Peterson.
65260	72500	And frankly, from everything I've read on Jordan Peterson, you know, I think today this
72500	80100	is the best criticism I've read of him in a very deep sense, not in like a superficial,
80100	85220	you know, I don't know, the kind of the what like corporate media does, sort of dismissive
85220	88740	calling him a French far right, whatever.
88740	97340	But I really thought David's criticism was very apt to the current situation, but also
97340	98340	just philosophical.
98340	101620	It was quite deep and he made a lot of sense.
101620	102620	And he's a great writer.
102620	107180	I only hope to write like David one day.
107180	114740	Now I've got to say, of course, as I said, this piece is a polemic and like myself, unlike
114740	124140	myself, David is very, very critical of Peterson and doesn't like him at all.
124140	128460	I personally do like Jordan Peterson quite a lot.
128460	133820	I've been influenced by him, especially I'd say when I was about 20, 21, this is like
133820	140380	around 2016, I started watching his lectures early on and I really enjoyed his lectures.
140380	148300	I still very much enjoy the lectures he did on psychologists, like for example, I think
148300	153740	my best learning on John P.J. was through Jordan Peterson.
153740	158940	I'd even say Jordan Peterson was the person who introduced me to Heidegger a couple of
158940	163260	years ago, even though, you know, Peterson doesn't really go into Heidegger's philosophy
163260	167140	kind of, he lectures on him through like a psychological lens.
167140	173860	In any case, the point that I make is that I really like Jordan Peterson.
173860	180620	And that's exactly the reason I think it's important for me to make this episode and
180620	186980	record this and I'm now getting to more as to why that is later on.
186980	192340	So firstly, I want to put a quick caveat as I tend to do with these episodes.
192340	200220	I will truly try and keep away from the day-to-day politics or contemporary issues Peterson gets
200220	201940	himself involved in.
201940	203300	He tends to do that from time to time.
203300	204660	I think he kind of likes it.
204660	209140	Let's be honest, he likes the attention, you know, I mean, I love the doc, but he loves
209140	217700	the attention he gets, but rather in David's paper, I'm going to focus on the philosophical
217700	218700	critiques.
218700	220380	Oh, I didn't mention this.
220380	224780	By the way, how I came across this was actually through David's YouTube channel, Theory and
224780	232980	Philosophy, which I'd say now at this point in my life is my greatest source of learning
232980	240620	when it comes to philosophy and theory, especially being a software engineer, having no background
240620	242940	in arts or the humanities.
242940	245260	I studied computer science.
245260	251300	I didn't even know how to study or learn about all these different theories and philosophies
251300	258540	because I never had any proper formal academic training, even though I deeply love the humanities.
258540	260940	I really appreciate it.
260940	261940	It means a lot to me.
261940	266460	I spend so much of my time trying to understand it and, you know, read philosophy and literature
266460	269140	and all of that.
269140	274660	So I'd say this point in my life without a question, man, David's YouTube channel is
275220	278420	one of my greatest sources of learning.
278420	282420	It's a great resource, really, to go through, virtually any book, I'll go through some of
282420	284980	the stuff he did later on.
284980	289940	Recently I went through his Kant, a critic of pure recent series.
289940	295740	My favorite banan was the one he did on Hannah Arendt.
295740	301060	My God, such a good series, David, really, you just have an amazing ability, you're so
301060	302060	eloquent.
303060	309580	Also, I like that you speak with no pretension, which I appreciate as a layperson or as a
309580	310580	neophyte.
310580	316660	So, sorry, I'm kind of all over the place, but in the preamble, I want to say, as I said,
316660	320700	I try to stick to more of the philosophical critiques, more of the ideological critiques
320700	327780	and not get too enravelled in the kind of day-to-day fleeting politics, let's say.
328780	333060	And, of course, as I said, I'm a big fan of Peterson.
333060	340940	I also like some of the figures in the Intellectual Dark Web, and that begs the question, why should
340940	349220	we be skeptical and question these public intellectuals, people like Sam Harris, Jordan
349220	356820	Peterson, Brett Weinstein, Harvey Weinstein, oh God, Harvey Weinstein.
356820	363220	That's funny, what's Brett's brother's name, Eric Weinstein, we should definitely question
363220	364220	Harvey Weinstein.
364220	368420	Ah, right, that was, that was, I swear, that was an intentional, that was just a mistake.
368420	374460	In any case, all these people in the Intellectual Dark Web, why we should question them, and
374460	381220	I think the reason is because, firstly, whenever, personally, whenever I feel that the narratives
381220	389260	that people give out to the world, or the philosophies people propagate and advocate
389260	393820	for, let's say, when they're too coherent, when they're too, let's say, when they're
393820	400300	too much of like a salvation, when they're too redemptive, or when they're too, this
400300	404780	is it, we've got the absolute philosophy, we've got the absolute ideology to make something
404780	409940	work, I generally take a step back and I become a bit skeptical, because for me, you know,
409940	415820	in many ways I'm an absurdist, so there really isn't the kind of coherence that a lot of
415820	420140	the people in the Intellectual Dark Web would like to portray.
420140	425220	And it's actually a point David gets to in his article, which is what I really liked.
425220	433540	So I think whenever we feel like we're getting easy, easy answers, easy solutions, or not
433540	442500	even easy really, but the kind of solutions that seem straightforward without any deeper
442500	449220	introspection and deeper inspection into it, I think we should be skeptical of those kind
449220	450220	of solutions.
450220	459100	And I would say, speaking personally, around two or three years ago, when I really started
459100	464900	to like Jordan Peterson, I realized that I was liking him a bit too much, almost to
464900	467380	the level of obsequiousness.
467380	473380	And that was definitely unhealthy, because I realized, wow, I can't even read an honest
473380	478540	criticism of his work without taking it personally, as if he's some of my personal savior or
478540	479540	whatever.
479540	487140	And, and that's when I truly wanted to only again, treat Jordan Peterson as a person who
487140	493700	influences me, but not as the only point of influence or like this kind of he's in Christ
493700	497860	to put it in a dramatic way.
497860	502300	And that's when I started questioning him a bit more and looking for points of view that
502300	508260	differ from him points of view that, you know, he's completely a versatile, let's say, and
508260	515020	I realized, oh, wow, I actually completely disagree or predominantly with most of his
515020	516020	points.
516020	522620	I disagree with his politics and even his underlying philosophy, despite, and his interesting thing,
522620	529860	despite truly starting to admire and like him as a person, as an individual, as a teacher
529860	536860	and as a psychologist, like I still find his work on psychology to be brilliant.
536860	544420	I think he's a great psychologist, even though I think he's got his politics and his philosophy
544980	547500	and I see a lot of loopholes with his worldview.
547500	553580	And as a person, you know, I've got to say, again, one, one never, one never knows, especially
553580	558780	with public figures, how they portray themselves in public, you know, that kind of distinction
558780	564620	between the private life and the person, between the personal life and the public life.
564620	566340	Peterson looks like a genuine person to me.
566340	572620	He looks sincere and I'm, you know, speaking purely personally, I'm the kind of person
573100	579700	that appreciates family and having a good relationship with your significant other,
579700	586460	your wife, your spouse, whatever, your children, and I find that he's got that kind of relationship
586460	592900	and it seems just that that true love of a family and I appreciate anyone who can foster
592900	599300	that and who can have that in life because that certainly takes work.
599300	606620	So yeah, those are the points of the preamble and that, of course, leads me to this point
606620	610460	and I wasn't even going to put this part in the episode, but I realized that actually
610460	615780	maybe it's something I should talk about before I get to the article itself.
615780	620900	I still don't know if David Steeleman or Strowman, Peterson's arguments.
620900	625940	I don't know if he mischaracterized him and whether he, how he portrayed Peterson's
625980	633940	oppositions to Bill C-16, got to keep in mind David too is a philosophy student.
633940	637220	I think he's doing a PhD in philosophy.
637220	638580	Anyway, he's an art student.
638580	645900	So, you know, I don't want to make an argument from authority, but I do think someone who's
645900	651660	taken the time to go and study theory and go and study philosophy in academia.
651740	657300	I sell whole academia in high regard, contrary to most people on the internet.
657300	661740	And I would say a person like that probably has a better understanding of some of the
661740	668940	intricacies of these debates when it comes to free speech, pronouns, all the different
668940	673820	fragments that are connected in the whole Bill C-16 controversy.
673820	679940	So I didn't get the impression that David was trying to mischaracterize Peterson, but
679940	686700	also that's the one reason for that is because sometimes Peterson himself isn't coherent
686700	691380	with what his arguments are in his opposition to Bill C-16.
691380	697540	He will say it's a purely free speech issue, but then you can see from some of the interviews,
697540	701700	which is the interview that I'm going to play right now, that it's no, no, it's not just
701700	702700	a free speech issue.
702700	706140	He's got an issue with the gender identification too.
706140	712660	So without me putting words in his mouth, let's listen to this short clip that I found
712660	721580	on Majid Nawaz's show where, I mean, this was in 2018, so a bit after the whole controversy
721580	723580	broke out.
723580	728260	And I think this is the most, this is the shortest clip I could find where Peterson lays
728260	735180	down his points, kind of enumerates all his points as to why he opposes Bill C-16.
735180	737500	So let's take a look.
737500	743700	Bill C-16 purported to do nothing but extend human rights provisions to an excluded group,
743700	748220	let's say, to the transgender and non-gender binary types.
748220	750700	And that was the federal legislation.
750700	756540	It also made it a hate crime to discriminate or harass, essentially.
756540	760460	So now then the question is, well, what exactly do you mean by discriminate or harass?
760460	763580	And why exactly is that a hate crime under the criminal code?
763580	765740	Well, there was an answer to that.
765740	770420	The answer was, well, this bill will be interpreted in light of the policies generated by the
770420	773540	Ontario Human Rights Commission, very large set of policies.
773540	777180	Now the Ontario Human Rights Commission is a radically leftist organization.
777180	780940	I think it's the most dangerous organization in Canada, although you could debate that.
780940	782460	Of course, I've got to make a comment.
782460	786180	So I'm going to make comments in the middle of what he's saying.
786180	789820	I mean, if you want to watch the whole thing without me interrupting, just go and watch
789820	790820	the original video.
790820	797020	But you see, this is another thing what Peter said, as much as I like him, you know, when
797020	802420	he makes a statement, such a blatant statement that the Ontario Human Rights Commission is
802420	807380	the most dangerous organization in all of Canada.
807380	815060	That's where, you know, touching on my earlier point, one should take a step back and, oh,
815060	816060	is it really?
816060	817660	Like, what does he mean by that?
817660	824540	The most dangerous, that's quite a leap to call an organization the most dangerous organization
824540	826820	in all of Canada.
826820	831420	This is where I think we should pause the video because it's normally on YouTube that
831420	836940	he's popular and actually think and not let him, when I mean him, I mean, Peterson or
836940	840260	anyone for that matter do the thinking for us.
840260	842100	So back to the video.
842100	847460	Debate that and they said all sorts of policies about how this legislation was going to be
847460	853540	interpreted and the federal government linked to their website to state that Bill C16 would
853540	855580	be interpreted in light of those guidelines.
855580	857540	So I went and read all the policies.
857540	862860	Well one of the policies was that if you didn't use the preferred pronouns of a given group
862860	866620	that you could be charged essentially with a hate crime.
866620	867620	And I thought, no.
867620	868620	Which given group is that?
868620	869780	You mean talking about transgender people?
869780	870780	Yeah.
870780	872100	And so there's all these pronouns that have come up.
872100	877420	There's 70 different sets of pronouns approximately to hypothetically describe people who don't
877540	881740	fit anywhere on the gender spectrum, which is also something that I don't really understand.
881740	883740	I don't understand that conceptually.
883740	885240	We'll come to that.
885240	887340	But I just want to hear the story of this bill first.
887340	888340	Well, okay.
888340	893300	So now a person is compelled under Canadian law to use the pronoun of another individual's
893300	895900	choice by on pain of law.
895900	898420	And I thought, well no, that's not acceptable.
898420	902540	It's one thing to put limits on what a person can't say, like say with hate speech laws,
902540	904500	which I also don't agree with by the way.
904500	905980	But that's a different argument.
906060	908060	I think it's a narrower argument.
908060	914300	But to compel me to use a certain content when I'm formulating my thoughts or my actions
914300	918060	under threat of legislative action, I thought, no, what's happened there is the government
918060	921580	has introduced compelled speech legislation into the private sphere.
921580	924220	It's never happened in the history of English common law.
924220	926340	And so I said, there's no way I'm abiding by that.
926340	928260	I don't care what your damn rationale is.
928260	929260	We're compassionate.
929260	930500	It's like, no, you're not.
930500	931500	No, you're not.
931500	935060	You're playing this radical collectivist left wing game.
935060	941380	You're trying to gain linguistic supremacy in the area of public discourse.
941380	944980	You're doing that using compassion as a guise and you're pulling the wool over people's
944980	947580	eyes and you're not going to do it with me.
947580	952340	If I was sitting here in front of you as a transgendered male to female or female to
952340	956700	male and we began the conversation at the beginning of the conversation you stumbled
956700	961620	and called me he or she and I was perhaps identifying the other way around.
961620	964660	And then if I'd said to you, please, I'd rather go by she.
964660	966540	How would you respond to that on a personal level?
966540	968460	Well, it would depend on the situation.
968460	972780	But the way I have responded to that because I've had a number of conversations with transgendered
972780	977420	individuals is that I use whatever pronoun seems to go along with the persona that they're
977420	978900	projecting publicly.
978900	980740	It's the simplest thing to do.
