start	end	text
0	15680	Hi, everyone. Welcome to Reason with Science. I'm your host, Jigendra. This episode is with
15680	22320	Michael Levin and Nick Lane. Mike is a professor in the biology department at Tufts University,
22320	27840	where he studies the role of bioelectric signals in regulating development and regeneration in
27840	33520	animals. Nick is a professor of evolutionary biochemistry at University College London.
34080	40160	His work is focused on the fundamental processes that underlie the origin and evolution of life.
40800	46000	In this conversation, we talk about major transitions and key innovations in biology,
46640	53440	information in biological systems, bioelectricity, emergence of eukaryotes, and importance of
53440	59120	bioelectric signals to create artificial life. Enjoy the conversation, share, and subscribe
59120	66560	to support the podcast. Thank you for listening. Hi, Mike and hi, Nick. Welcome back. Hi. Thank you.
66560	74800	Hey, thanks for having me. Yeah, so, I mean, the kind of theme that I had in my mind is kind of
74800	81520	like talk about emergence of life. But of course, I don't want to ask you to define life because I
81520	87440	know your response. Both of you have been standing on this kind of response that life
87440	95280	is a continuum. So we can kind of take it from there. But when we think of emergence of life,
95280	101600	there is certainly a kind of transition we can think of. It's a transition of chemistry to biology.
101600	107120	And both of the frameworks that you guys are studying, I mean, the origin of life or developmental
107120	114160	biology, both of them, they are kind of this example of this transition. So let's take that
114160	122800	big picture view. How do you look at this continuum? How we can think of that continuum
124080	132640	depending upon a bacteria or a mold or a planaria living in a pond? So let's start with Nick.
133520	138880	Okay. I mean, you say a transition from chemistry to life. And I think both Mike and I would
140000	146880	probably emphasize electrochemistry or at least is borderline physics really in terms of what
146880	154080	we're talking about. And so the key, I suppose, in my mind is not a single moment where you
155280	158640	switch from one thing into another one. Even when you introduce information, there isn't a
158640	165040	single moment. But there's a process. And that process is partly over time and it's partly
165040	171200	structured. And the thing that I like most, I think, about the kind of environments I talk
171200	175520	about for the origin of life, which are mostly hydrothermal systems. But the nice thing about
175520	180720	those systems is really that they have a structure which is cell like. And they can template cells
180720	189520	that in effect can grow within them. And when I say cell like, the key attribute in my own mind
189520	196640	to cells is the charge on the membrane. It's really that that defines the cell from its environment
197440	202000	and which coordinates everything that's happening inside the cell. And so at the origin of life,
202000	206240	you have effectively a structure with charges on barriers that are cell like structures.
206960	210880	And it gives you this as a setup from the very beginning. And then there's lots of
210880	216480	interesting questions that we haven't really answered yet. But how does charge organize
216480	219680	things? It certainly does. But to what extent and in what ways?
221520	228800	Mike? Yeah, I think what I'd like to do is take, I mean, I agree with everything Nick just said,
228800	235280	but I will maybe take one step back and kind of talk about this question of physics versus
235360	244480	chemistry versus biology. I've come more and more to the view that what we're really talking about
244480	250720	in almost all of these problems has to be cashed out with respect to an observer. So to me,
250720	255120	the question of whether something is physics, or is it chemistry, or is it biology, or is it
255120	261280	psychology, or is it what you know, what is it to me, right? Is it should be specified relative
261280	266160	to an observer who chooses a particular lens? So one experience that I often have is that
267040	272400	I'll describe some amazing thing that the biological systems do and people say, wow,
272400	279120	this is super cool. And then if I happen to have the mechanism for it, I will say, here's the
279120	284800	mechanism. And then people say, oh, well, well, that's just physics. Well, that's not memory.
284800	288800	I can see how that works. That's not memory. That's just physics. And so there's this amazing
289760	296000	kind of moving of the goalposts that basically all of the interesting stuff, right? The cognition,
296000	301840	intelligence, memory, decision making, problem solving, meaning, all of these things,
301840	307040	the minute you show some sort of a mechanism underneath, then some people say, wow, that's
307040	312320	not that wasn't it at all. What I really mean is this other thing, this is just physics, right?
312320	318640	So what I prefer is this idea that you have a set of different tools that you can bring to
318640	324000	bear, and you can take anything and look at it and say, well, that's physics. And guess what
324000	329120	you'll see? You'll see physics. You bring your voltmeter, right? If you bring your ruler and your
329120	334080	way scale and stuff like that, guess what you'll see? You'll see physics. And if you bring other
334080	340720	kinds of tools that are conceptual tools that are better suited to recognize agency, so maybe you
340720	346400	bring something that recognizes virtual governors or it recognizes a decision making or something,
346400	349920	well, then maybe you'll find that and maybe you won't. So it's an empirical process, right?
349920	355520	So that's kind of my view on this. I think anything can be seen as just physics and many things
355520	360160	can also be seen as something much more and looked at at a higher level.
360160	366400	Yeah. I mean, actually the origin of life is kind of an exemplar of exactly that because there are
366400	373840	people who come from completely different disciplines in terms of training. So coming
373840	379520	as a physicist or as a chemist or as a geologist or as a cosmologist or a biologist and so on.
379520	386880	And you realize when you try to talk to people with a very different background that you don't
386880	393600	share the same language. And however much you try to be a scientist, you find that you're conditioned
393600	399840	and you have some blinkers on which make you see the problem with that toolkit. And half of the
399840	406560	problem that I have in working on the origin of life is to try and dismantle my own toolkit and
406560	411840	replace it with, well, just try to be a scientist. Just try to bring all these things together because
411840	417760	it is a question in all of those disciplines. And that's just the beginning of life. And once
417760	421440	we get into life, it just becomes more sophisticated and more of a problem. It's just that you can
421440	426880	see it really clearly at the origin of life. Yeah. Yeah. I think the, I mean, of course, it's,
