start	end	text
0	16600	Report from Santa Fe is made possible in part by grants from the members of the National
16600	22760	Education Association of New Mexico, an organization of professionals who believe that investing
22760	29400	in public education is an investment in our state's economic future, and by a grant from
29400	33600	the Healy Foundation, Taos, New Mexico.
33600	37400	Hello, I'm Loreen Mills, and welcome to Report from Santa Fe.
37400	39800	Our guest today is Kenneth Stanley.
39800	41400	Thank you for joining us.
41400	42400	Thank you, Loreen.
42400	43400	Really happy to be here.
43400	47720	Well, you are an associate professor at the University of Central Florida.
47720	52760	You're a computer scientist, an artificial intelligence researcher, and you're here on
52760	55320	sabbatical with the Santa Fe Institute.
55320	56320	That's right.
56320	58440	So that's how we get to have you.
58440	65440	You are the co-author with Joel Lehman of this fascinating book, Why Greatness Cannot
65440	68960	Be Planned, and the subtitle is?
68960	70880	The Myth of the Objective.
70880	72560	What is the objective?
72560	74960	What do you mean, the myth of the objective?
74960	79800	So when I'm talking about the myth of the objective, I'm talking about the fact that
79800	84840	so many things that we do in our lives and in our culture are guided by what we call
84840	85840	objectives.
85840	88640	Like, it's something that you set that you want to achieve, and you say, this is now
88640	93360	my objective, or this is our objective as a society, or as an institution, or something
93360	94640	like that.
94640	99760	And we believe, and this is like a really deeply entrenched aspect of our culture, that by setting
99760	103200	an objective, it makes it possible to achieve it.
103200	107280	And the message of the book, and the reason we call it the myth of the objective, is that
107280	112520	actually many times, and this is a surprise, having an objective can actually prevent you
112520	114800	from achieving your objective.
114920	120920	So, it is a surprise, and something that we intuit, but the fact that you've come through
120920	127320	it through computer science, and you wonder how many times does a theory in computer science
127320	132360	affect our real life, but you have almost, some have said that this is in a way a scientific
132360	134080	proof of serendipity.
134080	137400	Yeah, I mean, this is a really unusual story.
137400	138400	It's true.
138400	144160	You usually don't end up prescribing social policy based on algorithms in computer science.
144160	149520	And it was a long, you know, circuitous path for us to get from these scientific experiments
149520	153840	to the point where we're actually critiquing certain things about culture and society.
153840	155640	It wasn't our intention from the beginning.
155640	157040	But that's what the whole book is about.
157040	158040	Yeah, it's kind of...
158040	161040	It had been your intention, you wouldn't have been able to do it.
161040	164880	Yeah, I mean, it's like the story behind the book is almost like part of the theme of the
164880	165880	book.
