start	end	text
0	6600	Hi everyone, welcome to the Power Hungry podcast.
6600	8480	I'm Robert Brice on this podcast.
8480	11880	We talk about energy, power, innovation, and politics, and I'm pleased to welcome back
11880	13520	for the third time.
13520	16880	That's right, ladies and gentlemen, the third time, Dr. Judith Curry.
16880	22320	She is the author of a new book called Climate Uncertainty and Risk, Rethinking Our Response.
22320	24760	Judy, welcome back to the Power Hungry podcast.
24760	26120	Well, thank you.
26120	28600	I'm delighted to join you again.
28600	33480	So your book has been out now a couple of months, and it's called, as I said, Climate
33480	37720	Uncertainty and Risk, Rethinking Our Response.
37720	41480	You've been on the podcast before, but guests on this podcast, I think you remember, introduced
41480	42480	themselves.
42480	46200	So you've been on here once, but imagine you've got 30, 60 seconds, you've walked into a room,
46200	47200	you don't know anyone.
47200	48200	Introduce yourself, please.
48200	49200	Okay.
49200	50200	I'm Judith Curry.
50200	56160	I spent most of my career in academia, most recently at the Georgia Institute of Technology,
56160	61120	where I was chair of school of Earth and Atmospheric Sciences for 13 years.
61120	65560	I'm currently president of Climate Forecast Applications Network.
65560	73240	I'm proprietor of the blog Climate Etc. at JudithCurry.com and author of a new book,
73240	75840	Climate Uncertainty and Risk.
75840	76840	Very succinct.
76840	79280	Well done, Attagirl.
79280	83360	And you're also on Twitter, so we get this out of the way, at CurryJA.
83360	84360	At CurryJA.
84560	85560	Okay.
85560	91200	Well, I'm going to just tell me, you know, I've been reading your book, give me your
91200	92200	pitch.
92200	93200	What is this new book about?
93200	97720	We've talked before on the podcast, we've talked about climate science, media, et cetera.
97720	102440	What is this book and what do you hope to achieve with it?
102440	108320	Well the whole climate science issue and the policy response has been squeezed into this
108320	113960	little tiny box, you know, with everybody bouncing around inside the box dotting eyes
113960	118480	and crossing T's and threatening anybody who tries to go outside the box.
118480	121240	Well, I blow the lid off the box.
121240	127280	I look at all the other stuff that people, the inconvenient things that people are trying
127280	128840	to shove under the rug.
128840	130240	I look at the uncertainties.
130240	131640	I look at the controversies.
131640	137600	I look at why we disagree, both in the science and the policy response.
137600	145000	I talk about, you know, how politics of this has really torqued this in a very unfortunate
145000	146000	way.
146000	154440	I talk, the middle part of the book, I look at, speculate about what we can expect in
154440	157280	the 21st century in terms of climate.
157280	163680	I mean, the climate models are deeply flawed in terms of giving us a reliable perspective
163680	164680	on this.
164680	170200	I speculate, you know, on a whole range of possible outcomes, including plausible worst
170200	171880	cases.
171880	177360	And the third part of the book is the most important one really, it's risk and response.
177360	185400	And this is where I talk about how we've fundamentally mischaracterized climate risk and how we've
185400	188960	fundamentally mismanaged our response.
188960	196960	And I use principles from a variety of risk science disciplines to put together a menu
196960	202760	of some other approaches that we can take that make more sense when you're dealing with
202760	211720	a very complex, deeply uncertain problem with conflicts of values and political disagreements
211720	213440	in play.
213440	223320	So, you know, it's a very different approach, and it's a very integrated approach to this
223320	229560	very wicked problem that I think can lead us on a path to doing sensible things and
229560	237640	setting our path towards a prosperous and safe 21st century.
237640	238640	That's a good summary.
238640	240140	Thank you.
240540	244700	Looking at the book, though, and as I've been going through it, and I don't mean this
244700	247020	as a slam, but we talked about it right before we started recording.
247020	251820	You said this was written or published by an academic press, Anthem Press, and it's heavily
251820	252820	footnoted.
252820	254820	And I got to say, I love me some footnotes, right?
254820	257140	I have footnote all my books.
257140	259580	It's a laborious process.
259580	262500	So well, this is a kind of a geeky question.
262500	267340	I could tally them all up here, but about how many footnotes are in this book?
267340	268340	Roughly.
268340	269340	About 1500.
269540	273500	1500 in 239 pages.
273500	280060	So you have your references here, which I think you made clear.
280060	282100	You wanted to publish this book before we started.
282100	286540	You said you wanted it published by an academic press, that it was peer reviewed, and everything
286540	291060	here you've stated is all fully cited.
291060	295780	But still, I mean, the fundamental issue that, and we've talked about this before, is that
295820	301860	we're seeing this lack of robust debate, or even any debate, really, and that most recently
301860	308700	John Clouser, who won the Nobel Prize in physics in just in June and August, had a speech,
308700	313180	a presentation to the International Monetary Fund that he was canceled because he's not
313180	317540	towing the line on the catastrophist orthodoxy.
317540	323660	If I can use that phrase, I mean, it seems rather than getting better, rather than the
323660	329300	debate getting slightly more open, it's getting even yet more constrained, or is that fair?
329300	330300	How have things changed?
330300	331300	Oh, that's correct.
331300	335420	I mean, we'll go back to the little box again.
335420	341580	And the reason it's all been shoved into a box, everybody has to agree, because the
341580	348180	oversimplified analysis that our brilliant policymakers have made is that we need global
348260	351700	collective action on this problem.
351700	354300	And in order to get there, everybody has to agree.
355540	363140	So, you know, so there's huge motivation with that framing of the problem to nuke anybody
363140	364140	who disagrees.
366260	369060	I just want to make sure you said oversimplified analysis.
369060	370580	Is that is that what you the phrase?
371380	375020	Right. So we have to nuke anyone who disagrees.
375420	382060	But that I think that seems to be the right right description as well, that there we will
382060	383700	not brook dissent, right?
383700	388140	But is that so you've talked about this in academic terms, because that's where you
388140	388940	come from this.
388940	393500	And I come at it from as a more, I would say just a more general reporter approach.
394380	397740	But if I were to say, well, what's driving this, I would say it's money, right?
397740	403100	That there is a lot of money at stake here for various subsidies under the Inflation
403100	406700	Reduction Act. This is one of the big drivers, of course, of the renewable energy rollout,
406700	410460	right? There are massive subsidies for wind and solar at hand.
410460	413660	So there must not be any controversy about this.
413660	419660	Otherwise, the sub that you stop the flow of the money is that an oversimplified analysis?
419660	421500	It's an oversimplified analysis.
421500	426940	I think we have to go back to the 1980s and the UN environmental program.
427420	433340	There was a big drive for non-governmental world control through health, environment,
433340	437900	and all these issues, and they keyed on climate change is the issue to get us there.
438620	444860	And we had a climate change treaty in 1992, the UN Framework Convention on Climate Change.
444860	449100	This was before the temperature even started warming in a significant way,
449100	452620	and the US even signed on to that treaty.
452620	459740	So from the very beginning, you've had the policy card way out in front of the scientific horse.
459740	465980	And this is a UN agenda. It's degrowth. It's anti-capitalism. It's anti-democratic.
466620	470700	And in order to enforce this, they amp up the alarm.
471260	476780	I mean, the worst rhetoric, I mean, apart from extinction, rebellion, or something like that,
476780	484940	comes from you and officials, global boiling, code red, all of this kind of stuff over a slow creep
485660	491660	of warming. And the agenda is to kill off the fossil fuel industry. They don't like that.
491660	498380	They don't like nuclear either. So this is a real, it's a clash of values.
498380	504860	And there was a recent survey of university climate scientists, and they asked them a
504940	512780	bunch of questions. And a majority of them were in favor of degrowth, not green growth,
513500	519340	but degrowth. Okay, so you can see the perspectives of these people. I mean, it's not necessarily
519340	524300	about money. There is certainly an element of, you know, follow the money and all this.
524860	529660	But there's a whole worldview and an ideology behind all this.
