start	end	text
0	6080	Hello, this is Robinson Earhart, here with the introduction to Robinson's podcast, number
6080	14800	196. And this episode is with the brilliant Stephen Wolfram, who is the founder and CEO
14800	24080	of Wolfram Research, the creator of Mathematica, Wolfram Alpha, and the Wolfram Language. And
24080	29360	among his many other accomplishments, Stephen received his PhD in theoretical physics from
29360	35360	Caltech when he was only 20 years old with the renowned physicist Richard Feynman on his committee.
35920	43360	This is Stephen's second appearance on the show, much to my delight. And in episode 102,
43360	52000	we talked about artificial intelligence, chat GPT, and then there was a lengthy and enjoyable
52000	57680	digression into the philosophy of math. In this one, though, we turn to another of Stephen's
57760	64800	ambitious projects, which is his search for the fundamental theory of physics, and how it has
64800	74400	led him to a very mysterious structure called the rouliad, which is the entangled limit of all
74400	80880	possible computations. That's a mouthful, but we'll get into that in a lot more detail. And
80880	87280	Stephen believes that the rouliad, though I don't want to put words into his mouth, so these are
87280	94960	my words, is the universe or that the universe is part of the rouliad. And observers like us are
94960	102960	simply embedded in the rouliad and experiencing it in different ways. We also, along the way,
103520	110640	get into some ideas in the philosophy of science, some metaphysics about abstract and concrete
110640	117120	objects, and then the foundations of quantum mechanics. A lot of the material that we discussed
117120	123840	can be found in Stephen's book, A Project to Find the Fundamental Theory of Physics, and in
123840	130160	writings on his website, including an article titled The Concept of the Rouliad, links to which
130160	138720	are in the description. He also does plenty of live streams, he posts plenty of other articles,
139520	144080	there are Q&As, so there's also a link to his website where you can find all of these things.
144640	151520	On my end, reviews, likes, comments, subscribes, these are all very much appreciated, and there is
151520	159280	also now a Patreon, a link to which is in the description. If you are interested in supporting
159280	167040	the show, add free episodes, there's an RSS feed to that, and then some very nice show notes and
167040	174000	takeaways. But now, without any further ado, I hope that you enjoy this conversation as much as I
174000	190880	enjoyed having it with Steve. Before we get to the rouliad, I want to start a bit with its history,
191120	198000	which I guess is also your history, and my understanding from talking with string theorists,
198000	205440	causal set theorists, loop, quantum, gravity theorists is that many other theories of everything
205440	211680	have come out of quantum gravity since general relativity and quantum field theory are two
211680	217760	best physical theories, but my understanding is that the rouliad did not come from this direction
217760	223280	at all. So where did your search for the fundamental theory of physics begin?
224720	230240	Well, it's complicated stories. So when I was a teenager, I was interested in physics, and
231920	237920	I became a pro before too very long, and I worked on quantum field theory and general
237920	244960	relativity, basically, particle physics and cosmology and so on. And that was in the late 1970s,
245760	253040	and at that time, I wasn't in the, let's find a theory of everything, I was in,
253040	256720	we have some theories, they're starting to actually work, things like QCD,
256720	261120	things about the early universe and cosmology and so on. Let's figure out the consequences of
261120	267200	these theories. And that was a fertile thing at that time. And it was, I managed to make some
267200	274320	progress on that. Then I got, I was making computational tools that I used, I don't know
274320	279680	why other people didn't use them, but at least at the time, there were these computational
279680	285680	tools for doing calculations in mathematical physics and so on. I used these to great effect.
286320	294000	Then in 1979, I kind of realized I had outgrown all existing computational tools, and well,
294000	299040	next step was build my own. So I started doing that. And that led to this thing called SMP,
299040	305200	which was kind of a forerunner of Mathematica and both in language. And in building SMP,
305200	312080	I kind of was a, this is, I want to make this computational system, what are, think about it
312080	316240	like a natural scientist, what are the kind of primitives of computation from which we can build
316240	324000	this. And so I did that, built the system, practical system, etc, etc, etc. And then I got
324000	331600	back into doing basic science. This is probably 1981 or so. And I had this, you know, this basic
331600	338080	question about sort of where does complexity come from in the universe. And that the sort of the
338080	343520	standard mathematical physics that I knew didn't tell me much about that. Well, I realized, and
343520	347600	this is sort of back projecting history, because at the time I wouldn't have explained it this way.
347600	353440	But the thing I realize now is that the experience of building this computational language SMP
353440	360400	back then, from sort of these abstract computational primitives kind of gave me the meta idea that you
360400	366480	could just sort of construct a theory from nothing, so to speak, that you could construct a theory,
366480	370560	sort of from the ground up, rather than doing what one traditionally does in natural science,
370560	376320	which is to say, look at the universe as it is, and try and say, how does one get to,
376320	381120	how does one reverse engineer the universe as it is. So that kind of experience of building
381120	387600	this computational system from sort of abstract primitives was the thing that kind of got me into
387600	393280	this idea of let's, let's see what happens when we just start from some abstract primitives and
393280	397440	build things from there. What, what do we get? Do we get something that's like the natural world?
397440	401360	Do we get something completely different? And then the big kind of set of discoveries that I made
401360	407920	about these things called cellular automata that are just, you know, simple rules applied to grid
408720	414320	lines of black and white squares and so on, that the big surprise was, if you just do the computer
414320	419840	experiments, you just sort of turn your computational telescope out into the computational universe,
419840	424640	you discover some remarkable phenomena, particularly you discover that even when the rules are very
424640	433520	simple, the behavior is complicated. And so that to me at first, that was a story of kind of the
434160	439280	explaining things in the natural world. How does one explain sort of the complexity of snowflakes
439280	445680	or turbulence and fluid flow? What are the underlying sort of foundational ideas, the kind of
447200	454000	sort of pre physics sort of abstract ideas that lead to this? It's not traditional mathematics,
454000	459360	it's not traditional mathematical physics. It's something different. It, I realized,
459360	464400	was this kind of computational foundation. So I worked on that for a number of years,
464400	472640	then I kind of had a sort of an attempt to build what ends up getting called complexity theory
472640	481040	as a sort of, as an actual activity in the world. And the process of doing that convinced me, okay,
481040	485920	plan B is just figure out a bunch of stuff myself. Let's not wait for the rest of the world to do
485920	489760	this. Let's just figure it out myself. And that led me to start building mathematical
489760	496080	law from language and our company. And also in the end, this book, big book, a new kind of science
496080	504160	that I would now describe as being at its heart, it's a work of Ruleology. It's a given these rules,
504160	510480	what happens in the world. And the big surprise there was that sort of given these rules, the
510480	515040	given very simple rules, there was just a lot of richness in what happened and a lot of general
515040	519280	principles like the idea of computational irreducibility, the principle of computational
519280	525040	equivalence and so on, these kind of emergent general principles that I kind of realized were
525040	532000	there from having done this kind of essentially in a natural history study of Ruleology of kind
532000	537920	of what do rules out there in the computational universe do. Anyway, they're one of the use cases
537920	543360	for this kind of new kind of science based on sort of thinking about things computationally.
543360	548640	One of the use cases like couldn't avoid looking at was fundamental physics, because after all I
