start	end	text
0	24000	Well, thank you so much. And I'm delighted to be here. Thank you for putting on such an amazing symposium and giving me the opportunity to share some thoughts with you in long form.
24500	40000	So what I'm going to talk about today is basically the fields of collective intelligence in unconventional spaces. And if anybody would like to get in touch with me afterwards, all of the primary papers, the software, everything else is here.
40500	56000	So I want to start by just showing one of my one of my heroes Alan Turing. We all know that he was a forefather of artificial intelligence, he was very interested in this idea of creating cognitive systems and various kinds of intelligence.
56500	70500	And this is this is this is well known. What's maybe less well known is that the same person was really interested in morphogenesis. He wrote one of the very early papers on on trying to understand self organizing chemical systems.
71000	87000	And you might wonder why it is that the same person would be interested in intelligence and morphogenesis and I think that he saw a very deep parallel between these two, these two areas of study and I think he was right on the money in the sense that I think these are actually very much the same question.
87500	97500	Now, most of the time when we think of intelligence, we think of something like this so here's a brain and we think of okay here's a here's a what quote unquote centralized intelligence of some some animal.
97500	107500	And then we look at things like this and colonies and so on and sometimes we talk about them as distributed or collective intelligence is swarm cognition and so on.
107500	120500	And so like calls them liquid brains. But actually, it's important to realize that this is just a matter of scale because if one zooms in, you find out that we are all in fact collective intelligences and we are all made of something like this.
120500	130500	So this is a single cell. This is a lacrimaria. It has no brain. It has no nervous system. It has no cell to cell communications or stem cells or any of the things that we're used to having in bodies.
130500	140500	What it what it does is it handles all of its local needs so so morphological behavioral metabolic and so on at the single cell level very competently.
140500	159500	And the amazing thing about this is that we all have taken the same journey from from what what might be called just physics, which is an oversight right a set of a set of chemical reactions that people would look at and would think okay,
159500	177500	this this has no cognitive capacities is just just some physics and chemistry. And yet, slowly, so over a matter of some months and maybe years, this process gives rise to these amazing morphologies and in fact, to high level human cognition that has second order, you know, metacognition and self awareness and so on.
178500	189500	And so this is a journey across the Cartesian cut that we all take. If you follow your own, your own development back far enough, you will find this and before that you will find just so it was quote unquote just physics.
189500	197500	So it's really interesting to ask how this transition works this this smooth transition. And so the main points that I'm going to try to transmit today are these.
197500	211500	First, that biology uses a kind of multi scale competency architecture of nested problem solvers, and that navigation is a really central concept to try to understand navigation spaces in particular is a central concept to try to understand this.
211500	221500	I'm going to claim that goal directedness is a is a critical invariant for recognizing building and relating to various unconventional agents.
222500	240500	And I'll describe a kind of cognitive boundary model for the scaling of goals. I'm going to spend about half the talk showing you one specific example in detail, which is this idea that pattern formation biological pattern formation is literally the behavior of a collective intelligence of cells in a space known as
240500	254500	morpho space. And I'm going to show you that bio electrical networks are the proto cognitive medium the ancestor of brain function. And this this idea actually has some very practical impacts on biomedicine.
254500	269500	This is not just a sort of philosophy this has very specific applications. And in the end I'm going to show you how synthetic by engineering provides a really astronomically large option space for new bodies and new minds that don't have standard evolutionary backstories.
269500	271500	So we'll get to that towards the end.
272500	285500	So, single cells have some really interesting spatial competencies that we can start off by thinking about. So this is a diatom. This is a single cell, and that particular very particular structure is something that it can reliably acquire.
285500	300500	This is a collection of several acetabularia algae. Each one of these things is in fact a single cell that has one nucleus. The whole thing is maybe, I can know six or seven centimeters long, it has some roots, it has a stock, it has a cap here.
300500	308500	The whole thing is just one cell. And so this is quite interesting to ask how it is that a single cell can have such such profound morphological differentiation.
308500	322500	But these these competencies are not only spatial, they are also behavioral. And so what you're seeing here is a slime mold. This is a fissarum polycephalum. The whole thing is one cell. It can grow to be very large, but the whole thing is one cell.
322500	331500	And so when you place it in the middle of this Petri dish, the little white circles are glass discs. There's no food, there's no chemicals, they're completely inert glass.
331500	347500	So what it will do as it grows during the first few hours, it sort of grows evenly outward like this. And what it's doing during this time is sending out vibrations into the medium it pulses and sends vibrations into the medium, reading back the vibrations that that return so it's
347500	361500	almost the kind of sonar it's sensing, sensing the properties of the medium. And by doing this, you can actually build a map of its environment, and then reliably make its way over to the heavier mass. So it can reliably detect three discs over one and you can all sorts of fun
361500	372500	experiments of stacking them one on top of each other and distributing them. But it has an amazing ability to sense the mass in its vicinity, and to make both morphogenetic and behavioral decisions based on that information.
372500	382500	So you can see this cell navigating in this space according to the biomechanical information that it has. So I'm going to show you four basic things today.
382500	396500	So first, we're going to try to introduce some biology that you may or may not have seen before, designed to really kind of stretch our idea of what is an organism, what is a mind, what does it mean to navigate space and so on.
396500	414500	And then, then we'll get into this very specific examples of bio electricity and morphogenesis. And then we'll talk about some of these novel organisms. So the kind of the traditional view is of these discrete static natural kinds you have a particular animal maybe you have a rat that you're studying
414500	427500	in a maze or a human subject or whatever you have. And that's, you know, that's kind of that's kind of your unit. But I want to I want to go beyond this, this sort of garden of Eden view and really emphasize that agents that do these intelligent things are incredibly plastic.
427500	441500	So here's one familiar example. Here we start with a caterpillar. This is a creature that lives in a in a largely two dimensional world that crawls around on flat surfaces that choose leaves, and it has a brain appropriate for that purpose.
441500	453500	It has to turn into a butterfly which is going to live in a very much a three dimensional world that has to fly it has to drink nectar. And in and it needs a completely different brain this is a soft bodied robot this is a hard bodied
454500	471500	controller suitable for hard kinds of bodies. And so in between what happens is during this process, the brain is largely, largely destroyed, most of the connections are broken down, most of the cells die, and and the new brain is rebuilt during the lifetime of the organism.
471500	483500	And so, you know, this this this kind of change makes the confusion of puberty seem like real child's play, you know, in the sense that this is a single agent radically changing its its its brain and its body.
483500	497500	And the amazing thing about it is that memories that the caterpillar acquires are retained in the moth or butterfly. So this has been shown so despite the despite the disaggregation of the brain actually some information is able to make it across.
497500	509500	This can be even more radical these are these are planaria. These are flatworms and you'll see a lot more about them in this talk. The planaria regenerate any part of their body so you cut them into pieces. The record is something like 275 pieces.
509500	525500	Each piece regrows exactly what's missing including the brain and you get perfect little worms. So, James McConnell back in the 60s, made an observation and it was, you know, quite controversial at the time but we repeated it and actually discovered he was he was absolutely right.
525500	535500	What happens is that if you if you train these planaria to recognize a particular region of their environment, let's say one with these little little bumps laser etched into it as the place where they get fed.
535500	545500	You can then amputate the head and the brain. I mean, these animals have a true centralized brain. Amputate the head and the brain leave the tail. The tail sits there for eight or nine days doing pretty much nothing.
545500	555500	Eventually it grows a new fresh brain and somehow that information is imprinted onto this new brain and these animals show retention of that memory.
555500	564500	So the information moving through the body being imprinted from one tissue onto another is something that we really need to start to understand.
564500	573500	And in fact, beyond beyond those kind of experiments, you can do this invertebrates. We did this in the tadpole. So this is a tadpole of the frogs and a Peslevis.
573500	581500	Here's the brain. Here are the nostrils. Here's the mouth, the gut and the tail. One thing you'll notice is that what we've done is we've prevented the normal eyes from forming.
581500	586500	We've put an ectopic eye on the tail. So this is a this is an eye that forms on the tail.
586500	596500	And the amazing thing about these animals is that with no long, in fact, with no period of evolutionary adaptation to this new configuration, they can see perfectly well out of these eyes.
596500	602500	So we've made a device that tests them on visual training cues and sort of automates the same thing we use to test the planarian memory.
602500	612500	It's an automated behavior testing device. And what we found is that this eye finds itself in a completely novel environment surrounding my muscle instead of near the brain, puts out an optic nerve.
