start	end	text
0	6720	This public lecture series.
6720	11840	Many of the most cherished books in science, Einstein's relativity, Schrodinger's What
11840	17820	Is Like, Richard Feynman's QED, were all based on public lectures.
17820	24420	In this spirit, we want to welcome you here tonight, this public lecture.
24420	29800	In the special series beginning tonight, the ULAM lectures, we bring a notable scientist
29800	36000	to illuminate a cutting-edge topic in honor of the late theoretical mathematician Stanislaw
36000	37560	Ulam.
37560	42280	All of our public lectures are underwritten by the McKinnon Family Foundation, who allow
42280	47080	us to continue to provide the lectures at no cost, and we want to take a moment to thank
47080	54840	them first.
54840	59160	We are additionally supported by the Santa Fe Reporter and this Lenzick Performing Arts
59160	65680	Center.
65680	70600	Stanislaw Ulam was long associated with Los Alamos National Laboratory, and is highly
70600	74520	regarded by the Santa Fe Institute scientific community.
74520	79840	Former SFI vice president Mike Simmons said, the enormous range of Ulam's scientific thought
79840	85680	encompassed not only mathematics, but also physics, computation, biology, and much else.
85680	90000	He would have been very much at home in the present day Santa Fe Institute.
90000	96060	In this tradition, I am proud to introduce Ricard Soleil, our speaker tonight.
96060	101640	Simply put, Ricard is one of the most abundant and interesting theorists alive.
101640	108780	Ricard leads Icreia, the complex systems lab at the Universitat Pompeo Fabra in Barcelona.
108780	113760	He is also an external faculty member here at the Santa Fe Institute.
113760	118780	Ricard originally studied both physics and biology and undergraduate before achieving
118780	120900	a Ph.D. in physics.
120900	125900	His work touches on everything from how life originated to present day ecology to the very
125900	127920	nature of thought.
127920	132800	In the late 90s, Ricard connected ecology and mathematics by demonstrating the fractal
132800	138040	structure of forest canopies, and that these structures emerge from the statistical dynamics
138040	140060	of self-organization.
140060	145860	This is a fundamental idea in ecology, and the full extent of the impact of these ideas
145860	149940	are still being woven into our study and predictions of forests today.
149940	154900	They are ideas that inform and inspire my own work constantly.
154900	160540	Ricard has worked on other fundamental mathematical questions related to complex networks.
160540	165540	More broadly, he is interested in how life works, spanning from how cells first originated
165540	171200	in our past, to how brains developed to know and observe those same cells today, to how
171200	178720	technological societies network brains to design new cells and engage in global bioengineering.
178720	183480	And it is necessary to point out that Ricard's aggregate breadth of study is never at the
183480	185360	expense of depth.
185360	190560	This combination of expansive topics pursued with deep rigor is one of the rarest talents
190560	192520	in science.
192520	196860	In my own interactions with Ricard, we often discuss literature, and I am the fortunate
196860	203020	recipient of many quotes from novels, biographies, and historical scientific works.
203020	207980	The wonderful drawings that you are looking at tonight are made by the man himself.
207980	212420	This shows that his imagination is constantly in motion, and it is a pleasure to discuss
212420	214080	any topic with him.
214080	218780	He is a true polymath and an ideal speaker for this lecture series.
218780	223000	With that, please help me welcome Ricard Soleil.
223000	225000	Hello.
225000	231120	You hear me?
231120	235040	Thanks for coming tonight.
235040	240520	It's a real honor to be here delivering the Olam lectures this year.
240520	244720	Thanks, Chris, for this great introduction.
245080	252060	My talks have to do with a very exciting domain of research, which is mapping the space of
252060	254020	cognitions.
254020	259820	Not only the cognitions that we are familiar with, what I call the solid brains, but trying
259820	266340	to understand what is there, what is what I call the cognitive biosphere, what is there,
266340	272340	how much is complex, and whether or not we can understand the evolutionary dynamics that
272360	279360	brings us, and if we can maybe go beyond evolution and try to engineer that complexity.
280880	285520	So, before I go to that, since this is an Olam lecture, I want to say a little thing
285520	292720	about that, because when I was in high school, I stumbled into this book, The Monte Carlo
292720	293720	Method.
294700	304700	It was a tiny book edited by the former Soviet Union in a series of little books with all
304700	311200	kinds of things, where I discovered that Stan Olam, along with John von Neumann, invented
311200	317220	this method that physicists use all the time to actually model complexity that has to do
317220	320540	with some kind of randomness.
320540	323880	And that brought me into play myself.
323880	331040	It was the time of, there were no computers, so I'm old enough to say that, and so I had
331040	336400	a calculator, I have a coin, and I did a model of a gas.
336400	343960	You can see this is written with a typewriter, and I elaborated with that using that book.
343960	349960	And one of the things that I learned is that there's a lot of power in being able to approach
349960	355340	reality using, let's say, synthetic approximations.
355340	360940	And the other thing I learned is that it's something about popularity.
360940	367540	This series is called Popular Lessons in Mathematics.
367540	370340	Did that make me popular at all?
370340	371340	No?
371720	376960	And I understood that popularity is not exactly that kind of stuff.
376960	383760	But the other thing that I did connect is, I was mentioning Ulam and von Neumann, which
383760	385800	you can see there on the left.
385800	389040	In the middle we have Richard Feynman, another big name.
389040	392080	It was important in my life.
392080	399720	And von Neumann, and I will mention him today and tomorrow, brought me also into something
399720	400720	else.
401100	406420	This book by Michael Arby, Brains, Machines, and Mathematics, and again, I was still in
406420	407420	high school.
407420	410940	I found out that there was people thinking in the brains using mathematics that you could
410940	414300	approach actually brain complexity using mathematics.
414300	418060	I found out extremely fascinating.
418060	426300	And over time, I got involved in trying to figure out how to solve some of the interesting
426300	427300	questions.
428280	434520	There are plenty of good things that we would like to understand from the question of why
434520	435520	brains?
435520	442400	Why brains is part of a more broad complex, a more general question on complexity?
442400	448440	Because some people said that why the biosphere is not just made of microorganisms.
448440	449440	They are cheap.
449440	450440	They reproduce.
450440	453040	They propagate and proliferate.
453100	460580	Thinking that it adds complexity and brain is a lot of complexity with a cost seems to
460580	461580	be superfluous.
461580	463820	Why actually is any complexity?
463820	466660	And brains are especially important.
466660	467660	What kind of brains?
467660	471700	That's one of the big questions we'll try to bring.
471700	473380	Are there other minds?
473380	475900	It's a very hot topic these days.
475900	479820	What is a mind and how do we define and what we can find out?
479820	482900	All the way up into the artificial.
482900	489040	So whether or not beyond evolution, beyond what we see, beyond what we can infer about
489040	496600	how nature happened to construct complexity, whether we can actually create new things.
496600	501840	And that connects with the big question of the major evolutionary transitions, namely
501840	506160	how the big innovation happens in the real world.
506160	512600	Many years ago, Eosia Smadi and Don Minersmith made this list of transitions that had to
512600	518540	do with the origins of cells, the origins of information, the code, et cetera, et cetera,
518540	522020	all the way up to language.
522020	524060	Of course, the list is more complex.
524060	528100	You could ask yourself, what is the origin of consciousness?
528100	529900	Why do we have consciousness?
529900	530900	I will address that.
530900	536700	I don't have an answer, which might be wrong, but you'll see.
536700	541940	And in the middle of all this discussion about what is the nature of innovation and how innovations
541960	549600	happen, is precisely this special thing of biology, the special status of information
549600	550920	in biology.
550920	560040	And Eva Javlonka and Marion Lam made this beautiful work where they bring precisely this idea.
560040	562680	Cognitive agents bring something extraordinary.
