start	end	text
0	10400	I'm speaking at SFIs for a public lecture, I think around over 20 years ago, when I was still young, they had a compression on me for thinking that I had new physics type thinking in ecology.
12120	29020	He's been at UC Berkeley, the answer to SFI for a long, long time, doing incredible research. That's a big interface of math, physics, biology, very ecology focused, really asking the deep ecology questions, but bringing the bear whatever tools you can, putting maximum lots of
30020	31020	Thank you, John.
33020	34020	Thank you.
35020	42020	I always enjoy coming here and talking with people and refreshing myself.
44020	52020	I'm going to talk about bungee and forests and a very controversial topic, group selection.
53020	72020	You've probably heard, you can't help but hear about new developments in our understanding, we hope it's real understanding, of forests and the symbiotic relationships that arise in forests with the bacteria and the fungi and the soil.
73020	80020	There's been lots of interesting speculation, some good science and some hype.
82020	95020	Here are some examples of the hype, but there's also real science behind some of the new developments in our understanding of how fungi and trees interact.
96020	100020	The headlines go overboard.
101020	109020	We didn't invent the internet, plants did, and in fact they claim they made it even better than we, than our internet.
110020	124020	There's, of course, inevitable pushback against speculative claims that talk about super organisms and use of the word communication when we talk about the relationships among trees.
125020	150020	The concept of the mother tree has been advanced and opposed by many. Nature, ecology and evolution in 2023 had an article, and I'm just giving one quote from it, positive citation bias and overinterpreted results lead to misinformation on common mycorrhizal networks in forests.
151020	166020	Just last night, a new article in Nature came across my email and it's a review of this whole concept of the mother tree.
167020	178020	The mother tree idea is everywhere now, it wasn't before, but how much of it is real and the article delves into the controversy.
181020	194020	What I want to argue here is that the reality of forests and fungi is much more interesting than anything I've just flashed on the screen for you, and I want to try to convince you of that.
195020	199020	The talk really is in three parts. The first part I think is pretty rock solid.
200020	211020	The second part begins to delve a bit into speculation, but strong support, and the third part is wildly blue sky speculation.
212020	214020	So that's the outline of my talk.
215020	233020	The work I'm going to revisit in the first two-thirds of the talk is work that was initiated actually a long time ago, three decades ago, by a graduate student of mine, Ann Kinzick, who is now an ecology professor at Arizona State.
234020	255020	There were two key papers that came out in the 90s, one in the American Naturalist and one in the British Journal of Ecology, which really go into great detail, and much of my talk will be a summary of the major conclusions from these papers.
256020	274020	The story really begins with the nitrogen cycle, and I've shown here a simple schematic of how nitrogen, an essential nutrient for plants, and microorganisms is cycled.
275020	293020	It's a little bit oversimplified, but it contains the essence of the nitrogen cycle. Green plants die, and the nitrogen in the plants becomes part of the nitrogen in the soil, part of the humus, part of the organic substrate.
294020	309020	If it's a lake, then the nitrogen in the dead algae, or a kelp, or whatever, become dissolved into the water, and you have dissolved organic carbon compounds.
310020	327020	Microbes also die, and their dead little corpses become part of the soil-organic matter pool, and microbes derive their nitrogen directly from the soil-organic matter, what they actually do.
327020	343020	It's a bit more complicated than the diagram suggests. They convert organic nitrogen, like the nitrogen found in amino acids, into inorganic nitrogen, ammonium and nitrate, and then they take up the ammonium and the nitrate.
344020	348020	So it's sort of a little bit roundabout, but that's the way they function.
348020	361020	And the ammonium and nitrate, which is produced by the microbes, chewing on organic matter, is then available for the plants, who also need the nitrogen.
362020	377020	Okay, that's the nitrogen cycle, except I'm not showing you some little tweaks, which are at the one or two percent, maybe five percent level, making this not quite a perfectly closed system.
377020	387020	There's nitrogen fixation from the atmosphere and other processes, leaching, but this is the essence of the cycle.
387020	398020	And now if we turn to what motivated the work I'm going to talk about, a seemingly trivial minor question came up.
398020	416020	I asked it at a symposium on the nitrogen cycle that was taking place at Berkeley, and somebody was presented a diagram more or less like this, and I asked the question, what determines the ratio of B to A in an ecosystem?
417020	428020	Okay, there were all kinds of answers ranging from idiosyncratic or maybe governed by some law, but we don't know what it is.
428020	434020	Actually, a few people in the audience said that the question was ignorant.
434020	438020	It didn't matter what the ratio was, so why ask the question?
438020	450020	Well, it will turn out it does matter, because the ratio will give us some interesting insight into much deeper, bigger issues, like group selection, as we'll see.
450020	465020	So what determines how much of this nutritious, inorganic nitrogen is taken up by microbes, including both fungi and bacteria, and how much is taken up by plants?
465020	473020	How do they share this common resource? They're competing for it, so they've got to figure out a way to share.
473020	481020	Okay, to answer what happened is after that symposium, Ann and I got together and we said, we've got to figure this out.
481020	491020	This seems trivial, but my guess was it was not idiosyncratic, that there was something going on and it would be worth trying to figure it out.
491020	501020	And we realized very quickly that we'd also have to turn to the carbon cycle, not just look alone at the nitrogen cycle, but also carbon.
501020	507020	Okay, here's a pretty picture of the carbon cycle, but maybe this will make things a little more clear.
508020	515020	Green plants take CO2 from the atmosphere. They also respire it back.
515020	524020	And when they die, the dead plant matter becomes the carbon in the soil, the organic carbon.
524020	528020	The organic carbon is chewed up by the microbes.
528020	542020	In fact, the microbes wouldn't exist, at least the current types of microbes, without this carbon because breaking down the carbon bonds in the organic matter in the soil is how they get their energy.
542020	553020	So this is the food that powers the microbes, and then the microbes also respire and produce CO2.
553020	565020	So this is the carbon cycle, and it's important to mention to emphasize that plant-derived organic carbon is the energy source for most microbes.
