start	end	text
0	10000	Rwy'n cael ei ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud.
30000	50000	Rwy'n cael ei ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud.
60000	90000	Rwy'n cael ei ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'
90000	120000	ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud
120000	150000	o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r d
150000	161380	dweud e wicked
161380	167160	Go ahead, everybody!
167160	170540	Hello!
170540	173060	First off, um, some thank you's.
173060	176300	The most important one.
176300	177860	We at S own a fan Locities like to thank the McKinnon family foundation
177860	179940	who underwrites this entire
179940	184060	liliwsham tîn hefyd yllud o flyngeoliol,
184340	190420	ti yw'r amgueddfa Sabir na'r請oedd fiTVll I.
190740	192220	Felly, bydd e môl ychydig.
192220	201500	ye'r yw gweld cynnigadseitau mewn gweld mewn gweldiannau,
201500	207340	a ni'n tyfn ni'n gwoedd ar yektoedd ond bynnag.
207340	209340	Thank you very much for this lecture.
209340	212480	Very importantly, we would like to thank you, the members of the audience,
212480	215480	for participating in this series.
215480	219480	Again, again!
219480	223580	Very, very prosaicly, thank you for voting at the Santa Fe Institute,
223580	227360	this series yet again as the best lecture series
227360	230080	in this town and city of Santa Fe,
