start	end	text
0	4000	He wasn't established a long time, his long career career back then is five.
4000	7520	He works on a whole bunch of physical principles related to origins of life,
7520	12000	pro-cells, after biology. It was his pleasure to have him here today, PhD.
12000	17520	Thank you. Yeah, it's certainly also, it's always wonderful to be back here and
17520	21440	nice to see a number of known faces and some new ones too.
22240	25680	Some of you know that I've been a bit obsessed with,
25680	30640	we're trying to create life in the lab for many years.
30640	35280	When I was younger, I thought I'd be long done by now, but it's not so easy.
36000	43920	So what I'll present here today is our latest work on computational work, theoretical work,
43920	49280	on the missing link to actually implement a living system in the lab.
49840	57280	And I want to emphasize my collaborators here, and we have Christopher Thompson
57280	62720	and Marco Toccio. They are two recent graduate students I've had, and you guys
62720	67760	of course know Artemis. He's been here for a long time at SFI.
67760	70880	Hansiak is an old friend from Los Alamos and Didliu.
71600	76640	Bornebush is also one of my previous graduate students.
76880	84640	So, I'll focus on the question of how to get information into a self-replicating
84640	89920	molecular machine. This has been an issue we haven't been able to solve experimentally yet.
91200	97200	So, if I can figure out, and it doesn't work this year,
97520	107920	I can also use this one here. So, I think that most of us would agree that
109440	113200	if we want to have a transition from non-living to living matter,
114400	122240	then it has to be characterized by the origin of some functional information that can
122480	130400	tell how to build this living matter. So, the goal is to demonstrate how particular
130400	136960	molecular reaction networks they can generate and store this kind of information.
139200	141520	I guess it looks smart, but it isn't.
142080	155280	So, my answer is to start with a metabolism. I think this is really the key, and I'll try to
155280	160880	argue for that, because there's still some discussion in the community about
161680	167360	what came first, the chicken on the egg here. It's clear that energy is needed and information
167440	171440	is needed. There has to be some kind of containment also, but I really think that
171440	180160	one should focus on the energetics in the beginning. So, imagine we have an energy gradient,
180160	186400	some free energy available. We can then use this free energy to turn resources into building blocks,
187200	194480	and the key is to have a catalyst that can be in more than one state. So, there can be a selection
194480	201440	of catalysts if these building blocks, they will actually also be, or one or more of them,
201440	206800	will be catalysts. So, we are in a situation where we provide energy from the environment,
207360	212960	so we start with resources, and then we end up with building blocks. Of course, the desired
212960	219440	situation is that we lift our building blocks up, so we get more complex building blocks that are
219440	228400	energetically higher up, but it's also okay if we can just make new materials by this process.
231200	236160	And of course, this is not clear why this is true, at least some people say it is not clear.
236160	242800	So, therefore, I've tried to state two questions here. Why focus on metabolism? Is metabolism
242800	249600	really primary to information since our topic is mainly information? And how is a good metabolic
249600	258160	catalyst selected and up-concentrated if you have a system like this here? Free energy available,
258160	262560	you use this energy to turn resources into building blocks, where one of the building blocks is
262560	271520	actually a catalyst that can catalyze its own formation. So, we have an order catalysis. And
271520	280640	for some of you, this is, you already know that, but I want to emphasize that if we look at a molecular
280640	289440	system that has different states, let's see that it has w different states, then we know from Boltzmann
289440	297040	that it can encode information to the amount of the equation of PIS, which is information is equal
297040	308560	to Boltzmann's constant and the natural logarithm of the possible states. And there is information
