start	end	text
0	8520	And the director of Hardin's really great because Gerd is one of the originator of the
8520	13520	theory of ecological rationality at the simple computational models of rules, algorithms
13520	17240	that people use to make decisions in different contexts.
17240	22960	And he's basically introduced complex system science to psychology, cognitive science because
22960	28680	his main thesis is that we cannot understand cognition without looking at its social and
28680	34080	physical environment, only by careful analysis of both the environment and the algorithms
34080	36760	people use to make decisions and solve various problems.
36760	40880	We can understand how people behave and why people behave in different situations.
40880	45640	Gerd is a recipient of numerous awards.
45640	51600	He is member of the Academy of German Academy of Sciences, author of numerous books translated
51600	52600	in many different languages.
52600	53600	And he plays banjo.
53600	60600	So we need to have a closer look at the question.
60600	67200	All right, thank you.
67200	70200	Thanks Mirta.
70200	75280	Today I will talk about how to make good decisions.
75280	83240	If you open a book on rationality in neoclassical economics, behavioral economics, or psychology
83240	89080	of philosophy, you likely encounter the following message.
89080	96120	Good decisions follow the laws of logic, the calculus of Bayesian probability and the maximization
96120	99320	of expected utility.
99320	106840	This is beautiful mathematical theory, but it does not describe how most people actually
106840	113680	make decisions, not even those who write these books.
113680	116120	Let me start with a story.
116120	123120	A professor of decision theory at Columbia University in New York had an offer from a
123120	125400	rival university.
125400	127320	It was Harvard.
127320	130360	And he could not make up his mind.
130360	131360	Should he stay?
131360	132360	Should he leave?
132360	133360	Should he accept?
133360	134360	Reject.
135040	140040	A colleague took him aside and said, what's your problem?
140040	144520	Just maximize your subjective expected utility.
144520	148640	You always write about that.
148640	157960	Exasperated, the professor responded, come on, this is serious.
157960	164520	I'll invite you today in a short tour in our research at the Max Planck Institute for
164520	169640	Human Development on how people actually make decisions.
169640	180760	And I'll start with a key distinction between risk and uncertainty.
180760	190200	A situation of risk is a well-defined, stable, small world where the agents know the exhaustive
190200	196680	and mutually exclusive set of all future states and the exhaustive and mutually exclusive
196680	205920	set of their actions, of the consequences given their actions and states.
205920	213640	Jimmy Savage, who is often referred to as the father of modern Bayesian decision theory,
213640	219800	called this a small world.
219800	221760	There are examples for the small worlds.
221760	230960	If this evening you go to the casino in Santa Fe, if there is one, and play roulette, you
230960	233480	are in a small world.
233480	241400	You know every possible state that can happen, from zero to 36, all the consequences and
241400	245400	probabilities.
245400	253240	The tools for dealing with risk or maximizing expected utility, Bayesian probability updating
253240	257160	and many more.
257160	264280	In a small world, by definition, nothing new can happen.
264280	273320	I had the quote from Fjodor Dostoevsky, who said, in this world, if everyone would be
273320	276560	rational, he said, nothing would happen.
276560	283400	With amazing foresight, he had seen the development of rationality.
283400	290280	Now there are two, most of the problems have to do with, however, with some aspect and some
290280	293080	amount of uncertainty.
293080	301400	Uncertainty is a vast sea of situations where there is no small world where we either cannot
301400	307800	know all future possible states or their consequences.
307800	315200	It's not just about probabilities, it's about the state space.
315200	317680	Researchers have two ways to go.
317680	328360	One is to take an everyday problem, like investment, whom to hire, or whom to marry.
328360	336360	These are all situations of uncertainty because things can happen that you had not anticipated.
336360	345240	Then go one way, reduce it to a small world where everything is known and you can maximize.
345240	353120	That's the way that most theories in neoclassical economics, also behavioral economics, at
353120	356000	least the standards, are going.
356000	365560	The other option is to take uncertainty seriously, face it, and develop and study the tools that
365560	371920	actual people use to make decisions in an uncertain world.
371920	376600	Here by definition, optimization is not possible.
376600	386520	You cannot construct even a subjective probability distribution over a set that you don't know,
386520	390160	that you don't know completely.
390160	397960	I will talk today about one class of tools that are useful under uncertainty, and these
397960	401120	are heuristics.
401120	412360	Heuristics are rules that embody the art to focus on the important and ignore the rest.
412360	423600	Heuristics can lead to good decisions in a world where we cannot forecast the best decisions.
423600	430600	Examples are Herbert Simon's satisfying, Boston Fruity Trees, imitation, agent-based
430600	441680	models who use simple rules like the flocking of starlings, the beautiful models.
441680	448480	I will today go a different way than most of the models are going.
448480	455600	For instance, even behavioral economics, who criticizes neoclassical economics, criticizes
455600	465600	not normative standard, not homo-economics, not the maximization of expected utility,
465600	473160	rather takes a standard to evaluate people, and if there is a discrepancy, the blame is
473160	475760	never on the theory.
475760	478560	It's always on the people.
478560	485480	And then you get the list of biases that are all in your minds, and explain why you all
485480	493200	make these strange decisions, and stubbornly have no insight in your failures.
493200	495120	This is not my message.
495120	502440	I want to study how people make decisions and formalize the heuristics, and then find
502440	509120	out in what situation do they work and where do they not work.
509120	513680	That's the question of ecological rationality.
513680	521760	Rationality is not in the mind, but in the adaptation of mental strategies to certain
521760	523640	environments.
523640	530400	Let me start with an example that makes the difference clear between a model made for
530400	538400	risk and model made for uncertainty.
538400	547240	Every Markowitz got the Nobel Memorial Prize in economics for solving a certain problem.
547240	555640	The problem is you have a number of N assets, and you want to invest your money, and you
555640	561200	want to diversify, not put everything in one pocket, but how?
561200	565040	The answer is the so-called mean variance model.
565040	567440	It's a standard probability model.
567440	575520	You need to estimate all the future returns, their variances, and covariances.
575520	582080	When Harry Markowitz made his own decisions about the time of his retirement, he used
582080	585800	his Nobel Prize winning optimization method.
585800	590680	So we might think, no, he did not.
590680	599840	He used a simple heuristic that we call 1 over N. N is the number of assets or options.
599840	604280	So if it's 2, you do 50-50.
604280	609840	If it's 3, a third, a third, a third, and so on.
609840	615040	Now 1 over N is a heuristic.
615040	619040	The mean variance model is an optimization model.
619040	625200	The mean variance model assumes we are in a world that is stable, where we can estimate
625200	631320	the parameters to some degree of precision.
631320	637280	Number of studies have looked at 1 over N.
637280	645240	And for instance, the study by D. Miguel here has looked at seven real-world investments
645240	654360	and found that in six of the seven cases, 1 over N made more money than Markowitz's optimization
654360	660280	as measured by sharp ratios and similar ones.
660280	668880	The results have been found when exchange-traded funds were tested, ETFs which are close to
668880	673080	1 over N, they're very hard to beat.
673080	678760	Now there is a battle in the literature, which one is better?
678760	681440	Complex optimization or simple heuristic?
681440	684280	This is the wrong question.
684280	685840	None of this is better.
685840	688000	No algorithm is the best.
688000	690520	We need to ask a different question.
690520	701200	So can we identify the environment, the conditions where a simple heuristic like that does better
701200	707760	than another one, another model, and where it's the opposite?
707760	714160	The answer to this question of ecological rationality is not known.
714280	716120	Some of you might figure it out.
716120	719000	Here's some hypothesis.
719000	729080	So if you think in terms of the bias variance decomposition, then 1 over N has probably
729080	739600	a strong bias but makes no error due to variance because it doesn't estimate any parameters.
739600	745680	So the error due to variance means that you get different results depending on what sample
745680	748600	you make your estimates.
748600	759640	So the real question to solve here is when is the bias that 1 over N has larger than
759640	770200	the total error that mean variance makes, that is both bias and variance.
770200	774840	So this is the way I would like to think here.
774840	779000	Excuse me, did Markowitz ever say why he chose 1 over N?
779000	780000	Yes, he did.
780000	783760	He had a psychological explanation.
783760	793200	He said if I would, his choice was between the typical retirement situation, just stocks
793200	794200	or bonds.
794200	801320	If I would put everything in bonds and they would go down, I would feel bad.
801320	803120	If the opposite, I would also feel bad.
