start	end	text
0	4640	Are you still a reader in mathematical neuroscience? Is that still accurate?
4640	7520	I've changed all our titles a little bit. Okay, so a man of many titles.
9440	13520	Whatever I was at Bristol, I know you were the head of the Computational Neuroscience Unit,
13520	19520	and he was also an examiner for my PhD five. So super, super happy to have him here today.
19520	25040	Thank you, Connor. Brilliant. Sorry, one second. Cool. Well, I'm super excited to be here. This has
25040	28720	always been kind of a legendary location for me. I've always wanted to visit, and
30320	34880	it's really blown me away. It's an amazing looking place. It's my first time in New Mexico, and oh
34880	40080	my god, the countryside here is just incredible. I assume that it's traditional to start talks here
40080	45360	with some reminiscence about the time that you met Murray Gaumann. So I met Murray Gaumann 20
45360	49360	years ago. I was still a particle physicist then. He was coming through 20 College Dublin,
49360	53040	where I was working at the time, and he asked me where I was from, and I said I'm from Galway,
53040	59120	which is true. And he said, oh yes, Galway, home of this, Galway, off whose coast the Spanish Armada
59680	64160	founded in the storm, saving the British Navy the trouble of sinking it. Home too, he said,
64160	69840	to the myth that the lusty sailors thus wrecked, swam ashore, and bred with the local women to
69840	77040	create the black haired Irish. Something he said that is not true, the black haired Irish are
77040	81840	presumably the remnants of the indigenous population, the population there before
81920	86960	and accounts of population whose traditions and cultures we know from archaeology,
86960	91280	but whose language is wholly lost and unknown. And I was just incredibly impressed by the whole
91280	96240	thing. I mean, he knew where Galway was. He knew that we had this link with Spain. He knew about
96240	100320	the Spanish Armada sinking. He knew that we all believed, as it turns out incorrectly, that the
100320	108800	Spanish sailors had created these sort of black haired folk in Galway. And he told me this
108800	112560	interesting thing about how these black haired folk are probably the remnants of the indigenous
112560	117520	population. And I was always intrigued by this idea that there was a language that they spoke,
117520	121680	which is now completely lost. The idea of these completely lost languages is lovely.
121680	126880	It also struck me with something of a show off, but that's true too. But it was very impressive.
126880	133520	And so I'm very, very, very glad to be in the Murray Gilman building. I was, I did start life
133520	137440	as a particle physicist and then became a neuroscientist and only started working on language
137440	142560	recently. So I don't know that much about it. But the reason I started working on language was I
142560	147840	read this kind of bizarre quote from Novichonsky, which says, in their essential properties,
147840	151920	and even down to fine details, languages are cast in the same mold. At the Martian scientists,
151920	156080	my reasons we conclude that there's a single human language with differences only at the margins.
156080	161920	And that just seemed so, so wrong to me. And, you know, I thought
162880	169840	that maybe that is an accident of not, you know, thinking about how different languages are. It
169840	173040	seemed to me, you know, the languages are incredibly different from each other. And I'm
173040	177680	looking with where I'm from to know a little bit of Irish. And Irish is, you know, although an
177680	184720	inter-European language is more different to, you know, English than maybe French and so on is.
184720	188320	I mean, for starters, it has a different word order. One of the more striking features is the,
189280	194480	it doesn't have a verb possession. So here, this is the Irish for, I have a newspaper, Thon,
194480	201280	Newton, Ogham. And what's happening there is that there's no, the Thon is just the verb is. So the
201280	206640	literal translation of that sentence is the newspaper is at me. The Ogham is a preposition
206640	210880	combined with the pronoun, which is a feature of Irish. And prepositions do a lot of work in Irish
210880	215360	that it's done by other parts of speech in other languages. So instead of saying that you have
