start	end	text
0	21600	That was a lovely introduction, wasn't it?
21600	26400	It went on a bit too long, but I didn't mind.
26400	36040	This evening I'm going to talk about, I've borrowed from Donald Rumsfeld the subtitle,
36040	40760	because I'm going to talk about essentially the contents of this book, The World According
40760	41760	to Physics.
41760	42760	It's not my most recent book.
42760	45720	I think there may have been some confusion in the blurb.
45720	52480	I had a book came out this year called The Joy of Science, which I was a bit concerned
52480	61560	about because when my publisher, my editor said, great title, it's based on this cookery
61560	62560	book in America.
62560	67200	I forget the name of the author in the 1950s, The Joy of Cooking, and he said, we're calling
67200	68200	it Joy of Science.
68200	74320	I said, you do know there's another book, The Joy of, which begins with an S. That might
74320	77720	help with sales, maybe.
77760	83320	But anyway, I'm talking about, this is the book before last, The World According to Physics.
83320	87040	There are many books, popular science books on physics.
87040	93680	Those of you who read and follow popular science will know that every year there are probably
93680	99840	a dozen or more good books that tell the story of what we understand about the universe and
99840	102720	about reality.
102720	107880	Many of them are very big books, over a thousand pages.
107880	108880	This one is small.
108880	109880	It's almost pocket-sized.
109880	118280	If we think about our knowledge of the physical universe as an island, these books will explore
118280	119280	the whole island.
119280	126280	They will tell the history of how we came to understand what we know, and they try and
126280	128040	cover all aspects.
128040	132320	This book is a walk around the shoreline of the island.
132320	138320	The edges, the limits of what we currently understand, and what there is out there that
138320	141840	we still need to understand.
141840	143240	So I'm going to try and get through.
143240	148680	I'm not going to be able to cover all areas of physics in 50, 45, 50 minutes, because
148680	153920	I want to give some time for questions, but I'll see what I can do.
153920	159760	I want to start with this article by Stephen Hawking.
159760	167840	So this was in 1981, over 40 years ago, predicting the end of theoretical physics.
167840	171600	So he says, in this article, I want to discuss the possibility that the goal of theoretical
171600	175040	physics might be achieved in the not too distant future.
175040	178640	He was talking by the end of the 20th century.
178640	184760	This was just before the big revolution in what we call super string theory, but that
184760	191000	was the mood in theoretical physics in the last few decades of the 20th century.
191000	192840	They felt we're nearly there.
192840	199440	We nearly have a theory of everything, a theory that unifies all the phenomena and the forces
199440	208600	and behavior of the physical universe into one equation you can wear on a t-shirt.
209480	217160	Of course, it reminds us of what physicists thought at the end of the 19th century, because
217160	225440	again, by the 1890s, well, we have electromagnetism, we have Newtonian mechanics, we have thermodynamics
225440	228360	and statistical mechanics.
228360	233240	We know everything, and then they discover the electron, they discover x-rays, they discover
233240	240480	radioactivity, and then Max Planck kicks off the quantum revolution, and Einstein comes
240480	241480	up.
241480	248000	They realized that actually what we thought was the whole, the explanation of everything,
248000	251840	was a long way from what we now understand.
251840	258160	We were a long way from the end, and I would argue that again, we are actually a long way
