start	end	text
0	3680	Hello everyone, welcome to the Mindscape Podcast. I'm your host Sean Carroll.
3680	9200	We've done a lot of sort of science on the podcast over the years, as it were. The podcast is old
9200	13200	enough, I can now say over the years. Wow, that's pretty impressive. And doing science, when you
13200	18480	try to talk about science to an audience, which is not necessarily full of specialists in that
18480	24640	particular kind of science, what do you do? How do you talk about science to non-scientists? Well,
24640	29680	the very first thing you do is you strip out all the math, right? You assume that the people
29680	34560	listening are not necessarily familiar with the equations, the symbols, the manipulations that
34560	39840	the professional scientists have to go through to understand their field. But you can nevertheless,
39840	44160	even without the math, you can talk about the concepts that the scientists are dealing with.
44800	51120	This raises a puzzle when the thing you want to talk about is math. We haven't talked about math
51120	56400	as a pure subject that much here on Mindscape. We did talk to Steven Strogatz, who's a professional
56400	61920	mathematician, but he's very close to being a physicist in many ways. We haven't quite ascended
61920	68560	to the truly abstract realms of very pure mathematics. So that's what we're doing here today.
68560	74320	Pure mathematics, no equations, but we're going to try to talk about the concepts that you come
74320	80160	across at the most elevated realms of mathematical thought. Our guest today is Emily Reel, who is
80160	86160	a topologist at Johns Hopkins, and she's a very big believer in being able to conceptualize these
86160	92160	deep mathematical ideas in the simplest and best way possible. So she's a great person to guide us
92160	97120	on this tour. And the foundational idea we're going to be talking about is topology.
97120	102960	Topology is the study of the properties of mathematical spaces that are invariant when
102960	109040	you smush them, when you smoothly deform them a little bit, right? Like if you have some clay
109040	114320	that is molded into a shape, you can talk about the number of holes in the shape of clay that you
114320	119280	have. And then if you move around the clay a little bit, if you don't rip it, the number of holes will
119280	125440	remain constant. So that's a topological invariant. It turns out, and this is where the fun part comes,
125440	132240	that as a mathematician you want to say, okay, what do we mean by characterizing the qualities
132240	138080	of a mathematical space that are invariant under smooth deformations? Well, you can count the
138080	144240	holes. You can also say, well, how many times can I make a path that wraps around the holes in
144240	151680	this particular system? Those kinds of structures turn out to be numbers or transformations or
151680	158160	other things that we can add together and multiply together. And we build these mathematical algebraic
158160	164320	structures by asking the question, how do we topologically characterize these kinds of spaces?
164320	170400	So we're led from topology into algebra. And Emily's going to take us there. We're going to discuss
170400	176480	things like homotopy, groups, rings, group oids, all these words that you're not supposed to have
176480	181600	necessarily been familiar with already. We're going to discuss them. And by the end, we're getting
181600	186960	into what is called category theory. Category theory is something where even the other mathematicians
186960	192960	go, oh, no, that's too abstract for me. Category theory is sort of a general theory of spaces and
192960	198560	structures and maps between them. It provides a different way of thinking about mathematics as a
