start	end	text
0	3520	Hello, everyone. Welcome to the Mindscape Podcast. I'm your host, Sean Carroll.
4240	9840	When you think about how we conceptualize human beings, someone once pointed out that
9840	16240	we're always using metaphors that depend on our current best technologies, you know, when clocks
16240	21840	were just invented, wristwatches and so forth. It was the clockwork universe when robots and
21840	27520	machines came on the scene. We thought of organic beings kind of like that. And now we have computers,
28080	34480	besides which we have, you know, cameras and video cameras and audio recorders and so forth.
34480	41280	So we tend, very, very roughly, you know, we tend to think about a person as kind of like
41280	49600	a robot with some video cameras for eyes and audio recorders for ears hooked up to a computer
49600	56320	inside. And the sensory apparatus brings information into the computer, which then tells
56320	63200	the robot body what to do. It's a simple, kind of straightforward, compelling picture. It's also
63200	70000	wrong. That's not actually a very good description of what we are, how we behave. For one thing,
70000	75920	intelligent design is not the way that human beings came about. We evolved over many, many years,
75920	81120	and we weren't aiming for that. We have to think about what is the kind of architecture that actually
81120	87280	best serves the purposes of surviving and procreating and reproductive fitness and so forth.
87280	92080	And it turns out to be very different. So today's guest is Andy Clark, who is a philosopher and a
92080	97840	cognitive scientist. In fact, his title at the University of Sussex is Professor of Cognitive
97840	104000	Philosophy, very well known in philosophy, very, very highly cited for thinking about the brain
104000	109040	and the mind and how they're related and how they work. He became very famous with a co-author
109040	115520	paper with David Chalmers, where they proposed the extended mind hypothesis, the idea that what
115520	121760	you should count as your mind is not just your brain, but also all the little extensions of
121760	127200	the brain that help us think, whether it's inside our bodies, or whether it is things we scribble
127200	132400	down on a piece of paper or used to enhance our memories or calculation abilities, and so forth
132480	139440	and so on. He also has a great interest in the idea of the brain as a predictive machine. And
139440	146560	that is the subject of his new book, The Experience Machine, How Our Minds Predict and Shape Reality.
146560	152880	So the idea here is that the brain is not a computer just bringing in sense data and then
152880	158960	thinking about it. Our brains are constantly constructing a set of predictions for what's
158960	163840	going to happen next, what is going to be the situation in which the body finds itself, what
163840	169040	is the sensory data that we're going to bring in, and then you compare what you're actually
169040	175120	experiencing versus what the brain was predicting, and you try to play the game of minimizing the
175120	180240	error between what you predicted and what you're actually perceiving. This sounds like maybe a
180240	185840	small change of emphasis or an angle on a similar kind of process, rather than the brain just being
185840	191600	a passive receptor of information. It is sort of actively engaged in a feedback loop, but it has
191600	196960	very, very significant consequences for how we think about thinking, how we think about fixing
196960	202560	thinking, right? When we go wrong one way or the other, whether it's being in pain or having a mental
