start	end	text
0	4000	Hello, everyone. Welcome to the Mindscape Podcast. I'm your host, Sean Carroll.
4000	9000	Long time listeners will know that I've long been a fan of Las Vegas.
9000	14000	I like to go to Vegas, play poker, eat, shop, whatever, just relax and have a good time.
14000	18000	Haven't been able to do it quite as much. Now that we're on the East Coast, that's okay.
18000	23000	There's always pluses and minuses. Now we can go to New York. It's like the Las Vegas of the East.
23000	28000	But anyway, one of the reasons why I like Las Vegas is in addition to the stereotypes.
28000	35000	So the stereotypes are absolutely there, right? There are long rows of slot machines
35000	40000	with dull-eyed people mindlessly pressing buttons hoping to get rich someday.
40000	46000	It's kind of depressing, that part. But there's a lot of weird stuff in Vegas if you look closely enough.
46000	53000	So by Vegas standards, one of the weird things that I really like is there's an outpost of Bowman Rare Books.
53000	57000	This is a well-known rare book store with headquarters in New York.
57000	64000	But they have a Vegas store in the Palazzo Hotel Casino, where I used to stay sometimes.
64000	68000	And it's just weird. Among all the glitz and glamour, here's rare books.
68000	73000	And they actually have a lot of first editions of things, but also some weird sciency books.
73000	76000	They have a signed Albert Einstein, for example.
76000	83000	And I was very amused to see in Bowman's Rare Books in Vegas a copy of Claude Shannon's Master's Thesis.
83000	88000	Claude Shannon, famous 20th century scientist for many reasons.
88000	94000	And his Master's thesis, I didn't actually know this before I saw it in the bookstore, is very famous.
94000	101000	It's been called by Howard Gardner the most influential Master's thesis of all 20th century science.
101000	105000	This is a Master's thesis that has its own Wikipedia page, okay?
105000	114000	And it's about basically using Boolean analysis to model and improve the efficiency of circuits and things like that.
114000	117000	Pretty awesome for a Master's thesis kind of thing.
117000	125000	But for my purposes today, I'm just using this as a somewhat strained segue into, of course, Claude Shannon's big contribution,
125000	131000	even bigger than the Master's thesis came 10 years after when he essentially invented information theory.
131000	135000	He wrote a paper called The Mathematical Theory of Communication.
135000	145000	And like many great scientific breakthroughs, theoretical breakthroughs, this was driven by a down-to-earth technological practical need.
145000	150000	Shannon was interested in sending signals across the Atlantic Ocean in wires.
150000	153000	And you want to send a signal in a way that is efficient, right?
153000	158000	That is least likely to be garbled or to lose the information.
158000	164000	And to do that, to figure out how to do that, you need to have a mathematical way of characterizing what you mean by information.
164000	173000	And it turns out, as he discovered by doing the math, that it's very, very similar to the formula for entropy in statistical mechanics.
173000	185000	So there was clearly some interesting hidden relationship here between information and communication on the one side and statistical mechanics and thermodynamics on the other side.
185000	189000	And of course, so this is the middle of the century, 1948.
189000	192000	This idea has blossomed quite a bit.
192000	194000	You hear about information all the time.
194000	196000	You hear about it in the political arena, right?
196000	198000	Misinformation, disinformation.
198000	200000	You hear about it in technology.
200000	203000	The information superhighway, that was a big thing.
203000	211000	And you must have heard that information as a concept is useful in biology, in neuroscience, quantum mechanics, quantum information, and so on.
211000	224000	So today, on the podcast, we have Christoph Adami, who is, like many mindscape guests, he started out his career as a relatively traditional physicist doing nuclear and particle physics.
224000	230000	And now he's a professor at Michigan State, not only in physics, but also in, I think, molecular biology department.
230000	234000	But he studies evolution and life, including artificial life.
234000	243000	And he has a new book out called The Evolution of Biological Information, How Evolution Creates Complexity from Viruses to Brains.
243000	251000	So I'm going to use this as an excuse to really get clear on what is this information theory stuff.
251000	253000	I mean, by the way, the book is a little technical.
253000	256000	I'm not going to advocate it for people who don't like equations.
256000	259000	There are some equations there, but the equations are quite mild.
259000	267000	You know, if you're the kind of person who doesn't read equations every day, but doesn't blanch when you see one, it might be a good book to pick up.
267000	279000	And we're going to talk about what information theory is in general and specifically how biologists or people who care about biology, even if they're physicists, are going to use information theory to better understand things like evolution
279000	281000	and even the origin of life.
281000	288000	I would say that 75 years later, the idea of information theory we got from Claude Shannon is still not settled in.
288000	292000	You know, we're still working through the basic implications of this.
292000	293000	So it's very exciting.
293000	294000	It's fun.
294000	298000	It's a new lens with which to look at the world in a detailed way.
298000	301000	And, you know, that's all we like to do here at the Mindscape Podcast.
301000	302000	So let's go.
309000	322000	Chris Hadami, welcome to the Mindscape Podcast.
322000	323000	Glad to be here.
323000	327000	You know, let's start with this idea of information theory.
327000	337000	It's always going to be a challenge when you have an idea like information theory that uses a natural language word that people are familiar with, right?
337000	338000	Information.
338000	342000	They think they know what information is, but now we have math behind it.
342000	348000	We've talked about information theory a lot on the podcast without ever just taking a breath and saying what it is.
348000	354000	So do you have a best way, a favorite way of explaining information theory to the person on the street?
354000	355000	I do.
355000	365000	It's actually strange that in this case, the mathematical understanding of the word information is actually very similar or very close to our understanding,
365000	369000	generally speaking, in our normal, you know, everyday usage.
369000	385000	So to really define information mathematically or even in words, we can just say that information is that which allows someone who has that information to make predictions with accuracy better than chance.
385000	386000	Right?
386000	389000	So there's a system that I know something about it.
389000	393000	And then that means I can actually predict some of its states.
393000	398000	For example, you know, where I can find coffee with accuracy better than chance.
398000	404000	If I would be just randomly go somewhere, well, I would most likely not end up in a coffee place.
404000	410000	But if I have information, that means I can actually say, hey, I have to go to this particular place.
410000	415000	And that's how we understand it normally in our everyday language.
415000	419000	And it is also exactly how it is defined mathematically.
419000	426000	Mathematically, information is that which is used to make predictions, but it has to be better than chance to be information.
426000	429000	Otherwise, it's just a guess, right?
429000	437000	And so because making predictions with accuracy better than chance is really powerful, that means it's also powerful in biology.
437000	440000	But of course, it's also powerful, let's say in the stock market.
440000	448000	If I have inside information, I can get rich using information because I can make predictions about, for example, the stock price was accuracy better than chance.
448000	457000	And Shannon, when he defined this concept in 1948, he defined it precisely that way, even though he didn't use exactly those words.
457000	463000	And as a consequence, there's a lot of misunderstanding about what information really is.
463000	468000	It's often confounded with entropy, which is in a sense the absolute opposite of information.
468000	471000	Namely, it is about what we don't know.
472000	479000	And so if you then confound information and entropy, then you're going to get a lot of misunderstandings.
479000	484000	But didn't, I completely agree with you, by the way, but didn't Shannon himself do that?
484000	495000	I mean, didn't he use the word information, like maximal information for him in a code or an alphabet is maximum entropy, right, when every symbol is equally likely?
495000	498000	You are right. He has done that.
498000	510000	I should say not so much in his original article, but you know, there was a book written or co-written, but I forgot it's Shannon and Macmillan or something, Shannon and Weaver.
510000	515000	In particular, in the book Shannon and Weaver, the words entropy and information get mixed up.
515000	519000	And I have a suspicion that this was mostly Weaver doing that.
519000	527000	I would have to actually look at the original article if Shannon himself does that, because in a sense, you know, he should know better.
527000	535000	Just because I saw so much of the confounding between entropy and information, I felt compelled to just simply write an article called What is Information?
535000	536000	Yeah.
536000	543000	Which this main purpose was to say, Hey guys, you know, you have to be careful. One is not the other.
543000	544000	No, that's great.
544000	551000	But I do sometimes wonder, you know, I agree with everything you just said, and I wonder if it's just my physics training.
551000	563000	Because to me, thinking like Boltzmann would have thought, a low entropy state, if you tell me that you're in a low entry macro state, all the molecules are in one corner of the room, you've given me a lot of information, right?
563000	567000	Low entropy is a lot of information, and that makes perfect sense to me.
567000	576000	That's right. Low entropy is a lot of information. You can think of information as simply a difference between two entropies, namely the maximum entropy and the actual entropy.
576000	577000	Okay, good.
577000	585000	So that's why when your actual entropy is low, then your information is high, because it's this difference.
585000	589000	And the fact that it's a difference, by the way, is a fundamentally important thing.
589000	596000	Namely, entropy itself, in a sense, has no real meaning or existence, just like energy doesn't have in physics.
596000	605000	Only differences of entropy have a meaning, just like in physics, only differences between energies have any real life effect.
605000	614000	And so the fact that it's a difference is important, but it's important that the first term is a maximum entropy, like how much there is to know about the system.
614000	622000	And if you forget about that, then your information is just minus entropy, or what a bunch of people have called negentropy, right?
622000	629000	Which is nonsense. It's forgetting the first term, which is the maximum entropy, so that this thing, which is information, is always positive.
629000	637000	So basically, in this way of talking, you would say, when I have some configuration, and I have some statistical knowledge about it,
637000	646000	I can divide the state into sort of the entropy part, which I don't understand very well, and the information part, which specifies something.
646000	657000	Right, or very simply speaking, for every system, write down or understand what is the maximum uncertainty that you have.
657000	663000	It's just really counting the number of degrees of freedom that there are, and then taking the log of that, right?
663000	668000	And then you ask yourself, well, how much entropy do I actually have?
668000	674000	In other words, do I have a probability distribution that is different than the maximum entropy distribution?
674000	678000	And if the answer is yes, then that means already you know something.
678000	683000	That means that the actual distribution has a lower entropy, and then you have some information.
683000	687000	However, you may not know at that point exactly what this information is about.
687000	688000	Okay.
688000	691000	In a gas, of course, very often you do.
691000	697000	Just like you said, when you have a bunch of molecules in a corner, well, then you have information about where these molecules are.
697000	704000	Of course, if you allow the molecules to disappear or to sort of like do their thing,
704000	708000	what happens is that your knowledge about the positions of the molecules starts decreasing.
709000	714000	And at the same time, of course, the actual entropy starts increasing.
714000	717000	That is what we call the second law of thermodynamics.
717000	720000	It's literally just the loss of information that you have.
720000	729000	And of course, during that equilibration phase, the system is returning to its equilibrium, but it's actually at its equilibrium.
729000	736000	So in other words, whenever you have information, it gives you a hint that the system is not at equilibrium.
736000	743000	It is away from equilibrium, and the amount of information is in fact characterizing how far away from equilibrium you are.
743000	749000	So when I'm speaking to you right now, you're actually in an ordered state, a very ordered state,
749000	751000	as far as the molecules are concerned.
751000	755000	And I can tell you in a sense how much ordered state there is.
755000	757000	It's about half a million bits.
757000	758000	Why?
758000	762000	Because in fact, that is the amount of information that's actually stored in your genome.
762000	764000	Ah, okay.
764000	769000	This is probably going to be leaping ahead, but what about like the particular configuration of my body?
769000	772000	Certainly that is more than half a million bits.
772000	782000	Um, that's a good question, but since in fact that organization is done by the half a million bits,
782000	790000	my suspicion is that in fact that must be the same, because how else would you achieve this ordered state?
790000	792000	So this is actually an interesting question.
792000	799000	If I just sit down and think a little bit, my intuition is that even though it seems that, you know,
799000	802000	that would be more than half a million bits, that in fact it is not.
802000	806000	However, it's such a good question that I cannot actually tell you right now why.
806000	809000	Good final exam question for the next time you teach a course based on your book.
809000	810000	Yeah, that's actually a good point.
810000	815000	I mean, if I, you know, after this interview, I'll try to sit down and figure this out.
815000	816000	Okay, that's a good one.
816000	820000	And it's simply because the information cannot be anywhere else.
820000	826000	The fact that you ordered, the only thing that makes that possible is the information in your genome.
826000	829000	And as a consequence, in a sense, mathematically, it has to be like that,
829000	834000	even though just like you said, that seems low.
834000	835000	It does seem low.
835000	837000	I like to think I can make more information than that.
837000	844000	I mean, certainly in my brain, there are neurons with certain weights and things like that,
844000	847000	and there's probably more than half a million bits there.
847000	848000	Right, okay.
848000	850000	Now, you're making another point.
850000	854000	Of course, there's information that you have acquired during your lifetime that is not being counted.
854000	856000	That is definitely there.
856000	857000	Good.
857000	865000	However, if you take, let's say a brain, before it learns something, let's say a baby brain,
865000	869000	physically speaking, of course, there are differences.
869000	875000	Yeah, but I mean, like the information is stored in the weights of the neurons in the brain in some way.
876000	881000	So, definitely, that is in addition.
881000	884000	However, that, of course, does not give you your physical appearance.
884000	888000	It doesn't change the organization of the rest of your body.
888000	891000	It's an interesting train of thought, but no doubt.
891000	894000	Either a final exam question or a paper to be written here, I think, about this.
894000	895000	How many bits am I?
895000	901000	But okay, something very interesting and important happened just now in your discussion of information,
901000	908000	because I think that if you asked people on the street, do you have information about where your car keys are?
908000	911000	They would think about that as a yes-no question.
911000	913000	I know where they are or I don't.
913000	918000	And you've sneaked in the idea of a probability distribution, which is kind of central here.
918000	919000	Right.
919000	921000	So, how does that come in?
921000	924000	How central is probability to information theory?
924000	928000	Well, actually, it is the central aspect of it.
928000	937000	So, before you can really understand information theory, you should have a very basic course in probability statistics.
937000	943000	Now, to tell you the truth, not everybody who is working in the field did have that, and that shows.
943000	949000	But simply because the concept of probability, actually, to fully understand it,
949000	954000	is not as simple as just writing down, you know, p sub i or some distribution, you know.
954000	962000	What a probability is, and I know you're familiar with this because you've thought about this in the context of quantum mechanics for a long time,
962000	966000	is, you know, not immediately trivial.
966000	970000	Some people think, oh, a probability exists by itself.
970000	980000	Other people say, no, a probability is just simply something that you can estimate, but that itself, in a sense, really doesn't exist.
980000	986000	But the idea of prediction, of course, is central to that.
986000	992000	So, when you're asking yourself, can I predict with accuracy better than chance,
992000	998000	then you have to, in a sense, have an idea of, well, what is the chance prediction here?
998000	1004000	And for that, in a sense, you need a prior, you need an assumption about what is expected.
1004000	1006000	Right.
1006000	1017000	And so, if you're going to talk about a probability distribution, then you're really talking about, what am I expecting?
1017000	1020000	So, let's go to the example of the car keys.
1020000	1021000	Right.
1021000	1027000	So, generally speaking, we could say, okay, here's a person who's looking for their car keys.
1027000	1033000	They know, with 90% of the chance, from past experience, right, we're setting up the priors now.
1033000	1036000	From past experience, 90% of the time, it's in my pocket.
1036000	1037000	Right.
1037000	1042000	But if it's not in my pocket, it could be in 10 different places.
1042000	1043000	Yeah.
1043000	1044000	Right.
1044000	1048000	If that is the case, you can set up, just set up the probability distribution for you,
1048000	1052000	because that means that there are 11 possible places that the keys could be in.
1052000	1053000	Right.
1053000	1058000	And the chance to find it in your pocket is 10%, sorry, 90%.
1058000	1064000	And then, in each of the 10 other places, the chance to find it is 1 out of 100.
1064000	1065000	Right.
1065000	1066000	Yeah.
1066000	1068000	So, now, I've set the expectation.
1068000	1070000	Before, I've done any experiment.
1070000	1071000	Right.
1071000	1073000	Now, I'm doing an experiment.
1073000	1075000	And of course, what experiment are you going to be doing?
1075000	1077000	You're going to check your pocket.
1077000	1078000	First, yes.
1078000	1079000	Right.
1079000	1085000	And now, what happens is that this measurement is going to give you information.
1085000	1086000	Right.
1086000	1092000	And in fact, we call this, you know, this outcome of this measurement, it's called a
1092000	1093000	specific information.
1093000	1094000	Okay.
1094000	1099000	It's a specific information, because I can do 11 measurements.
1099000	1106000	And the average of the outcomes of that, that's actually the information gained from the measurement
1106000	1108000	of the locations.
1108000	1116680	The interesting thing here is that if I don't find the key in my pocket, then I have a problem.
1116680	1118000	Now, it could be in 10 different places.
1118000	1122400	So, it turns out that the specific information of this measurement, namely that the key is
1122400	1124000	not in your pocket, is negative.
1124000	1125000	Yeah.
1125000	1129000	It's a negative specific information, even though the average information gained from
1129000	1132760	the car key searching measurement is still positive.
1132760	1135440	Because you're now less sure of where the keys are than you are before.
1135440	1136440	Exactly.
1136440	1137440	Exactly.
1137440	1140000	And it's like, oh my God, it's like, I thought I knew.
1140000	1141000	See, that's the thing.
1141000	1142000	Yeah.
1142000	1143600	I thought I knew means that's the priors.
1143600	1146440	From the priors, you had a pretty good idea.
1146440	1150960	Then you make your measurement and you go like, oh my God, now I don't know anything.
1150960	1155960	And this is mathematically, in fact, it's an exercise in my book in chapter three.
1155960	1157080	Very good.
1157080	1162760	And let me just raise, again, I'm super on your side, but it's my job to, you know,
1162760	1165600	play the devil's advocate sometimes.
1165600	1170720	Don't worry about this way of thinking about information because it sounds a little subjective.
1170720	1172040	It's not out there in the world.
1172040	1178000	You're talking about information as an ability for some agent to make predictions, right?
1178000	1184080	Is it truly objective or is it only relative to the capacities of some thinking being?
1184080	1188320	So you're asking, of course, the most important question about information.
1188320	1191640	And the answer is information is contextual always.
1191640	1193120	It is never absolute.
1193120	1197240	Now I'm going to give you a great example that will get you, you know, to think about
1197240	1198240	this.
1198240	1204880	Suppose you are a virus and you are, in fact, reaching a wreaking havoc inside of a patient,
1204880	1205880	right?
1205880	1207400	You are replicating fast.
1207400	1210200	Everything is going good for you, right?
1210200	1214680	Let's imagine your mutation rate is actually kind of low so you don't change much while.
1214680	1219280	So the information that you have about doing your job is doing its job, right?
1219280	1223840	Now the patient takes an antiviral, right?
1223840	1228600	The patient takes an antiviral and suddenly this virus goes like, man, you know, this
1228600	1232680	replicating thing is now really, really, really hard, right?
1232680	1238080	And what you can now do is you can calculate the information about how to do this job and
1238080	1239800	it has changed dramatically.
1239800	1247040	In fact, now the virus does not have this amount of information about doing its job anymore.
1247400	1249760	But the sequence is the same.
1249760	1252640	How can a sequence is the same?
1252640	1256680	Earlier I have lots of information and then have very little information.
1256680	1262720	The answer is because the context changed because that what you have information about has changed.
1262720	1267800	So what was the environment yesterday, isn't the environment today?
1267800	1272760	You have information about yesterday's world, not about today's world.
1272760	1274840	And that is the important thing.
1274840	1276400	Information is completely contextual.
1276400	1281840	The same sequence evaluated in different environments will have different information
1281840	1284120	and therefore different meaning.
1284120	1287120	A lot of times people think like, oh, information theory can't deal with meaning.
1287120	1288680	It's absolutely untrue.
1288680	1295440	My molecular sequence means something here on earth, actually, you know, above the surface
1295440	1297000	of the water, for example.
1297000	1303320	You put me underwater and my sequence is making wrong predictions, right?
1303840	1307600	About how to breathe, no underwater, that thing doesn't work.
1307600	1309320	Your fitness is zero.
1309320	1315440	I will have zero offspring underwater unless I actually, you know, am in a submarine or
1315440	1319560	something like that where I'm taking the environment with me, right?
1319560	1321400	Then I could still have information.
1321400	1329560	So very, you know, very nearly so in biology, information and fitness are exchangeable.
1330280	1334960	You have high information about how to do something, how to survive in the environment
1334960	1336880	means having high fitness.
1336880	1338360	They are related.
1338360	1342040	In fact, they are mathematically related and we don't have to talk about what that relationship
1342040	1344280	is, but you can read about it in my book.
1344280	1349120	So in other words, what happened in evolution is that fitness and information are essentially
1349120	1350600	intertwined.
1350600	1352880	They are almost the same thing.
1352880	1357520	And so the way you are increasing your fitness is you're increasing the information about
1357520	1359960	how to live in that environment.
1359960	1364160	I guess I was trying to make a similar point to what you just said in my book, The Big
1364160	1365160	Picture.
1365160	1368320	I mentioned the Voynich manuscript, right?
1368320	1373960	This wonderful old book full of symbols and nobody knows whether it's nonsense or whether
1373960	1374960	it refers to something.
1374960	1380720	And so I asked the question, how much information is there in the Voynich manuscript?
1380720	1382680	How would you answer that question?
1382680	1387480	The answer is unless we know what the information is about, this is entropy for us.
1388440	1394560	So if you have text or any data, that is not information.
1394560	1401760	In fact, it is literally just entropy in the sense that you are talking about, oh, it represents
1401760	1405680	an example of another similar set of things.
1405680	1410160	And so you're setting up your hypothetical ensemble so that you can talk about an entropy.
