start	end	text
0	4000	Hello, everyone. Welcome to the Mindscape Podcast. I'm your host, Sean Carroll.
4000	9200	One thing we do a lot here on Mindscape, or for that matter, I do in my life, otherwise,
9200	15840	even off the podcast, is to try to explain difficult concepts in physics to a broad audience,
15840	21520	right? Whether it's quantum mechanics, quantum field theory, relativity, cosmology, what have you,
21520	26720	taking these ideas that have been developed by lots of smart people over many years and bringing
26720	31840	them to a broader audience, which I think is very important and is absolutely doable if you put
31840	37040	the effort into it. But many people try to do this. We're not the only ones who try to do this.
37040	43680	And there are a couple of patterns which are kind of bad that many physicists or scientists more
43680	50320	broadly fall into when they're trying to explain their concepts to a broader audience. One is,
50320	54800	just from the fact that scientists, physicists, but also other kinds of scientists or other
54880	60480	kinds of academics, for that matter, are typically professors. They are college professors. And they've
60480	67760	developed a pretty good set of techniques for teaching students who are going to major in that
67760	74000	area, right? So physics professors, as part of their job, will teach young undergraduates,
74000	79840	and then up to graduate students, how to be a physicist. So they know what steps they have
79840	83680	to go through. They've taken the courses themselves. They've taught the course or they've read the
83680	89120	textbook or whatever. There's a set of ideas you have to march through. And one failure mode,
89120	95680	I would say, for reaching out to the public is people try to take that way of teaching physics,
95680	100800	the way that we teach our undergraduates, and just water it down, right? Teach exactly the same
100800	106400	stuff, the exactly the same concepts in the same order, but try to remove some of the equations
106400	112000	or something like that. And that's not always the right way to reach a different kind of audience.
112000	117120	I've come across this, of course, in my recent attempts to write the biggest ideas in the universe
117120	123200	where I'm trying to reach a broad audience with equations, but without any prior exposure to
123200	128880	those equations or those ideas. It's even harder if you're trying to explain without any equations
128880	133680	at all. It's really weird when you just take the usual steps that you would go through in an
133680	139360	undergraduate physics education and demathify them and expect people to understand. Another
139360	146800	failure mode is that sometimes we do search for analogies, stories, metaphors, allegories,
146800	154240	pictures, ways of getting across the basic idea without going into the equations. And it's a
154240	160560	little bit easy to forget that people take these analogies seriously, maybe more seriously than
160560	168480	they should, right? When a physicist presents an analogy for a deep physical concept, they know
168480	174160	which aspects of the analogy actually apply and which do not apply to this situation,
174160	179120	and the poor person listening doesn't know that. So they just take the analogy at face value.
179120	185520	So because of these failure modes, there's an enormous value to be placed on actually stepping
185520	191280	back, thinking deeply about the ideas we want to convey, forgetting about how we teach our
191280	197120	undergraduates, to really think about how we should just talk to people who are not going to become
197760	203920	physicists down the line, but want to understand the ideas. And today's guest, Matt Strassler,
204720	209840	is really, really good at exactly that. Matt is an accomplished physicist, someone I've known for a
209840	215360	long time, but he's put an enormous amount of work. I can vouch for this. I've been talking to
215360	221120	Matt for years about this book that is about to come out called Waves in an Impossible Sea,
221120	227040	How Everyday Life Emerges from the Cosmic Ocean. And the cheap way of saying what the book is about
227520	232880	is it's about quantum field theory and modern physics. But the real charm of the book is that
232880	240480	he really takes seriously the challenge of talking about these ideas in a way that is
241120	250640	as honest and true to the material as possible without just watering down the usual years-long
250640	256240	physics curriculum or relying on analogies that give you some good ideas and some bad ideas at
256240	261200	the same time. So it's a novel take on trying to understand these ideas. And we're going to go from
262000	268400	basic ideas like relativity and quantum field theory to maybe some fun research level things,
268400	273760	because Matt's a very good explainer of these things. So it's physics. It's the kind of stuff
273760	279040	we talk about all the time, but maybe with a slightly fresh take on it. So let's go.
286240	298320	Matt Straster, welcome to the Mindscape Podcast.
299120	301120	Thank you, Sean. It's a pleasure to be here.
301120	307200	So you know, like I do, that a bit over a decade ago we discovered The Higgs Boson,
307200	312800	and I wrote a whole book about The Higgs Boson. I remember this famous story, and apparently there
312800	320640	was a competition, you know, it was inspired by some British government official who didn't
320640	324240	understand The Higgs Boson. And so the physicist said, you know, who'd come up with the best
324240	329600	metaphor for what it is? And they came up with this metaphor of people of different levels of fame
329600	336640	walking through a party. I would start by asking you, like, what was that metaphor? Is it any good,
336640	343760	or does it do more harm than good? Well, the image that was brought to mind
344400	351280	by the winner of this competition has some, you know, it has some general merit to it,
351280	358720	and that it gives a sense of perhaps what things might be like in that a person who is totally
358720	363120	unknown can just make their way through the party. Nobody pays any attention. They just have to
363440	367440	shove their way through. The people are in their way, and that's all there is to it.
368240	372320	So that would be your experience in mind. But if Margaret Thatcher walks into the room,
372320	377200	suddenly everybody wants to talk to her, and so she makes it in a meter or so, and then she finds
377200	382560	herself stopped, and then she tries to go another few meters, and she stopped again. And so it just
382560	389920	takes her a very long time. She's slowed down by all the people in the room. And so the image that
390720	396240	this particular metaphor is trying to convey is that the Higgs field is like this substance
396240	401920	that fills the room, and those things that interact with that substance are slowed down,
401920	407120	and that has to do with why they have mass. And is that good?
408480	416880	Well, no. It's pretty bad, actually. And again, this is not to criticize the inventors
416880	422640	of this metaphor, because they were supposed to come up with something that fits in a paragraph.
423440	428800	And the fact of the matter is that some aspects of the universe don't fit in a paragraph,
428800	436800	and this is one of them. But what's unfortunate about this particular metaphor is not merely
436800	443680	that it doesn't really capture the essence of what's going on, but it actually flies in the face
443680	450160	of an even more important principle of nature. And that is the relationship between
451360	460080	mass and motion. And if, as this metaphor suggests, you get the idea that, oh, mass has to do with
460080	467120	slowing things down, with obstruction, with obstructing motion, then your conception of
467120	472640	the world ends up back in the Middle Ages. And you really don't want to end up there.
472640	477680	I mean, they were smart people, but they were very confused, and we would prefer to avoid
477680	483360	that confusion. Now, what am I talking about here? What is going wrong with this metaphor
483360	490320	is that it contradicts the principle of relativity, which if you even don't know much physics,
490320	494400	you've never taken a class on it, you've never heard much about it, violating the principle
494400	501840	of relativity sounds like a pretty bad idea, and it is. And the reason it's such an important
501840	509360	principle is that it explains many of the fundamentally counterintuitive aspects of the
509360	518000	basics of being in this world. For example, why it is that we're all, you know, I'm sitting down,
518000	522720	you're sitting down, both of us feel like we're not going anywhere. But of course, we are. The
522720	527680	earth is spinning, the earth is going around the sun, the sun is going around the galaxy,
528400	533680	and the speeds involved are enormous. I mean, the earth is going, the earth and sun are going
533680	544080	around the galaxy at 150 miles per second. Now, why don't we feel that? And why if the earth has
544080	552000	so much mass and this metaphor we're right, why isn't it slowing down? This picture of Margaret
552000	556320	Thatcher having a lot of mass because she's being slowed down by the crowd. Well, I mean,
556320	561280	the earth has a lot more mass than she does. Why isn't the Higgs field slowing the earth down?
562720	568320	Well, the answer is that the metaphor doesn't work. And you therefore have to try to find a way
569200	574400	back to the principle of relativity to start the process of explaining what the Higgs field
574400	579920	really does. And so that's why the book I've recently written starts at that place.
579920	584960	I do like the fact that you can date the origin of the metaphor so precisely just by the fact that
584960	588800	it was Margaret Thatcher who they picked as the famous person who would have trouble walking
588800	595680	through the party. Yes. And you can imagine that today it would be Elon Musk, but
597440	602160	he would certainly have trouble. But he's very wealthy, but his mass is not that big.
603680	609040	Well, this is what I like about your book because, of course, quantum field theory is a mutual
609040	614320	interest of ours. And I think that we both agree that it would be nice if everyone in the world
614320	618880	understood quantum field theory a little bit better than they do. If I were to explain it,
618880	623360	I would probably start with quantum mechanics and then say, OK, what if you do fields to it?
624000	630080	And you take a very different approach, really starting with relativity and spacetime and mass
630080	637040	and how those things work. So tell us what relativity is. It didn't come from Einstein originally.
637040	646400	It did not. And indeed, Einstein, in a way, saved it more than created it as we understand it today.
646400	651440	And the person who was perhaps most responsible, although clearly there were other people who were
651440	660960	thinking about it, historically was Galileo. In the 1630s, Galileo wrote a famous passage into one
660960	668640	of his texts in which he explained that if you're on a boat and you're inside the boat,
668640	674160	so the wind isn't blowing in your hair, you're just inside in one of the rooms,
674160	680160	and the boat is moving really steadily. It's not a wavy day. The boat is just smoothly moving
680160	686320	through the water. You will have no idea that the boat is in motion. You will not be able to tell
686320	691280	how fast it's going or which direction it's going. And he gives lots of examples of things
691280	696960	that you could do to try to check it. You might think that, well, if I drop something and the
696960	702640	boat is moving, then as I drop it, it will move towards the back of the boat. But that's not true.
703920	708240	Maybe you might think the flies in the room will be all pushed to the back of the room.
709120	715520	But that's not true. And when you think it through, he argued, you realize that there's
715520	720080	nothing, absolutely nothing you can do, which would show that you are in motion as long as that
720080	729840	motion is steady. And he infers from this that the laws of nature do not depend in any way on
729840	736000	whether you are moving if that motion is steady. And when you think about it, that's the thin end
736000	742400	of the wedge on the question of why you and I don't feel our motion. And so we go from
743120	750800	a situation where even in 1600, 50 years after Copernicus, really great thinkers like Tycho Brahe,
751840	759120	Kepler's boss, could write things down saying that it's just not possible that the earth is spinning
759920	765040	and moving around the sun. That makes no sense. We would feel it. A heavy body like the earth
765040	771280	shouldn't be moving. To the modern day where we realize that the earth, in fact, is flying
771280	776720	through the heavens at extraordinary speed and doing all sorts of gyrations, and yet we are
776720	782560	completely unaware of it here on earth. And the explanation for that is Galileo's realization
782560	790240	about how motion is a relative thing. There is no such thing as absolute motion. You can't say
791360	797520	in this universe whether you are moving or not. You can only say how fast you're moving relative
797520	803440	to another object. You and I had a longer than it should have been conversation once about whether
803440	810400	the earth goes around the sun. Or the sun around the earth. Well, or is it up to you because you
810400	815200	can choose coordinate systems? Did you ever personally come down to the right answer in your
815200	821600	mind there? I did. And this is a wonderful question, although it's a question fundamentally about
822480	825600	Einstein's general notion of relativity. I know, skipping ahead, but that's okay. It's just a
825600	831680	podcast. It's all right. But I'll give you the short answer. And of course, I wrote about this
831680	837200	extensively on my blog because I thought, this is such an interesting question. And here there are
837200	842320	professors at significant universities who actually argue that, no, you really can't say whether the
842320	848400	earth goes around the sun or vice versa. And the reason that's a mistake, I believe, is that
849040	854480	it's not just about two objects, one orbiting the other. You really are asking the question,
855280	860960	is the earth orbiting the sun subject to gravity? In other words, it's not just a matter about what
860960	868800	its path is, but why its path is the way it is. And you can easily tell that the earth is going
868800	874960	around the sun in sun's gravity and not the other way around as simply as looking, but by simply
874960	885040	looking at Kepler's third law of mechanics, which tells you that the planets have a rule by which
885680	891760	their orbital times are related to their orbital distances from the sun. And the earth satisfies
891760	898480	Kepler's law for the sun, whereas the earth also has a Kepler's like law. The moon satisfies it,
898480	905120	the space station satisfies it, but the sun does not. And so, in a way, it's as simple as that.
905120	911440	Now, you can go into more detail and talk about the fact that orbits are an entire class of motions
911440	916720	and not just the earth's motion alone, and come up with all sorts of ways of saying this in more
916720	922320	technical detail. But in the end, fundamentally, it's not true that the sun goes around the earth
922320	926640	gravitationally. And that's really what's at stake here. The earth goes around the sun
926640	930080	gravitationally and not the other way around. Yeah. And so, I am one of the people who would
930080	935760	disagree with you about this. But of course, it's interesting precisely because you and I
935760	941680	100% agree on the physics, right? It's just a matter of how to match up the words in the
941680	947360	English language to the physics that we understand. And that's going to be a theme throughout your
947360	952480	book and your attempts to discuss relativity and quantum mechanics and so forth. Yeah. I mean,
952480	958080	I think just in the sense there's an even larger issue, which is the fact that scientists could
958080	964000	agree on the physics and disagree on the way to talk about the physics, even colleagues like you
964000	973280	and you and I, is a clear problem for a person who is not an expert trying to understand what
973280	981840	scientists do know and what scientists are still disagreeing about. And so, I think,
981920	987120	for both you and I and for other people who spend a lot of time trying to convey
987840	994720	how science works, the important thing to do is be very clear about what it is we know
995360	1001120	and about why it is we are explaining it in the way that we are, so that a non-expert could
1001120	1006320	read what I write about it and could read what you write about it and come away with a correct
1006320	1011520	impression, namely, we're not disagreeing about the math. We're disagreeing about the way to look
1011600	1018320	at the math, but that's not in the end what physics is. Physics is about prediction based
1018320	1023520	on mathematics and the fact that you want to talk about it in a different way does not make it a
1023520	1029040	contradiction. It simply makes it a different perspective on the same thing. Good. We'll see
1029040	1034720	how that shows up as we go, but I don't want to leave Galileo behind entirely because I've made
1034720	1045120	the case most clearly in my book, The Big Picture. To me, the specific idea that motion just continues
1045120	1049840	on by itself, right, that the natural state of things is for things to keep moving at a constant
1049840	1054960	velocity. If you want to promote that to conservation of momentum or something like that, you can,
1054960	1061840	but to me, that is maybe the single biggest realization in the history of science because
1061920	1069600	it removes the need for explaining why things are moving, right? In the middle ages point of view,
1069600	1076080	it was weird when things were moving and you needed a force or a mover to do it and post Galileo
1076080	1081680	and his other predecessors, like Ibn Sina, who set this up, now we can just think of the universe
1081680	1088880	as kind of a mechanism following patterns. That's right. And there's a very close tie between
