start	end	text
0	6480	Hi everyone, in this episode of Coding Adventures, I'd like to play around with some boys.
6480	10480	This rather strange term is what Craig Reynolds uses to describe bird-like objects in his
10480	13340	paper on flocks, herds and schools.
13340	17080	So once I'd read through that, I created some little flying triangles to represent these
17080	18080	creatures.
18080	22640	To do anything interesting though, they are going to need an awareness of their surroundings,
22640	26480	so I'll highlight one of them to be our subject of study.
26480	30320	This bird should be able to sense the others inside the circle, which is its radius of
30320	31520	vision.
31520	36320	We can also define a view angle so that it can't see directly behind itself.
36320	41280	Now the paper describes three rules that determine the behaviour of each bird.
41280	47480	Rule number one is to steer away from any nearby birds to hopefully avoid crashing into them.
47480	51640	So with this rule enabled, you can see them fairly successfully dodging and swerving to
51640	53760	avoid one another.
53760	59040	Just rule number two tells them to steer to move in the same direction as nearby birds.
59040	62840	This alignment also helps them to avoid bumping into one another, and of course makes them
62840	65760	behave more like an actual flock of birds.
65760	72120	Finally rule number three, this rule is to steer towards the centre of any nearby birds.
72120	76880	By itself this can cause them to form little swirling patterns, but let me now add the
76880	78400	other rules back in.
78400	82680	Suddenly the birds are trying to not crash into one another, while also simultaneously
82680	88720	trying to align directions, and sort of jostle for position at the centre of their flockmates.
88720	93120	I think it's really cool how these three simple rules, commonly referred to as separation,
93120	99040	alignment and cohesion, combine to give rise to what looks like fairly complex and coordinated
99040	100680	behaviour.
100680	104680	These rules can also be applied to a three-dimensional world.
104680	107800	Currently the birds are just transported to the other side of the cube when they hit a
107800	112360	wall, but I wanted them to instead avoid the walls, as well as any other obstacles that
112360	113960	there might be.
113960	119320	My idea was to simply cast rays out at increasing angles until a clear path is found.
119320	123880	To apply this to three dimensions I needed a good way of generating points on a sphere,
123880	127880	and after surfing the web a little I found an approach where we first generate points
127880	129640	inside a disk.
129640	133800	So I start with a loop for the number of points I want, and inside there I define a distance
133800	136720	which will just go from zero to one over the course of the loop.
136720	142120	I'll then have an angle, and each iteration that'll turn some fraction of a circle.
142120	146280	The distance in the angle can then be used to calculate a point, so I'll have x is equal
146280	150700	to distance times the cosine of the angle, and y is equal to distance times the sine
150700	155620	of the angle, and then I'll plot that point.
155620	160320	So initially all the points are just in a straight line, but as the turn fraction increases,
160320	163880	we can start to see the spiral forming.
163880	168640	We can play around with different values, for example at 0.5 we get two ends, which makes
