start	end	text
0	8080	Thank you for joining today's webinar, the Business Case for Semantic Web Ontology and
8080	9240	Knowledge Graph.
9240	13680	My name is Thomas Cook, and I'm joined here today by Mark Wallace, who will be leading
13680	15400	you through today's webinar.
15400	22560	Thank you for joining.
22560	27440	Next slide, please.
27440	31840	Just to share a little bit about Cambridge Semantics, we were founded a little over ten
31840	32840	years ago.
32840	38400	We have offices in Boston and San Diego, and our founders came out of IBM's advanced
38400	44480	internet research.
