start	end	text
0	3060	The best thing I hope my lab does on their best days,
3060	4860	taking these ideas from deep philosophy
4860	6940	that people have argued about for thousands of years
6940	9420	and bringing them to the bedside, to the clinic.
9420	11100	What you look like and where you come from
11100	13500	simply cannot be the foundation
13500	15420	for how we're going to relate to each other.
15420	18060	But I don't feel in any way diminished by the idea
18060	20820	that there are an infinitude of other minds,
20820	24420	highly diverse minds, endless sentient forms
24420	27180	that are also having experiences that strive
27180	29140	and suffer to various degrees.
29220	30900	I think what we have is essential.
30900	33940	I would like humanity to scale its cognitive capacity
33940	35860	more specifically, not just the intelligence,
35860	39460	but the radius of concern, of care, and of compassion.
39460	40980	I think we need to scale that up.
40980	43140	The amount of emails that I get every day
43140	45980	from people with the most unbelievable examples
45980	48700	of biomedical suffering is just incredible.
48700	51420	So I think it is utter moral cowardice
51420	54060	to focus on what we shouldn't do,
54060	56300	as opposed to our duty now that we have,
56300	58260	for the first time, we have the ability
58260	60820	to actually rationally approach these matters,
60820	63980	to try to guarantee a better embodiment
63980	65420	for sentient beings on Earth.
76300	77980	Cool, well, good morning, Mike.
77980	79100	How are you?
79100	79940	Good morning, excellent.
79940	80780	Thanks for having me.
80780	82780	Yeah, it's wonderful to get the chance to talk to you.
82780	84140	I'm very much an amateur in this field,
84140	85820	but I've admired your work for a long while.
85820	89500	And I can't offer you the size of audiences
89500	90940	you're used to with your TED Talk
90940	93460	and with some of the other interviews you've given,
93460	95380	but I can trade that for quality,
95380	97500	because my audience might be small,
97500	99180	but they're lovely and deeply thoughtful.
99180	101540	So I'm sure they'll appreciate your work
101540	103340	and your thinking, because it's great to have you here.
103340	105660	And I think you're probably, in nearly 200 episodes,
105660	108380	my first full-on biologist,
108380	111740	which is a gap I should have filled long ago,
111740	115540	because there's this sense that maybe the mathematicians
115540	117740	look down on the messiness of science,
117740	119300	and maybe even the physicists look down
119300	122060	on the mess of chemistry, biology.
122060	123540	But I think the hierarchy goes the other way.
123540	126940	I think biology is the harder, more challenging space,
126940	129620	whereas the mathematicians and the physicists
129620	132060	with their spherical cows can abstract
132060	133380	some of the interesting stuff away.
133380	135420	You upped your elbows in it quite often,
135420	136420	so it's great to get the chance
136420	139740	to have a biology-focused conversation.
139740	140580	Well, thank you, yeah.
140580	143700	I mean, biologists have plenty of spherical cows.
144260	147180	A lot of people talk about some of our constructs
147180	149180	as real pathways and things like this,
149180	152940	but of course, these are all imaginary kinds of constructs
152940	154540	that we do our best with.
154540	155580	Yeah, cool.
155580	157260	So this is a series of conversations
157260	160180	about what I think of as the deepest philosophical questions
160180	162340	and also the most important.
162340	164620	And they're questions of what's real,
164620	167060	really more epistemology than ontology.
167060	168740	How should we go about best understanding
168740	170300	this crazy world we all share?
170300	172740	But just as importantly, the questions of ethics
172780	174660	and within that complex field,
174660	176660	the simple question of who gets to count.
176660	178260	Who should we count as another
178260	180620	as we're thinking about how to lead a good life?
180620	181780	And I have an obvious bias
181780	183260	because this sentientism worldview
183260	185180	I'm trying to popularize and develop
185180	187460	is very pluralistic and very broad,
187460	189340	but in a sentence is evidence, reason,
189340	191140	and compassion for sentient beings.
191140	192940	So when we're answering the what's real
192940	194620	and how to understand the universe question,
194620	196140	it suggests a really broad,
196140	197780	humble, naturalistic approach
197780	199580	that uses evidence and reasoning.
199580	201420	And when it comes to the ethical scope question,
201420	202260	the clue is in the name.
202260	204180	It says that all sentient beings,
204180	206540	any being that has the capacity to experience things,
206540	208700	to flourish, to suffer should count
208700	211260	at least to some minimal regard and moral consideration.
211260	213380	I'm talking to people in this series of conversations,
213380	215100	some of whom agree and some of whom don't.
215100	217820	So it'll be interesting to see how you have gone
217820	219340	through your own philosophical journey
219340	221100	and answering those questions where you are now
221100	223780	and how that runs through the work you do today.
223780	225220	But before we get onto those big questions,
225220	226700	how would you best introduce yourself
226700	228580	for those people in my audience
228580	230700	who haven't come across your work so far?
230700	231540	Well, let's see.
231540	232740	So my name is Mike Levin.
232740	235540	I'm a professor at Tufts University.
235540	238060	I run the Allen Discovery Center here at Tufts.
238060	242660	I'm also an affiliate faculty member
242660	244460	at the Bees Institute at Harvard.
245460	247100	I do a number of other things.
247100	249420	I co-direct the ICDO,
249420	252940	the Institute for Computer Design Organisms
252940	254700	with Josh Bongard.
254700	256780	And yeah, that's me.
256780	259020	I study a range of things.
259020	260660	I mean, we'll get into all the details
260660	262860	but in my group here,
262860	266860	we do a combination of biology or biophysics,
266860	269780	mostly computer science and cognitive science
269780	271460	to understand embodied minds.
271460	272500	That's really what we do.
272500	273340	Yeah, that's great.
273340	274180	Thank you.
274180	275020	Yeah, we'll dig in.
275020	277460	So let's start with the first of these big philosophical
277460	281180	questions, the question of what's real and epistemology.
281180	282980	Quite often an interesting way into that space
282980	283820	because it's so broad.
283820	286140	It covers anything we might choose to believe
286140	287060	or have credences in.
287060	288980	But an interesting way in many of my guests
289620	291540	is to talk about their journey with respect to religion
291540	293740	and spirituality and whether they grew up
293740	296220	in a religious spiritual sort of context and household,
296220	299860	whether they held onto those types of beliefs or not,
299860	301260	and how that side of their thinking about
301260	303020	some of the sort of ultimate questions
303020	306340	of the nature of reality might have shifted since.
306340	308020	But so I don't know if you wanna wind the clock back
308020	310140	and sort of tell us your story in that space.
310140	312100	And then we could get into, I guess,
312100	315300	more of the field of science and so.
315300	316780	Yeah, yeah.
316820	319460	My background, I think you could say,
319460	322580	is not religious, but highly spiritual.
322580	327580	So I went for a few years, I went to a Hebrew day school
328260	332420	and my background from that perspective is Jewish
332420	337420	and we studied some thoughts around that whole thing.
339620	341700	And I harassed everybody with questions
341700	344580	about what happens in conjoint twinning
344620	347780	and how souls are supposed to work
347780	351620	and how they solve the problems of the hard problem
351620	353740	of consciousness and all that kind of a thing.
353740	357140	And the answers weren't terribly forthcoming
357140	358460	from that direction.
358460	363460	But in my home, I think it was always very clear
363700	366740	from the time I was very young that we had an emphasis
366740	370180	on inquiry, on asking big questions,
370180	373820	on making sure that whatever we spend energy on
373820	377500	is towards things that matter in an ethical way.
377500	380460	I was always encouraged to find things
380460	383980	that I'm passionate about and to use intellect
383980	386940	and every other tool at my disposal
386940	388180	to sort of get to the bottom of things.
388180	391860	So we had lots of deep conversations
391860	393860	about kind of the big questions
393860	396380	and how they might be addressed.
396380	398060	The question, how do you know,
398060	400620	what figure prominently in my childhood?
401500	402820	So we're always encouraged to think
402820	404100	about those kinds of things.
404100	406420	So that in the way I'm describing that naturalistic
406420	408140	epistemology of using evidence and reason
408140	409140	and sort of thinking things through
409140	411740	and that inquiry was there for quite an early age,
411740	414380	even within a family that sat within a broader
414380	418700	sort of religiously defined community and culture, I guess.
418700	422500	Yeah, yeah, but also to be clear that,
424420	428380	there are many ways of enhancing wisdom
428380	429620	or at least attempting to.
429660	433100	And so rationality is an amazing tool,
433100	436340	but one can also ask questions about its limitations
436340	438820	and what other alternatives might be on offer
438820	442020	and making sure that we understand
442020	444100	but what are the things that we're not seeing?
444100	446540	And it's sort of, there's an old saying that says,
446540	448580	show me the net with which you're fishing
448580	450140	and I'll tell you what you're not going to catch.
450140	453340	I forget who said it, but that's that being,
453340	455980	having that level of skepticism about the approaches
455980	457700	you bring to a problem, whether that be
457780	460740	different kinds of logic or whatever else,
460740	462820	that was always emphasized as well.
462820	465860	Yeah, and that if your choice of evidence
465860	468300	or your choice of methods are too narrow,
468300	469700	that can become its own dogma, as you say,
469700	473460	you've got to be able to question those choices too.
473460	475620	And part of the way I try and counter that
475620	477620	is to talk about evidence and reason
477620	479300	in a very broad sense.
479300	480860	So some people will think of that as being
480860	483020	a narrowly rational or empiric
483020	486180	or even a scientific process that doesn't count as evidence
486740	488620	until you've done a randomized control trial.
488620	490100	And I don't think that in those terms at all,
490100	493580	I think of evidence and reason in a very broad open sense
493580	496060	that can include the experience from our senses,
496060	498660	our subjective experience, you know,
498660	499660	how a weird those might be.
499660	501260	I think those are all types of evidence too.
501260	502460	We can be skeptical of them,
502460	505260	but I think that broad conception of naturalism
505260	506700	is something I'm much more comfortable with
506700	509540	than something that's really narrowly
509540	511980	scientific if you like, which can be,
511980	514740	I think narrow down too, too early.
514740	519220	And how did that sense of inquiry,
519220	521380	but a broad sense of inquiry,
521380	524180	shift your actual beliefs over time?
524180	525940	Even when you're asking the awkward questions,
525940	528940	did you still hold onto some of the supernatural beliefs
528940	530060	anyway?
530060	532700	Have those shifted over time?
532700	534580	So I guess there's probably two linked questions there.
534580	536860	How do you think about the possibility
536860	539740	of some of those supernatural constructs now,
539740	541700	gods and souls and spirits?
541700	544740	And is your sense of those still lead
544740	547300	to this inquiry and a naturalistic approach?
547300	549460	Or do you sort of reserve certain areas of knowledge
549460	551380	for different epistemologies
551380	554340	that might be more faith-based or revelatory?
555180	557580	Yeah, I mean, I think that to me too,
557580	560780	I pretty much, I think I pretty much only have one
560780	562860	supernatural belief, which is that
562860	565420	the universe is understandable in some fashion,
565420	568180	whatever that may mean to be understood
568180	571100	and that we are at least to some extent capable
571100	574540	of resonating with a fundamental principles
574540	578060	that guide its development and therefore knowledge seeking
578060	580260	and things like this are not hopeless.
580260	582940	That I fully admit is a supernatural belief
582940	585660	because that's the kind of thing you can't really get behind.
585660	587540	But once you've taken that on,
587540	590060	then everything else becomes possible.
590060	591380	So I don't think anything,
591380	594220	I can't think of anything that would be truly supernatural
594220	597220	in the sense that it might be completely outside
597220	599220	of current abilities to understand,
599220	601380	maybe beyond current scientific formalisms,
601380	604780	but also perhaps beyond our cognitive capacities.
604780	606900	So all of us are finite beings,
606900	608460	guaranteed there are going to be things
608460	610700	that we are simply not capable of comprehending
610700	612580	as well as we can comprehend other things.
612580	615140	And so beyond that, I don't think anything
615140	616660	is really supernatural.
616660	621660	I think all of us are doing our best in cobbling together
623300	627540	some kind of coherent understanding of the world
627540	628780	and our place in it.
628780	631460	And then the interesting empirical part
631460	634220	is then you get to find out how well it's working for you.
634220	636380	So not just in the narrow scientific sense
636380	638860	of specific paradigms that help you do experiments
638860	640580	and make predictions and things like that,
640580	644100	but the same idea applied to one's life.
644100	646280	And so you have various outlooks
646280	648420	that you might take on various frameworks
648420	650420	and then you have to ask yourself,
650420	652340	so how is this working out?
652340	654980	Is this helping me have a more meaningful life?
654980	658300	Is it helping me be a more ethical person
658300	661220	to have better relationships with others?
661220	662340	Those are the kinds of things
662340	664660	that are not specifically sort of scientific outcomes,
664660	666180	but the process is exactly the same.
666180	668980	You examine your framing and you ask yourself,
668980	672140	are there ways to tune that framing to do better,
672140	674020	to have a better experience with others?
674020	674860	Yeah, thank you.
674860	676740	And I quite like describing this naturalistic approach
676740	681140	as being just an attempt to honestly engage with reality
681140	683020	and an attempt to understand it.
683020	684940	And that understanding will always be partial
684940	686500	and probabilistic and provisional
686500	688500	and uncertain and open to revision.
688500	690980	But I guess that's an interesting way of putting it.
690980	693940	It's not just about, does the evidence start
693940	697380	with my hypothesis, it's also how does the application
697380	699740	of this knowledge or these beliefs actually work
699740	701300	for me in practical terms,
701300	703780	whether they're my life or engineering context.
703780	704940	So yeah, thank you.
704940	707460	Yeah, it became pretty clear early on
707460	711420	that how one looks at data or at life
711420	714780	or at anything else is a very strong determined
714820	717980	of how one is going to interpret everything that happens.
717980	722060	And these kind of frames are, they drive what happens next
722060	725340	and they drive the kinds of things
725340	727420	that become possible for you or impossible.
727420	731380	You know, they determine which things are facilitated
731380	733500	and which things are constrained.
733500	737580	And so that aspect of it being really in control
737580	742380	of how you interpret things, I think is really important.
742380	744060	Yeah, thank you.
744060	746900	And if we narrow down now, I think of, I guess,
746900	749260	the scientific pursuit as being a subset of naturalism,
749260	752620	it's the sort of a formalized way of doing that.
752620	756700	And your focus is in the field of biology.
756700	758420	And it's been, it's fascinating
758420	760820	because I think for most people with their memory
760820	762620	of the sort of high school sense
762620	764940	of what biology is involved in,
764940	769020	you've been taking the field in very different ways,
769020	773060	although some of the different ways have quite old roots too.
773060	776100	How have you come to understand biology as a field,
776100	778500	writ large, and what are the sort of distinctive angles
778500	780300	that you've been trying to develop,
780300	782860	particularly as you think about
782860	785700	one of the introductory comments on your lab's website
785700	788860	talks about this fascination with the fact
788860	792660	that all of us have gone from matter to mind in some sense.
792660	796860	Yeah, I don't really think of myself as a biologist.
796860	800100	I mean, we certainly do biology in my lab,
800140	801460	among other things,
801460	806460	but my fundamental commitment in my career and my life
807260	809940	basically has been to understand embodied mind.
809940	813100	So I've got this mind map that I print out every once a year,
813100	815020	I refresh it and print it out every once in a while
815020	816460	and it hangs in the lab.
816460	818460	And it's about nine feet wide,
818460	819900	this big kind of poster thing.
819900	820860	And in the middle of it,
820860	825380	the root node of this mind map is embodied mind.
825380	826540	That's really what I'm interested in.
826580	830060	I'm interested in cognition, intelligence,
830060	834780	and inner perspective in a wide range of diverse systems,
834780	836980	some of which we would call alive nowadays.
836980	838940	I actually spend very little time
838940	840580	figuring out a definition of life,
840580	842380	although if you want, we can talk about it,
842380	844700	but I don't worry about it too much at all.
