start	end	text
0	3000	In the interest of time.
3000	5000	So,
5000	9000	Brett introduce yourself and on with the show.
9000	11000	Already.
11000	15000	Is that show up for folks.
15000	17000	I'm seeing nothing.
17000	19000	No, no dissent. All right.
19000	24000	Today, I'm going to talk about micro e fourth on the web.
24000	29000	I'm actually going to adjust.
29000	34000	I can see my slides are better yet.
34000	38000	Hide that entire.
38000	41000	All right.
41000	48000	So, micro e fourth is related to ESP 32 fourth,
48000	51000	which you've heard me talk a bunch about.
51000	56000	It's a version of it's a, they're really one in the same built from
56000	62000	the same source base ESP 32 fourth is the variant that targets ESP 32.
62000	68000	We branded it that way to make it clear to folks, but.
68000	73000	It's a, it's an e fourth with a minimal amount of non fourth code in it,
73000	78000	which is a weird thing to say for a fourth that's created in C.
78000	83000	It tries to have minimal redundancy so that you don't end up having to
83000	89000	describe an op code once in its code and another time in some table somewhere.
89000	95000	It tries to make it possible to add one line of code to add an op code.
95000	97000	To the system.
97000	102000	The kernel is compiled from inline fourth text.
102000	107000	So it start up, it does the sort of inefficient thing of booting up the system.
107000	112000	From fourth text, but it does this in service of the goal of having as little
112000	115000	non fourth as possible in the system.
115000	123000	And there's support for Windows Linux ESP 32 and finally after a long delay the web
123000	129000	originally when I had started working on this particular fourth kernel.
129000	134000	I had intended to have web support and a number of things got in the way,
134000	139000	not least of which is that I think that trying to do all those things in one
139000	142000	code base may not have been the best choice.
142000	146000	But I'll talk about that as we go through it.
146000	148000	Why the web.
148000	151000	The web is portable and powerful.
151000	157000	It offers a rich set of API's that let you do all sorts of things from
157000	163000	access, the graphics of your device to local files.
163000	170000	If there are API's for local files, there are API's for even serial access now.
170000	173000	So you can do quite a lot on the web.
173000	176000	It's also possible on the web to go fast.
176000	181000	The days of JavaScript as sort of the only path to do a thing on the web are
181000	185000	over and due to things like WebAssembly.
185000	192000	You can now in all the major browsers run very performant code.
192000	198000	There was a precursor to WebAssembly called Asm.js, which I've made some use of in
198000	208000	this application which I'll talk about and has the virtue that in Chrome at
208000	213000	least when you have Asm.js it actually will get converted underneath to WebAssembly.
213000	217000	I know this because I happened to have been the one that implemented the
217000	221000	version that lives in V8 now.
221000	225000	And it's similar but not exactly the same at least as I understand it in
225000	228000	Firefox and some of the other browsers.
228000	233000	The other great thing about the web is that it's easy to show people things.
233000	237000	I can hand out a URL and folks can go there.
237000	241000	And this relates to the second point, which is that people don't have to trust me.
241000	249000	If you download the version of Micro E4 for Windows, unfortunately you will
249000	252000	probably get some security alerts from running it.
252000	262000	And this is because I have not signed the binaries on Windows and the antivirus
262000	268000	systems that are out there look at the small headers on a piece of fourth code
268000	271000	and think that this looks kind of questionable and the combination of a
271000	276000	lack of a signature and all of that means that it will warn you about running it.
276000	283000	And unfortunately this is a problem that versions of Win32 fourth face as well.
283000	288000	In comparison, the web I can just show you a URL and actually at the end of this
288000	293000	presentation I'll encourage you all to check out what I put up.
293000	299000	So the overall approach in Micro E4 is that I try to make each op code be
299000	304000	something that I can define in just one or two lines of C code.
304000	308000	And the goal is to have a reasonable list of op codes.
308000	313000	Originally I kind of focused on the minimal set similar to classic E4, but
313000	317000	especially if you look at the current version, there's a number of additional
317000	319000	op codes that have been added.
319000	325000	I've added as many as I have partially because on ESP32 this has the advantage
325000	332000	that op codes implemented in C end up taking less of the RAM of the system.
332000	337000	They can end up in flash memory and so more memory becomes available for the
337000	339000	running application.
339000	344000	After you define those op codes, you're able to use a very small set of system
344000	351000	variables that sees in a structure.
351000	355000	And those same variables are accessible from forth.
355000	360000	And then the key idea is that there are five core op codes that are non-trivial,
360000	366000	that don't fit in one or two lines, that are implemented in larger C functions.
366000	372000	These are op codes that could be built from the other op codes because the
372000	375000	other op codes are sort of fully general.
375000	381000	But they're done in high level C code because they allow the fun trick that
381000	386000	with those five, you have enough of the fourth system in place that you can
386000	390000	boot the rest of the system from there on out with forth.
390000	396000	And so they're carefully chosen to be sort of the crucial building blocks to
396000	398000	have a full fourth system.
399000	404000	And they also sidestep another problem, which is that if you have to assemble
404000	411000	loops, you very quickly get into the problem that you now need an assembler
411000	413000	to bootstrap that part of your system.
413000	418000	So they both serve the purpose of being crucial to executing fourth code,
418000	427000	but also they avoid needing to have any kind of mechanism for assembly.
427000	430000	And then the rest of the system is in fourth.
430000	435000	So there are some design choices that are in micro e-forth that are not fundamental
435000	437000	to that model.
437000	441000	It happens to be indirect threaded just because that's what I did at the time.
441000	449000	Partially this is because it being a fourth implemented in C,
449000	455000	it needs some type of op code that's explicitly stored and I found it more
455000	457000	important to have these live in a cell.
457000	461000	I didn't want them to be direct threaded and live in line.
461000	467000	There isn't really, there isn't a real architecture underneath when you're
467000	470000	targeting C, you're targeting the sort of the C virtual machine.
470000	474000	And so it made sense to me to do an indirect threaded fourth.
474000	479000	Also it makes words like C and does a little bit simpler.
479000	484000	One other thing is that a truly direct threaded fourth would have challenges,
484000	488000	especially if I wanted to interoperate with machine code being done in C,
488000	494000	but an indirect threaded fourth in the Linux version and in the ESP 32 version
494000	500000	can use computer go-tos available in those compilers,
500000	503000	even though that isn't actually a standard C feature,
503000	506000	it's present in the vast majority of C compilers.
506000	510000	And that avoids there being any in the assembly language.
510000	513000	It's possible other models might go faster, especially on the web.
513000	518000	I've wondered if it's the right model, but that is what it is for now.
518000	520000	It uses unlimited stacks.
520000	525000	This is a place where I deviate from some of Dr. Ting's choices.
525000	527000	This is a mixed bag.
527000	533000	I did this because it was what was present in the originally fourth model.
533000	539000	One thing that it lacks, especially on ESP 32 that I sometimes regret,
539000	545000	especially when the thing crashes is that by allowing the stack to be anywhere in memory,
545000	548000	you can easily run them up with the stack.
548000	554000	Dr. Ting used a fun trick of using only a bite size pointer for the stacks
554000	561000	and having them wrap around, which avoids the stack getting off the rails.
561000	565000	I support 32-bit floating point values.
565000	570000	And this is primarily because this was a feature that ESP 32,
570000	576000	as I don't do 64-bit floats because ESP 32 doesn't have them in hardware.
576000	582000	Also, it's with an eye to eventually I plan to get back to my deep learning in fourth talk
582000	586000	and hope to make use of micro E4 for that.
587000	595000	And it tends to use avoid counted strings just because it happened to fall out that way.
595000	598000	So how does the system build up?
598000	602000	We'll go through the C version because as you'll see in a moment,
602000	606000	the web version is actually converted from that version.
606000	609000	There's a small set of registers that you have to decide.
609000	612000	And let's talk about what each of them are for.
612000	614000	There's an instruction pointer.
614000	616000	There's a return stack pointer.
616000	618000	There's a data stack pointer.
618000	625000	And then I keep the top of stack in a register or virtual register as it is all through a layer of abstraction.
