start	end	text
0	8240	Here we are again with our old pal, Willard Van Orman Quine, another famous article, not
8240	16080	as famous and influential as Two Dogmas of Empiricism, but definitely well known and
16080	18880	that's called Epistemology Naturalized.
18880	23680	Okay, well what does the title mean for the first thing?
24080	31680	Well Epistemology since, epistemological issues have been with us since the dawn of philosophy.
32480	41440	Plato talks about what we can know and what knowing does for the knower and things like that.
42240	48400	In the era of modern philosophy of course we have Descartes, Descartes' Meditations and
48400	56000	their epistemology is as what is sometimes called first philosophy, that is before you can
56000	65680	start philosophizing about anything like what the world is like, what things exist, what is right
65680	74560	and what is wrong, you need to first know what it is to know anything and then once you establish
74640	84560	that you have some criterion to judge whether or not we can claim to know things about the
84560	91120	external world, things about ethics, things like that. So you've got to settle our standards of
91120	104320	knowing first and they give you guidelines that affect the way that you reason in all
104320	110800	other areas of philosophy. So epistemology in that sense is what you handle first and that's
110800	118560	evident in the way Descartes structures the meditations where he talks about what we can know
118560	131840	right up front. Quine is a big fan of science and in fact Quine doesn't make a clear distinction
131840	140480	between epistemology and the rest of philosophy or between philosophy and science. He just talks
140480	147520	in terms of our theory of the world and our theory of the world includes all of science and philosophy
147600	158160	and there's no clear boundaries between them. So this very much prevents us sort of taking a
158800	163840	placing philosophy above science and saying, whoa science you can't make claims to know
163840	169440	something because you're not meeting our strict philosophical standards so therefore your scientific
169440	175920	results fall short or something like that. That would be the sort of old-fashioned way of looking
175920	182000	at epistemology is sort of above science and providing standards that science must reach,
182720	190720	must meet. Once you naturalize epistemology you say epistemology is part of science
190720	200400	and can use the scientific method. Now this would be quite radical because then you could,
200640	209120	how is it that you're supposed to judge the standards that you use? How is it that you're
209120	214880	supposed to, that you can judge whether or not the products of science are things that we can
214880	225360	actually know or that are in some sense theory-laden or whatever? Well as is usual with a Quine article
225360	235360	it's very dense and it's written in a way that seems to require us having a huge amount of
235360	243360	background information. Quine's articles tend to read as if they're for an audience of buddies that
243360	252800	he's already in the middle of conversations with. So it's hard to make sense of it which is why
253280	260000	as the reading I gave a version of epistemology naturalized that has sort of a commentary on it
262800	269760	and chunks cut out. So let's talk about some of his assumptions. The first and major assumption
269760	275440	that he makes clear is something that he calls the Quine-Dewam thesis. This is he talks about in
