start	end	text
0	19440	So I'm very excited today to talk to you about this idea of interpreting neural networks
19440	26960	to get physical insight, which I view as kind of a new, really kind of a new paradigm of
26960	29440	doing science.
29440	32600	So this is a work with a huge number of people.
32600	38000	I can't individually mention them all, but many of them are here at the Flutter Institute.
38000	39960	So I'm going to split this up.
39960	41200	I'm going to do two parts.
41200	46400	The first one, I'm going to talk about kind of how we go from a neural network to insights,
46400	49160	how we should get insights out of a neural network.
49160	55560	The second part, I'm going to talk about this polymathic AI thing, which is about basically
55560	59800	building massive neural networks for science.
59800	69840	So my motivation for this line of work is examples like the following.
69840	77800	So there was this paper led by Kimberly Stakkenfeld at DeepMind a couple years ago on learning
77800	83080	fast subgrid models for fluid turbulence.
83080	85200	So what you see here is the ground truth.
85200	88640	So this is kind of some box of a fluid.
88640	96440	The bottom row is the learned kind of subgrid model, essentially, for this simulation.
96440	105960	The really interesting thing about this is that this model was only trained on 16 simulations,
105960	112160	but it actually learned to be more accurate than all traditional subgrid models at that
112160	115000	resolution for fluid dynamics.
115000	121560	So I think it's really exciting kind of to figure out how did the model do that and kind
121560	128440	of what can we learn about science from this neural network.
128440	134680	Another example is, so this is a work that I worked on with Dan Twio and others on predicting
134680	137000	instability in planetary systems.
137000	140160	So this is a centuries old problem.
140160	145040	You have some, you know, this compact planetary system and you want to figure out when does
145040	147680	it go unstable.
147680	153240	There are literally, I mean, people have literally worked on this for centuries.
153240	158720	It's a fundamental problem in chaos, but this neural network trained on, I think it was
158720	163080	maybe 20,000 simulations.
163080	167480	It's not only more accurate at predicting instability, but it also seems to generalize
167480	171080	better to kind of different types of systems.
171080	177200	So it's really interesting to think about, okay, these neural networks, they've seemed
177200	179600	to have learned something new.
179600	183480	How can we actually use that to advance our own understanding?
183480	186600	So that's my motivation here.
186600	191300	So the traditional approach to science has been kind of, you have some low dimensional
191300	198260	data set or some kind of summary statistic and you build theories to describe that low
198260	203760	dimensional data, which might be kind of a summary statistic.
203760	208500	So you can look throughout the history of science, so maybe Kepler's law is an empirical
208500	215340	fit to data and then of course Newton's law of gravitation was required to explain this.
215340	216740	Another example is like Plank's law.
216740	224340	So this was actually an empirical fit to data and quantum mechanics was required, partially
224340	227340	motivated by this to explain it.
227340	237420	So this is kind of the normal approach to building theories.
237420	242980	And of course some of these, they've kind of, I mean it's not only this, it also involves
242980	243980	many other things.
243980	252060	But I think it's really exciting to think about how we can involve interpretation of
252060	256020	data driven models in this process, very generally.
256020	259140	So that's what I'm going to talk about today.
259140	266460	I'm going to conjecture that in this era of AI, where we have these massive neural networks
266460	273060	that kind of seem to outperform all of our traditional theory, we might want to consider
273060	280620	this approach where we use a neural network as essentially compression tool or some kind
280620	289620	of tool that pulls apart common patterns in a data set.
289620	294100	And we build theories not to describe the data directly, but really kind of to describe
294100	297620	the neural network and what the neural network has learned.
297620	303340	So I think this is kind of an exciting new approach to, I mean really science in general,
303340	306420	I think especially the physical sciences.
306420	313300	So the key point here is neural networks trained on massive amounts of data with very flexible
313300	319780	functions, they seem to find new things that are not in our existing theory.
319780	323780	So I showed you the example with turbulence, you know we can find better sub-grid models
323780	329500	just from data, and we can also do this with planetary dynamics.
329500	336300	So I think our challenge as scientists for those problems is distilling those insights
336300	339580	into our language, kind of incorporating it in our theory.
339580	346220	I think this is a really exciting way to kind of look at these models.
346220	349300	So I'm going to break this down a bit.
349300	354700	The first thing I would like to do is just go through kind of what machine learning is,
354700	361700	how it works, and then talk about this, kind of how you apply them to different data sets.
361700	372260	Okay so just going back to the very fundamentals, linear regression in 1D, this is, I would
372260	379700	argue if you don't really have physical meaning to these parameters yet, it is a kind of type
379700	382260	of machine learning.
382260	388020	And so this is, these are scalars, right, X and Y, those are scalars, FI0, FI1, scalar
388020	391860	parameters, linear model.
391860	396380	You go one step beyond that, and you get this shallow network.
396380	406940	So again this has 1D input, X, 1D output, Y, but now we've introduced this layer.
406940	415260	So we have these linear models, so we have three hidden neurons here, and they pass
415260	420100	through this function A, so this is called an activation function.
420100	427900	And what this does is it gives the model a way of including some non-linearity.
427900	431860	So these are called activation functions.
431860	439300	The one that most people would reach for first is the rectified linear unit, or RELU.
439300	445220	Essentially what this does is it says if the input is less than zero, drop it at zero,
445220	447980	greater than zero, leave it.
447980	454780	This is a very simple way of adding some kind of non-linearity to my flexible curve that
454780	461060	I'm going to fit to my data, right?
461060	467380	The next thing I do is I have these different activation functions.
467380	475100	They have this kind of joint here at different points, which depends on the parameters.
475100	481540	And I'm going to multiply the outputs of these activations by a number.
481540	488380	That's kind of the output of my kind of a layer of the neural network.
488380	493740	And this is going to maybe change the direction of it, change the slope of it.
493740	495740	The next thing I'm going to do is I'm going to sum these up.
495740	502120	I'm going to superimpose them, and I get this is the output of one layer in my network.
502120	504500	So this is a shallow network.
504500	509260	Basically what it is, it's a piecewise linear model.
509260	515660	And the joints here, the parts where it kind of switches from one linear region to another,
515660	520500	those are determined by the inputs to the first layer's activations.
520500	523940	So it's basically a piecewise linear model.
523940	527780	It's a piecewise linear model.
527780	536420	And the one cool thing about it is you can use this piecewise linear model to approximate
536420	539660	any 1D function to arbitrary accuracy.
539660	545300	So if I want to model this function with five joints, I can get an approximation like this
545300	551340	with 10 joints like this, 20 like that, and I can just keep increasing the number of these
551340	552340	neurons.
552340	556540	And that gives me better and better approximations.
556540	560500	So this is called the universal approximation theorem.
560500	569020	So it's that my shallow neural network just has one kind of layer of activations.
569020	573780	I can describe any continuous function to arbitrary precision.
573780	581220	Now that's not, I mean this alone is not that exciting because I can do that with polynomials.
581220	584820	I don't need, the neural network's not the only thing that does that.
584820	590020	I think the exciting part about neural networks is when you start making them deeper.
590020	594020	So first let's look at what if we had two inputs?
594020	595020	What would it look like?
595020	596820	We had two inputs.
596820	604580	Now these activations, they are activated along planes, not points, they're activated
604580	606100	along planes.
606100	615420	So for, this is my, maybe my input plane, I'm basically chopping it along the zero part
615420	619700	and now I have these 2D planes in space.
619700	624740	And the next thing I'm going to do, I'm going to scale these and then I'm going to superimpose
624740	626300	them.
626300	634620	And this gives me ways of representing kind of arbitrary functions in now a 2D space rather
634620	635740	than just a 1D space.
635740	644900	So it gives me a way of expressing arbitrary continuous functions.
644900	654820	Now the cool part, oops, the cool part here is when I want to do two layers.
654820	660700	So now I have two layers, so I have this, this is my first neural network, this is my
660700	665620	second neural network and my first neural network looks like this.
665620	668660	If I consider it alone, it looks like this.
668660	672820	My second neural network, it looks like this.
672820	677500	If I just like, I cut this neural network out, it looks like this, okay.
677500	686820	When I compose them together, I get this, this, this shared kind of behavior where,
686820	693580	so I'm composing these functions together and essentially what happens is, it's almost
693580	701100	like you fold the functions together so that I experience that function in this linear
701100	704140	region and kind of backwards and then again.
704140	708620	So you can see there's, there's kind of like that function is mirrored here, right?
708620	711780	It goes, goes back and forth.
711780	716660	So you can make this analogy to folding a piece of paper.
716660	722300	So if I consider my first neural network like this on a piece of paper, I could essentially
722300	729420	fold it, draw my second neural network, the function over that, that first one and then
729420	735100	expand it and essentially now I have this, this function.
735100	743340	So the, the cool part about this is that I'm sharing, I'm kind of sharing computation because
743340	747820	I'm sharing neurons in my neural network.
747820	752940	So this is going to come up again, this is kind of a theme, we're, we're doing efficient
752940	758460	computation in neural networks by sharing neurons and it's, it's useful to think about
758460	764700	it in this, this, this way, kind of folding paper, drawing curves over it and expanding
764700	765700	it.
765700	770500	Okay, so let's go back to the physics.
770500	777540	Now neural networks, right, they're efficient universal function approximators.
777540	782180	You can think of them as kind of like a type of data compression.
782180	790180	The same neurons can be used for different calculations in the same network and a common
790180	798500	use case in, in physical sciences, especially what I work on, is emulating physical processes.
798500	802980	So if I have some, my, my simulator is kind of too expensive or I have like real world
802980	806660	data and my simulator is not good at describing it.
806660	811740	I can build a neural network that maybe emulates it.
811740	816260	So like I have a neural network that looks at kind of the initial conditions in this
