start	end	text
0	1920	I mentioned Gabe Grand, another student collaborator
1920	4560	who is one of Jacob and Dreyas's students,
4560	9120	and Tanja Shren, a student also co-advised
9120	13040	by Josh and Vikash, as well as Noah Goodman,
13040	15280	my advisor Vikash and Jacob and Dreyas.
17640	19480	So our broader goal today in this talk
19480	21480	is actually going to be to reflect
21480	23080	based on many of the recent advances
23080	25360	that we all know of modeling natural language,
25360	26920	but I think also drawing on evidence
26920	29720	from toolkits, other toolkits in AI.
30720	33040	Evidence from cognitive science and from neuroscience
33040	35680	on kind of the broader spectrum of different ways
35680	38360	that we might think about building intelligent architectures
38360	41320	that use and produce and learn from language,
41320	43960	as well as more generally, I think what role language
43960	46880	might play or could play in a computational system
46880	48320	that we say thinks.
48320	50360	And obviously this is a question that many people
50360	52160	in this room, but many other people who probably
52160	53680	aren't in this room have thought about
53680	57280	from philosophers of language to linguists and neuroscientists.
57280	59640	And we thought it actually might be a useful exercise
59640	62760	to kind of start by reflecting on the underlying answers
62760	65320	to this question that are or aren't suggested
65320	66560	by some of the most prominent directions
66560	69520	that we're taking in AI research right now.
69520	70800	And of course, one of the reasons
70800	72920	why we're even asking this question at this scale,
72920	75000	what is the role of language in intelligence
75000	77960	is in large part driven by this remarkable observation
77960	80480	that we all know about from just a few years ago,
80480	83080	which is if you train these large
83080	86240	and specifically transformer based neural architectures
86240	87960	as language models, just to do this
87960	92200	next word prediction task, with enough language data,
92200	94480	they start to show behaviors that really suggest
94480	96280	that there's something more than language at play.
96280	97880	They look like they're thinking.
98800	101880	They can induce patterns from just a few examples in data,
101880	103560	or they can even read the definitions
103560	106480	of totally novel words like Zaka Tota in context
106480	108720	and produce realistic sentences that appear
108720	112080	as if they understand how to use those words immediately.
112080	114360	And so a lot of the excitement, I think it's fair to say
114360	117080	around language models is that maybe for the first time,
117080	119880	we're seeing something that is offering a scalable route
119880	123840	towards implementing more generally intelligent architectures
123840	127200	just by directly scaling, or largely by directly scaling
127200	128160	the amount of language data
128160	129960	that they're being trained to predict.
131640	133280	All right, so what is the underlying idea here?
133280	135200	What does this have to say about language?
135200	136240	Well, I think it's fair to say
136240	138880	that one of the dominant hypotheses that's underlying
138880	141960	why we were even starting to see some of this behavior
141960	143840	rests on kind of a two-part idea.
143840	147120	One is something about the nature of language itself, right?
147120	151280	It's the suggestion that language is sufficiently diverse
151280	154360	and so broad, maybe because we suspect that humans
154360	155760	express so much of their thoughts
155760	158360	in such a diverse range of their thoughts and language
158360	161520	that being able to perfectly solve this task,
161520	164680	to be a perfect language model, or at least a really good one,
164680	168440	is essentially an AGI complete task,
168440	170400	and maybe also one that conveniently,
170400	171560	unlike other kinds of tasks,
171560	173320	like predicting all of the videos in the world,
174000	175800	we have maybe efficient architectures to do
175800	177200	and enough data to do.
177200	180360	And I think it's worth noting that this doesn't actually
180360	183200	really have to be a particularly strong hypothesis
183200	186880	about what it is computationally that thinking looks like,
186880	190520	or even how language necessarily is implicated internally
190520	193920	inside the computational processes that we call thinking.
193920	195360	Rather, it's really just a hypothesis
195360	198360	about the nature of the language modeling task itself.
200280	202200	And I think what a lot of people
202400	205640	in this room would agree now is that,
205640	208240	well, that might be true about the language modeling task
208240	211280	in principle, much of the most exciting research
211280	212640	that we're seeing using LMS right now
212640	215920	actually isn't predicated on really the hope or the idea
215920	217960	that just by scaling to more and more data,
217960	220760	we're gonna expect transformers trained and used in this way
220760	222200	to actually solve that task
222200	224560	or become perfect next-world prediction models.
224560	226520	And the intuition behind that,
226520	228400	which I think many people have pointed out,
228400	231600	comes both from the way in which we're looking
231960	233800	in which transformers work, right?
233800	235320	There are autoregressive language models
235320	237520	that are doing a fixed, finite amount
237520	239720	of internal computation that only scales
239720	241520	based on the previous linguistic context.
241520	243360	And it doesn't really make sense that,
243360	245960	of course, you can pose questions in language
245960	248240	like arbitrarily difficult math problems
248240	251440	or planning problems that intuitively require
251440	252360	an amount of computation,
252360	253840	whose complexity doesn't actually depend
253840	256720	linearly on the previous token context.
256720	258680	And I think that's been matched empirically
258680	260800	by lots of different observations
260800	263480	about which kinds of sentences are hard to complete
263480	265160	if you treat them as next-world prediction tasks
265160	266160	in this way, right?
266160	267360	Hard arbitrary math problems
267360	268960	or planning problems like these.
269960	273640	Right, so some of, you know,
273640	276400	if you're thinking about the role of language,
276400	279720	why is language, why are language models so big right now
279720	282640	as, oh, well, language just has all the evidence necessary
282640	286280	to train something to think.
288080	290000	Like Leo said, that's not actually committing
290000	292320	to any hypothesis about sort of how language
292320	293520	is used internally in thinking.
293520	296080	The transformers' computations are not necessarily
296080	299040	doing anything linguistic as it's computing
299040	300680	the distribution of the next word.
300680	304440	But more recently, we've seen people use language models
304440	307640	to solve these harder tasks by letting them think more.
307640	309400	And what letting a transformer think more means
309400	311800	is letting it generate more tokens.
311800	315880	So in this view, thinking doesn't necessarily emerge
315880	317880	just as predicting the next token.
318880	322920	Rather, thinking happens in language, right?
322920	327840	It happens by sort of producing a chain of thoughts
327840	330960	or using a scratch pad or deciding
330960	332640	that you're going to invoke a calculator
332640	334640	or write some code and execute the code.
335640	340280	And the sort of hypothesis embodied,
340280	342000	I think by this line of work,
342000	343160	is that the role of language
343160	345880	and intelligence architecture is bigger.
345880	348760	That language or some kind of like running monologue
348760	351600	of language is the central controller of thought.
351600	354760	And thinking is taking place primarily in language.
357760	361840	And what's maybe striking about these proposals
361840	363840	is that if you ask most cognitive scientists
363840	365680	or neuroscientists, they'd probably say,
365680	367520	this isn't the role that language plays
367520	369320	in relation to general intelligence in humans,
369320	371680	or at least it's not the dominant hypothesis.
372760	373840	Until just a few years ago,
373840	374920	this probably wouldn't have been the role
374920	376000	that many AI researchers
376000	377880	would have necessarily posited for language
377880	382160	as the main controller or the main substrate
382160	385240	of a running monologue that controls all thinking.
385240	387320	And so we thought we'd review some of the background
387320	389520	for what language seems to look like in humans
389520	392000	as a basis for informing how we might build architectures
392000	394360	that better capture those more human-like roles
394360	395200	for language.
396840	398080	Yeah, and so I just want to be clear
398080	399760	that we're going to do kind of a quick background
399760	402000	on some of the neuroscientific and cognitive evidence
402000	404120	about what language might look like in people.
404120	407080	And our goal really isn't to push back in any way
407080	408840	against these other kinds of paradigms
408840	410320	for where language might fit in.
410320	412240	It's rather to present at a mode
412240	413800	where we're really thinking a lot
413800	415440	about scaling up language models
415440	417960	as one really dominant role,
417960	420200	what our other roots might be
420200	423480	because it doesn't seem like that that really matches
423480	425760	a different prominent intelligent architecture
425760	427400	that's sitting here in the room today.
427400	429280	So one source of evidence for the role
429280	432080	that language appears to play in human cognition
432080	434760	comes from neuroimaging data, fMRI data,
434760	438160	suggesting how language is processed in the human brain.
438160	442280	And at this point, convergent imaging data from many people,
442280	444120	including Ed Fedorenko at MIT,
444120	446120	Standa Hain and recent graduate students
446120	449640	in our department, Kyle Malewald and Anya Ivanova,
449640	450920	suggests that human brains
450920	453440	have this language-specific network
453440	455600	that handles many of the tasks that we associate with language.
455600	457000	It's activated when people do tasks
457000	459560	like listening to sentences or reading them
459560	461440	or speaking or writing words.
462280	464560	And this is not just an English-specific network.
464560	466240	The same general region is activated
466240	468720	no matter what language someone is speaking.
468720	471640	It even fires when they're producing constructed languages
471640	473360	for people who come to learn and become fluent
473360	475320	in languages like Dothraki or Klingon.
476960	479480	And right, what is it that this language network does?
479480	481800	Well, increasingly, one dominant hypothesis
481800	483480	is that it actually does do something
483480	485120	like next-word prediction.
485120	488600	And in fact, among many other kinds of alternative models,
488600	490880	like people were earlier,
490880	492480	for a long time I've been trying to do things
492480	494560	like align words back to the brain,
494560	496760	transformer architectures really do seem to be
496760	498760	among the best models that we have right now
498760	501280	of the neural activity of this language network,
501280	502640	specifically when they're trained
502640	503960	on next-word prediction tasks
503960	506600	and not other linguistic tasks like NOI.
508000	510600	But I think what we see in this neuroimaging evidence
510600	512400	also highlights the ways in which the role
512400	514360	of this human language network
514360	516440	probably is not as the controller
516440	518360	or the central seat of cognition.
