start	end	text
0	5000	And we are going to see connections of language models
5180	8080	that maybe you did not quite expect to anticipate,
8080	9080	but they are very real.
9080	11920	And to start with, we are very lucky to have
11920	15880	Steven Pantadosi, he is a professor of psychology
15880	17520	and neuroscience at UC Berkeley.
17520	22520	And a friend of AI, we actually have a grant together.
23480	28480	And a lot of us in AI are excited and interested
29480	32080	in learning from the psychologists
32080	35200	and seeing how they can inspire our work.
35200	37320	Well, actually, this is a two-way street
37320	40320	and because the psychologists are also getting excited
40320	43280	about the language models to understand
43280	44280	something about humans.
44280	47840	And Steven will tell us about some of the work
47840	49800	he has been doing, which I think is very exciting.
49800	50640	So, Steven.
52720	55840	So thank you for the invitation to speak here.
55840	57560	I'm going to be talking about the meaning
57560	59040	in the age of large language models
59040	60640	and maybe finding meaning in the age
60640	61480	of large language models.
61480	64880	And this talk isn't a kind of technical talk
64880	68640	about language models or evaluation or anything.
68640	72040	It's almost closer to philosophy
72040	74360	or closer to kind of high level theories
74360	77200	in cognitive science and psychology,
77200	78880	which are about meaning.
78880	80680	And some of the kind of history of work
80680	84280	of people's ideas about where meaning comes from
84280	86720	in language or in semantics
86720	87800	and how we can think about those
87800	89480	in the context of large language models
89480	91640	and in particular in the context of debates
91640	93000	about large language models
93000	96240	and whether they're just stochastic parrots
96240	98920	that don't have any form of understanding
98920	101360	or whether there's some sense in which they have understanding
101360	104200	and if they do have some form of understanding,
104200	106800	if that form of understanding is at all related
106800	110800	to the types of understanding that people have.
110800	114680	So my plan for the talk is first to talk about meaning
114680	116120	and reference kind of generally.
116120	120080	I'll talk about some claims in large language models
120080	122840	and why people often think that there's no sense
122840	126640	of meaning or kind of real semantics in them.
126640	130840	Then I'll talk about some psychological theories
130840	132760	about meaning and how meaning arises
132760	135120	from what are called conceptual roles.
136000	137400	I'll come back to large language models
137400	141200	and talk a little bit about learning conceptual roles
141200	142360	in large language models
142360	144840	or in kind of general machine learning systems.
145080	147560	And then some very kind of brief overview
147560	151920	of a learning conceptual role experiment in people.
151920	156800	So let me start with kind of how I got interested in this
156800	160320	which was this paper by Bender and Kohler in 2020.
160320	163680	Emily Bender is a computer scientist
163680	167560	trained as a linguist also at the University of Washington
167560	169760	who people may know as a very vocal critic
169760	173480	of many aspects of large language models.
173520	176120	The one that initially I think interested me
176120	179720	was claims about the meaningfulness of large language models
179720	183600	and essentially arguments that there's nothing meaningful
183600	186760	at all in what statistical models
186760	189000	that are trained on text can do.
190080	192600	And Bender and Kohler came up with a very nice way
192600	197600	of making this point, what they call the octopus test.
197600	199560	The octopus test goes as follows.
199560	202440	So kind of starting point is for them,
202440	206000	meaning is an association between a word, say,
206000	208000	and something external to language.
208000	210120	Okay, so the meaning of the book
210120	214400	is some physical object, a book that's out in the world.
214400	215400	You can see that that's right
215400	217920	because that's how we label physical objects
217920	219320	and when we're learning words, right?
219320	221400	We hear the word book when there's books around
221400	222960	and we pick up on that association.
222960	224560	And so that's kind of fundamentally
224560	227920	what the, that kind of external reference, right?
227920	230680	To something in the real world is fundamentally
231560	232800	what the word means.
234120	235640	And Bender and Kohler say, okay,
235640	238520	let's take that as our definition of meaning
238520	240160	and let's imagine an octopus.
240160	243080	So an octopus who lives under the ocean
243080	246240	and has tapped into a communication channel,
246240	250520	say a telephone line between two islands, okay?
250520	251360	So the octopus is there,
251360	253240	it's eavesdropping on all of the communication
253240	255160	that happens between those two islands.
255160	257960	You can get a huge amount of linguistic input
258960	262160	and you could imagine very smart octopus
262160	265160	might be able to learn all of the statistical properties
265160	268440	of what's happening across that communication channel, right?
268440	272040	Might be able to learn, become very good at predicting text.
272040	274720	Maybe it could predict it optimally, whatever.
275720	278080	Their argument is that the octopus
278080	280000	could never actually learn the meanings, right?
280000	281320	Because it would never have access
281320	283520	to the physical reference, right?
283520	284360	So yeah.
284360	286520	Is it really different from the Chinese room?
286680	290040	Yeah, so it's interestingly a little different
290040	294160	from the Chinese room and maybe can I defer that question
294160	295600	to the end if that's okay?
296560	298200	Because I think what's going on with the Chinese room
298200	301160	might make more sense with what I say later, okay?
301160	303480	But very similar in spirit, I would say.
304920	308720	So this octopus has no access to the physical reference
308720	310080	and therefore couldn't solve tasks
310080	311800	involving the physical objects, right?
311800	314880	If you ask them to visually recognize what a coconut was
314880	317440	even if they knew all of the statistical properties
317440	319360	of where the word coconut would be used, right?
319360	322960	They wouldn't be able to solve the physical stuff, okay?
322960	324320	And of course this is the situation
324320	326400	that a large language model is in,
326400	329080	at least one that's only trained on text, right?
329080	330920	It doesn't get access to stuff from the world,
330920	335120	it only has kind of text, okay?
336200	339600	Therefore this octopus doesn't have meanings for the words.
340440	342120	Such an octopus is like a large language model
342120	343960	because they only have text.
343960	345440	And predictive ability therefore
345440	347320	can't give you the meanings, right?
347320	349400	Meaning is something just fundamentally different
349400	351760	than predictive ability.
353440	355480	Let me give you one other example of this.
355480	357880	Well, I'll just say, I think that on the surface
357880	360560	this is a somewhat convincing argument, right?
360560	365560	It's kind of compelling to think of meaning in this way.
365840	368960	And certainly if you do, it seems pretty convincing, yeah.
369800	372040	It may not be right in terms of your mathematical history
372040	374520	but it's given me a couple of axioms.
374520	377640	And you know, you're not supposed to have,
377640	380800	because this is really referring to
380800	383160	this particular interpretation of that one.
383160	385240	This would make that up in your mind.
385240	387840	Yeah, great, so hold on to that thought too
387840	389640	because a mathematician thinking about axioms
389640	392680	is very much related to another version of meaning
392680	396040	that I'll talk about in a few minutes, okay?
396040	399200	Even as Hilbert wanted it to be, right?
399200	402520	Hilbert's desire was to convert Euclidean geometry
402520	405360	to a set of axioms such that every symbol
405360	408120	could be replaced by some arbitrary squiggle
408120	410320	and the system should still work.
410320	414400	That is what Hilbert did in the axiomatization of geometry.
414400	419400	Yeah, so I think most mathematicians
419480	421680	would have a slightly different sense of meaning
421680	423760	but one which matches what I'll say
423960	425760	in a few minutes, so yeah.
426760	429720	Let me give you just another kind of gloss
429720	432060	on meaning and language models.
432060	435200	Here's Gary Marcus talking about lambda.
435200	437760	In truth, literally everything the system says is bullshit.
437760	440200	The sooner we realize that lambda's utterances are bullshit,
440200	442000	just games with predictive word tools
442000	444360	and no real meaning, the better off we'll be.
445480	447320	Software like lambda doesn't even try to connect
447320	448560	to the world at large, right?
448560	450880	That's what he thinks makes it bullshit.
450880	452840	Just tries to be the best version of autocomplete
452920	453760	that it can be.
453760	454760	They don't understand language
454760	457720	in the sense of relating sentences to the world
457720	461100	but just sequences of words to one another, okay?
462600	466600	So I got interested in this in part
466600	469440	because I find this view kind of compelling.
469440	471840	On the other hand, I also think it's kind of deeply wrong
471840	473640	and the way in which it's deeply wrong
473640	476320	is really interesting for what it has to say
476320	480040	about conceptual representations and meanings
480040	484160	in human minds as well as in machine learning models.
484160	489160	So a few years ago, I teamed up with Felix Hill,
490000	492840	who's a researcher at DeepMind
492840	497840	and wrote an article basically going through arguments
498200	500640	that meaning is not this form of reference, right?
