start	end	text
0	7560	Okay, so I'll just stop here, thanks for coming.
7560	12320	I'm Xiang and today I'll be talking about theoretical and practical insights from linear
12320	13320	transformers.
13320	23320	As you know, large language models work surprisingly well in practice and the basis of large language
23320	26680	models is the transformer neural network.
26680	33080	So an important question is why do transformers work and how can we train them effectively?
33080	39560	But directly this question is difficult to answer because large language models have billions,
39560	44360	maybe even trillions of parameters, they have a lot of moving parts, different choices
44360	49680	of normalization, of embedding and they contain many different kinds of modules.
49680	57240	So it is important to have a mathematical abstraction that captures the essence of transformer
57240	63200	learning and optimization in order to better understand transformers.
63200	69360	And today we are going to look at how the simple linear transformer can shed light on
69360	71240	two important questions.
71240	78560	One is the mechanism behind a phenomenon known as in-context learning and two, I'll tell
78560	83440	you about how linear transformer optimization shares many of the unconventional features
83440	85760	of real transformer optimization.
85760	91880	And these two points are based on two papers which are in joint work with Kwong Joon, Ha-Dee,
91880	101040	Subritz, Ali from MIT as well as Minghak, Charlie from KAIST.
101040	105280	So part one will be understanding in-context learning.
105280	107160	So what is in-context learning?
107160	112680	A very standard task of large language models is that of next-word prediction.
112680	119520	For example, you can give GPT a prompt, Mary has a little blank and it tells you Mary has
119520	120760	a little lamb.
120760	125240	But that's not so surprising because somewhere in this training data I probably saw this
125240	129520	exact sentence, maybe thousands of times.
129520	133760	So then in-context learning refers to the following kind of prompting.
133760	137880	So I'll provide GPT with a few demonstrations.
137880	143480	I'll say apple is red, banana is yellow, then what is a grape?
143480	149800	And then so apple, red and banana yellow serve as contextual examples.
149800	153880	And based off of these contextual examples, GPT infers that I'm looking for the color
153880	157160	of the fruit so it feels in purple.
157160	160880	And this phenomenon even works for arbitrary made-up rules.
160880	166800	So this is a bunch of gibberish but the ad symbol denotes concatenation and it correctly
166800	169800	infers that ad denotes concatenation.
169800	175560	So it probably hasn't seen this exact example anywhere in this training set but it still
175560	177600	does the right thing.
177600	185000	I would say that I tried some very complicated gibberish and it doesn't work there.
185000	194080	So that's a good thing, I guess, because otherwise we are all out of jobs soon.
194080	201600	And so to the best of my knowledge, this in-context learning phenomenon was first reported in
201600	208320	a seminal paper by Brown, Mann, Ryder, Soubia and collaborators.
208320	220640	And this paper was also the one that coined the phrase in-context learning, I think.
220640	225360	I would also say that from a machine learning point of view, if you give your model a few
225360	232440	demonstrations and then it does well on those demonstrations, it's not terribly surprising.
232440	238960	But the thing is here in-context learning works without any updates to the model parameters.
238960	244800	So I'm not doing any fine-tuning, I'm just using the same transformer and then it does
244800	245800	the right thing.
245800	247920	So that's, I guess, the surprising thing.
247920	252440	Some people even go as far as claim that it's one of the main reasons for why large language
252440	254560	models work so well in practice.
254560	261600	But regardless, understanding how large models do in-context learning is a very important
261600	269280	question to us understanding large language models.
269280	277480	So in recent years, there's a few very important papers that try to shed light on this phenomenon.
277480	282640	Our work is based on a few of these papers, so I'll do a quick review of the relevant
282640	284920	literature now.
284920	290360	The first such paper is the one by Garak Sipras-Leon Valiant, 2022.
290360	294160	And the title is, What Can Transformers Learn In-Context, A Case Study of Simple Function
294160	295640	Classes.
295640	300520	So we call the example about fruits and colors and the hidden rule is that y is the color
300520	303560	of x, where x is some fruit and y is some color.
303560	310880	But it's very hard to reason about what does it mean, what kind of function is represented
310880	316240	by the question about color in, say, the embedding space of words.
316240	323360	So what they propose to do is consider a simplified setup where your x are Euclidean
323360	330320	vectors and the y's are linearly related to x by some unobserved data.
330320	332520	So it's a linear regression problem.
332520	339440	Pictorially, you're given a bunch of demonstrations, the black dots, x, y pairs.
339440	344040	And then the question is in the form of the red dot, xn plus 1.
344040	348440	And you're trying to figure out what the label y is.
348440	350440	The revolution is a bit low.
350440	351440	OK.
351440	365840	So a follow-up paper by Akirak, Sherman, Andreas, Ma, and Zoe in 2023.
365840	374480	They further try to characterize what kind of, or they try to characterize how transformers
374480	379560	are able to learn these functions such as linear functions.
379560	387600	And the main takeaway here is that transformers can learn in context because they are able
387600	390200	to implement various learning algorithms.
390800	396400	For example, this plot here shows that experimentally, transformers appear to implement the ordinary
396400	399680	least squares algorithm on noiseless data.
399680	404160	So the green line is like zero throughout.
404160	411760	And so the transform prediction has a very good agreement with ordinary least squares.
411760	418320	And the way they show that transformers are able to implement this learning algorithm
418320	419880	is approved by construction.
419880	425120	So they have this very clever construction, where they define a few algorithmic primitives
425120	431880	like multiplication, division, affine transformation, and they show that the attention unit can
431880	433400	implement this primitive.
433400	437880	So by hooking together various attention units, you're able to implement algorithms
437880	439400	such as iOS.
439400	443320	And I'll mention here that further along this direction, there are also more extreme examples
443320	450440	where people show that the attention architecture can implement some kind of register system
450440	451440	or something.
451440	456920	So you can implement arbitrary algorithms and transformers can be called as programmable
456920	459240	computers.
459240	463760	The catch is that all these constructions are very clever, but the downside is that also
463760	465760	means they are very fragile.
465760	470760	And it's unclear whether these very clever constructions are actually recovered when
470760	475880	you, say, train your transformers with the atom algorithm.
475880	478040	So the next in line are two papers.
478040	482960	Linear transformers are circularly fast-waist programs by Schlag, Erich, Mied, Huber in
482960	483960	2010.
483960	496240	And a closely related paper by Oswald, Nikolson, Luan, Dazzo, Sacramento, Moff, and Blak Mirov
496240	497240	in 2010.
497240	502800	So I'll mainly focus on the second paper, Transformers, Learning Contacts by Gradient
502800	503800	Descent.
503800	507160	And so here, as well, they do approve by construction.
507160	511640	But there is a very important difference from previous papers, which is they consider the
511640	518160	linear transformers, which is, so all previous papers, they may consider a simplified setting
518160	521920	where the problem is linear regression, but the architecture was always full transformers.
521920	525680	But here, it's the first time people look at linear transformers, which I'll define
525680	526680	a bit.
527080	530280	It's simpler than full transformers.
530280	534240	And because they look at linear transformers, they are able to provide a very simple construction
534240	541760	where, under which linear transformers are able to implement gradient descent, which
541760	545480	in turn allows them to learn linear functions in context.
545480	553680	And remarkably, they have some pretty convincing experiments which agree with their construction.
553680	556840	So that's for prior work.
556840	562680	And now I come to our paper, where we try to answer the following question.
562680	566960	So we saw that transformers are expressive enough to implement a whole bunch of algorithms,
566960	571800	but can we show that transformers actually learn to implement any of these algorithms
571800	576160	during training?
576160	579000	So let me set up the problem.
579000	586520	When you have a transformer, the input is of the form of a matrix, d by n, where you
586520	590600	can think of it as a horizontally stacked bunch of tokens.
590600	593080	Each token is kind of like a word in a sentence.
593080	596160	So your sentence will get, you know, embedded in the impedance space and turn into a bunch
596160	598600	of factors.
598600	602360	So if you want to see it.
602360	609840	The standard self-attention module is the following function.
609840	613560	So you have your key value query matrix.
613560	624720	You have a mask for this causality, and then you put a softmax on this thing.
624720	631080	And linear self-attention is basically the same thing except we take out the softmax.
631080	636520	And that's why it's called linear because we took out the non-linearity.
636520	642320	And by the same time, I would say that the phrase linear attention is maybe a bit of
642320	649360	a misnomer because the linear attention module is not linear in either the parameter PQK
649360	650360	or in its input Z.
650360	654840	In fact, it's a third or the polynomial of Z.
654840	660280	Because of this, the representation power, when you stack a bunch of these linear attention
660280	663720	modules on top of each other, it increases.
663720	668840	So this is in contrast to something like a linear fully connected neural network.
668840	673640	So no matter how many of these you stack, you always are a linear function of an input.
