start	end	text
0	3740	Hello everyone, it's Michael Schirmer and it's time for another episode of the Michael
3740	4740	Schirmer Show.
4740	11220	This one is brought to you by Wondrium, a series of college-level audio and video courses and
11220	16740	documentary films and series produced and distributed by The Teaching Company.
16740	23020	Wondrium brings you engaging educational content through short-form videos, long-form courses,
23020	29060	my favorites, tutorials, how-to lessons, travelogues, documentaries, and more covering every topic
29060	34380	you've ever wondered about, and many, many more you've never even thought you'd wonder
34380	35380	about.
35380	39500	For example, here's one I'm going to take this week.
39500	43980	Again, the app is right on the phone, you just tap it, open it up, and they give you
43980	48860	a whole series of courses and tutorials and films and things you can watch or listen to.
48860	52980	This one's called The U.S. Constitution Through History.
52980	59860	This is 24 30-minute lectures, which I always listen to at 1.2 or 1.3 speed, depending on
59860	70500	the lecture, America's founding ideas, failures of early American governments, dilemma, dilemmas
70500	76420	of the Constitutional Convention, ratification of the Constitution, the Bill of Rights, the
76420	82700	first federalist power, first federal powers, Hamilton's Bank, and this goes on and I'm
82700	85660	not going to read all 24 of these, but you get the idea.
85660	90020	Nice thing about these, you start a lecture and it remembers where you're located in the
90020	95660	lecture, such that if you stop and come back, it's right there, or if you skip into another
95660	101820	lecture, maybe you even change courses, literally, and then you come back to this course, it
101820	104020	picks up right where you left off.
104020	112340	So check it out, go to Wondrium.com slash Shermer to get 50% off the first three months
112340	113340	of Wondrium.
113340	119300	It's a subscription service, so that's half off the first quarterly plan, 50% off the
119300	120300	first three months.
120300	130060	It's a great deal, Wondrium.com slash Shermer, W-O-N-D-R-I-U-M.com slash Shermer, S-H-E-R-M-E-R.
130060	133900	Check it out, Wondrium.com slash Shermer, get your 50% off those first three months of Wondrium.
134540	136420	It's a great way to spend your time.
136420	145020	All right, this one is brought to you by Wren, W-R-E-N, Wren, Wren is a startup that's making
145020	151980	it easy for all of us to work toward making a difference in the coming climate crisis.
151980	155660	I don't think it's an existential crisis, as you've heard me say here, I think it's
155660	160900	the kind of problem that we can solve in the long run if we all do just a little bit of
161060	163780	changes in our actions.
163780	168860	And here with Wren, they're not talking about, you should use less carbon, make a lower carbon
168860	169860	footprint.
169860	174060	No, they will calculate for you what your carbon footprint is, information you give them,
174060	177380	obviously, and then they will plant trees.
177380	182460	And in your name, to counter, well, you get involved in all this, but they plant the trees
182460	190420	for you and do other things that help sequester CO2 gases and in the long run, lower the average
190420	191860	global temperature.
191860	195660	In the long run, again, not, no, there's a collective action problem, no one of us can
195660	200220	make a difference, much of a difference at all, but collectively, if enough of us do
200220	204540	it, and particularly if we get momentum, then we can make a change.
204540	210100	And again, I think in the coming years, decades, centuries, it'll be fine.
210100	211300	We will recover from this.
211300	217820	We will solve this problem just like we did the ozone, hole in the ozone problem.
217820	223260	And we did that through collective action against that, and that's what Wren wants you
223260	224260	to do.
224260	225500	So, here's the deal.
225500	233780	If you go to Wren.co slash Shermer, W-R-E-N dot CO slash Shermer, they will plant 10 extra
233780	235020	trees in your name.
235020	236020	That's pretty cool.
236020	237020	I did it.
237020	238020	I think it's cool.
238020	240540	I calculated my carbon footprint and so on.
240540	243460	And if enough of us do it, it will make a difference.
243460	244460	So check it out.
244460	250980	That's W-R-E-N dot CO slash Shermer, Wren.co slash Shermer, and you'll be on your way.
250980	251980	It's a cool thing.
251980	252980	Check it out.
