start	end	text
0	6480	In a recent video, I said that the live stream dream could not have been playing an unaltered
6480	12080	version of Minecraft because the probability of them getting the luck that they did was
12080	15520	1 in 2.0 x 10 to the 22.
15520	18000	I just said there's no way that's ever going to happen.
18000	22480	And I tried to put a limit on how often humans could do something.
22480	28080	And I said if you had 10 billion humans doing the same thing once a second over and over
28160	34880	and over again for a century, the 10 billion human second century is 3.1 x 10 to the 19.
34880	36240	A smaller number.
36240	43600	So anything that actually occurs to a human has to have odds below 1 in that.
43600	50320	And as an example, Patricia, the current world record holder in craps, the chance of her game
50320	55520	occurring because it's just pure random luck, is 1.6 x 10 to the 12.
55520	56880	Okay, all good.
56880	67280	But then people have pointed out that in 2011, four senior citizens playing a card game in Warwickshire
67280	71120	in England got a perfect bridge deal.
71120	73440	They all had a full suit each.
73440	77840	And the probability of that happening is 2.2 x 10 to the 27.
78800	85360	We're talking nearly 100,000 times less likely than what happened to Dream.
85360	87280	And that actually happened.
87280	91040	So the question now is, do I owe Dream an apology?
99040	104400	This video is sponsored by the Great Courses Plus, a subscription service with thousands of
104400	106720	factual videos available on demand.
106720	110320	More about them and an extra mass question at the end of the video.
111440	115520	First up, what's the deal with a perfect bridge deal?
115520	119600	This is where an entire deck of cards is dealt out to four players.
119600	125520	And then when each player turns over their hand, they see all their cards are from the same suit.
125520	133120	And this is what Wender, Ron, Alan and Norman claim happened to them in Warwickshire in November 2011.
133120	137760	Although technically they were playing West, which was a precursor game to Bridge.
137760	140960	But the deal and all of this is exactly the same.
140960	143840	So I'm just going to refer to it as a perfect bridge deal.
143840	146160	And they're pretty adamant it happened, said Ron.
146160	149920	I would swear on my grandchildren's lives it was not fixed.
149920	151840	Oh bold statement, Ron.
151840	154560	But several newspapers picked it up at the time.
154560	163520	And most, if not all of them featured this number, the 2.2 times 10 to the 27 probability.
163520	167200	So now we have to work out, first of all, is that number correct?
167200	169440	And secondly, what actually happened?
170800	175120	In their description of what happened, they said it was the first hand of the night.
175120	180560	So I'm going to use a brand new deck of cards to recreate what happened.
180560	182720	Okay. Don't need the advertising cards.
182720	184880	Don't need the two jokers.
184880	187200	Right. Well, I say recreate what happened.
187200	190800	Of course, we're not going to get the perfect deal,
190800	196560	but we can still follow along with the steps and keep track of the mathematics
196560	200000	of how likely it is to get that perfect deal.
200000	202880	Now they said that they shuffled the cards a few times.
202880	204000	So I'll do that.
204000	207120	They then dealt the cards out where they cut them.
207120	209360	And then they dealt them out between the four players.
209360	216800	So importantly, if you're playing a wist or bridge, you deal out the entire deck.
216800	224160	So I actually think it's easiest to just keep track of how many possible starting arrangements
224160	229600	of the deck would lead to having a perfect deal.
