start	end	text
0	10000	We're glad to have Angela Fan today with us here.
10000	15960	And she's a research scientist at Meta AI Research in New York, focusing on research
15960	18280	in text generation mainly.
18280	24880	And currently she's working on language modeling and developing the line AI agents, metaproducts,
24880	29200	and recent research products include no language left behind, which she'll be talking briefly
29200	35760	about today, universal speech translation for unwritten languages, as well as Lama2.
35760	38280	So give it up for Angela, I guess.
38280	41480	All right, thank you all so much.
41480	44880	So yeah, when I got this email, I was like, oh, I should probably talk about Lama2.
44880	48920	But then I noticed you have Sharon, who will like, you know, is like a 10x better speaker
48920	49920	than me.
49920	52000	So I was like, okay, like maybe not Lama2.
52000	55600	But then I thought I maybe would cover this project that we did called No Language Left
55600	59880	Behind, which could be very, also very relevant to this class.
59880	67880	And so when you think about a lot of text generation technology, most of it, until fairly recently,
67880	70360	has been really focused on English.
70360	74440	But there are actually more than 3000 written languages worldwide.
74440	80040	And for me, this is extremely personally meaningful because actually English is my third language.
80040	82040	So it's really important.
83040	86880	Yeah, so it's really also very personally meaningful.
86880	91600	And when you think about some of the multilingual technology that permeates, it's not like we've
91600	93800	never worked on multilingual, right?
93800	97880	Actually, when speaking about generative AI, I actually think translation is one of the
97880	102000	most commercially successful and widespread applications of generative AI.
102000	107240	I mean, ultimately, translation models, they are, you know, like conditional language models.
107240	112120	And so when you think about like traveling or something like that, or my sister is taking
112120	116040	Spanish, so like just like doing her Spanish homework, we have a lot of tools that exist
116040	117040	today.
117040	121840	So things like Google Translate cover around 130 languages, Microsoft Translate about 110.
121840	127680	This might be a little bit outdated since I pulled the statistics a little bit ago.
127680	131480	But the project for No Language Left Behind, it started from like a very simple ask, like,
131480	134320	okay, there's 3000 languages worldwide.
134400	140160	Maybe it'll be like pretty hard to get to all 3000, since some of them are pretty rare
140160	141880	and not spoken by many.
141880	147000	But there are still like hundreds of languages spoken by millions and millions of people.
147000	148920	And so we were like, okay, no big deal.
148920	154160	Like, let's just start from the 100-ish that we have today and just go for like a doubling.
154160	158320	Like, what would it take to actually be able to double this kind of coverage?
158320	161680	And of course, you know, just saying that you support a bunch of languages is not the
161680	162680	goal.
162680	167320	You actually want to create high quality safe translations that would be usable by people
167320	171000	just like if you're going on vacation today, you're kind of instinctive to whip out your
171000	174560	phone and get on the Google Translate app.
174560	178920	And so kind of the backdrop to this project was that there's actually a lot of progress
178920	180240	in translation.
180240	184640	So historically, there's been a lot of focus on what we call higher resource languages.
184640	188600	And these are not necessarily languages that are spoken by the most people in the world.
188600	192200	But when we say higher resource, it means the most amount of data.
192200	196880	And so you can think about things like Europarl or, you know, translations from the European
196880	197880	Parliament.
197880	202200	And those served as the foundation for a lot, a lot of translation development.
202200	206360	And more recently, there's been a great focus on low resource languages, and it's been driven
206360	212320	across the research community with groups like Ghana NLP, Masekane, America's NLP.
212320	214760	And these are all really exciting developments.
214760	219920	And so these have led to a lot of development of new data sets, as well as criticisms of
219920	224880	existing data sets, and also work on new languages, and usually languages that people
224880	227120	kind of speak and they care a lot about.
227120	229800	And we found this like really, really exciting.
229800	234320	And so looking at a lot of this, a bunch of us got together at fair and started thinking
234320	239080	like, okay, we actually speak some pretty low resource languages from like Catalan to
239080	241040	Ossamese and so on.
