start	end	text
0	9000	Welcome to the stage co-founders of the Center for Humane Technology Tristan Harris and Aza Raskin.
30000	43000	Headdreams in submarines are driftin' the cold and I'll find home at the end of the road waiting to see what unfolds.
43000	60000	In the red woods, in the silence, I am empty, I am timeless, in the plenty, I am choking, I am ready to be open.
60000	81000	Will you love me in this ocean? If I'm frozen, if I'm broken, will you love me in this ocean? If I'm frozen, if I'm broken, so I'll let go of all that I know.
81000	93000	Headdreams in submarines are driftin' the cold and I'll find home at the end of the road waiting to see what unfolds.
93000	115000	Headdreams in submarines are driftin' the cold and I'll find home at the end of the road waiting to see what unfolds.
124000	132000	Wow. It is so good to be here with all of you. I'm Tristan Harris, a co-founder of the Center for Humane Technology.
132000	135000	And I'm Aza Raskin, the other co-founder.
135000	137000	And what did we just see, Aza?
137000	144000	So the reason why we started with this video last January, I generated that music video with AI, right?
144000	150000	None of those images existed. It was using like dolly style technology. You type it in, it generates the images.
150000	154000	At that point, there were maybe, I don't know, 100 people in the world playing with this technology.
154000	158000	Now I think there have probably been a billion plus images created.
158000	167000	And the reason I wanted to start with this video is because when we were trying to explain to reporters what was about to happen with this technology,
167000	170000	we would explain to the reporters how the technology worked.
170000	175000	And at the end they would say, okay, but where did you get the images?
175000	180000	And there's a kind of rubber band effect that I was noticing with reporters.
180000	182000	It's not like dumb reporters, this happens to us all.
182000	188000	They were coming along and coming along and coming along, but because this technology is so new,
188000	195000	it's hard to stabilize in your mind and their minds would snap back and it creates this kind of rubber band effect.
195000	198000	And we wanted to start by naming that effect because it happens to us.
198000	201000	I think it'll happen to everyone in this room if you're anything like us,
201000	206000	that as we try to describe what's happening, your mind will stretch and then it'll snap back.
206000	209000	So I want you to notice that as your mind is pushed in this presentation,
209000	213000	notice if your mind kind of snaps back to like, this isn't real or this can't actually be.
213000	215000	So just notice that effect as we go through this.
215000	218000	So as we said, we're co-founders of the Center for Humane Technology.
218000	221000	People know our work mostly from the realm of social media.
221000	225000	And this is really going to be a presentation on AI.
225000	229000	I just want to say, we're going to say a lot of things that are going to be hard to hear,
229000	234000	a lot of things that are challenging to AI as a whole, but we're not just anti-AI.
234000	237000	In fact, since 2017, I've been working on this project.
237000	239000	I'll be talking about it tomorrow at 9.30 a.m.
239000	243000	First species project using AI to translate animal communication,
243000	246000	like literally learn to listen to and talk to whales.
246000	248000	So this is not just an anti.
248000	252000	This is how do we work with AI to deploy it safely?
252000	256000	So we're going to switch into a mode where we're really going to look at the dark side
256000	258000	of some of the AI risks that are coming to us.
258000	261000	And just to say why we're doing that, a few months ago,
261000	265000	some of the people inside the major AGI companies came to us
265000	269000	and said that the situation has changed.
269000	273000	There is now a dangerous arms race to deploy AI as fast as possible,
273000	274000	and it's not safe.
274000	277000	And would you, Asa and Tristan in the Center for Humane Technology,
277000	280000	would you raise your voices to get out there to try to educate policymakers
280000	282000	and people to get us better prepared?
282000	285000	And so that's what caused this presentation to happen.
285000	288000	As we started doing that work, one of the things that stood out to us
288000	291000	was that in the largest survey that's ever been done for researchers,
291000	294000	AI researchers who've submitted to conferences,
294000	296000	their best machine learning papers,
296000	298000	that in this survey they were asked,
298000	303000	what is the likelihood that humans go extinct from our inability to control AI,
303000	305000	go extinct or severely disempowered?
305000	308000	And half of the AI researchers who responded
308000	312000	said that there was a 10% or greater chance that we would go extinct.
312000	315000	So imagine you're getting on a plane, right, like Boeing 737,
315000	318000	and half of the airplane engineers who were surveyed
318000	322000	said there was a 10% chance that if you get on that plane, everyone dies.
322000	324000	We wouldn't really get on that plane.
324000	328000	And yet we're racing to kind of onboard humanity onto this AI plane,
328000	333000	and we want to talk about what those risks really are and how we mitigate them.
333000	337000	So before we get into that, I want to sort of put this into context
337000	340000	for how technology gets deployed in the world.
340000	344000	And I wish I had known these three rules of technology
344000	348000	when I started my career, hopefully they will be useful to you.
348000	350000	And that is, here are the three rules.
350000	354000	One, when you invent a new technology,
354000	359000	you uncover a new species of responsibilities.
359000	362000	And it's not always obvious what those responsibilities are.
362000	365000	We didn't need the right to be forgotten
365000	369000	until the internet could remember us forever.
369000	370000	And that's surprising.
370000	374000	What should HTML and web servers have to do with the right to be forgotten?
374000	375000	That was not obvious.
375000	376000	Or another one.
376000	381000	We didn't need the right to privacy to be written into our laws
381000	386000	until Kodak started producing the mass-produced camera.
386000	391000	So here's a technology that creates a new legal need,
391000	395000	and it took Brandeis, one of America's most brilliant legal minds,
395000	396000	to write it into law.
396000	399000	Privacy doesn't appear anywhere in our constitution.
399000	402000	So when you invent a new technology,
402000	404000	you need to be scanning the environment to look for
404000	408000	what new part of the human condition has been uncovered
408000	410000	that may now be exploited.
410000	411000	That's part of the responsibility.
411000	415000	Two, that if that tech confers power,
415000	418000	you will start a race for people trying to get that power.
418000	425000	And then three, if you do not coordinate, that race will end in tragedy.
425000	431000	We really learned this from our work on the engagement and attention economy.
431000	436000	So how many people here have seen the Netflix documentary The Social Dilemma?
436000	437000	Wow.
437000	438000	Awesome.
438000	443000	Really briefly, about more than 100 million people in 190 countries
443000	445000	in 30 languages saw The Social Dilemma.
445000	446000	It really blew us away.
446000	447000	Yeah.
447000	451000	And the premise of that was actually these three rules that Asa was talking about.
451000	453000	What did social media do?
453000	456000	It created this new power to influence people at scale.
456000	460000	It conferred power to those who started using that influence people at scale.
460000	462000	And if you didn't participate, you would lose.
462000	465000	So the race collectively ended in tragedy.
465000	467000	Now, what does The Social Dilemma have to do with AI?
467000	473000	Well, we would argue that the social media was humanity's first contact with AI.
