start	end	text
0	16000	Hi, everyone. I'm very glad to be here, even though I am fighting against a jet lag. There
16000	21640	is none our difference between here and Seattle. So back with me. I'm going to try to not sleep
21640	28280	on stage. Yeah, we're going to I'm going to present Babylon.js. It's an engine I created
28280	34280	six years ago. And it's an engine that I am pretty proud of because now it's very it's
34280	40680	used in a lot of important places. For instance, that's PowerPoint. But this little guy here
40680	46600	is a 3D object animated by Babylon.js inside PowerPoint. And actually, at Microsoft, every
46600	52400	time you're going to see 3D, it's probably a 99% sure that it's actually based on Babylon.js.
52400	58720	It's something that I'm going to present right now. It's an open source framework. It's
58720	65120	entirely free. It's based on Apache 2 or do the heck you want with the code. There is
65120	70880	no license, no nothing. It's brand new at Microsoft. We are using our own technology
70880	76080	here, but this technology is entirely free for you to use in any place you want. It's
76120	84120	based on any in a lot of web open standard and web open frameworks like WebGL 1 and 2,
84120	92620	WebGPU. So WebGPU, are you aware of what WebGPU is? Who knows? Okay, quite a few. It's
92620	98800	the evolution of WebGL actually. It's metal slash Vulkan slash DirectX 12 for the web.
98800	105080	It's a new technology that we are working on with Apple and Google to support. The interesting
106080	111440	point here of using Babylon.js is that if you want to use 3D today, you do not have to worry
111440	117200	about that. We will take care of all the underlying frameworks like WebGL 1, 2, or WebGPU. We also
117200	123080	support WebXR. I'm going to do a quick demo later. It's a full-fledged game engine and rendering
123080	129320	engine. So we support physics and VR particles. I don't like this image, but that's the best I
129400	135600	can have. It's kind of the unity for the web, if I may. We're going to provide you tools to create
135600	142520	3D on the web without the burden of understanding shaders and math and stuff like that. We also
142520	148680	support physically-based rendering. It's an advanced technique created by Disney starting with, I
148680	154160	don't know, Untangle, the name of the movie. I am not sure it's the right translation anyway. The
154800	163240	lady with the long hairs, they created PBR for this cartoon. And this PBR, and thanks to the power of
163240	168080	our computer now, can be now rendered in real-time on the web. I'm going to get back to that later
168080	175520	as well. We have principles, and I'm very glad to have my talk after John's one because we have
175520	180440	exactly the same principle. I like bug first. We create tools before the engine and stuff like
180440	186040	that. And we are also backward compatible. That's something that just pissed me off a lot when I
186040	190840	have to update to a new version of a framework and I have to rewrite everything. That's something I
190840	197640	do not want for Babylon. So if you're using Babylon.js, you will be able to run it up until the next
197640	203200	version without having to change anything on your code. We do not break backward compatibility. And
203200	212520	we are also supporting GLTF. Who is aware of what GLTF is? Okay. So GLTF stands for Graphic Library
212520	218640	Transport Format, and that's the JPEG of 3D. You think about JPEG. If I give you a JPEG image, you
218640	224000	will be able to display it on your computer, right? Because everyone understands JPEG or PNG. For
224000	229880	3D objects, like the file format itself, it was a mess up until now because there were like 10,000
229960	235360	different file formats, all in code printable, obviously, and all proprietary. So we sit down with
235360	241480	the Kronos group, the group who is standardizing WebGL, and we define all together, and by all, I
241480	247440	mean Google, Facebook, Microsoft, NVIDIA, et cetera, et cetera, we define a file format. And this
247440	253680	file format is GLTF here. So if you want to render 3D objects like the dinosaur I was rendering
253680	258440	before, it's a GLTF file format. And so by supporting this file format, we ensure that your
259320	266520	object will be displayed and compatible. It's an open source project. Since the very beginning, it was
266520	274520	started as an open source project. It's still an open source project. We have around like 100,000
274520	280920	posts on the forum. It's a very active forum. Most of the users, when they come to us, the number one
280920	287920	reason they come to use Babylon.js is because of the forum. We have a very lovely community. It's
288000	294440	very helpful. There is no shame. It's definitely a place where you can ask any question and you will
294440	303280	get a response in a matter of a few days. We also have a pretty large number of active supporters,
303280	312520	like people contributing to the forum and to the engine itself. So it's used in a very, it's funny
312520	317760	because I started it six years ago, and I was the only developer, and it was only for me. And now
317760	324160	it's used across the web. Adobe is using it for their product. Being Microsoft apps, obviously, I
324160	328520	mentioned SharePoint, PowerPoint, et cetera, but it's also used by Dolby, by Minecraft. If you go to
328520	333160	Minecraft.net, classic.minecraft.net, you're going to play the Minecraft game, and it's using
333160	339480	Babylon.js to do the rendering, et cetera. We work with a lot of small, high, very large companies,
339480	344600	and my favorites are probably the enthusiasts, like students of people that just do that because
344640	350800	they want to learn how to create a game or to create 3D. And that's why we created the engine. And so
350800	358560	also, I want to underline and second what John said just before, we created the engine, but we also
358560	364320	created a lot of tools. And I'm going to get back and demonstrate these tools. Just name-dropping here,
364320	368720	I'm going to get back to that later. The goal for me is to mention that it's not just an engine,
368720	374120	it's actually engine is a small portion of it. The tools that let you create what you want to
374160	382160	create in 3D are really the important point here. Okay. So I have a quick video because I wanted to
382160	387960	capture what the community was creating with Babylon.js. So instead of going through a demo
387960	391840	manually, I created a quick video for you to see.
494320	523800	Right. It was an example of in real time,
523800	526360	in real time, obviously, running on any computer
526360	528680	what can be done with the framework itself.
528680	531840	So instead of spending too much time just talking,
531840	534320	I would like to show you in action
534320	536320	what you can do with Babylon.js.
536320	540360	I'm going to start with a first presentation of one
540360	541440	of the tools that I have.
541440	543640	Nope, it's not here.
543640	544800	The Playground.
544800	547080	So Babylon.js-playground.com is a place
547080	549120	where you can go to learn the engine.
549120	552160	So I spend a lot of time writing documentation,
552160	554520	and that's a pity because no one's read it, right?
554520	556160	You don't read documentation.
556160	558200	No one's read them.
558200	561120	So I decided to take the problem the other way,
561120	564040	like, how do I learn?
564040	565880	I learned by trying, right?
565880	568440	And so that's why we created the Babylon Playground.
568440	571400	Here, you have on the left a full-fledged editor,
571400	573440	and on the right, you have the real-time rendering of what
573440	575240	you just typed on the left.
575240	577040	The editor comes with IntelliSense.
577040	580280	So if you type here, you can get help while you type.
580280	581840	So instead of reading documentation,
581840	584040	again, you can just experiment, OK?
584040	585720	And I'm going to just show you what
585720	587960	can be done in a matter of a few seconds here.
587960	591160	So here, I have a scene that I created.
591160	593840	I create a camera, which is the point of view
593840	596480	that I can manipulate with touch or with my mouse.
596480	599680	I set the target of my camera, and I attach it to the events.
599680	602400	By calling Attach Control, I attach to the mouse event,
602400	603960	the pointer event, and stuff like that.
603960	607200	So I can play with my finger here or just with my mouse
607200	609360	if I want to, or the keyboard.
609360	610800	That's all coming from this line.
610800	615240	Then I create a light, like in real world, you have a light.
615240	617520	I set the intensity of that light and the sphere.
617520	619760	So if I run that, I just have my sphere
619760	621440	in the center of my screen, OK?
621440	624840	As a user, now what you can do is to experiment.
624840	626760	And we use the playground for experimentation,
626760	627920	but also for bug fixing.
627920	631200	When a user comes to us and say, hey, I have a bug,
631200	633280	most of the time, we ask them to reproduce the bug here,
633280	635600	because it's then easier to discuss.
635600	638200	So I'm going to create, actually, a material.
638200	644560	The material here will be a PBR, sorry,
644560	648560	Babylon, dot PBR Metallic Roughness Material.
648560	652240	It's a specific kind of material that simulates metal, OK?
652240	653240	I'm going to give it a name.
653240	657000	And as you can see, there is a while I type help
657000	658000	on the parameters.
658000	660560	So for instance, I want the name here, like foo,
660560	664160	and the scene where I want to have my material.
664160	669160	Then I set my sphere.material to that material, OK?
669160	674320	And I'm going to just quickly set some values, like metallic.
674320	677240	It will be fully metallic between 0 and 1.
677240	682240	And is that a little bit too small, maybe, right?
682240	685200	Let me change the font size to something bigger.
685200	687960	OK, sorry about that.
687960	690040	And I want also to set my material
690040	696000	to be the roughness of it, like brushed metal, if you prefer,
696000	698640	will be 0.5, again, between 0 and 1.
698640	703600	If I run it, you have a sense of something change,
703600	707840	like it's a bit metallic, but the power of a metal,
707840	710000	like in your car, is because you see the reflection
710000	711760	of the environment, right?
711760	714560	A car by itself with no reflection looks rough.
714560	716080	So what I'm going to do here, I'm
716080	719400	going to just ask the scene to create a default environment
719400	722200	for me.
722200	726840	And by doing that, now here, I have a sphere, which
726840	729440	is like brushed metal, OK?
729440	730760	So I can play with the parameters,
730760	732320	but I told you it's all about tools.
732320	734120	So here I have the playground, but we also
734120	736000	have a second tool that I would like to show you,
736000	737400	which is the inspector.
737400	739840	Here I can invoke the inspector by calling
739840	744440	deburglayer.show, show.
744440	748920	And if I do that, zoop, I'm going to have an additional UI
748920	750880	that will be on top of my scene here,
750880	752680	where I can see the tree view.
752680	754840	So I have my glide, my camera, my sphere,
754840	756240	and the background that was generated
756240	758200	by the created environment.
758200	761200	And I can take my material here, and I
761200	763000	have all the properties of that material.
763000	766280	And for instance, I can play with the levels here
766280	768680	and change the opacity or the roughness.
768680	776160	So fully metallic, fully rough, OK?
776160	779720	Let me just get closer.
779720	786400	So that's the Chinese theater in Los Angeles.
786400	788000	And you can play with the parameter here.
788000	791800	Also, we introduce a lot of options that you can change,
791800	794000	like I want to render in wireframe and stuff like that.
794000	796600	You can play with it here, OK?
796600	797720	That's the inspector.
797720	800040	The inspector is extremely useful to debug or just
800040	800760	develop your scene.
800760	802920	So you can, visually, instead of just typing the code
802920	804880	in the playground or in your application,
804880	807800	you can just visually debug the scene itself.
807800	809240	Right.
809240	812400	Another tool I wanted to show you is the documentation itself.
812400	813040	Yes, I know.
813040	814680	People won't go there, but still, I
814680	818360	would like to show them the documentation for one reason.
818360	821280	Here, we have a regular documentation
821280	825040	with code practice, example, regular documentation
825040	827320	you should be looking for.
827320	829160	But we also have the playground here.
829160	830800	And the playground is actually a tool
830800	834640	that's going to search through all the examples that were created
834640	836000	in the playground here.
836000	838400	Because in the playground, if I hit Save,
838400	842000	it will generate, for me, a unique URL
842000	845960	that I can share with my friend with this code running, OK?
845960	848080	And that is stored in our database.
848080	850960	And if I want to learn something,
850960	853160	I could just search for the documentation
853160	856720	or I could just search for examples showing me
856720	861240	how to do something, like I want to do shadows.
861240	864360	And I can search for shadows inside our database.
