start	end	text
0	2000	Please welcome Ben O'Riess.
2000	10000	So, yeah, after last year, I thought I'd go a bit less controversial.
10000	18000	Anyway, so I thought I'd start in good form by stealing something from Gary Bernard.
18000	20000	Gary Bernard is the author of the Watt Talk.
20000	24000	If you haven't seen that, see that and then watch Katie's talk about explaining the Watt.
24000	28000	But at the keynote that he gave at PyCon in Montreal a few years back,
28000	34000	he talked about the state of knowing things, but also the state of knowing that you know them.
34000	39000	And he put up this kind of truth table thing about whether you know something or whether you meta-know it.
39000	44000	And, you know, if you know it, if you know something that you know, then you know it, then it's a no-knowing, it's knowledge.
44000	46000	It's there, so you can use.
46000	50000	If it's something you don't know but you know that you don't know it, that's a no, an unknown.
50000	52000	That's something you can go and find out later if you need to.
52000	54000	That's all good.
54000	56840	don't know it and you don't know that you don't know it, then it's an unknown unknown
56840	59280	and that's something that might come to bite you later on.
59280	62520	But there's a row missing from this.
62520	68200	What happens if you know something but you don't know that you know it?
68200	72720	Gary defined that as ideology.
72720	77360	And I think that's a pretty good definition, but tradition I think is also somewhat appropriate
77360	78360	there.
78360	80680	It's something where it's the kind of background radiation and it's something that you just
80680	83880	use without really questioning it.
83880	99520	And so, to get started, let's, so, I work for a company that makes a lot of USB devices.
99520	104080	One of our USB devices, which is not the key that you've got in your things, it's a hardware
104080	109480	storage module, involves a piece of software we call the connector and it talks to it over
109480	111320	USB.
111320	116400	And I was wanting to rewrite that in Rust because you do.
116400	120880	And the problem was that at the time, the lib USB bindings for Rust were somewhat bit
120880	122320	rotted.
122320	128720	And so, I decided to try and implement just enough of what lib USB did in Rust itself
128720	133240	on the three platforms that we cared about, which were Windows, Mac and Linux.
133240	135520	And basically, I just wanted to implement this.
135520	138640	I want to iterate over the USB devices to find a device that matches a given vendor
138640	139640	product tuple.
139920	143320	I want to get the device's serial number because sometimes we have more than one attached.
143320	144800	We want to make sure we're attaching the right one.
144800	147640	I want to open the device and claim interface zero.
147640	149640	USB devices can have multiple interfaces.
149640	150640	It doesn't matter.
150640	152720	Send an echo request packet and get the response back.
152720	153720	All good.
153720	157840	So, here, in fairly quick terms, because otherwise I'm going to blow my entire runtime on just
157840	161680	this, is what that code looks like without any error checking or anything.
161680	164800	Do not run this code.
164800	166120	Windows.
166120	169960	We start by getting a class device thing.
169960	171800	We enumerate.
171800	173960	We create enumerator for it.
173960	175520	We get some devices.
175520	178680	We get interface detail not once but twice because the first time we just try and get
178680	179680	a byte count.
179680	181200	So, we do it again.
181200	183160	Once we've got that, then we have a device path.
183160	184800	This is not a file system path.
184800	186000	This is a device path.
186000	189120	This is not slash dev slash something or the Windows equivalent.
189120	192720	It's like the device tree path that you get.
192720	194360	So, that's all good.
194360	199200	Then we open that with create file W. The W means wide or Windows or something.
199200	202640	It means not ASCII.
202640	205920	And that's about the only actual file operation you'll see in this whole thing because we
205920	211840	rapidly move on to the WinUSB API, which is the API for talking to USB devices from user
211840	213040	space in Windows.
213040	215160	So, we create an interface handle.
215160	219280	We get the device descriptor, which gives us the vendor and product things that we need
219280	221760	in order to be able to tell whether we got the right one.
221760	223000	Then we get a string descriptor.
223000	225360	This 409 value is one you'll see a lot.
225360	227240	That is USB speak for English.
227240	232800	So, we're getting the English serial number, not any of the other fancy serial numbers.
232800	233960	Then we make sure it's the one we want.
233960	237080	This is actually in UTF-16 for reasons but whatever.
237080	239640	So, now we've got the device we want.
239640	242160	We do a bunch of mucking around with setting pipe policies.
242160	245160	Pipes are the things that are used to communicate with the USB device.
245160	249120	This one tells it that we want it to send zero-length packets when necessary.
249120	252840	This one and this one are all about just clearing the pipe to make sure that it's not going
252840	257040	to fail on us, and then we can write data to it and read data from it.
257040	259200	So, that's not so bad.
259200	262720	I was actually pleasantly surprised by this because it's not too bad.
262720	266720	You've got a bit at the start where you are doing the device iteration and finding the
