start	end	text
0	16320	Welcome to this lecture on aspects of western philosophy module 24 and also lecture number
16320	24120	24. This lecture is going to be on the philosophy of one of the very important thinkers of
24120	33560	western philosophy Hegel. And we would focus on the following topics in this lecture.
33560	40400	We will first of all see the concept of Geist or spirit, mind, it is translated in various
40400	46720	ways. Then we will concentrate on this method of dialectics or rather we would conclude
46720	52560	this lecture with that in between we will discuss the concepts of being, non-being and
52560	57680	becoming. They are all interconnected notions in Hegelian philosophy.
57680	63640	Well, when we talk about the importance of a philosopher in the history of philosophy,
63640	70160	normally we consider two criteria. Number one, the contributions he or she had made
70160	77040	to the history of philosophy and number two, the contemporary relevance of these thinkers.
77040	81440	So, in that sense we can see that you know many of these traditional or even ancient
81440	87800	philosophers like Plato and Aristotle are still very important, because even today their
87800	93880	thoughts inspire us, inspire philosophers. But when you try to understand, when you try
93880	101040	to evaluate Hegel in the light of these criteria, I would rather say that both of them, I mean
101040	106680	if you consider both the aspects like the contributions to the history of philosophy,
106720	113480	history of thought and history of human intellectual history, we can put it in that way, the entire
113480	120400	human intellectual history owe a lot to Hegelian philosophy. Hegel has inspired thinkers from
120400	126840	all aspects, all intellectual disciplines and of course, the contemporary relevance
126840	130440	of Hegel. There are many philosophers in the contemporary
130440	140200	world, go back to Hegel's thought, notable philosopher Charles Taylor and many others
140200	145240	and as far as Indian philosophical tradition is concerned, there is a tendency among some
145240	151560	Indian philosophers to compare the Hegelian system of absolute idealism with Vedanta.
151560	158360	So, in that sense Hegel is a very important thinker for us and we will start with concept
158360	165760	of gist or absolute or spirit, but before that let us see some basic details about Hegel.
165760	174480	He was born on August 27th, 1770 and his association with Friedrich Halderin, a very
174480	181680	important poet, German poet and Schelling led him to read and spend more time on the
181680	188280	critical philosophy of Immanuel Kant. So, this association with these two great thinkers
188280	195880	played a very important role in Hegel's philosophy and in Hegel's intellectual development.
195880	202200	Then he published his first major philosophical work, the phenomenology of spirit in 1807.
202200	206040	There are many other works he published during his lifetime, I am not going to mention about
206040	213760	all of them, but the attempt is to understand how a philosopher such a great thinker like
213760	219160	Hegel has actually started his philosophical career and probably in the next lecture we
219160	223560	will concentrate on this whole idea of phenomenology of spirit.
223560	229400	When we talk about the philosophical sources of Hegel, the French rationalism of course
229400	235000	is played a very important role and then comes the British imperialism like all thinkers
235000	240880	of modern enlightenment philosophy or post enlightenment thought. Hegel was also influenced
240880	248320	by the two great traditions of rationalism and empiricism and also Kant, Kant's transcendental
248320	254520	philosophy. Kant being a German, it was quite natural that Kant would have influenced Hegelian
254520	259160	philosophy, Hegel's intellectual growth in a significant manner.
259160	264120	But another very interesting influence on Hegelian philosophy is Romanticism which is
264120	268920	a little condensious, but at the same time we can see that you know Hegel's attempt
268960	274680	to totalize everything or to develop a philosophy, a totalizing theoretical framework owes a
274680	281800	lot to Romantic approach or Romanticism. And another important contribution probably
281800	288280	or influence of Romanticism is visible in Hegel's attempt to spiritualize philosophy
288280	293320	which is little against the kind of prevailing systems or prevailing approaches to philosophy
293320	300440	in the Enlightenment age, because Enlightenment always try to see nature as material, but
300440	303760	we can see that Hegel was trying to spiritualize it.
303760	310920	So we can see in Hegel's philosophy all these trends the rationalism, empiricism, transcendentalism
310920	317560	or critical philosophy of Immanuel Kant, then Romanticism all these you know intellectual
317560	324120	developments converge in a unique manner in Hegelian system of thought.
324120	329800	Now when we talk about Hegel's task as a philosopher, he was trying to formulate a
329800	336760	philosophical theory that will reach to infinity. This again a very interesting aspect, because
336760	343960	when you talk about infinity particularly in the backdrop of Enlightenment philosophy,
343960	349280	the critical philosophy of Immanuel Kant, we have already examined in detail that when
349280	358160	Kant discussed the critic of pure reason, he drew a very clear line, he said that it
358160	364320	is impossible to think this side of the line, you can be here, but never try to stretch
364320	372000	it and try to apply the categories of human thinking or rational categories to your understanding
372000	377880	of God or infinite reality or anything. So in that sense, Enlightenment philosophy
377880	384240	drew a very clear line between finite and infinity, something which is finite, something
384240	389440	which human beings with their finite minds can understand and there is an infinite reality
389440	397000	which we can never probably comprehend. So this line is something which Hegel was trying
397000	405360	to cross. Then again formulated totalizing philosophy that comprehends all reality, when
405360	410680	you talk about all reality, I mean it includes all aspects of reality, all phases of reality
410680	417800	not just one. For instance, for Enlightenment reality is constitutive of the material domain,
417800	424200	rather ultimate real is something which is unknowable according to Kantian philosophy
424720	431040	and the phenomenal reality is something which is confined to the domains of percepts and
431040	438880	concepts. So it is basically talks about scientific understanding, but for Hegel history is equally
438880	445760	important like physics. So in one sense we can say that Hegel is historicizing philosophy
445760	451160	or rather is a historian of philosophy, he is definitely not the first historian of philosophy
451280	457800	or first philosopher of history, but Hegel's contributions in this domain, this area is
457800	463680	phenomenal. So in that sense we have to understand this particular standpoint that trying to
463680	469680	develop formulate a totalizing philosophy that comprehends all reality, the historical,
469680	476200	psychological, creative, philosophical, scientific, physical, all aspects of reality into one
476200	483600	system. A philosophy that accounts for all human experience, the totalizing philosophy
483600	491280	that incorporates all knowledge and wisdom, present in science, history, religion, politics,
491280	497280	art and literature are all synthesized in the unique manner in Hegelian system. So in
497280	502080	that sense there are some philosophers, some historians of philosophy would say that Hegel
502080	509080	was the most perfect philosopher, because everything converges into Hegelian system
509080	514280	and the influence of romanticism is quite visible as far as this aspect is concerned.
514280	520280	We will have a brief look at what romanticism is to understand to appreciate Hegelian philosophy
520280	526760	in a more comprehensive manner. It is a new moment in the realms of literature, philosophy
526760	532680	and arts. There are romantic poets, romantic artists who adopted a kind of very unique
532680	537440	and very different approach to nature, the relationship between man and nature, the
537440	542080	importance they have given to experiencing nature, the importance they have given to
542080	548120	emotions. Say for example, people like Wordsworth, the importance given to emotions, passions,
548120	553000	the passionate and experiential way in which you relate yourself with nature, all these
553000	560080	things were emphasized by the romantic thinkers and artists. They advocated by artists and
560080	565720	intellectuals who rejected the enlightenment philosophy dominated by reason, logic and
