start	end	text
0	5300	One of the things I get asked all the time is what my window manager is I get that I don't know what this is about people
5300	9320	Obsessed about window managers and distros and stuff. It's fine. People are just making conversation
10160	12160	Rarely they're judging you based on your choices
12960	17240	to me it doesn't matter as my window manager is Tmux and
18480	21840	Do I use a status bar? I use my Tmux status bar
21920	27640	So as you can see right now everything that you see on the screen is Tmux. This is a full-screen
28120	35240	Nome terminal that came with pop OS is my distro and I have got a Tmux within a Tmux
35240	37240	So this stuff down here is all we chat
37640	42920	This down here is my status bar. This is a status update my pulmonary trauma on my Tmux configuration
42920	45360	Which we're going to be covering in other videos. So stay tuned
45920	47920	And then here's my title down here
48640	54400	You can't see it, but and then up here you can see this is this is up here. This is a Vim session
55120	58520	And up here you can see that I have another Tmux status bar
58520	63120	That's because I have a Tmux within a Tmux and stay tuned. I'll show you how to do that safely
64120	68840	So that you can actually have two status bars or you can split your screen and do all kinds of crazy amazing things with this
69280	71280	so by using
72400	76320	By what's that can use it to previous CPU usage and other things absolutely
76320	80840	I can do all of that from the command line if I wanted if I wanted to put CPU utilization or anything
80840	84320	I wanted to I could put it in my terminal in my in my in my
84400	88840	You know status bars of different types so I could put it up here or I could make a pain
88840	93800	I can do this so I can split a pain over here. So easily. I just split that pain in half
94040	97720	That's pain management. And then if I want a new window control C
98320	100320	Let me turn my eskies on so you can see everything
100720	106840	But as you can see I can go back and forth screen and tell it multiplexers I can split this guy some more
106840	109280	I can make T matrix here run
110160	117200	You know, I can put the fish in another terminal the point being that I have absolute immediate control
117760	124120	Over all of my windows and pains people continually say you need to learn I3 you're learning blah blah blah
124120	131280	I say no, I don't need any of that all I need is Tmux because Tmux gets you everything you need I
131880	136200	Do everything from the terminal anyway, so there's no need for me to do anything besides that
136680	142720	It does manage my windows it matters my real estate it manages my pains
142720	148360	It allows me to do I mean I can do H top over here if I want to have that thing sometimes in another window
148360	153920	I'll roll I'll run my other thing and and by the way all the bindings that I have here are also
154920	158120	Completely transferable, right? So it's like
159240	161240	configuration centralized and
162440	163880	Portable
163880	169240	In a single file, so you know your Tmux config if I'm doing like I don't know
169240	174680	I'm good planning on doing the Kubernetes certification and I know that they have Tmux so that odds are I can take my
174680	178880	Tmux com files stick it on the system along with my batch RC and my Vim are seeing I'm good to go
178880	185640	I don't care do it. Could I install I3 on there? No, could I you know change my Linux distro?
185680	189040	No, let's say that I want to just run a Docker container
189120	194520	So, you know, let's say I'm going to run it's like the fault Docker container Docker run it
194520	199680	You know, let's like run it a bunch of container, right dash dash RM and
200520	205520	Let's give it a name. Let's do Debian and what we should we call it?
207120	211320	What is it? How do you do names in I think it is something I don't remember so
211920	215760	Oh, fairly crazy because that shouldn't actually not found. Oh wait
216640	219800	I think it's dash and something so Debian
221160	227720	Is it dash T dash T is the name. I thought it was dash and is it dash T
232400	237320	What is it people I think it's dash dash and
238440	242280	Name I know there's a shortcut. Okay. So here we are on here, right?
242520	246440	So so now I can like I have my I have my host here and
247960	250120	It didn't seem to work. So we'll just go ahead and use this
250240	256240	So let's say I want to put my team looks config over here. I want to put my my team looks good thing. So Docker copy
258040	260040	This
260400	265480	Tmux comf and I want to put it on this. Yeah
266760	269520	I also structure. What am I talking about Docker copy?
270520	273640	Oh wait, where is my team looks file? Did I put it someplace else? Oh
274800	276800	there is
276840	280640	Tmux comf to am I doing it wrong? What am I doing wrong? I
282880	287320	Think I have to put slash there. Yeah, there we go. So now it's here
