start	end	text
0	3440	Giving GPT-4 full access to my terminal.
3440	7040	For some of you, you're way too excited about the prospects of such a thing,
7040	9680	and this probably scares the heck out of many others of you.
10240	12880	The idea is actually pretty simple and safe.
12880	20560	We're really just trying to make prototyping and R&D with GPT-4 and models like it much more fluid.
20560	25120	As it stands right now, you might go to the chat GPT UI or some other chat UI
25680	29520	and ask it for something like a matplotlib graphing example.
30000	33520	You'll wait for the generation, then you'll copy and paste it into an editor,
33520	36160	and then run it, and then maybe then you'll ask for some changes,
36160	39600	more weight, more copy and pasta, and so on.
39600	43840	What I want to do instead is eliminate a lot of the sort of waiting
43840	49600	and going from prompt to result, and I really want to just make this as quickly
50320	55920	happen as quickly as possible, as well as require as little effort as possible.
55920	59280	While still reviewing, what the model actually wishes to do
59280	61600	before allowing it to do that.
61600	65120	We can even do the edit to dark theme too in this way.
65120	68400	For something so simple as just a matplotlib example,
68400	74160	these are fairly minimal time savings, although I think the effort is still pretty low comparatively.
74160	78960	But you can also quickly see that we issued one prompt and then we waited for GPT-4
78960	83520	to generate all the commands at once, each of which would have been a separate kind of
83520	86880	manual back and forth for us, especially if we hit some sort of error,
86880	89120	or we're just waiting for something to happen.
89120	94400	But instead we can review and run all of the commands in one go.
94400	99280	As we continue to ask for more complicated things or even projects that might require
99280	103760	multiple files or even installations of packages in setting up an environment,
103760	108000	or even as we want maybe to modify those files,
108000	112480	this sort of structure can wind up saving us a dawn of time and energy.
112480	115280	So let's see some more fancy examples.
115280	118240	Imagine that you found some sort of model on HuggingFace,
118240	121840	like this code completion language model from Replit.
121840	126080	That's very lightweight, and you'd like to make a demo with it by implementing
126080	129680	the model into some sort of locally hosted web page
129680	135680	with a text form input for the prompt and then some logic to display the output,
135680	136880	you know, the continued text.
136880	141440	Some very common use case for this particular model.
142240	147840	So probably GPT-4 really first needs to know what model do we want to use,
147840	152640	and then maybe do some light reading on the model's page to understand a bit about,
152640	155280	you know, how to actually work with this model.
155920	160560	Temp GPT doesn't have any web parsing ability built in,
160560	165040	but it can program for us, and we can certainly parse with a program.
165040	169600	So we can start off by asking Temp GPT to do just that for us.
169600	172800	And it does this first by installing beautiful soup for Python,
173440	178720	making the directory we asked for, and then writing some web scraping code to get the text
178720	182720	from that page, and then saving it to the text file that we requested.
182720	188640	We can then use Temp GPT to read that content.text file and create a web app for us that demos
188640	190000	its abilities.
190000	195040	We did hit an error along the way, which I just copy and paste to Temp GPT both times,
195040	196400	and it is fixed.
196880	201040	This is one thing I'm considering fully automating, and I'm trying to do that
201600	208560	by allowing Temp GPT to read the terminal outputs to determine if more commands or changes
208560	211280	need to be made, if an error is at least detected.
211840	217120	The error and suggestion in the error text here could have been ingested by Temp GPT
217120	222400	to easily implement and fix not really much different than us copying and pasting the error
222400	222960	ourselves.
223600	229440	Anyway, after reading the error, Temp GPT finds a way to remedy the problem and our program
229440	230000	works.
230000	235120	This has been extremely minimal with effort compared to what I would have done,
235120	240320	even if I was either traditionally doing this by hand or even via the chat UI for chat GPT.
240880	245440	And we can definitely do this in an even more like less clunky way.
245440	247760	Speaking of which, how about a web parser idea?
247760	252800	Can we use Temp GPT to modify a pre-existing project?
252800	253760	Absolutely.
253760	259520	Might we actually use Temp GPT to modify itself to add something like a web parser?
260160	266080	Here, I ask Temp GPT to implement a web parsing feature similar to my file reading feature,
266080	271440	and it modifies multiple areas of the Temp GPT script to do this.
272000	276000	Testing this feature, we can ask Temp GPT to parse some web page and then save a summary
276000	277120	of that text to file.
277120	282000	For example, let's parse the readme page from GitHub for TensorFlow and see if GPT-4
282000	285600	can summarize it for us into one sentence about what TensorFlow is.
286320	292000	In this case, though, it is plausible that GPT-4 could also just have used its own underlying
292000	293440	knowledge of TensorFlow.
293440	299280	For example, we could just outright ask GPT-4 about TensorFlow without any other context,
299280	302240	and it could summarize into one sentence.
302240	308000	Instead, let's ask about something newer, so we could ask about stable studio from Stability AI.
308000	313600	Asking GPT-4 via the chat UI, and it looks like this time GPT-4 doesn't actually know,
313600	314320	which makes sense.
314320	320320	This is relatively new, and GPT-4's knowledge stops in late March or something like that.
320320	323840	So then we can go back to our example, parse that readme, and get a good summary of it.
323840	328720	Okay, so those are just some really quick examples of what's possible, and to be honest,
328720	334000	this has all just been kind of my first attempts as I'm trying to kind of make this happen, as
334000	338720	this is a common, at least personally workflow for me, and I really just wanted to stop,
338720	344080	you know, highlighting or clicking copy code, paste, run, copy some error, go back, like all
344080	348960	this like back and forth was getting very old, and I really just wanted to come up with a solution
348960	353040	that would just automatically kind of do these things for me, execute the commands for me,
353040	353600	all of that.
354320	359680	So this is really my first run through, and there are for sure going to be better ways to do
360400	365120	the things that I'm doing here, and I definitely there's lots of things that we could build on,
365120	366720	and I'm going to be hosting this code.
366720	370960	So if you have ideas or things you want to try, feel free to fork or submit a poll request or
370960	371680	anything like that.
371680	375280	So with that, let's go ahead and dive into the code and see how everything is working under
375280	375760	the hood.
375760	379360	All right, so here with the code, let's go ahead and run through how everything works.
379360	381680	So first, we've just got a bunch of imports.
381680	386480	Open AI for the API, of course, Colorama to make things pretty, time for a sleep
387120	387760	context.
387760	390160	This is how I'm setting the pre prompt.
390160	394240	We will come to that in a moment, but for now, that's just that's it's the pre prompt
395200	396160	sub process.
396160	400240	This is for attempting to execute commands and get their output.
400240	401520	I'm still struggling with this.
401520	404720	Maybe someone can help me figure out what the heck why this doesn't work.
404720	407360	I'm sure it's probably some super simple logic problem.
407360	413920	But anyway, read for regular expressions, requests and beautiful soup for the web parsing
413920	416960	capability that term GPT actually added for itself.
418320	425520	Again, and this actually isn't really all that required since we term GPT can already
425520	426800	write a web parser.
426800	431120	But the real kicker here is, you know, it could also write code to open up a file.
431120	435600	But what you want to be able to do is read that information into context.
435600	440480	So doing that, I think still kind of requires these features, but I want to kind of clean
440480	444480	this up and quite possibly make it a little more dynamic.
444480	450400	So for example, like pulling from a website, do you really just want the paragraph text?
450400	454880	Do we want to also handle for JavaScript that happens to populate things?
454880	458640	You know, so like this is a really basic example, but this won't get you very far.
458640	461840	So anyway, I'm still kind of thinking about how I really want to do that.
461840	464480	But anyway, moving along, the open AI key,
465280	467600	really all the open AI stuff, I've got a video on that.
467600	470720	I'll try to remember to put a link in the description for the basics of working with
470720	471440	that API.
472400	474800	But anyway, that's where our key is debug.
474800	482160	This is just for a few extra print statements, just to mostly for outputting the full context
482160	486960	every time I query GPT for just because that'll tell you for sure what exactly you're sending
486960	488000	and getting back.
