start	end	text
0	25320	The questions that Hussle raises are incredibly deep, and I don't know that one seminar is
25320	36720	sufficient to expose this depth to you, but I know the readings are very difficult and I can
36720	44600	explain the readings, so that's a small victory. Are you threatening us with the more Hussle seminars?
44600	53160	Yeah, let's talk about that a little. What you have here is a selection of
53440	64720	short passages, which in itself makes it difficult, from five different texts. That is,
64720	73680	logical investigations, ideas, formal and transcendental logic, the crisis of the European
73680	81240	sciences, and the origin of geometry, and that's the order in which they were written from 1899
81240	100920	to 1936, 37 maybe. Normally, I gave them to you in the order that they were written,
100920	105400	because it seemed logical, and that's how I'll explain it, because they built up on it,
105400	112200	but actually I read them in reverse order. That is, I read the crisis and the geometry first,
112200	120920	because Harold told me to, and that's what he considered was most important, and they're the
120920	127240	most relevant and most accessible to sociologists, because they ask social questions and historical
127240	135880	questions. From there, I worked back to ideas and formal and transcendental logic in the middle
135880	143280	space, and at the very last, I did the 700-page, two-volume, tome logical investigations, working
143280	151080	with one of the world's top Heideggerian scholars, Frederick Golovsson, over six months in a graduate
151400	158000	seminar, and that's the most obscure, and so you're starting out reading the most obscure,
158000	169400	and you're reading short selections, so don't blame yourself if it was hard. However, Husserl did
169400	177160	have a very important influence on garfinkel, and it's an influence that has been underestimated
177160	184200	by most people who never studied with garfinkel. Originally, they just read Husserl out, because
184200	191880	they just didn't have an interest themselves, I think. I'm not sure why. They got that he was
191880	197000	interested in Wittgenstein, and he was, but he was always more interested in Husserl, and of course
197000	206840	they treat, they address similar issues. That denial has been transformed in recent years, judging
206840	213480	from what I read and the emails I get, to a kind of theory of a term. Heidegger has this term,
213480	218760	the early Heidegger and the late Heidegger. Well, they have developed a kind of account of garfinkel
218760	226600	that he was a phenomenologist, and somehow later rejected Husserl and rejected the phenomenology.
226600	231480	He never rejected it. He wrote, he had an article on Husserl, one of the last articles he ever wrote
231480	238840	in human studies. He never took phenomenology on its own terms. He only took anything on his terms,
240040	245720	and it's a very unique reading, and it's a very valuable reading, and it's the kind of reading
245720	253880	that I'm doing, and giving. But the vitality of ethnomethodology, at least the vitality of
253880	262440	garfinkel's project, started with his reading of Husserl. That's where he got the energy and the
262440	266440	interest. And that becomes very clear if you read his doctoral dissertation, which is now available
266440	276120	in book form in this, in this book, I think it's paradigm press edited by Anne Rawls called
276120	285480	Seeing Sociologically 2006. It's a fairly easy read, actually. And it's very clear that Husserl
285480	296600	particularly played an important role in his formative stages when he was first grappling with
296600	304360	how to study ordinary society. Of course, he was reading after World War II in the late 40s
304360	309400	and through the 50s, and there were no English translations then of Husserl. I think the first
309400	321800	translations of anything serious was in 62 by an Australian. And, you know, it's, he was reading
321800	333480	Marvin Farber, he was reading Maurice Nathanson, he was reading Aaron Gervitch, who summarized
