start	end	text
0	15000	How many of you are creatives, designers, engineers, entrepreneurs, artists,
15000	18000	or maybe you just have a really big imagination?
18000	20000	Show of hands?
20000	22000	Hey, that's most of you.
22000	25000	I have some news for us creatives.
25000	29000	Over the course of the next 20 years,
29000	33000	more will change around the way we do our work
33000	36000	than has happened in the last 2,000.
36000	41000	In fact, I think we're at the dawn of a new age in human history.
41000	47000	Now, there have been four major historical eras defined by the way we work.
47000	51000	The hunter-gatherer age lasted several million years.
51000	55000	And then the agricultural age lasted several thousand years.
55000	58000	The industrial age lasted a couple of centuries,
58000	63000	and now the information age has lasted just a few decades.
63000	69000	And now today, we're on the cusp of our next great era as a species.
69000	72000	Welcome to the augmented age.
72000	75000	In this new era, your natural human capabilities
75000	77000	are going to be augmented by computational systems
77000	81000	that help you think, robotic systems that help you make,
81000	87000	and digital nervous system that connects you to the world far beyond your natural senses.
87000	89000	Let's start with cognitive augmentation.
89000	92000	How many of you are augmented cyborgs?
92000	98000	I would actually argue that we're already augmented.
98000	101000	Imagine you're at a party and somebody asks you a question
101000	103000	that you don't know the answer to.
103000	107000	If you have one of these, in a few seconds, you can know the answer.
107000	110000	But this is just a primitive beginning.
110000	114000	Even Siri is just a passive tool.
114000	117000	In fact, for the last three and a half million years,
117000	121000	the tools that we've had have been completely passive.
121000	125000	They do exactly what we tell them and nothing more.
125000	129000	Our very first tool only cut where we struck it.
129000	133000	The chisel only carves where the artist points it.
133000	139000	And even our most advanced tools do nothing without our explicit direction.
139000	142000	In fact, to date, and this is something that frustrates me,
142000	147000	we've always been limited by this need to manually push our wills into our tools,
147000	152000	like manually, like literally using our hands, even with computers.
152000	155000	But I'm more like Scotty in Star Trek.
156000	159000	I want to have a conversation with a computer.
159000	162000	I want to say, computer, let's design a car.
162000	164000	And the computer shows me a car.
164000	167000	And I say, no, more fast-looking and less German.
167000	170000	And bang, the computer shows me an option.
170000	173000	Now, that conversation might be a little ways off.
173000	176000	It's actually probably less than many of us think.
176000	179000	But right now, we're working on it.
179000	182000	Tools are making this leap from being passive
182000	184000	to being generative.
184000	190000	Generative design tools use a computer and algorithms to synthesize geometry,
190000	193000	to come up with new designs all by themselves.
193000	196000	All it needs are your goals and your constraints.
196000	198000	I'll give you an example.
198000	200000	In the case of this aerial drone chassis,
200000	204000	all you would need to do is tell it something like it has four propellers,
204000	206000	you want it to be as lightweight as possible,
206000	209000	and you need it to be aerodynamically efficient.
210000	215000	And then what the computer does is it explores the entire solution space.
215000	219000	Every single possibility that solves and meets your criteria,
219000	222000	millions of them, takes big computers to do this.
222000	226000	But it comes back to us with designs that we, by ourselves,
226000	228000	never could have imagined.
228000	231000	And the computer is coming up with this stuff all by itself.
231000	235000	No one ever drew anything, and it started completely from scratch.
236000	240000	And by the way, it's no accident that the drone body looks
240000	243000	just like the pelvis of a flying squirrel.
245000	249000	It's because the algorithms are designed to work the same way that evolution does.
250000	254000	And what's exciting is we're starting to see this technology out in the real world.
254000	258000	We've been working with Airbus for a couple of years on this concept plane for the future.
