start	end	text
0	15520	Alright, so you probably don't realize that right now you're actually looking at something
15520	24160	quite rare because I am a millennial computer scientist book author standing on a TED stage
24160	27420	and yet I've never had a social media account.
27420	32740	While this happened was actually somewhat random, social media first came on to my radar when
32740	37420	I was at college, my sophomore year of college, this is when Facebook arrived at our campus
37420	42220	and at the time which was right after the first dot-com bust, I had had a dorm room
42220	46780	business, I had had to shut it down in the bust and then suddenly this other kid from
46780	50500	Harvard named Mark had this product called Facebook and people were getting excited about
50500	54820	it so it was sort of a fit of somewhat immature professional jealousy, I said I'm not going
54820	57820	to use this thing, I'm not going to help this kid's business, what's I ever going to
57820	58820	mount to?
58820	62300	So as I go along my life I look up not long later and I see that everyone I know is really
62300	67180	hooked on this thing and from the clarity you can get when you have some objectivity,
67180	71300	some perspective on it I realized this seems a little bit dangerous so I never signed up,
71300	74340	I've never had a social media account since.
74340	79140	So I'm here for two reasons, I want to deliver two messages, the first message I want to deliver
79140	85660	is that even though I've never had a social media account I'm okay, you don't have to
85660	90220	worry, it turns out I still have friends, I still know what's going on in the world,
90220	94660	there's a computer scientist, I still collaborate with people all around the world, I'm still
94660	100060	regularly exposed serendipitously to interesting ideas and I rarely describe myself as lacking
100060	101060	in entertainment options.
101060	105700	So I've been okay but I'd go even farther, I'd go even farther and say not only am I
105700	111140	okay without social media but I think I'm actually better off, I think I'm happier,
111140	116940	I think I find more sustainability in my life and I think I've been more successful professionally
116940	120100	because I don't use social media.
120100	124860	So my second goal here on stage is to try to convince more of you to believe the same
124860	130540	thing, to see if I could actually convince more of you that you too would be better off
130540	131660	if you quit social media.
131660	136340	So if the theme of this TEDx event is future tense, I guess in other words this would be
136340	140900	my vision of the future would be one in which fewer people actually use social media.
140900	144540	Okay, so that's a big claim, I think I need to back it up, so my thought what I would
144540	149900	do is take the three most common objections I hear when I suggest to people that they
149900	154140	quit social media and then for each of these objections I'll try to defuse the hype and
154140	157180	see if I can actually push in some more reality.
158180	164660	So this is the first most common objection I hear, that's not a hermit, that's actually
164660	169060	a hipstered web developer down from H Street, I'm not sure, hipster a hermit sometimes
169060	171540	is hard to tell.
171540	176260	So this first objection goes as follows, Cal social media is one of the fundamental
176260	182580	technologies of the 21st century to reject social media would be an act of extreme bloodism,
182580	186620	it would be like riding to work in a horse or using a rotary phone, I can't take such
186620	189260	a big stance in my life.
189260	193500	So my reaction to that objection is I think that is nonsense.
193500	198060	Social media is not a fundamental technology, it leverages some fundamental technologies
198060	203980	but it's better understood as this, which is to say it's a source of entertainment,
203980	205860	it's entertainment product.
205860	210980	The way the technologist Jaron Lanaire puts it is that these companies offer you shiny
210980	216180	treats in exchange for minutes of your attention and bites of your personal data which can
216180	219580	then be packaged up and sold.
219580	224340	So to say that you don't use social media should not be a large social stance, it's
224340	228060	just rejecting one form of entertainment for others, it should be no more controversial
228060	232420	than saying I don't like newspapers, I like to get my news from magazines or I prefer to
232420	238380	watch cable series as opposed to network television series, it's not a major political or social
238380	241100	stance to say you don't use this product.
241100	245700	My use of the slot machine image up here also is not accidental because if you look a little
245700	249060	bit closer at these technologies it's not just that they're a source of entertainment
249060	252540	but they're actually a somewhat unsavory source of entertainment.
252540	256480	We now know that many of the major social media companies hire individuals called attention
256480	261980	engineers who borrow principles from Las Vegas Casino Gambling among other places to try
261980	265740	to make these products as addictive as possible.
265740	269220	That is the desired use case of these products is that you use it in an addictive fashion
269220	275040	because that maximizes the profit that can be extracted from your attention and data.
275040	278160	So it's not a fundamental technology, it's just a source of entertainment, one among
278160	283160	many and it's somewhat unsavory if you look a little bit closer.
283160	287240	So here's the second common objection I hear when I suggest that people quit social media,
