start	end	text
0	7440	Hey, good evening, welcome.
7440	10400	My name is Jerry Murdoch.
10400	15120	Most of you in the room, or the many of you that know me, mostly know me as that guy who's
15120	20240	married to Gina Murdoch.
20240	25840	But I'm also a board member here at the Aspen Institute and at the Santa Fe Institute and
25840	30560	at the Aspen Center for Environmental Studies.
30560	37040	This is the second event of the 2015 McCloskey Speaker Series.
37040	41880	I want to thank Bonnie and Tom McCloskey family who are sitting right here.
41880	42880	Thank you very much.
42880	47160	This is wonderful.
47160	54680	So tonight's speaker, Dr. Eric Smith, has challenged disciplinary boundaries throughout
54680	56440	his career.
56440	62880	First is an undergraduate at Caltech in getting his degree in mathematics and in physics.
62880	68520	And then at the University of Texas, Austin, where he earned his PhD in high-energy physics
68520	73880	while working on string theory and quantum gravity, which was followed by appointments
73880	75920	at Los Alamos.
75920	82880	And then he spent 11 years at the Santa Fe Institute as a full-time faculty member.
82880	88120	During his time at Santa Fe Institute, I had the good fortune to meet him.
88120	93840	And in full disclosure, I've been funding his work for over a decade, his work in regards
93840	98480	to the origin of life, which we're going to hear about tonight.
98480	103640	And while at Santa Fe Institute, he was also doing interdisciplinary work in geochemistry,
103640	109720	biochemistry, and many topics related to complexity.
110360	126320	Currently, Eric is a professor and researcher at the Earth Life Institute in Tokyo.
126320	131960	And he's also a external faculty member at the Santa Fe Institute.
131960	139040	His goal is to understand origin and nature of the living state through the many windows
139040	147440	that science provides, the physical, geochemical, biochemical, ecological, and evolutionary.
147440	154720	Additionally, he remains interested in the connections or correspondences between energy,
154720	158760	information, and computation.
158760	166240	Most of us think about life as being something created from other living things.
166240	172320	But much of Eric's work focuses on the time before biology, when life on Earth emerge
172320	176360	from geophysical and chemical processes.
176360	181440	The subject of tonight's talk is based on material from his upcoming book, co-written
181440	187000	by the legendary biologist Harold Morowitz, which is entitled, The Emergence of the Fourth
187000	192560	Geosphere, to be published in 2016 by Cambridge University Press.
192560	197760	His work disrupts Francis Crick's notion that life was a happy accident.
197760	202720	Indeed, the material has consequences for the way we think about the relationship of
202720	205760	the individual to ecology.
205760	211920	The big picture of origin of life shows that ecosystems, not individuals, are carrying
211920	215240	some of the most fundamental patterns of life.
215240	220240	Furthermore, the work leads us to understand that the nature of living state is different
220240	225520	from the nature of individuality, and that we have been wrongly conflating the two in
225520	227480	our understanding of biology.
227480	233640	Therefore, we should strive to achieve a more ecology-centered biology to help us guide
233640	238320	our life in a more sustainable way within the biosphere.
238320	247560	Finally, both his upcoming book and tonight's talk will challenge us to rethink what is
247560	249720	the nature of life.
249720	252320	Without further ado, let's welcome Eric Smith.
252320	271640	Thank you.
271640	273760	So thank you, Jerry, and good evening, everybody.
273760	275560	Welcome.
275560	279880	You might think at the least that the problem of the origin of life, how did life appear
279880	284400	on an earth that previously had not had life, is mostly a history problem.
284400	287080	What happened and when and where did it happen?
287080	291000	You could go a little bit beyond that and you might think of it as a problem of cause.
291000	294280	How did things happen and why?
294280	302160	The argument that I want to make tonight is that we actually need to go further than that.
302160	307200	The things that we've learned about the technical problems of when, where, and how have caused
307200	311760	us to realize that the nature of life is different from a lot of the patterns that we've traditionally
311760	314080	used to think about it.
314080	318760	The reason the origin of life problem is hard is that we do something in science that we
318760	320520	also do in everyday life.
320520	325040	We put a big gap between the living things and the nonliving things.
325040	329760	It's very difficult to see across that gap how something like life could have come from
329760	333560	something that was not alive.
333560	336920	So when we think about life, we often think about it in these terms.
336920	338480	Life is made of individuals.
338480	339600	They have agency.
339600	344520	Maybe they have purpose or intentions that gives the biosphere direction.
344520	349440	Even if the direction didn't come from the individuals, it comes from evolution.
349440	355280	Life is energetic, it's complex, and it's endlessly fascinating.
355280	356280	Compare that to rocks.
356280	357280	What do rocks do?
357280	358960	They just sit there.
358960	362280	They've been around for billions of years.
362280	369640	So what I want to argue to you tonight is that the conceptual gap between the nonliving
369640	375960	world and living world is not real, or it's not where we have tried to place it in the
375960	376960	past.
376960	380120	The nonliving world is very active.
380120	384520	It's richly structured in its activity, and the biosphere from the beginning all the way
384520	389760	to the present is embedded in detail in the structure of that chemical activity of the
389760	391680	rest of the planet.
391680	397200	We haven't recognized the connections because our ways of looking have been too small or
397200	398800	they've been too short term.
398800	403920	They've been on the scale of a human life, or maybe we've looked in the wrong places.
403920	409680	But particularly in the last 30 years, things that we've learned in a variety of different
409680	415040	disciplines are changing the way we ask those questions, and those are the things that cause
415040	420920	us to reevaluate what we think the nature of life is and what we're trying to explain.
420920	424840	So tonight, I want to cover four points.
424840	428720	First of all, to understand the nature of life and the origin of life, you have to understand
428720	434520	its planetary context, and that context is what I will call a great arc of disequilibrium
434520	437040	on the scale of the whole planet.
437040	442760	Now even though that disequilibrium or stress runs through all of the systems on the planet,
442760	447040	we can break it apart and we can make it comprehensible by doing something that geologists have done
447040	448740	for more than a century.
448740	453640	We can divide the planet into geospheres, which are separate domains of states of matter
453640	457120	and kinds of chemistry.
457120	461440	What we're looking for in the nature of life is actually at the level of the biosphere
461440	468760	as a whole, not at the level of its components, of species or organisms or sub-organism components.
468760	472640	The conclusion that I want to leave us with at the end of the night is that the biosphere
472640	474760	is the fourth geosphere.
474760	479200	We should understand it as a planetary subsystem, and we should understand the emergence of
479200	485320	life as a stage in planetary maturation akin to the stages that cause the other geospheres
485320	489480	to be separated from each other.
489480	495720	So in classical geology, a lifeless planet can have three geospheres.
495720	500320	The lithosphere, from the word for rock, is the solid bulk.
500320	504360	On Earth, this is almost all of the matter and the mass of the planet.
504360	510160	The state of matter is solid, and the chemistry characteristic of the lithosphere is the chemistry
510160	514720	of minerals and their changes.
514720	516360	Second geosphere is the hydrosphere.
516360	519360	This is all of the watery domains.
519360	520920	Water chemistry is very special.
520920	525920	It's very restrictive, and as we've known forever, water chemistry is fundamental to
525920	531920	the nature of life, and it's in part important because of all the things you can't do in
531920	537840	water that you have to be distinctive that life does.
537840	540680	The third non-living geosphere is the atmosphere.
540680	545440	This is the gas phase because it's cool and because it's at low density.
545440	548440	There are certain kinds of chemistry that are possible in the atmosphere that are not
548440	550680	possible other places.
550680	555280	Now the chemistry of the atmosphere is not actually very much like the chemistry of life,
555280	559760	but it turns out that it's really important to the great arc of planetary disequilibrium
559760	563800	that will be central to our story.
563800	566720	And the fourth is the biosphere.
566720	570840	A lifeless planet will always have a lithosphere.
570840	575320	If it has enough volatiles, as they're called, the liquids and gases, it can also have hydrospheres
575320	577640	or atmospheres.
577640	581880	I want to look at the earth as it is, and everything that causes it to be different
581880	585560	from a planet that only had the three lifeless geospheres.
585560	589240	And all of that difference is what I mean by the biosphere.
589240	592360	So it is organisms, but not only organisms.
592360	597080	It's all of their ecological relations, it's their history, and it's all the changes that
597080	601960	they have collectively brought about in the rest of the planet throughout its history.
601960	605920	So it's in the sum rather than in the components that we look for the nature of the living
605920	610320	state.
610320	615760	So I've said that there's not a gap that separates life conceptually from the rest of the earth,
615760	620080	but certainly the biosphere is different from the non-living geospheres.
620080	623880	It's different in many ways, but if we had to choose one that's most important, here's
623880	626280	the one I would argue it is.
626280	631240	For the other geospheres, the lithosphere, hydrosphere, and atmosphere, we can understand
631240	635280	most of them in terms of their structure.
635280	642480	For the biosphere, you can only really understand it as an organized state of activity.
642480	647600	In order to create an organized state of activity that goes beyond just structure, you have
647600	652120	to be in a circumstance that physicists call far from equilibrium, and I'll explain to
652120	654700	you in a minute what that means.
654700	658920	The important thing is that the disequilibria we need to understand life are not something
658920	663040	local, they're not local in space and they're not local in chemistry, they actually are
663040	667200	built up on the scale of the whole planet.
667200	671600	So to give you a flavor for what is meant by near equilibrium or far from equilibrium,
671600	675560	I'll use something that's a little of an analogy, but it's an analogy that's mathematically
675560	677600	faithful.
677600	680400	Near equilibrium is like the ripples on a pond.
680400	685840	There may be activity that's caused by disturbances, but most of what there is to understand can
685840	692520	be understood from the structure of the flat surface before you start.
692520	695040	This is far from equilibrium.
695040	700480	Think of the biosphere as surfing on a continuously renewed wave of energy flow.
700480	705440	That energy flow is needed to keep it up where it is, it's needed to keep it organized.
705440	711360	Now it's been understood forever that life requires a flow of energy to maintain itself.
711360	717000	But to say that something is required doesn't say that that's necessarily possible, it only
717000	719320	tells you what's impossible.
719320	721480	Tonight I want to argue for something stronger.
721480	727100	I want to argue that the energy flows on earth brought the biosphere into existence.
727100	730680	It's as if the wave had created the surfer.
730680	736620	So traditionally when we come at the problem of the origin of life from the habits of biology,
736620	740480	we ask where is the surfer and what is the surfer like?
740480	748200	What I want to argue with here is that the right question should be where is the wave?
748200	751480	So the story of disequilibrium that makes sense of the origin of life doesn't start
751480	755960	on the planet, it actually starts in the formation of the solar system.
755960	760440	Now when we look at the sun, the part we see is the photosphere.
760440	761440	Photosphere is relatively cool.
761440	765040	It's only about 6,000 degrees Celsius, which is about the same temperature as the core
765040	766200	of the earth.
766200	773280	And it looks relatively smooth and flat like you see here, occasional sunspots.
773280	778120	But if you were to look at the sun in the X-ray with a movie, you'd find a boiling cauldron
778120	780400	of magnetic fluid.
780400	785040	Because the sun produces heat and the heat needs to convect and because it's electrically
785040	790640	conductive, you get loops of magnetism that boil up from the interior and whip plasma into
790640	793360	the outer layers of the atmosphere.
793360	798080	This action can cause the middle atmosphere of the sun, called the chromosphere, to go
798080	800440	up to 100,000 degrees or more.
800440	804240	And it can elevate the corona to a million degrees or more.
804240	809720	So plasma at 100,000 degrees emits extreme ultraviolet radiation, and at a million degrees
809720	814080	or more it emits X-rays.
814080	818920	So if you could look at the sun with a picture in the extreme UV in the X-ray, this is actually
818920	821080	what you would find.
821080	826520	The activity of a star like this is due to convection and the conductivity of the plasma,
826520	831880	but also to the rotation, because this is a Coriolis effect, the same as hurricanes.
831880	836480	And when stars are young when they're born, they rotate much faster and they spin down
836480	838080	over time.
838080	843120	So when the sun was young, all of this activity was actually more vigorous and more violent
843120	847160	than it is today.
847160	853080	Now that kind of hard radiation shapes planetary atmospheres, and in particular it drives them
853080	857160	far out of equilibrium from the planet that they surround.
857160	861120	So in particular, ultraviolet and above will break water.
861120	866440	Water is the H2O molecule where the Hs are white and the O is red, and it will separate
866440	869280	the hydrogen from the oxygen.
869280	873400	Hydrogen is a very light element, and so anything will cause it to escape.
873400	878800	And the result is that you leave the oxygen behind.
878800	882960	This is actually a satellite photo of the Earth taken with a filter for the emission
882960	885200	lines that see hydrogen.
885200	890160	And what you can see is that our planet is surrounded by a halo of hydrogen that's continually
890160	894040	escaping from it.
894040	896960	That turns out to have major consequences.
896960	901400	Because the rates of hydrogen loss that a star like our sun produces will remove a volume
901400	905880	of water comparable to the Earth's ocean in about a billion years.
905880	914120	So if you were Venus, which is about our size but closer to the sun and a little bit warmer,
914120	919240	or if you were Mars, which is smaller and has weaker gravity to hold elements, you would
919320	923960	have wound up in the condition that they're in today, with no surface water, oxygen left
923960	927520	behind that turns the dry surface a rusty red.
927520	930880	In about four and a half billion years, the Earth may be in this condition, depending
930880	934680	on how much water is on the inside, which is something we don't know.
934680	939520	But for the time being, the Earth is a very unusual planet in the solar system, and possibly
939520	942560	more widely than that.
942560	947440	But why does any of this matter to the origin of life?
947480	950800	To answer that, you need to know a little bit of chemistry, but all you need to know
950800	954200	is on this one slide.
954200	957160	And it's intuitive, I promise.
957160	963800	In the periodic table of the elements, we have many different kinds of animals.
963800	970080	Some of the elements have a stronger what's called affinity for electrons than others.
970080	975800	And in particular, important to our story, iron is very ready to give electrons away
975960	980440	to many other elements, giving electrons away to something called reducing that, because
980440	983080	electrons have a negative charge.
983080	988880	At the opposite end, oxygen is very greedy and will steal electrons from many elements.
988880	993360	And so you can see the transfer of electrons from iron to oxygen in the suites of minerals
993360	995040	in the world.
995040	999120	Iron metal, which mostly doesn't exist at the surface, has all of its electrons, and
999120	1002520	they're loosely bound, so they make a kind of a liquid, and that's why iron is silvery
1002520	1004880	and shiny and reflects light.
1004880	1009720	If you bring in a little bit of oxygen, enough that there's one oxygen atom per iron atom,
1009720	1013600	it will transfer two electrons to the oxygen, and we note that with a plus two on the iron
1013600	1018520	and a minus two on the oxygen, and you get this dull silvery mineral called vistite,
1018520	1022400	which is no longer shiny because the free electrons are gone.
1022400	1027480	Little bit more so that you're in a mix between giving two and giving three electrons away,
1027480	1029560	and you have magnetite, which is black.
1029560	1032320	This is what the original compasses were made of.
1032320	1036600	If you give yet more, you get this rusty red mineral called hematite, which is one of the
1036600	1038360	elements of rust.
1038360	1045600	Now as we all know, rust happens, and the spontaneity of this electron donating process
1045600	1049960	is a source of chemical energy.
1049960	1054160	If you look at that at a planetary scale, you realize that what happens is that hydrogen
1054160	1058800	escape is turning our whole planet into a giant battery, because this is how batteries
1058800	1059800	work.
1059800	1063480	There are two different elements, one of which gives electrons and one of which takes them,
1063480	1068160	and you force the electrons to flow through something so that you can harness the work.
1068160	1072320	In the earth, in the interior region known as the mantle, most of the iron is in this
1072320	1078000	plus two state, but near the surface it gets pulled to the plus three state by the oxygen
1078000	1084200	that's continually made available as we lose water to hydrogen escape.
1084200	1088640	Now on a quiet earth, that battery would run down, because even though you originally
1088640	1093720	had oxygen to donate electrons at the surface, that would basically weather over the same
1093720	1098280	way you get a layer of oxide on an aluminum window sill.
1098280	1104680	The only thing that allows the battery to be continually refreshed is that new material
1104680	1109920	is delivered to the surface of the earth at the same time as hydrogen is continually
1109920	1112600	scoured away out of the atmosphere.
1112600	1117560	But that redelivery brings a second kind of disequilibrium into the picture to understand
1117560	1120520	the context for life.
1120520	1124800	So if you could look at a cross section of the earth on 100 million year time scales,
1124800	1130280	so this is where human life is too short to see, you would actually see cool material
1130280	1134320	being brought down from the surface, and you can barely see in this picture, I apologize
1134320	1138520	for the colors, the yellow heat from the core being boiled up.
1138520	1143720	So the interior plastic rock of the mantle is constantly in convective turnover driven
1143720	1147000	by this need to release heat.
1147000	1152400	If at the same time you could see the chemical composition of the rock, you would find that
1152400	1157400	the oxidized, exhausted crust on the surface is being pulled down and remixed into the
1157400	1163240	mantle, while the electron giving iron material in the interior is allowed to come to the
1163240	1167400	surface and make new crust.
1167400	1172800	So when you put all these processes together, this is the picture you get of the big earth.
1172800	1178240	Convection continually refreshes the surface rock at the same time as the solar radiation
1178240	1181080	pulls the hydrogen away.
1181080	1185600	The important thing is that the new crust is not created uniformly everywhere.
1185600	1190000	It's created in concentrated centers, which are called spreading centers or mid ocean
1190000	1193840	ridges beneath the ocean bottom.
1193840	1199920	The process of convection causes what are called plate tectonics, the movement of the
1199920	1205160	major plates around, where they subduct, they create earthquakes and volcanoes which
1205160	1209560	deliver other concentrated new rock to the surface, and when there are continents riding
1209560	1215120	around on them, they cause continental drift.
1215120	1220600	So this is a map of the bottom of the ocean showing its age.
1220600	1225560	The entire bottom of the ocean gets replaced about once every 250 million years as the continents
1225560	1229200	go back and forth opening and closing in a cycle.
1229200	1233400	The mid ocean ridges are these red regions of newly created crust in the centers of all
1233400	1238000	of the world's oceans, and then the blue regions are the old crust that's diving back into
1238000	1246280	the mantle as they do under Tokyo where I'm living.
1246280	1251400	Now the sites where new crust is created are themselves very interesting because you're
1251400	1256120	taking rock that's miles thick and you're twisting it and separating it and pulling
1256120	1259680	it, so they're filled with cracks and pores.
1259680	1266400	And in this domain, seawater invades and it gets chemically altered by the rock.
1266400	1271640	The invasion sites and then the remixing zones where the water comes back up are the places
1271640	1277440	where a battery that accumulates over the entire planetary surface and bulk gets concentrated
1277440	1279920	into these narrow ranges.
1279920	1284440	So this map shows you the same spreading centers and the little red dots are the places where
1284440	1289600	geologists have mapped out regions of active rock-water interaction.
1289600	1294200	This is a tiny subset of the ones that are believed to exist, but these now constitute
1294200	1298600	the evidence we have about where the Earth's battery mostly flows.
1298600	1302700	And if you look at the electron transfer, if you do a calculation from the interior
1302700	1307880	to the atmosphere, it's concentrated at these little release points right around here.
1307880	1313160	So the importance of this is that this is where stress piles up in the world even though
1313160	1325480	it's accumulated diffusely.
1325480	1328120	So up to this point, we've closed half the gap.
1328120	1333600	Hopefully I have convinced you that rocks don't just sit there, that the Earth is chemically
1333600	1335880	active and that it's organized.
1335880	1342160	But before the 1970s, even knowing all of this, and much of this was understood roughly,
1342160	1346360	people still would not have been able to make a connection to the origin of life, because
